City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14480km,14480,341.91ms,341.91,42.46%,42.46,340.31ms,340.31,355.11ms,355.11,3.15ms,3.15,2018-11-10 12:20:32
"Albany United States, North America",7431km,7431,173.18ms,173.18,42.95%,42.95,108.88ms,108.88,240.47ms,240.47,39.04ms,39.04,2018-11-10 12:20:32
"Alblasserdam Netherlands, Eurasia",1731km,1731,38.88ms,38.88,45.55%,45.55,38.45ms,38.45,42.49ms,42.49,0.85ms,0.85,2018-11-10 12:20:32
"Albuquerque United States, North America",9984km,9984,158.99ms,158.99,63.19%,63.19,157.18ms,157.18,177.01ms,177.01,3.78ms,3.78,2018-11-10 12:20:32
"Algiers Algeria, Africa",1850km,1850,52.29ms,52.29,35.58%,35.58,51.14ms,51.14,63.95ms,63.95,2.55ms,2.55,2018-11-10 12:20:32
"Amsterdam Netherlands, Eurasia",1752km,1752,46.21ms,46.21,38.09%,38.09,45.31ms,45.31,54.24ms,54.24,2.02ms,2.02,2018-11-10 12:20:32
"Anchorage United States, North America",8446km,8446,198.72ms,198.72,42.66%,42.66,198.38ms,198.38,201.17ms,201.17,0.56ms,0.56,2018-11-10 12:20:32
"Ankara Turkey, Eurasia",853km,853,43.75ms,43.75,19.84%,19.84,42.21ms,42.21,55.75ms,55.75,3.34ms,3.34,2018-11-10 12:20:32
"Antwerp Belgium, Eurasia",1713km,1713,50.92ms,50.92,34.26%,34.26,50.33ms,50.33,60.61ms,60.61,1.95ms,1.95,2018-11-10 12:20:32
"Arezzo Italy, Eurasia",934km,934,55.78ms,55.78,16.98%,16.98,55.43ms,55.43,60.03ms,60.03,0.90ms,0.9,2018-11-10 12:20:32
"Asheville United States, North America",8523km,8523,126.51ms,126.51,67.64%,67.64,125.67ms,125.67,136.26ms,136.26,2.14ms,2.14,2018-11-10 12:20:32
"Athens Greece, Eurasia",527km,527,14.59ms,14.59,37.64%,37.64,14.30ms,14.3,16.19ms,16.19,0.37ms,0.37,2018-11-10 12:20:32
"Atlanta United States, North America",8787km,8787,135.51ms,135.51,65.09%,65.09,135.10ms,135.1,138.07ms,138.07,0.84ms,0.84,2018-11-10 12:20:32
"Auckland New Zealand, Oceania",17504km,17504,306.36ms,306.36,57.20%,57.2,305.68ms,305.68,312.25ms,312.25,1.34ms,1.34,2018-11-10 12:20:33
"Austin United States, North America",9921km,9921,159.66ms,159.66,62.40%,62.4,151.03ms,151.03,186.19ms,186.19,10.36ms,10.36,2018-11-10 12:20:33
"Baltimore United States, North America",7859km,7859,115.21ms,115.21,68.34%,68.34,114.81ms,114.81,117.06ms,117.06,0.66ms,0.66,2018-11-10 12:20:33
