City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15706km,15706,203.05ms,203.05,77.37%,77.37,202.64ms,202.64,205.11ms,205.11,0.53ms,0.53,2018-11-10 12:19:08
"Albany United States, North America",1457km,1457,91.40ms,91.4,16.01%,16.01,26.40ms,26.4,179.09ms,179.09,42.52ms,42.52,2018-11-10 12:19:08
"Alblasserdam Netherlands, Eurasia",7033km,7033,99.40ms,99.4,71.04%,71.04,98.95ms,98.95,102.11ms,102.11,0.78ms,0.78,2018-11-10 12:19:08
"Albuquerque United States, North America",1509km,1509,37.69ms,37.69,40.78%,40.78,32.41ms,32.41,84.26ms,84.26,13.82ms,13.82,2018-11-10 12:19:08
"Algiers Algeria, Africa",7813km,7813,131.98ms,131.98,59.64%,59.64,131.29ms,131.29,135.06ms,135.06,0.79ms,0.79,2018-11-10 12:19:08
"Amsterdam Netherlands, Eurasia",7013km,7013,104.80ms,104.8,67.43%,67.43,103.27ms,103.27,108.68ms,108.68,1.60ms,1.6,2018-11-10 12:19:08
"Anchorage United States, North America",4730km,4730,84.85ms,84.85,56.31%,56.31,82.77ms,82.77,104.74ms,104.74,4.94ms,4.94,2018-11-10 12:19:08
"Ankara Turkey, Eurasia",9539km,9539,165.60ms,165.6,57.81%,57.81,165.39ms,165.39,166.29ms,166.29,0.56ms,0.56,2018-11-10 12:19:08
"Antwerp Belgium, Eurasia",7054km,7054,104.35ms,104.35,67.83%,67.83,104.24ms,104.24,104.75ms,104.75,0.17ms,0.17,2018-11-10 12:19:08
"Arezzo Italy, Eurasia",7995km,7995,121.19ms,121.19,66.07%,66.07,121.05ms,121.05,121.89ms,121.89,0.29ms,0.29,2018-11-10 12:19:08
"Asheville United States, North America",756km,756,31.55ms,31.55,24.39%,24.39,31.31ms,31.31,32.86ms,32.86,0.45ms,0.45,2018-11-10 12:19:08
"Athens Greece, Eurasia",9151km,9151,155.53ms,155.53,59.04%,59.04,155.14ms,155.14,156.74ms,156.74,0.68ms,0.68,2018-11-10 12:19:08
"Atlanta United States, North America",752km,752,25.55ms,25.55,30.08%,30.08,24.98ms,24.98,31.10ms,31.1,1.29ms,1.29,2018-11-10 12:19:08
"Auckland New Zealand, Oceania",12839km,12839,207.90ms,207.9,62.02%,62.02,207.22ms,207.22,217.69ms,217.69,1.98ms,1.98,2018-11-10 12:19:08
"Austin United States, North America",1160km,1160,33.97ms,33.97,35.15%,35.15,24.02ms,24.02,52.16ms,52.16,8.84ms,8.84,2018-11-10 12:19:08
"Baltimore United States, North America",1175km,1175,50.44ms,50.44,23.50%,23.5,49.87ms,49.87,53.54ms,53.54,0.85ms,0.85,2018-11-10 12:19:08
"Bangalore India, Eurasia",14142km,14142,249.22ms,249.22,56.80%,56.8,249.07ms,249.07,249.74ms,249.74,0.26ms,0.26,2018-11-10 12:19:08
"Bangkok Thailand, Eurasia",14089km,14089,274.24ms,274.24,51.42%,51.42,264.11ms,264.11,322.20ms,322.2,18.21ms,18.21,2018-11-10 12:19:08
"Barcelona Spain, Eurasia",7467km,7467,144.90ms,144.9,51.85%,51.85,144.49ms,144.49,147.57ms,147.57,0.62ms,0.62,2018-11-10 12:19:08
"Basel Switzerland, Eurasia",7462km,7462,130.22ms,130.22,57.40%,57.4,130.04ms,130.04,130.80ms,130.8,0.41ms,0.41,2018-11-10 12:19:08
"Belfast United Kingdom, Eurasia",6268km,6268,121.61ms,121.61,51.80%,51.8,121.38ms,121.38,122.37ms,122.37,0.26ms,0.26,2018-11-10 12:19:08
"Bergen Norway, Eurasia",6633km,6633,140.82ms,140.82,47.38%,47.38,140.30ms,140.3,143.31ms,143.31,0.83ms,0.83,2018-11-10 12:19:08
"Berkeley Springs United States, North America",1038km,1038,36.59ms,36.59,28.83%,28.83,33.78ms,33.78,48.83ms,48.83,4.26ms,4.26,2018-11-10 12:19:08
"Bern Switzerland, Eurasia",7490km,7490,156.41ms,156.41,48.01%,48.01,152.29ms,152.29,165.83ms,165.83,4.08ms,4.08,2018-11-10 12:19:08
"Bogota Colombia, South America",4121km,4121,97.88ms,97.88,42.48%,42.48,96.24ms,96.24,109.51ms,109.51,3.08ms,3.08,2018-11-10 12:19:08
"Boston United States, North America",1667km,1667,30.84ms,30.84,55.57%,55.57,29.97ms,29.97,40.18ms,40.18,2.18ms,2.18,2018-11-10 12:19:08
"Brasilia Brazil, South America",7485km,7485,161.51ms,161.51,46.49%,46.49,159.62ms,159.62,181.77ms,181.77,4.24ms,4.24,2018-11-10 12:19:08
"Bratislava Slovakia, Eurasia",8002km,8002,130.72ms,130.72,61.55%,61.55,130.60ms,130.6,131.20ms,131.2,0.52ms,0.52,2018-11-10 12:19:08
"Brisbane Australia, Oceania",14112km,14112,198.53ms,198.53,71.27%,71.27,198.37ms,198.37,199.48ms,199.48,0.52ms,0.52,2018-11-10 12:19:08
