City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14994km,14994,316.91ms,316.91,47.45%,47.45,316.74ms,316.74,317.77ms,317.77,0.38ms,0.38,2018-11-10 12:19:51
"Albany United States, North America",6132km,6132,161.57ms,161.57,38.09%,38.09,97.05ms,97.05,225.32ms,225.32,37.00ms,37.0,2018-11-10 12:19:51
"Alblasserdam Netherlands, Eurasia",1179km,1179,21.18ms,21.18,56.14%,56.14,20.94ms,20.94,22.70ms,22.7,0.37ms,0.37,2018-11-10 12:19:51
"Albuquerque United States, North America",8353km,8353,149.46ms,149.46,56.06%,56.06,143.48ms,143.48,195.37ms,195.37,13.20ms,13.2,2018-11-10 12:19:51
"Algiers Algeria, Africa",2732km,2732,65.68ms,65.68,42.03%,42.03,65.08ms,65.08,66.49ms,66.49,0.36ms,0.36,2018-11-10 12:19:51
"Amsterdam Netherlands, Eurasia",1140km,1140,21.34ms,21.34,54.29%,54.29,21.04ms,21.04,21.84ms,21.84,0.24ms,0.24,2018-11-10 12:19:51
"Anchorage United States, North America",6574km,6574,184.81ms,184.81,35.73%,35.73,184.51ms,184.51,185.79ms,185.79,0.49ms,0.49,2018-11-10 12:19:51
"Ankara Turkey, Eurasia",2392km,2392,69.68ms,69.68,34.67%,34.67,68.77ms,68.77,80.91ms,80.91,2.21ms,2.21,2018-11-10 12:19:51
"Antwerp Belgium, Eurasia",1246km,1246,24.93ms,24.93,51.92%,51.92,24.59ms,24.59,26.05ms,26.05,0.37ms,0.37,2018-11-10 12:19:51
"Arezzo Italy, Eurasia",1812km,1812,55.00ms,55.0,32.95%,32.95,54.80ms,54.8,56.66ms,56.66,0.37ms,0.37,2018-11-10 12:19:51
"Asheville United States, North America",7219km,7219,118.23ms,118.23,61.18%,61.18,118.05ms,118.05,119.13ms,119.13,0.22ms,0.22,2018-11-10 12:19:51
"Athens Greece, Eurasia",2408km,2408,69.25ms,69.25,34.90%,34.9,68.56ms,68.56,70.54ms,70.54,0.56ms,0.56,2018-11-10 12:19:51
"Atlanta United States, North America",7484km,7484,119.56ms,119.56,62.89%,62.89,119.10ms,119.1,122.71ms,122.71,0.81ms,0.81,2018-11-10 12:19:51
"Auckland New Zealand, Oceania",17011km,17011,286.30ms,286.3,59.48%,59.48,286.04ms,286.04,287.33ms,287.33,0.59ms,0.59,2018-11-10 12:19:51
"Austin United States, North America",8458km,8458,142.16ms,142.16,59.56%,59.56,132.28ms,132.28,161.77ms,161.77,8.54ms,8.54,2018-11-10 12:19:51
"Baltimore United States, North America",6583km,6583,111.03ms,111.03,59.31%,59.31,110.52ms,110.52,113.79ms,113.79,0.63ms,0.63,2018-11-10 12:19:51
"Bangalore India, Eurasia",7068km,7068,278.49ms,278.49,25.42%,25.42,277.47ms,277.47,282.07ms,282.07,1.12ms,1.12,2018-11-10 12:19:51
"Bangkok Thailand, Eurasia",8267km,8267,213.61ms,213.61,38.81%,38.81,204.19ms,204.19,249.94ms,249.94,10.74ms,10.74,2018-11-10 12:19:51
"Barcelona Spain, Eurasia",2279km,2279,51.41ms,51.41,44.69%,44.69,51.05ms,51.05,53.15ms,53.15,0.46ms,0.46,2018-11-10 12:19:51
"Basel Switzerland, Eurasia",1477km,1477,37.52ms,37.52,39.92%,39.92,37.32ms,37.32,38.35ms,38.35,0.30ms,0.3,2018-11-10 12:19:51
"Belfast United Kingdom, Eurasia",1538km,1538,40.14ms,40.14,38.45%,38.45,39.95ms,39.95,41.06ms,41.06,0.35ms,0.35,2018-11-10 12:19:51
"Bergen Norway, Eurasia",720km,720,17.65ms,17.65,42.35%,42.35,17.12ms,17.12,23.65ms,23.65,1.24ms,1.24,2018-11-10 12:19:51
"Berkeley Springs United States, North America",6634km,6634,113.56ms,113.56,58.71%,58.71,113.36ms,113.36,114.25ms,114.25,0.34ms,0.34,2018-11-10 12:19:51
"Bern Switzerland, Eurasia",1544km,1544,45.38ms,45.38,34.31%,34.31,45.12ms,45.12,46.05ms,46.05,0.20ms,0.2,2018-11-10 12:19:51
"Bogota Colombia, South America",9693km,9693,185.83ms,185.83,52.39%,52.39,184.73ms,184.73,197.95ms,197.95,2.88ms,2.88,2018-11-10 12:19:51
"Boston United States, North America",6027km,6027,105.75ms,105.75,57.40%,57.4,105.44ms,105.44,106.63ms,106.63,0.33ms,0.33,2018-11-10 12:19:51
"Brasilia Brazil, South America",10228km,10228,241.16ms,241.16,42.44%,42.44,240.09ms,240.09,247.61ms,247.61,1.49ms,1.49,2018-11-10 12:19:51
"Bratislava Slovakia, Eurasia",1244km,1244,50.04ms,50.04,24.88%,24.88,49.84ms,49.84,50.66ms,50.66,0.31ms,0.31,2018-11-10 12:19:51
"Brisbane Australia, Oceania",15100km,15100,315.83ms,315.83,47.94%,47.94,315.52ms,315.52,319.62ms,319.62,0.83ms,0.83,2018-11-10 12:19:51
"Bristol United Kingdom, Eurasia",1562km,1562,36.19ms,36.19,43.39%,43.39,35.61ms,35.61,37.85ms,37.85,0.59ms,0.59,2018-11-10 12:19:51
"Brno Czech Republic, Eurasia",1129km,1129,36.42ms,36.42,31.36%,31.36,36.27ms,36.27,36.66ms,36.66,0.28ms,0.28,2018-11-10 12:19:51
"Bruges Belgium, Eurasia",1297km,1297,26.97ms,26.97,49.88%,49.88,26.20ms,26.2,34.37ms,34.37,1.75ms,1.75,2018-11-10 12:19:51
"Brunswick United States, North America",5837km,5837,107.12ms,107.12,54.55%,54.55,106.69ms,106.69,108.54ms,108.54,0.57ms,0.57,2018-11-10 12:19:51
"Brussels Belgium, Eurasia",1280km,1280,23.35ms,23.35,55.65%,55.65,23.04ms,23.04,24.79ms,24.79,0.36ms,0.36,2018-11-10 12:19:51
"Bucharest Romania, Eurasia",1743km,1743,51.52ms,51.52,34.18%,34.18,51.27ms,51.27,51.94ms,51.94,0.23ms,0.23,2018-11-10 12:19:51
"Budapest Hungary, Eurasia",1316km,1316,40.76ms,40.76,32.90%,32.9,39.77ms,39.77,41.81ms,41.81,0.63ms,0.63,2018-11-10 12:19:51
"Buenos Aires Argentina, South America",12564km,12564,248.16ms,248.16,50.66%,50.66,243.92ms,243.92,259.78ms,259.78,4.61ms,4.61,2018-11-10 12:19:51
"Buffalo United States, North America",6375km,6375,106.61ms,106.61,60.14%,60.14,103.28ms,103.28,128.84ms,128.84,4.97ms,4.97,2018-11-10 12:19:51
"Bursa Turkey, Eurasia",2262km,2262,71.53ms,71.53,31.86%,31.86,70.20ms,70.2,79.48ms,79.48,1.91ms,1.91,2018-11-10 12:19:51
