City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15753km,15753,321.60ms,321.6,49.07%,49.07,319.25ms,319.25,343.58ms,343.58,4.47ms,4.47,2018-11-10 12:20:15
"Albany United States, North America",6062km,6062,153.69ms,153.69,39.62%,39.62,91.33ms,91.33,218.52ms,218.52,35.36ms,35.36,2018-11-10 12:20:15
"Alblasserdam Netherlands, Eurasia",427km,427,22.27ms,22.27,19.41%,19.41,20.37ms,20.37,43.25ms,43.25,4.17ms,4.17,2018-11-10 12:20:15
"Albuquerque United States, North America",8675km,8675,166.87ms,166.87,52.26%,52.26,158.03ms,158.03,201.94ms,201.94,10.36ms,10.36,2018-11-10 12:20:15
"Algiers Algeria, Africa",1368km,1368,45.06ms,45.06,30.40%,30.4,38.62ms,38.62,60.26ms,60.26,6.77ms,6.77,2018-11-10 12:20:15
"Amsterdam Netherlands, Eurasia",467km,467,12.73ms,12.73,38.92%,38.92,10.67ms,10.67,26.61ms,26.61,3.32ms,3.32,2018-11-10 12:20:15
"Anchorage United States, North America",7646km,7646,171.75ms,171.75,44.71%,44.71,169.42ms,169.42,190.37ms,190.37,4.20ms,4.2,2018-11-10 12:20:15
"Ankara Turkey, Eurasia",2205km,2205,67.68ms,67.68,32.91%,32.91,63.50ms,63.5,114.34ms,114.34,9.31ms,9.31,2018-11-10 12:20:15
"Antwerp Belgium, Eurasia",379km,379,19.14ms,19.14,19.95%,19.95,17.05ms,17.05,27.69ms,27.69,2.53ms,2.53,2018-11-10 12:20:15
"Arezzo Italy, Eurasia",650km,650,19.74ms,19.74,34.21%,34.21,16.82ms,16.82,26.19ms,26.19,2.89ms,2.89,2018-11-10 12:20:15
"Asheville United States, North America",7152km,7152,101.53ms,101.53,70.81%,70.81,99.93ms,99.93,110.24ms,110.24,2.55ms,2.55,2018-11-10 12:20:15
"Athens Greece, Eurasia",1743km,1743,56.96ms,56.96,31.12%,31.12,53.50ms,53.5,108.87ms,108.87,9.80ms,9.8,2018-11-10 12:20:15
"Atlanta United States, North America",7415km,7415,109.62ms,109.62,68.03%,68.03,105.58ms,105.58,125.34ms,125.34,4.14ms,4.14,2018-11-10 12:20:15
"Auckland New Zealand, Oceania",18342km,18342,299.49ms,299.49,61.34%,61.34,297.25ms,297.25,308.69ms,308.69,2.78ms,2.78,2018-11-10 12:20:15
"Austin United States, North America",8564km,8564,142.42ms,142.42,60.31%,60.31,127.54ms,127.54,187.57ms,187.57,12.67ms,12.67,2018-11-10 12:20:15
"Baltimore United States, North America",6488km,6488,91.94ms,91.94,71.30%,71.3,87.95ms,87.95,101.12ms,101.12,3.45ms,3.45,2018-11-10 12:20:15
"Bangalore India, Eurasia",7453km,7453,175.25ms,175.25,42.59%,42.59,171.51ms,171.51,191.48ms,191.48,4.92ms,4.92,2018-11-10 12:20:15
"Bangkok Thailand, Eurasia",9066km,9066,174.53ms,174.53,52.10%,52.1,155.39ms,155.39,298.04ms,298.04,29.08ms,29.08,2018-11-10 12:20:15
"Barcelona Spain, Eurasia",911km,911,33.89ms,33.89,27.61%,27.61,30.59ms,30.59,46.63ms,46.63,3.83ms,3.83,2018-11-10 12:20:15
"Basel Switzerland, Eurasia",113km,113,5.53ms,5.53,22.60%,22.6,3.88ms,3.88,22.85ms,22.85,3.64ms,3.64,2018-11-10 12:20:15
"Belfast United Kingdom, Eurasia",1155km,1155,31.20ms,31.2,37.26%,37.26,28.94ms,28.94,38.84ms,38.84,2.49ms,2.49,2018-11-10 12:20:15
"Bergen Norway, Eurasia",1322km,1322,45.41ms,45.41,29.38%,29.38,43.31ms,43.31,59.58ms,59.58,3.04ms,3.04,2018-11-10 12:20:15
"Berkeley Springs United States, North America",6570km,6570,99.45ms,99.45,66.36%,66.36,96.57ms,96.57,119.67ms,119.67,4.77ms,4.77,2018-11-10 12:20:15
"Bern Switzerland, Eurasia",182km,182,17.74ms,17.74,10.71%,10.71,13.66ms,13.66,55.24ms,55.24,7.83ms,7.83,2018-11-10 12:20:15
"Bogota Colombia, South America",9025km,9025,170.13ms,170.13,53.09%,53.09,167.22ms,167.22,178.99ms,178.99,2.94ms,2.94,2018-11-10 12:20:15
"Boston United States, North America",5909km,5909,87.04ms,87.04,67.92%,67.92,85.10ms,85.1,95.18ms,95.18,2.24ms,2.24,2018-11-10 12:20:15
"Brasilia Brazil, South America",9016km,9016,216.70ms,216.7,41.74%,41.74,213.30ms,213.3,225.22ms,225.22,3.67ms,3.67,2018-11-10 12:20:15
"Bratislava Slovakia, Eurasia",692km,692,20.98ms,20.98,34.60%,34.6,18.90ms,18.9,25.14ms,25.14,1.86ms,1.86,2018-11-10 12:20:15
"Brisbane Australia, Oceania",16231km,16231,289.98ms,289.98,56.16%,56.16,288.37ms,288.37,297.39ms,297.39,2.03ms,2.03,2018-11-10 12:20:15
"Bristol United Kingdom, Eurasia",804km,804,18.22ms,18.22,44.67%,44.67,17.08ms,17.08,22.29ms,22.29,1.27ms,1.27,2018-11-10 12:20:15
"Brno Czech Republic, Eurasia",651km,651,23.87ms,23.87,28.30%,28.3,22.93ms,22.93,27.82ms,27.82,1.10ms,1.1,2018-11-10 12:20:15
"Bruges Belgium, Eurasia",437km,437,27.76ms,27.76,16.19%,16.19,25.93ms,25.93,34.02ms,34.02,2.47ms,2.47,2018-11-10 12:20:15
"Brunswick United States, North America",5736km,5736,108.96ms,108.96,53.11%,53.11,106.13ms,106.13,120.80ms,120.8,3.72ms,3.72,2018-11-10 12:20:15
"Brussels Belgium, Eurasia",352km,352,18.24ms,18.24,19.56%,19.56,16.52ms,16.52,22.98ms,22.98,1.88ms,1.88,2018-11-10 12:20:15
"Bucharest Romania, Eurasia",1474km,1474,37.95ms,37.95,39.84%,39.84,35.69ms,35.69,51.37ms,51.37,3.30ms,3.3,2018-11-10 12:20:15
"Budapest Hungary, Eurasia",847km,847,24.19ms,24.19,35.29%,35.29,21.48ms,21.48,32.23ms,32.23,2.80ms,2.8,2018-11-10 12:20:15
"Buenos Aires Argentina, South America",11329km,11329,237.55ms,237.55,47.80%,47.8,232.94ms,232.94,252.14ms,252.14,5.01ms,5.01,2018-11-10 12:20:15
"Buffalo United States, North America",6384km,6384,95.63ms,95.63,67.20%,67.2,92.43ms,92.43,107.39ms,107.39,3.58ms,3.58,2018-11-10 12:20:15
"Bursa Turkey, Eurasia",1923km,1923,67.62ms,67.62,28.70%,28.7,65.90ms,65.9,73.64ms,73.64,2.08ms,2.08,2018-11-10 12:20:15
"Cairo Egypt, Africa",2862km,2862,73.11ms,73.11,39.21%,39.21,66.69ms,66.69,89.18ms,89.18,5.52ms,5.52,2018-11-10 12:20:15
"Calgary Canada, North America",7637km,7637,155.60ms,155.6,49.27%,49.27,153.42ms,153.42,163.47ms,163.47,2.66ms,2.66,2018-11-10 12:20:15
"Canberra Australia, Oceania",16548km,16548,331.11ms,331.11,49.99%,49.99,328.32ms,328.32,343.77ms,343.77,3.57ms,3.57,2018-11-10 12:20:15
"Cape Town South Africa, Africa",9242km,9242,158.89ms,158.89,58.49%,58.49,156.33ms,156.33,182.64ms,182.64,5.15ms,5.15,2018-11-10 12:20:15
"Caracas Venezuela, South America",8011km,8011,160.18ms,160.18,50.07%,50.07,157.88ms,157.88,167.35ms,167.35,1.96ms,1.96,2018-11-10 12:20:15
"Cardiff United Kingdom, Eurasia",844km,844,19.80ms,19.8,44.42%,44.42,18.00ms,18.0,29.50ms,29.5,2.63ms,2.63,2018-11-10 12:20:15
"Carlow Ireland, Eurasia",1135km,1135,30.27ms,30.27,37.83%,37.83,28.86ms,28.86,37.90ms,37.9,1.90ms,1.9,2018-11-10 12:20:15
"Charlotte United States, North America",7066km,7066,94.50ms,94.5,75.17%,75.17,92.29ms,92.29,102.21ms,102.21,2.47ms,2.47,2018-11-10 12:20:15
"Cheltenham United Kingdom, Eurasia",790km,790,19.11ms,19.11,41.58%,41.58,17.21ms,17.21,24.01ms,24.01,2.02ms,2.02,2018-11-10 12:20:15
"Chennai India, Eurasia",7641km,7641,156.74ms,156.74,48.98%,48.98,154.81ms,154.81,165.62ms,165.62,2.65ms,2.65,2018-11-10 12:20:15
"Chicago United States, North America",7008km,7008,103.88ms,103.88,68.04%,68.04,101.67ms,101.67,107.56ms,107.56,1.74ms,1.74,2018-11-10 12:20:15
"Chisinau Moldova, Eurasia",1586km,1586,63.45ms,63.45,25.17%,25.17,57.15ms,57.15,94.94ms,94.94,9.53ms,9.53,2018-11-10 12:20:15
"Christchurch New Zealand, Oceania",18724km,18724,282.05ms,282.05,66.40%,66.4,279.73ms,279.73,289.37ms,289.37,2.38ms,2.38,2018-11-10 12:20:15
"Cincinnati United States, North America",7017km,7017,112.37ms,112.37,62.65%,62.65,109.50ms,109.5,120.67ms,120.67,2.93ms,2.93,2018-11-10 12:20:15
"Cleveland United States, North America",6625km,6625,120.61ms,120.61,55.21%,55.21,116.84ms,116.84,138.86ms,138.86,5.13ms,5.13,2018-11-10 12:20:15
"Colorado Springs United States, North America",8248km,8248,156.42ms,156.42,52.87%,52.87,154.26ms,154.26,167.12ms,167.12,3.20ms,3.2,2018-11-10 12:20:15
"Columbus United States, North America",6856km,6856,107.54ms,107.54,64.07%,64.07,105.41ms,105.41,111.39ms,111.39,1.77ms,1.77,2018-11-10 12:20:15
"Copenhagen Denmark, Eurasia",855km,855,24.55ms,24.55,35.62%,35.62,22.67ms,22.67,29.83ms,29.83,2.04ms,2.04,2018-11-10 12:20:15
"Coventry United Kingdom, Eurasia",781km,781,17.65ms,17.65,45.94%,45.94,16.66ms,16.66,23.19ms,23.19,1.54ms,1.54,2018-11-10 12:20:15
