City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",1163km,1163,19.76ms,19.76,61.21%,61.21,19.32ms,19.32,21.11ms,21.11,0.36ms,0.36,2018-11-10 12:22:27
"Albany United States, North America",16023km,16023,311.83ms,311.83,51.52%,51.52,248.19ms,248.19,386.70ms,386.7,36.17ms,36.17,2018-11-10 12:22:27
"Alblasserdam Netherlands, Eurasia",16685km,16685,322.04ms,322.04,51.82%,51.82,321.64ms,321.64,324.67ms,324.67,0.64ms,0.64,2018-11-10 12:22:27
"Albuquerque United States, North America",13084km,13084,222.97ms,222.97,58.94%,58.94,217.79ms,217.79,265.64ms,265.64,13.13ms,13.13,2018-11-10 12:22:27
"Algiers Algeria, Africa",17125km,17125,320.99ms,320.99,53.52%,53.52,319.74ms,319.74,330.13ms,330.13,1.97ms,1.97,2018-11-10 12:22:27
"Amsterdam Netherlands, Eurasia",16663km,16663,323.50ms,323.5,51.59%,51.59,322.70ms,322.7,338.56ms,338.56,2.86ms,2.86,2018-11-10 12:22:27
"Anchorage United States, North America",11831km,11831,209.01ms,209.01,56.61%,56.61,208.29ms,208.29,218.72ms,218.72,1.87ms,1.87,2018-11-10 12:22:27
"Ankara Turkey, Eurasia",14603km,14603,316.04ms,316.04,46.21%,46.21,315.26ms,315.26,320.92ms,320.92,1.32ms,1.32,2018-11-10 12:22:27
"Antwerp Belgium, Eurasia",16730km,16730,278.41ms,278.41,60.18%,60.18,278.18ms,278.18,278.96ms,278.96,0.63ms,0.63,2018-11-10 12:22:27
"Arezzo Italy, Eurasia",16371km,16371,281.21ms,281.21,58.26%,58.26,281.02ms,281.02,281.63ms,281.63,0.31ms,0.31,2018-11-10 12:22:27
"Asheville United States, North America",15165km,15165,202.85ms,202.85,75.07%,75.07,202.58ms,202.58,203.22ms,203.22,0.39ms,0.39,2018-11-10 12:22:27
"Athens Greece, Eurasia",15331km,15331,338.73ms,338.73,45.36%,45.36,337.93ms,337.93,342.35ms,342.35,1.28ms,1.28,2018-11-10 12:22:27
"Atlanta United States, North America",14949km,14949,233.16ms,233.16,64.16%,64.16,232.78ms,232.78,234.57ms,234.57,0.46ms,0.46,2018-11-10 12:22:27
"Auckland New Zealand, Oceania",2154km,2154,24.39ms,24.39,89.75%,89.75,23.84ms,23.84,29.28ms,29.28,1.09ms,1.09,2018-11-10 12:22:27
"Austin United States, North America",13632km,13632,197.01ms,197.01,69.20%,69.2,182.89ms,182.89,256.52ms,256.52,17.99ms,17.99,2018-11-10 12:22:27
"Baltimore United States, North America",15756km,15756,294.33ms,294.33,53.59%,53.59,293.57ms,293.57,300.39ms,300.39,1.41ms,1.41,2018-11-10 12:22:27
"Bangalore India, Eurasia",9351km,9351,132.50ms,132.5,70.84%,70.84,132.22ms,132.22,133.06ms,133.06,0.39ms,0.39,2018-11-10 12:22:27
"Bangkok Thailand, Eurasia",7539km,7539,167.30ms,167.3,45.14%,45.14,165.24ms,165.24,188.54ms,188.54,5.07ms,5.07,2018-11-10 12:22:27
"Barcelona Spain, Eurasia",17185km,17185,341.40ms,341.4,50.40%,50.4,340.53ms,340.53,355.67ms,355.67,2.70ms,2.7,2018-11-10 12:22:27
"Basel Switzerland, Eurasia",16637km,16637,304.32ms,304.32,54.73%,54.73,304.00ms,304.0,305.41ms,305.41,0.29ms,0.29,2018-11-10 12:22:27
"Belfast United Kingdom, Eurasia",17109km,17109,383.87ms,383.87,44.67%,44.67,378.87ms,378.87,394.63ms,394.63,4.38ms,4.38,2018-11-10 12:22:27
"Bergen Norway, Eurasia",16183km,16183,303.73ms,303.73,53.41%,53.41,303.41ms,303.41,305.59ms,305.59,0.77ms,0.77,2018-11-10 12:22:27
"Berkeley Springs United States, North America",15624km,15624,211.88ms,211.88,74.05%,74.05,211.64ms,211.64,212.33ms,212.33,0.49ms,0.49,2018-11-10 12:22:27
"Bern Switzerland, Eurasia",16663km,16663,346.62ms,346.62,48.16%,48.16,346.26ms,346.26,347.83ms,347.83,0.63ms,0.63,2018-11-10 12:22:27
"Bogota Colombia, South America",14329km,14329,307.19ms,307.19,46.67%,46.67,306.83ms,306.83,309.27ms,309.27,0.83ms,0.83,2018-11-10 12:22:27
"Boston United States, North America",16244km,16244,216.79ms,216.79,75.20%,75.2,216.41ms,216.41,220.07ms,220.07,0.79ms,0.79,2018-11-10 12:22:27
"Brasilia Brazil, South America",14137km,14137,365.67ms,365.67,38.73%,38.73,364.14ms,364.14,373.93ms,373.93,2.37ms,2.37,2018-11-10 12:22:27
"Bratislava Slovakia, Eurasia",15926km,15926,294.69ms,294.69,54.17%,54.17,294.12ms,294.12,305.31ms,305.31,1.99ms,1.99,2018-11-10 12:22:27
"Brisbane Australia, Oceania",733km,733,12.34ms,12.34,61.08%,61.08,12.22ms,12.22,12.55ms,12.55,0.09ms,0.09,2018-11-10 12:22:27
"Bristol United Kingdom, Eurasia",17147km,17147,323.91ms,323.91,53.09%,53.09,322.96ms,322.96,331.91ms,331.91,1.83ms,1.83,2018-11-10 12:22:27
"Brno Czech Republic, Eurasia",15949km,15949,290.33ms,290.33,55.00%,55.0,289.88ms,289.88,294.84ms,294.84,1.20ms,1.2,2018-11-10 12:22:27
"Bruges Belgium, Eurasia",16804km,16804,288.28ms,288.28,58.35%,58.35,286.75ms,286.75,299.85ms,299.85,3.61ms,3.61,2018-11-10 12:22:27
"Brunswick United States, North America",16328km,16328,214.00ms,214.0,76.66%,76.66,213.73ms,213.73,214.62ms,214.62,0.52ms,0.52,2018-11-10 12:22:27
"Brussels Belgium, Eurasia",16749km,16749,328.20ms,328.2,51.06%,51.06,327.46ms,327.46,341.19ms,341.19,2.54ms,2.54,2018-11-10 12:22:27
"Bucharest Romania, Eurasia",15235km,15235,403.92ms,403.92,37.80%,37.8,401.87ms,401.87,423.52ms,423.52,5.11ms,5.11,2018-11-10 12:22:27
"Budapest Hungary, Eurasia",15787km,15787,289.90ms,289.9,54.63%,54.63,289.19ms,289.19,292.89ms,292.89,0.75ms,0.75,2018-11-10 12:22:27
"Buenos Aires Argentina, South America",11804km,11804,410.89ms,410.89,28.79%,28.79,406.63ms,406.63,444.48ms,444.48,7.15ms,7.15,2018-11-10 12:22:27
"Buffalo United States, North America",15607km,15607,216.82ms,216.82,72.25%,72.25,213.85ms,213.85,241.93ms,241.93,5.78ms,5.78,2018-11-10 12:22:27
"Bursa Turkey, Eurasia",14927km,14927,315.16ms,315.16,47.39%,47.39,314.50ms,314.5,319.01ms,319.01,1.12ms,1.12,2018-11-10 12:22:27
"Cairo Egypt, Africa",14421km,14421,336.79ms,336.79,42.92%,42.92,331.80ms,331.8,358.18ms,358.18,6.15ms,6.15,2018-11-10 12:22:27
"Calgary Canada, North America",13174km,13174,187.06ms,187.06,70.45%,70.45,184.74ms,184.74,209.58ms,209.58,4.55ms,4.55,2018-11-10 12:22:27
"Canberra Australia, Oceania",249km,249,6.07ms,6.07,41.50%,41.5,5.07ms,5.07,11.40ms,11.4,1.43ms,1.43,2018-11-10 12:22:27
"Cape Town South Africa, Africa",11010km,11010,500.16ms,500.16,22.02%,22.02,499.80ms,499.8,501.79ms,501.79,0.77ms,0.77,2018-11-10 12:22:27
"Caracas Venezuela, South America",15355km,15355,289.34ms,289.34,53.13%,53.13,287.74ms,287.74,300.86ms,300.86,2.85ms,2.85,2018-11-10 12:22:27
"Cardiff United Kingdom, Eurasia",17180km,17180,323.93ms,323.93,53.19%,53.19,322.77ms,322.77,328.93ms,328.93,1.25ms,1.25,2018-11-10 12:22:27
"Carlow Ireland, Eurasia",17290km,17290,279.77ms,279.77,61.97%,61.97,279.04ms,279.04,281.92ms,281.92,0.87ms,0.87,2018-11-10 12:22:27
"Charlotte United States, North America",15305km,15305,233.98ms,233.98,65.69%,65.69,233.49ms,233.49,236.84ms,236.84,0.80ms,0.8,2018-11-10 12:22:27
"Cheltenham United Kingdom, Eurasia",17091km,17091,286.14ms,286.14,59.76%,59.76,285.97ms,285.97,286.81ms,286.81,0.45ms,0.45,2018-11-10 12:22:27
"Chennai India, Eurasia",9127km,9127,278.06ms,278.06,32.83%,32.83,277.34ms,277.34,281.42ms,281.42,0.90ms,0.9,2018-11-10 12:22:28
"Chicago United States, North America",14877km,14877,240.55ms,240.55,61.99%,61.99,239.75ms,239.75,250.87ms,250.87,2.08ms,2.08,2018-11-10 12:22:28
"Chisinau Moldova, Eurasia",15042km,15042,403.11ms,403.11,37.33%,37.33,402.69ms,402.69,405.56ms,405.56,0.83ms,0.83,2018-11-10 12:22:28
"Christchurch New Zealand, Oceania",2134km,2134,39.76ms,39.76,54.72%,54.72,39.38ms,39.38,42.47ms,42.47,0.63ms,0.63,2018-11-10 12:22:28
"Cincinnati United States, North America",15081km,15081,291.93ms,291.93,51.82%,51.82,291.64ms,291.64,293.44ms,293.44,0.84ms,0.84,2018-11-10 12:22:28
"Cleveland United States, North America",15392km,15392,202.58ms,202.58,76.20%,76.2,202.13ms,202.13,204.64ms,204.64,0.71ms,0.71,2018-11-10 12:22:28
"Colorado Springs United States, North America",13391km,13391,216.66ms,216.66,62.00%,62.0,215.76ms,215.76,226.83ms,226.83,2.10ms,2.1,2018-11-10 12:22:28
"Columbus United States, North America",15226km,15226,220.07ms,220.07,69.21%,69.21,217.38ms,217.38,240.87ms,240.87,5.02ms,5.02,2018-11-10 12:22:28
"Copenhagen Denmark, Eurasia",16045km,16045,285.46ms,285.46,56.30%,56.3,284.89ms,284.89,290.70ms,290.7,1.17ms,1.17,2018-11-10 12:22:28
"Coventry United Kingdom, Eurasia",17028km,17028,285.11ms,285.11,59.75%,59.75,284.44ms,284.44,289.49ms,289.49,1.11ms,1.11,2018-11-10 12:22:28
"Cromwell United States, North America",16112km,16112,216.83ms,216.83,74.59%,74.59,216.47ms,216.47,217.65ms,217.65,0.65ms,0.65,2018-11-10 12:22:28
"Dagupan Philippines, Eurasia",6442km,6442,130.80ms,130.8,49.55%,49.55,130.43ms,130.43,132.47ms,132.47,0.64ms,0.64,2018-11-10 12:22:28
"Dallas United States, North America",13822km,13822,177.24ms,177.24,78.09%,78.09,176.83ms,176.83,178.55ms,178.55,0.49ms,0.49,2018-11-10 12:22:28
"Dar es Salaam Tanzania, Africa",11567km,11567,418.71ms,418.71,27.67%,27.67,417.06ms,417.06,456.35ms,456.35,7.05ms,7.05,2018-11-10 12:22:28
"Denver United States, North America",13410km,13410,171.08ms,171.08,78.42%,78.42,170.93ms,170.93,171.34ms,171.34,0.44ms,0.44,2018-11-10 12:22:28
"Des Moines United States, North America",14387km,14387,254.74ms,254.74,56.64%,56.64,254.32ms,254.32,257.45ms,257.45,0.87ms,0.87,2018-11-10 12:22:28
"Detroit United States, North America",15261km,15261,199.90ms,199.9,76.69%,76.69,199.67ms,199.67,201.98ms,201.98,0.68ms,0.68,2018-11-10 12:22:28
"Dhaka Bangladesh, Eurasia",9073km,9073,157.20ms,157.2,57.79%,57.79,156.50ms,156.5,160.58ms,160.58,0.93ms,0.93,2018-11-10 12:22:28
"Dronten Netherlands, Eurasia",16590km,16590,324.98ms,324.98,51.20%,51.2,324.25ms,324.25,327.81ms,327.81,0.93ms,0.93,2018-11-10 12:22:28
"Dubai United Arab Emirates, Eurasia",12033km,12033,187.63ms,187.63,64.35%,64.35,187.24ms,187.24,189.09ms,189.09,0.50ms,0.5,2018-11-10 12:22:28
"Dublin Ireland, Eurasia",17219km,17219,341.86ms,341.86,50.50%,50.5,324.73ms,324.73,474.69ms,474.69,34.03ms,34.03,2018-11-10 12:22:28
"Dusseldorf Germany, Eurasia",16575km,16575,334.07ms,334.07,49.63%,49.63,333.87ms,333.87,334.36ms,334.36,0.69ms,0.69,2018-11-10 12:22:28
"Edinburgh United Kingdom, Eurasia",16879km,16879,356.39ms,356.39,47.41%,47.41,356.16ms,356.16,357.09ms,357.09,0.29ms,0.29,2018-11-10 12:22:28
"Edmonton Canada, North America",13296km,13296,258.03ms,258.03,51.53%,51.53,257.79ms,257.79,259.19ms,259.19,0.66ms,0.66,2018-11-10 12:22:28
"Eindhoven Netherlands, Eurasia",16652km,16652,286.13ms,286.13,58.22%,58.22,285.95ms,285.95,286.93ms,286.93,0.66ms,0.66,2018-11-10 12:22:28
"Falkenstein Germany, Eurasia",16224km,16224,278.38ms,278.38,58.36%,58.36,278.13ms,278.13,279.62ms,279.62,0.73ms,0.73,2018-11-10 12:22:28
