City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16077km,16077,237.37ms,237.37,67.84%,67.84,237.21ms,237.21,237.86ms,237.86,0.59ms,0.59,2018-11-10 12:18:39
"Albany United States, North America",1823km,1823,95.98ms,95.98,19.19%,19.19,31.78ms,31.78,169.08ms,169.08,42.79ms,42.79,2018-11-10 12:18:39
"Alblasserdam Netherlands, Eurasia",7414km,7414,110.34ms,110.34,67.40%,67.4,110.11ms,110.11,112.63ms,112.63,0.56ms,0.56,2018-11-10 12:18:39
"Albuquerque United States, North America",2416km,2416,54.98ms,54.98,44.74%,44.74,49.08ms,49.08,101.81ms,101.81,12.25ms,12.25,2018-11-10 12:18:39
"Algiers Algeria, Africa",7828km,7828,138.84ms,138.84,56.72%,56.72,138.47ms,138.47,139.15ms,139.15,0.34ms,0.34,2018-11-10 12:18:39
"Amsterdam Netherlands, Eurasia",7404km,7404,116.07ms,116.07,63.83%,63.83,115.88ms,115.88,117.40ms,117.4,0.49ms,0.49,2018-11-10 12:18:39
"Anchorage United States, North America",6114km,6114,98.58ms,98.58,62.39%,62.39,98.18ms,98.18,99.38ms,99.38,0.44ms,0.44,2018-11-10 12:18:39
"Ankara Turkey, Eurasia",9939km,9939,154.61ms,154.61,64.54%,64.54,154.19ms,154.19,156.78ms,156.78,0.66ms,0.66,2018-11-10 12:18:39
"Antwerp Belgium, Eurasia",7418km,7418,116.62ms,116.62,63.95%,63.95,116.45ms,116.45,116.79ms,116.79,0.26ms,0.26,2018-11-10 12:18:39
"Arezzo Italy, Eurasia",8241km,8241,135.58ms,135.58,61.04%,61.04,135.27ms,135.27,138.09ms,138.09,0.78ms,0.78,2018-11-10 12:18:39
"Asheville United States, North America",851km,851,22.16ms,22.16,38.68%,38.68,22.07ms,22.07,22.27ms,22.27,0.21ms,0.21,2018-11-10 12:18:39
"Athens Greece, Eurasia",9408km,9408,160.51ms,160.51,58.80%,58.8,160.33ms,160.33,160.76ms,160.76,0.40ms,0.4,2018-11-10 12:18:39
"Atlanta United States, North America",671km,671,17.49ms,17.49,39.47%,39.47,17.36ms,17.36,18.18ms,18.18,0.19ms,0.19,2018-11-10 12:18:39
"Auckland New Zealand, Oceania",12897km,12897,247.51ms,247.51,52.21%,52.21,247.22ms,247.22,247.84ms,247.84,0.68ms,0.68,2018-11-10 12:18:39
"Austin United States, North America",1506km,1506,42.75ms,42.75,35.86%,35.86,32.83ms,32.83,78.68ms,78.68,9.85ms,9.85,2018-11-10 12:18:39
"Baltimore United States, North America",1371km,1371,32.20ms,32.2,42.84%,42.84,31.95ms,31.95,33.41ms,33.41,0.42ms,0.42,2018-11-10 12:18:39
"Bangalore India, Eurasia",14987km,14987,260.48ms,260.48,57.64%,57.64,260.38ms,260.38,260.57ms,260.57,0.50ms,0.5,2018-11-10 12:18:40
"Bangkok Thailand, Eurasia",15372km,15372,248.99ms,248.99,61.98%,61.98,246.22ms,246.22,289.57ms,289.57,7.91ms,7.91,2018-11-10 12:18:40
"Barcelona Spain, Eurasia",7582km,7582,141.71ms,141.71,53.77%,53.77,141.51ms,141.51,142.00ms,142.0,0.37ms,0.37,2018-11-10 12:18:40
"Basel Switzerland, Eurasia",7763km,7763,130.82ms,130.82,59.72%,59.72,130.69ms,130.69,131.08ms,131.08,0.13ms,0.13,2018-11-10 12:18:40
"Belfast United Kingdom, Eurasia",6664km,6664,100.78ms,100.78,66.64%,66.64,100.57ms,100.57,101.00ms,101.0,0.17ms,0.17,2018-11-10 12:18:40
"Bergen Norway, Eurasia",7218km,7218,150.64ms,150.64,48.12%,48.12,150.30ms,150.3,151.67ms,151.67,0.52ms,0.52,2018-11-10 12:18:40
"Berkeley Springs United States, North America",1356km,1356,30.93ms,30.93,45.20%,45.2,30.80ms,30.8,31.11ms,31.11,0.24ms,0.24,2018-11-10 12:18:40
