City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",12780km,12780,418.62ms,418.62,30.57%,30.57,418.04ms,418.04,420.10ms,420.1,0.80ms,0.8,2018-11-10 12:21:15
"Albany United States, North America",8796km,8796,220.33ms,220.33,39.98%,39.98,150.76ms,150.76,279.77ms,279.77,37.87ms,37.87,2018-11-10 12:21:15
"Alblasserdam Netherlands, Eurasia",3212km,3212,74.27ms,74.27,43.41%,43.41,73.99ms,73.99,74.74ms,74.74,0.43ms,0.43,2018-11-10 12:21:15
"Albuquerque United States, North America",10993km,10993,209.36ms,209.36,52.60%,52.6,205.37ms,205.37,256.45ms,256.45,11.68ms,11.68,2018-11-10 12:21:15
"Algiers Algeria, Africa",3604km,3604,102.47ms,102.47,35.33%,35.33,101.72ms,101.72,104.28ms,104.28,0.53ms,0.53,2018-11-10 12:21:15
"Amsterdam Netherlands, Eurasia",3213km,3213,78.04ms,78.04,41.19%,41.19,77.84ms,77.84,78.74ms,78.74,0.33ms,0.33,2018-11-10 12:21:15
"Anchorage United States, North America",8494km,8494,228.26ms,228.26,37.25%,37.25,227.89ms,227.89,230.73ms,230.73,0.79ms,0.79,2018-11-10 12:21:15
"Ankara Turkey, Eurasia",1025km,1025,121.17ms,121.17,8.47%,8.47,120.66ms,120.66,124.39ms,124.39,0.73ms,0.73,2018-11-10 12:21:15
"Antwerp Belgium, Eurasia",3225km,3225,76.41ms,76.41,42.43%,42.43,76.24ms,76.24,76.89ms,76.89,0.26ms,0.26,2018-11-10 12:21:15
"Arezzo Italy, Eurasia",2688km,2688,91.56ms,91.56,29.54%,29.54,91.07ms,91.07,99.40ms,99.4,1.51ms,1.51,2018-11-10 12:21:15
"Asheville United States, North America",9890km,9890,178.76ms,178.76,55.56%,55.56,178.56ms,178.56,179.22ms,179.22,0.59ms,0.59,2018-11-10 12:21:15
"Athens Greece, Eurasia",1845km,1845,46.91ms,46.91,40.11%,40.11,46.64ms,46.64,47.83ms,47.83,0.30ms,0.3,2018-11-10 12:21:15
"Atlanta United States, North America",10155km,10155,168.79ms,168.79,60.45%,60.45,168.58ms,168.58,169.55ms,169.55,0.52ms,0.52,2018-11-10 12:21:16
"Auckland New Zealand, Oceania",15735km,15735,336.76ms,336.76,46.83%,46.83,336.39ms,336.39,339.15ms,339.15,0.87ms,0.87,2018-11-10 12:21:16
"Austin United States, North America",11143km,11143,196.68ms,196.68,56.85%,56.85,186.33ms,186.33,234.74ms,234.74,9.72ms,9.72,2018-11-10 12:21:16
"Baltimore United States, North America",9244km,9244,160.41ms,160.41,57.77%,57.77,159.90ms,159.9,161.66ms,161.66,0.63ms,0.63,2018-11-10 12:21:16
"Bangalore India, Eurasia",4498km,4498,201.45ms,201.45,22.38%,22.38,201.22ms,201.22,201.97ms,201.97,0.57ms,0.57,2018-11-10 12:21:16
"Bangkok Thailand, Eurasia",6166km,6166,238.52ms,238.52,25.91%,25.91,232.99ms,232.99,282.94ms,282.94,10.86ms,10.86,2018-11-10 12:21:16
"Barcelona Spain, Eurasia",3513km,3513,97.02ms,97.02,36.22%,36.22,96.76ms,96.76,97.77ms,97.77,0.36ms,0.36,2018-11-10 12:21:16
"Basel Switzerland, Eurasia",2987km,2987,78.38ms,78.38,38.29%,38.29,78.03ms,78.03,79.24ms,79.24,0.50ms,0.5,2018-11-10 12:21:16
"Belfast United Kingdom, Eurasia",3928km,3928,93.72ms,93.72,42.24%,42.24,93.45ms,93.45,94.30ms,94.3,0.31ms,0.31,2018-11-10 12:21:16
"Bergen Norway, Eurasia",3372km,3372,96.87ms,96.87,35.12%,35.12,96.36ms,96.36,101.58ms,101.58,0.97ms,0.97,2018-11-10 12:21:16
"Berkeley Springs United States, North America",9302km,9302,163.11ms,163.11,57.07%,57.07,162.88ms,162.88,163.67ms,163.67,0.25ms,0.25,2018-11-10 12:21:16
"Bern Switzerland, Eurasia",3000km,3000,75.77ms,75.77,40.00%,40.0,75.44ms,75.44,76.19ms,76.19,0.26ms,0.26,2018-11-10 12:21:16
"Bogota Colombia, South America",11994km,11994,244.62ms,244.62,49.16%,49.16,244.18ms,244.18,248.38ms,248.38,0.79ms,0.79,2018-11-10 12:21:16
"Boston United States, North America",8678km,8678,168.38ms,168.38,51.65%,51.65,168.05ms,168.05,168.86ms,168.86,0.28ms,0.28,2018-11-10 12:21:16
"Brasilia Brazil, South America",11391km,11391,307.54ms,307.54,37.10%,37.1,304.03ms,304.03,367.94ms,367.94,11.46ms,11.46,2018-11-10 12:21:16
"Bratislava Slovakia, Eurasia",2282km,2282,78.18ms,78.18,29.26%,29.26,77.88ms,77.88,78.87ms,78.87,0.31ms,0.31,2018-11-10 12:21:16
"Brisbane Australia, Oceania",13449km,13449,335.41ms,335.41,40.15%,40.15,335.19ms,335.19,335.84ms,335.84,0.51ms,0.51,2018-11-10 12:21:16
"Bristol United Kingdom, Eurasia",3710km,3710,87.48ms,87.48,42.64%,42.64,87.15ms,87.15,88.21ms,88.21,0.32ms,0.32,2018-11-10 12:21:16
"Brno Czech Republic, Eurasia",2336km,2336,78.41ms,78.41,29.95%,29.95,78.22ms,78.22,78.68ms,78.68,0.27ms,0.27,2018-11-10 12:21:16
"Bruges Belgium, Eurasia",3306km,3306,80.40ms,80.4,41.33%,41.33,80.11ms,80.11,81.39ms,81.39,0.47ms,0.47,2018-11-10 12:21:16
"Brunswick United States, North America",8492km,8492,148.23ms,148.23,57.38%,57.38,147.97ms,147.97,149.66ms,149.66,0.32ms,0.32,2018-11-10 12:21:16
"Brussels Belgium, Eurasia",3226km,3226,78.02ms,78.02,41.36%,41.36,77.78ms,77.78,79.04ms,79.04,0.37ms,0.37,2018-11-10 12:21:16
"Bucharest Romania, Eurasia",1547km,1547,66.06ms,66.06,23.44%,23.44,65.82ms,65.82,67.25ms,67.25,0.31ms,0.31,2018-11-10 12:21:16
