City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13672km,13672,180.41ms,180.41,75.96%,75.96,180.30ms,180.3,180.89ms,180.89,0.56ms,0.56,2018-11-10 12:19:35
"Albany United States, North America",3466km,3466,128.55ms,128.55,27.08%,27.08,69.60ms,69.6,198.94ms,198.94,39.61ms,39.61,2018-11-10 12:19:35
"Alblasserdam Netherlands, Eurasia",8710km,8710,135.59ms,135.59,64.52%,64.52,135.45ms,135.45,137.18ms,137.18,0.44ms,0.44,2018-11-10 12:19:35
"Albuquerque United States, North America",524km,524,53.90ms,53.9,9.89%,9.89,48.49ms,48.49,95.49ms,95.49,13.34ms,13.34,2018-11-10 12:19:35
"Algiers Algeria, Africa",9710km,9710,169.60ms,169.6,57.46%,57.46,169.02ms,169.02,170.23ms,170.23,0.57ms,0.57,2018-11-10 12:19:35
"Amsterdam Netherlands, Eurasia",8681km,8681,139.45ms,139.45,62.45%,62.45,139.31ms,139.31,139.67ms,139.67,0.24ms,0.24,2018-11-10 12:19:35
"Anchorage United States, North America",4104km,4104,68.39ms,68.39,60.35%,60.35,68.19ms,68.19,69.29ms,69.29,0.41ms,0.41,2018-11-10 12:19:35
"Ankara Turkey, Eurasia",11095km,11095,176.38ms,176.38,63.04%,63.04,176.19ms,176.19,176.79ms,176.79,0.26ms,0.26,2018-11-10 12:19:35
"Antwerp Belgium, Eurasia",8743km,8743,134.88ms,134.88,65.25%,65.25,134.13ms,134.13,136.04ms,136.04,0.83ms,0.83,2018-11-10 12:19:35
"Arezzo Italy, Eurasia",9742km,9742,163.42ms,163.42,59.77%,59.77,163.33ms,163.33,163.57ms,163.57,0.56ms,0.56,2018-11-10 12:19:35
"Asheville United States, North America",2694km,2694,60.37ms,60.37,44.90%,44.9,60.29ms,60.29,60.49ms,60.49,0.31ms,0.31,2018-11-10 12:19:35
"Athens Greece, Eurasia",10851km,10851,191.68ms,191.68,56.81%,56.81,191.47ms,191.47,192.85ms,192.85,0.39ms,0.39,2018-11-10 12:19:35
"Atlanta United States, North America",2545km,2545,38.26ms,38.26,66.97%,66.97,37.99ms,37.99,41.82ms,41.82,0.70ms,0.7,2018-11-10 12:19:35
