City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14727km,14727,381.62ms,381.62,38.65%,38.65,380.60ms,380.6,385.26ms,385.26,0.92ms,0.92,2018-11-10 12:20:46
"Albany United States, North America",7291km,7291,179.29ms,179.29,40.73%,40.73,115.37ms,115.37,239.02ms,239.02,35.54ms,35.54,2018-11-10 12:20:46
"Alblasserdam Netherlands, Eurasia",1642km,1642,44.20ms,44.2,37.32%,37.32,43.41ms,43.41,47.05ms,47.05,0.86ms,0.86,2018-11-10 12:20:46
"Albuquerque United States, North America",9914km,9914,171.81ms,171.81,57.98%,57.98,169.03ms,169.03,212.13ms,212.13,7.72ms,7.72,2018-11-10 12:20:46
"Algiers Algeria, Africa",1531km,1531,72.55ms,72.55,21.26%,21.26,71.50ms,71.5,79.57ms,79.57,1.62ms,1.62,2018-11-10 12:20:46
"Amsterdam Netherlands, Eurasia",1670km,1670,47.64ms,47.64,35.53%,35.53,46.91ms,46.91,49.66ms,49.66,0.73ms,0.73,2018-11-10 12:20:46
"Anchorage United States, North America",8577km,8577,203.26ms,203.26,42.25%,42.25,202.41ms,202.41,206.84ms,206.84,1.13ms,1.13,2018-11-10 12:20:47
"Ankara Turkey, Eurasia",1111km,1111,83.90ms,83.9,13.39%,13.39,82.58ms,82.58,90.85ms,90.85,1.75ms,1.75,2018-11-10 12:20:47
"Antwerp Belgium, Eurasia",1611km,1611,46.47ms,46.47,35.02%,35.02,45.87ms,45.87,48.53ms,48.53,0.67ms,0.67,2018-11-10 12:20:47
"Arezzo Italy, Eurasia",694km,694,63.12ms,63.12,11.02%,11.02,61.86ms,61.86,68.59ms,68.59,1.26ms,1.26,2018-11-10 12:20:47
"Asheville United States, North America",8376km,8376,135.63ms,135.63,62.04%,62.04,134.96ms,134.96,137.25ms,137.25,0.63ms,0.63,2018-11-10 12:20:47
"Athens Greece, Eurasia",501km,501,61.85ms,61.85,8.21%,8.21,60.74ms,60.74,66.61ms,66.61,1.41ms,1.41,2018-11-10 12:20:47
"Atlanta United States, North America",8638km,8638,136.95ms,136.95,63.51%,63.51,135.96ms,135.96,139.51ms,139.51,1.00ms,1.0,2018-11-10 12:20:47
"Auckland New Zealand, Oceania",17807km,17807,343.09ms,343.09,51.92%,51.92,341.90ms,341.9,348.80ms,348.8,1.45ms,1.45,2018-11-10 12:20:47
"Austin United States, North America",9803km,9803,168.06ms,168.06,58.35%,58.35,154.51ms,154.51,213.52ms,213.52,13.84ms,13.84,2018-11-10 12:20:47
"Baltimore United States, North America",7711km,7711,122.85ms,122.85,63.20%,63.2,121.16ms,121.16,130.29ms,130.29,2.28ms,2.28,2018-11-10 12:20:47
"Bangalore India, Eurasia",6387km,6387,175.88ms,175.88,36.50%,36.5,175.00ms,175.0,178.60ms,178.6,0.92ms,0.92,2018-11-10 12:20:47
"Bangkok Thailand, Eurasia",8233km,8233,204.96ms,204.96,40.36%,40.36,190.43ms,190.43,261.22ms,261.22,18.43ms,18.43,2018-11-10 12:20:47
"Barcelona Spain, Eurasia",1470km,1470,55.55ms,55.55,26.73%,26.73,54.82ms,54.82,56.84ms,56.84,0.53ms,0.53,2018-11-10 12:20:47
"Basel Switzerland, Eurasia",1190km,1190,37.48ms,37.48,32.16%,32.16,36.71ms,36.71,38.96ms,38.96,0.60ms,0.6,2018-11-10 12:20:47
"Belfast United Kingdom, Eurasia",2396km,2396,65.15ms,65.15,36.86%,36.86,64.58ms,64.58,68.85ms,68.85,0.84ms,0.84,2018-11-10 12:20:47
"Bergen Norway, Eurasia",2338km,2338,62.67ms,62.67,37.71%,37.71,61.38ms,61.38,65.86ms,65.86,1.15ms,1.15,2018-11-10 12:20:47
"Berkeley Springs United States, North America",7797km,7797,142.23ms,142.23,54.91%,54.91,141.06ms,141.06,144.18ms,144.18,0.97ms,0.97,2018-11-10 12:20:47
"Bern Switzerland, Eurasia",1166km,1166,58.50ms,58.5,20.10%,20.1,57.30ms,57.3,60.94ms,60.94,1.17ms,1.17,2018-11-10 12:20:47
"Bogota Colombia, South America",9996km,9996,212.80ms,212.8,47.15%,47.15,210.73ms,210.73,220.55ms,220.55,2.65ms,2.65,2018-11-10 12:20:47
