City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16642km,16642,257.43ms,257.43,64.75%,64.75,253.33ms,253.33,263.36ms,263.36,2.89ms,2.89,2018-11-10 12:18:36
"Albany United States, North America",468km,468,90.04ms,90.04,5.20%,5.2,27.50ms,27.5,163.19ms,163.19,39.32ms,39.32,2018-11-10 12:18:36
"Alblasserdam Netherlands, Eurasia",5995km,5995,90.64ms,90.64,66.61%,66.61,89.81ms,89.81,93.12ms,93.12,1.11ms,1.11,2018-11-10 12:18:36
"Albuquerque United States, North America",2510km,2510,49.34ms,49.34,51.22%,51.22,42.21ms,42.21,101.77ms,101.77,13.03ms,13.03,2018-11-10 12:18:36
"Algiers Algeria, Africa",6753km,6753,123.64ms,123.64,54.90%,54.9,121.92ms,121.92,136.29ms,136.29,3.01ms,3.01,2018-11-10 12:18:36
"Amsterdam Netherlands, Eurasia",5976km,5976,93.90ms,93.9,64.26%,64.26,92.67ms,92.67,105.47ms,105.47,2.33ms,2.33,2018-11-10 12:18:36
"Anchorage United States, North America",4876km,4876,87.29ms,87.29,56.05%,56.05,86.00ms,86.0,96.30ms,96.3,2.32ms,2.32,2018-11-10 12:18:36
"Ankara Turkey, Eurasia",8513km,8513,140.98ms,140.98,60.81%,60.81,140.10ms,140.1,147.82ms,147.82,1.62ms,1.62,2018-11-10 12:18:36
"Antwerp Belgium, Eurasia",6012km,6012,111.02ms,111.02,54.16%,54.16,110.35ms,110.35,114.71ms,114.71,1.18ms,1.18,2018-11-10 12:18:36
"Arezzo Italy, Eurasia",6941km,6941,121.48ms,121.48,57.36%,57.36,114.47ms,114.47,192.62ms,192.62,19.36ms,19.36,2018-11-10 12:18:36
"Asheville United States, North America",934km,934,34.62ms,34.62,27.47%,27.47,31.06ms,31.06,90.33ms,90.33,10.79ms,10.79,2018-11-10 12:18:36
"Athens Greece, Eurasia",8101km,8101,141.02ms,141.02,57.45%,57.45,138.94ms,138.94,152.39ms,152.39,2.95ms,2.95,2018-11-10 12:18:36
"Atlanta United States, North America",1182km,1182,37.43ms,37.43,31.95%,31.95,35.65ms,35.65,49.12ms,49.12,2.85ms,2.85,2018-11-10 12:18:37
"Auckland New Zealand, Oceania",13891km,13891,236.16ms,236.16,58.86%,58.86,234.62ms,234.62,243.22ms,243.22,2.18ms,2.18,2018-11-10 12:18:37
"Austin United States, North America",2199km,2199,59.66ms,59.66,37.27%,37.27,48.67ms,48.67,79.48ms,79.48,10.17ms,10.17,2018-11-10 12:18:37
"Baltimore United States, North America",538km,538,19.59ms,19.59,28.32%,28.32,17.47ms,17.47,27.00ms,27.0,2.68ms,2.68,2018-11-10 12:18:37
"Bangalore India, Eurasia",13304km,13304,228.93ms,228.93,58.35%,58.35,227.29ms,227.29,234.28ms,234.28,2.04ms,2.04,2018-11-10 12:18:37
"Bangkok Thailand, Eurasia",13636km,13636,318.68ms,318.68,42.88%,42.88,305.79ms,305.79,344.99ms,344.99,11.37ms,11.37,2018-11-10 12:18:37
"Barcelona Spain, Eurasia",6406km,6406,111.64ms,111.64,57.71%,57.71,110.58ms,110.58,116.46ms,116.46,1.59ms,1.59,2018-11-10 12:18:37
"Basel Switzerland, Eurasia",6412km,6412,105.66ms,105.66,61.07%,61.07,103.27ms,103.27,116.29ms,116.29,3.53ms,3.53,2018-11-10 12:18:37
"Belfast United Kingdom, Eurasia",5229km,5229,100.56ms,100.56,52.29%,52.29,99.05ms,99.05,108.55ms,108.55,2.23ms,2.23,2018-11-10 12:18:37
"Bergen Norway, Eurasia",5644km,5644,127.41ms,127.41,44.44%,44.44,125.97ms,125.97,134.25ms,134.25,1.87ms,1.87,2018-11-10 12:18:37
"Berkeley Springs United States, North America",457km,457,26.25ms,26.25,17.58%,17.58,25.12ms,25.12,33.08ms,33.08,1.74ms,1.74,2018-11-10 12:18:37
