City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15395km,15395,343.16ms,343.16,44.88%,44.88,342.54ms,342.54,346.50ms,346.5,1.12ms,1.12,2018-11-10 12:20:21
"Albany United States, North America",7038km,7038,177.92ms,177.92,39.76%,39.76,115.08ms,115.08,243.22ms,243.22,34.87ms,34.87,2018-11-10 12:20:21
"Alblasserdam Netherlands, Eurasia",2037km,2037,45.51ms,45.51,45.27%,45.27,45.06ms,45.06,46.62ms,46.62,0.42ms,0.42,2018-11-10 12:20:21
"Albuquerque United States, North America",9873km,9873,160.12ms,160.12,61.71%,61.71,156.25ms,156.25,215.43ms,215.43,13.01ms,13.01,2018-11-10 12:20:21
"Algiers Algeria, Africa",668km,668,22.36ms,22.36,30.36%,30.36,21.76ms,21.76,23.63ms,23.63,0.44ms,0.44,2018-11-10 12:20:21
"Amsterdam Netherlands, Eurasia",2084km,2084,59.54ms,59.54,35.32%,35.32,58.87ms,58.87,69.40ms,69.4,1.87ms,1.87,2018-11-10 12:20:21
"Anchorage United States, North America",9279km,9279,206.30ms,206.3,45.04%,45.04,205.63ms,205.63,210.37ms,210.37,1.15ms,1.15,2018-11-10 12:20:22
"Ankara Turkey, Eurasia",2173km,2173,72.77ms,72.77,30.18%,30.18,72.04ms,72.04,76.92ms,76.92,1.15ms,1.15,2018-11-10 12:20:22
"Antwerp Belgium, Eurasia",1971km,1971,49.78ms,49.78,40.22%,40.22,48.99ms,48.99,53.17ms,53.17,1.06ms,1.06,2018-11-10 12:20:22
"Arezzo Italy, Eurasia",1085km,1085,32.01ms,32.01,33.91%,33.91,31.77ms,31.77,33.03ms,33.03,0.29ms,0.29,2018-11-10 12:20:22
"Asheville United States, North America",8069km,8069,119.65ms,119.65,67.81%,67.81,119.16ms,119.16,126.95ms,126.95,1.41ms,1.41,2018-11-10 12:20:22
"Athens Greece, Eurasia",1353km,1353,79.75ms,79.75,17.13%,17.13,78.91ms,78.91,84.32ms,84.32,1.14ms,1.14,2018-11-10 12:20:22
"Atlanta United States, North America",8317km,8317,135.49ms,135.49,61.61%,61.61,135.06ms,135.06,137.59ms,137.59,0.74ms,0.74,2018-11-10 12:20:22
"Auckland New Zealand, Oceania",18640km,18640,282.36ms,282.36,66.10%,66.1,280.34ms,280.34,308.46ms,308.46,5.30ms,5.3,2018-11-10 12:20:22
"Austin United States, North America",9578km,9578,157.72ms,157.72,61.01%,61.01,141.29ms,141.29,222.28ms,222.28,21.29ms,21.29,2018-11-10 12:20:22
