City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15383km,15383,368.54ms,368.54,41.80%,41.8,367.83ms,367.83,371.19ms,371.19,0.79ms,0.79,2018-11-10 12:20:13
"Albany United States, North America",6535km,6535,167.85ms,167.85,39.13%,39.13,100.48ms,100.48,250.25ms,250.25,38.30ms,38.3,2018-11-10 12:20:13
"Alblasserdam Netherlands, Eurasia",898km,898,31.04ms,31.04,28.97%,28.97,30.52ms,30.52,37.00ms,37.0,1.16ms,1.16,2018-11-10 12:20:13
"Albuquerque United States, North America",9160km,9160,156.08ms,156.08,58.72%,58.72,151.95ms,151.95,201.07ms,201.07,9.30ms,9.3,2018-11-10 12:20:13
"Algiers Algeria, Africa",1267km,1267,43.21ms,43.21,29.47%,29.47,42.28ms,42.28,49.73ms,49.73,1.47ms,1.47,2018-11-10 12:20:13
"Amsterdam Netherlands, Eurasia",932km,932,35.98ms,35.98,26.63%,26.63,35.54ms,35.54,38.22ms,38.22,0.62ms,0.62,2018-11-10 12:20:13
"Anchorage United States, North America",8027km,8027,197.70ms,197.7,40.75%,40.75,196.84ms,196.84,201.31ms,201.31,1.36ms,1.36,2018-11-10 12:20:13
"Ankara Turkey, Eurasia",1771km,1771,50.79ms,50.79,35.42%,35.42,49.98ms,49.98,55.99ms,55.99,1.27ms,1.27,2018-11-10 12:20:13
"Antwerp Belgium, Eurasia",860km,860,39.54ms,39.54,22.05%,22.05,36.79ms,36.79,61.91ms,61.91,4.89ms,4.89,2018-11-10 12:20:13
"Arezzo Italy, Eurasia",249km,249,16.70ms,16.7,15.56%,15.56,15.48ms,15.48,22.02ms,22.02,1.73ms,1.73,2018-11-10 12:20:13
"Asheville United States, North America",7622km,7622,120.77ms,120.77,63.52%,63.52,120.01ms,120.01,128.59ms,128.59,1.62ms,1.62,2018-11-10 12:20:13
"Athens Greece, Eurasia",1259km,1259,59.04ms,59.04,21.34%,21.34,58.36ms,58.36,64.44ms,64.44,1.19ms,1.19,2018-11-10 12:20:13
"Atlanta United States, North America",7885km,7885,117.82ms,117.82,67.39%,67.39,117.11ms,117.11,121.69ms,121.69,1.13ms,1.13,2018-11-10 12:20:13
"Auckland New Zealand, Oceania",18244km,18244,325.26ms,325.26,56.14%,56.14,324.43ms,324.43,331.10ms,331.1,1.60ms,1.6,2018-11-10 12:20:13
"Austin United States, North America",9043km,9043,147.98ms,147.98,61.52%,61.52,134.88ms,134.88,192.60ms,192.6,13.14ms,13.14,2018-11-10 12:20:13
"Baltimore United States, North America",6957km,6957,107.65ms,107.65,65.02%,65.02,106.53ms,106.53,113.32ms,113.32,1.50ms,1.5,2018-11-10 12:20:13
"Bangalore India, Eurasia",7052km,7052,141.46ms,141.46,50.01%,50.01,140.35ms,140.35,149.86ms,149.86,2.36ms,2.36,2018-11-10 12:20:13
"Bangkok Thailand, Eurasia",8764km,8764,365.99ms,365.99,24.01%,24.01,361.46ms,361.46,399.69ms,399.69,7.52ms,7.52,2018-11-10 12:20:13
"Barcelona Spain, Eurasia",960km,960,24.80ms,24.8,40.00%,40.0,24.30ms,24.3,30.24ms,30.24,1.05ms,1.05,2018-11-10 12:20:13
"Basel Switzerland, Eurasia",432km,432,13.69ms,13.69,33.23%,33.23,13.31ms,13.31,15.74ms,15.74,0.57ms,0.57,2018-11-10 12:20:13
"Belfast United Kingdom, Eurasia",1640km,1640,47.47ms,47.47,34.89%,34.89,47.09ms,47.09,49.62ms,49.62,0.59ms,0.59,2018-11-10 12:20:13
"Bergen Norway, Eurasia",1703km,1703,60.19ms,60.19,28.38%,28.38,58.73ms,58.73,66.05ms,66.05,1.87ms,1.87,2018-11-10 12:20:13
"Berkeley Springs United States, North America",7042km,7042,128.29ms,128.29,55.02%,55.02,127.94ms,127.94,130.08ms,130.08,0.60ms,0.6,2018-11-10 12:20:13
"Bern Switzerland, Eurasia",415km,415,23.30ms,23.3,18.04%,18.04,21.30ms,21.3,35.44ms,35.44,3.43ms,3.43,2018-11-10 12:20:13
"Bogota Colombia, South America",9381km,9381,195.13ms,195.13,48.11%,48.11,193.24ms,193.24,203.79ms,203.79,2.78ms,2.78,2018-11-10 12:20:13
"Boston United States, North America",6378km,6378,97.59ms,97.59,65.75%,65.75,97.12ms,97.12,101.02ms,101.02,0.97ms,0.97,2018-11-10 12:20:13
"Brasilia Brazil, South America",9132km,9132,246.24ms,246.24,37.12%,37.12,245.21ms,245.21,254.75ms,254.75,2.07ms,2.07,2018-11-10 12:20:13
"Bratislava Slovakia, Eurasia",443km,443,29.55ms,29.55,15.28%,15.28,28.42ms,28.42,37.18ms,37.18,2.25ms,2.25,2018-11-10 12:20:13
"Brisbane Australia, Oceania",16009km,16009,316.23ms,316.23,50.66%,50.66,315.52ms,315.52,320.21ms,320.21,1.17ms,1.17,2018-11-10 12:20:13
"Bristol United Kingdom, Eurasia",1282km,1282,38.88ms,38.88,33.74%,33.74,37.83ms,37.83,45.84ms,45.84,1.74ms,1.74,2018-11-10 12:20:13
"Brno Czech Republic, Eurasia",498km,498,42.45ms,42.45,11.86%,11.86,40.88ms,40.88,55.17ms,55.17,3.48ms,3.48,2018-11-10 12:20:13
"Bruges Belgium, Eurasia",921km,921,40.13ms,40.13,23.02%,23.02,39.26ms,39.26,47.50ms,47.5,1.50ms,1.5,2018-11-10 12:20:13
"Brunswick United States, North America",6208km,6208,102.47ms,102.47,60.86%,60.86,101.64ms,101.64,108.40ms,108.4,1.39ms,1.39,2018-11-10 12:20:13
"Brussels Belgium, Eurasia",835km,835,33.52ms,33.52,25.30%,25.3,32.47ms,32.47,41.35ms,41.35,1.69ms,1.69,2018-11-10 12:20:13
"Bucharest Romania, Eurasia",1073km,1073,40.24ms,40.24,26.82%,26.82,39.06ms,39.06,47.01ms,47.01,1.88ms,1.88,2018-11-10 12:20:13
"Budapest Hungary, Eurasia",538km,538,41.83ms,41.83,13.12%,13.12,40.76ms,40.76,46.03ms,46.03,1.00ms,1.0,2018-11-10 12:20:13
"Buenos Aires Argentina, South America",11411km,11411,256.27ms,256.27,44.57%,44.57,252.19ms,252.19,283.02ms,283.02,6.28ms,6.28,2018-11-10 12:20:13
"Buffalo United States, North America",6862km,6862,135.60ms,135.6,50.83%,50.83,132.70ms,132.7,145.74ms,145.74,2.95ms,2.95,2018-11-10 12:20:13
"Bursa Turkey, Eurasia",1473km,1473,66.67ms,66.67,22.32%,22.32,65.89ms,65.89,74.42ms,74.42,1.55ms,1.55,2018-11-10 12:20:13
"Cairo Egypt, Africa",2377km,2377,59.78ms,59.78,40.29%,40.29,53.57ms,53.57,76.36ms,76.36,4.91ms,4.91,2018-11-10 12:20:13
"Calgary Canada, North America",8106km,8106,184.21ms,184.21,44.05%,44.05,182.57ms,182.57,191.18ms,191.18,2.10ms,2.1,2018-11-10 12:20:13
"Canberra Australia, Oceania",16223km,16223,345.19ms,345.19,47.02%,47.02,344.12ms,344.12,349.21ms,349.21,1.39ms,1.39,2018-11-10 12:20:13
"Cape Town South Africa, Africa",8878km,8878,172.63ms,172.63,51.62%,51.62,171.85ms,171.85,180.17ms,180.17,1.61ms,1.61,2018-11-10 12:20:13
"Caracas Venezuela, South America",8360km,8360,183.74ms,183.74,45.68%,45.68,182.54ms,182.54,189.33ms,189.33,1.34ms,1.34,2018-11-10 12:20:13
"Cardiff United Kingdom, Eurasia",1321km,1321,39.99ms,39.99,33.87%,33.87,39.02ms,39.02,44.84ms,44.84,1.30ms,1.3,2018-11-10 12:20:13
"Carlow Ireland, Eurasia",1615km,1615,50.82ms,50.82,32.30%,32.3,49.48ms,49.48,59.67ms,59.67,2.04ms,2.04,2018-11-10 12:20:13
"Charlotte United States, North America",7533km,7533,124.80ms,124.8,60.75%,60.75,124.23ms,124.23,127.82ms,127.82,0.83ms,0.83,2018-11-10 12:20:13
"Cheltenham United Kingdom, Eurasia",1272km,1272,38.52ms,38.52,33.47%,33.47,37.92ms,37.92,41.20ms,41.2,0.83ms,0.83,2018-11-10 12:20:13
"Chennai India, Eurasia",7249km,7249,156.85ms,156.85,46.47%,46.47,156.52ms,156.52,157.73ms,157.73,0.44ms,0.44,2018-11-10 12:20:13
"Chicago United States, North America",7490km,7490,121.11ms,121.11,61.90%,61.9,120.20ms,120.2,124.97ms,124.97,1.36ms,1.36,2018-11-10 12:20:13
"Chisinau Moldova, Eurasia",1264km,1264,48.71ms,48.71,26.33%,26.33,47.85ms,47.85,51.58ms,51.58,1.06ms,1.06,2018-11-10 12:20:13
"Christchurch New Zealand, Oceania",18427km,18427,350.74ms,350.74,52.65%,52.65,350.10ms,350.1,355.55ms,355.55,1.20ms,1.2,2018-11-10 12:20:13
"Cincinnati United States, North America",7494km,7494,123.64ms,123.64,60.93%,60.93,123.16ms,123.16,126.73ms,126.73,0.87ms,0.87,2018-11-10 12:20:13
"Cleveland United States, North America",7103km,7103,133.35ms,133.35,53.41%,53.41,131.70ms,131.7,145.49ms,145.49,3.13ms,3.13,2018-11-10 12:20:13
"Colorado Springs United States, North America",8733km,8733,144.28ms,144.28,60.65%,60.65,143.70ms,143.7,147.38ms,147.38,1.02ms,1.02,2018-11-10 12:20:13
"Columbus United States, North America",7333km,7333,115.58ms,115.58,63.77%,63.77,114.53ms,114.53,123.08ms,123.08,1.81ms,1.81,2018-11-10 12:20:13
"Copenhagen Denmark, Eurasia",1113km,1113,36.91ms,36.91,30.92%,30.92,36.65ms,36.65,38.82ms,38.82,0.46ms,0.46,2018-11-10 12:20:13
"Coventry United Kingdom, Eurasia",1265km,1265,38.61ms,38.61,33.29%,33.29,38.23ms,38.23,41.94ms,41.94,0.68ms,0.68,2018-11-10 12:20:13
"Cromwell United States, North America",6534km,6534,106.58ms,106.58,61.64%,61.64,105.86ms,105.86,111.13ms,111.13,1.12ms,1.12,2018-11-10 12:20:13
"Dagupan Philippines, Eurasia",10059km,10059,315.52ms,315.52,31.93%,31.93,314.33ms,314.33,318.23ms,318.23,1.09ms,1.09,2018-11-10 12:20:13
"Dallas United States, North America",8774km,8774,139.51ms,139.51,63.12%,63.12,139.00ms,139.0,142.78ms,142.78,0.88ms,0.88,2018-11-10 12:20:13
"Dar es Salaam Tanzania, Africa",6413km,6413,172.76ms,172.76,37.28%,37.28,172.45ms,172.45,174.56ms,174.56,0.56ms,0.56,2018-11-10 12:20:13
"Denver United States, North America",8668km,8668,143.63ms,143.63,60.62%,60.62,142.62ms,142.62,158.66ms,158.66,2.87ms,2.87,2018-11-10 12:20:13
"Des Moines United States, North America",7871km,7871,127.43ms,127.43,61.98%,61.98,126.17ms,126.17,133.76ms,133.76,2.03ms,2.03,2018-11-10 12:20:13
"Detroit United States, North America",7167km,7167,115.26ms,115.26,62.32%,62.32,114.97ms,114.97,116.16ms,116.16,0.30ms,0.3,2018-11-10 12:20:13
"Dhaka Bangladesh, Eurasia",7232km,7232,183.24ms,183.24,39.52%,39.52,180.66ms,180.66,233.09ms,233.09,9.36ms,9.36,2018-11-10 12:20:13
"Dronten Netherlands, Eurasia",908km,908,31.27ms,31.27,29.29%,29.29,30.68ms,30.68,33.97ms,33.97,0.74ms,0.74,2018-11-10 12:20:13
"Dubai United Arab Emirates, Eurasia",4443km,4443,127.50ms,127.5,34.98%,34.98,126.71ms,126.71,136.26ms,136.26,1.81ms,1.81,2018-11-10 12:20:13
"Dublin Ireland, Eurasia",1596km,1596,46.39ms,46.39,34.70%,34.7,45.95ms,45.95,47.82ms,47.82,0.54ms,0.54,2018-11-10 12:20:13
"Dusseldorf Germany, Eurasia",750km,750,23.57ms,23.57,32.61%,32.61,23.26ms,23.26,24.76ms,24.76,0.45ms,0.45,2018-11-10 12:20:13
"Edinburgh United Kingdom, Eurasia",1583km,1583,41.63ms,41.63,38.61%,38.61,41.45ms,41.45,42.34ms,42.34,0.30ms,0.3,2018-11-10 12:20:13
"Edmonton Canada, North America",7856km,7856,180.93ms,180.93,43.64%,43.64,180.66ms,180.66,181.89ms,181.89,0.48ms,0.48,2018-11-10 12:20:13
"Eindhoven Netherlands, Eurasia",825km,825,28.72ms,28.72,29.46%,29.46,28.22ms,28.22,32.36ms,32.36,0.87ms,0.87,2018-11-10 12:20:13
"Falkenstein Germany, Eurasia",534km,534,24.20ms,24.2,22.25%,22.25,23.70ms,23.7,26.86ms,26.86,0.62ms,0.62,2018-11-10 12:20:13
"Fez Morocco, Africa",1970km,1970,73.62ms,73.62,26.99%,26.99,69.87ms,69.87,158.59ms,158.59,15.81ms,15.81,2018-11-10 12:20:13
"Frankfurt Germany, Eurasia",572km,572,19.90ms,19.9,30.11%,30.11,19.59ms,19.59,20.79ms,20.79,0.33ms,0.33,2018-11-10 12:20:13
"Fremont United States, North America",9708km,9708,161.99ms,161.99,60.30%,60.3,161.41ms,161.41,164.90ms,164.9,0.88ms,0.88,2018-11-10 12:20:13
"Frosinone Italy, Eurasia",454km,454,18.26ms,18.26,25.22%,25.22,18.00ms,18.0,19.12ms,19.12,0.31ms,0.31,2018-11-10 12:20:13
"Gdansk Poland, Eurasia",1058km,1058,46.91ms,46.91,23.00%,23.0,46.35ms,46.35,50.33ms,50.33,0.77ms,0.77,2018-11-10 12:20:13
"Geneva Switzerland, Eurasia",501km,501,18.64ms,18.64,27.83%,27.83,16.10ms,16.1,57.85ms,57.85,7.49ms,7.49,2018-11-10 12:20:13
"Gothenburg Sweden, Eurasia",1338km,1338,51.84ms,51.84,26.24%,26.24,51.22ms,51.22,54.32ms,54.32,0.83ms,0.83,2018-11-10 12:20:13
"Green Bay United States, North America",7316km,7316,130.75ms,130.75,56.28%,56.28,130.41ms,130.41,132.14ms,132.14,0.41ms,0.41,2018-11-10 12:20:13
"Groningen Netherlands, Eurasia",943km,943,36.96ms,36.96,26.19%,26.19,34.50ms,34.5,76.31ms,76.31,8.42ms,8.42,2018-11-10 12:20:14
"Guadalajara Mexico, North America",10220km,10220,153.91ms,153.91,66.80%,66.8,153.56ms,153.56,156.64ms,156.64,0.73ms,0.73,2018-11-10 12:20:14
"Guatemala Guatemala, North America",9452km,9452,315.31ms,315.31,30.01%,30.01,255.71ms,255.71,394.27ms,394.27,35.98ms,35.98,2018-11-10 12:20:14
"Halifax Canada, North America",5733km,5733,105.89ms,105.89,54.60%,54.6,105.49ms,105.49,107.25ms,107.25,0.53ms,0.53,2018-11-10 12:20:14
"Hamburg Germany, Eurasia",897km,897,31.16ms,31.16,28.94%,28.94,30.98ms,30.98,31.50ms,31.5,0.23ms,0.23,2018-11-10 12:20:14
"Hangzhou China, Eurasia",8873km,8873,833.83ms,833.83,10.65%,10.65,832.95ms,832.95,836.08ms,836.08,1.42ms,1.42,2018-11-10 12:20:14
"Hanoi Vietnam, Eurasia",8598km,8598,361.53ms,361.53,23.82%,23.82,361.17ms,361.17,362.31ms,362.31,0.59ms,0.59,2018-11-10 12:20:14
"Helsinki Finland, Eurasia",1803km,1803,46.57ms,46.57,39.20%,39.2,45.29ms,45.29,64.62ms,64.62,3.44ms,3.44,2018-11-10 12:20:14
"Heredia Costa Rica, North America",9726km,9726,192.05ms,192.05,50.66%,50.66,191.67ms,191.67,192.77ms,192.77,0.58ms,0.58,2018-11-10 12:20:14
