City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14559km,14559,328.71ms,328.71,44.39%,44.39,328.53ms,328.53,329.78ms,329.78,0.65ms,0.65,2018-11-10 12:20:02
"Albany United States, North America",6767km,6767,169.64ms,169.64,40.04%,40.04,105.07ms,105.07,237.61ms,237.61,36.05ms,36.05,2018-11-10 12:20:02
"Alblasserdam Netherlands, Eurasia",1402km,1402,32.91ms,32.91,43.81%,43.81,32.76ms,32.76,33.20ms,33.2,0.21ms,0.21,2018-11-10 12:20:02
"Albuquerque United States, North America",9028km,9028,157.45ms,157.45,57.50%,57.5,155.31ms,155.31,203.05ms,203.05,8.61ms,8.61,2018-11-10 12:20:02
"Algiers Algeria, Africa",2614km,2614,78.97ms,78.97,33.51%,33.51,78.59ms,78.59,79.45ms,79.45,0.25ms,0.25,2018-11-10 12:20:02
"Amsterdam Netherlands, Eurasia",1382km,1382,39.11ms,39.11,35.44%,35.44,38.93ms,38.93,39.38ms,39.38,0.17ms,0.17,2018-11-10 12:20:02
"Anchorage United States, North America",7122km,7122,206.71ms,206.71,34.57%,34.57,206.49ms,206.49,207.04ms,207.04,0.64ms,0.64,2018-11-10 12:20:02
"Ankara Turkey, Eurasia",1734km,1734,72.60ms,72.6,24.08%,24.08,72.26ms,72.26,76.80ms,76.8,0.83ms,0.83,2018-11-10 12:20:02
"Antwerp Belgium, Eurasia",1445km,1445,42.02ms,42.02,34.40%,34.4,41.94ms,41.94,42.27ms,42.27,0.26ms,0.26,2018-11-10 12:20:02
"Arezzo Italy, Eurasia",1578km,1578,50.59ms,50.59,31.56%,31.56,50.50ms,50.5,50.83ms,50.83,0.19ms,0.19,2018-11-10 12:20:02
"Asheville United States, North America",7860km,7860,132.37ms,132.37,59.55%,59.55,132.06ms,132.06,134.86ms,134.86,0.71ms,0.71,2018-11-10 12:20:02
"Athens Greece, Eurasia",1863km,1863,67.16ms,67.16,27.81%,27.81,67.01ms,67.01,67.44ms,67.44,0.30ms,0.3,2018-11-10 12:20:02
"Atlanta United States, North America",8125km,8125,132.33ms,132.33,61.55%,61.55,132.25ms,132.25,132.53ms,132.53,0.47ms,0.47,2018-11-10 12:20:02
"Auckland New Zealand, Oceania",16971km,16971,303.09ms,303.09,56.01%,56.01,302.97ms,302.97,303.58ms,303.58,0.48ms,0.48,2018-11-10 12:20:02
"Austin United States, North America",9122km,9122,154.25ms,154.25,59.23%,59.23,141.22ms,141.22,223.97ms,223.97,16.26ms,16.26,2018-11-10 12:20:02
"Baltimore United States, North America",7217km,7217,121.88ms,121.88,59.64%,59.64,121.61ms,121.61,122.78ms,122.78,0.56ms,0.56,2018-11-10 12:20:02
"Bangalore India, Eurasia",6468km,6468,162.96ms,162.96,39.93%,39.93,162.89ms,162.89,163.08ms,163.08,0.50ms,0.5,2018-11-10 12:20:02
"Bangkok Thailand, Eurasia",7817km,7817,207.19ms,207.19,37.76%,37.76,196.28ms,196.28,254.83ms,254.83,15.38ms,15.38,2018-11-10 12:20:02
"Barcelona Spain, Eurasia",2248km,2248,66.97ms,66.97,34.06%,34.06,66.71ms,66.71,67.34ms,67.34,0.38ms,0.38,2018-11-10 12:20:02
"Basel Switzerland, Eurasia",1461km,1461,43.99ms,43.99,33.98%,33.98,43.90ms,43.9,44.19ms,44.19,0.21ms,0.21,2018-11-10 12:20:02
"Belfast United Kingdom, Eurasia",1992km,1992,50.26ms,50.26,39.84%,39.84,50.10ms,50.1,50.48ms,50.48,0.18ms,0.18,2018-11-10 12:20:03
"Bergen Norway, Eurasia",1341km,1341,35.09ms,35.09,38.31%,38.31,34.90ms,34.9,35.56ms,35.56,0.24ms,0.24,2018-11-10 12:20:03
"Berkeley Springs United States, North America",7273km,7273,122.07ms,122.07,59.61%,59.61,121.85ms,121.85,122.39ms,122.39,0.30ms,0.3,2018-11-10 12:20:03
"Bern Switzerland, Eurasia",1513km,1513,41.69ms,41.69,36.90%,36.9,41.50ms,41.5,41.91ms,41.91,0.25ms,0.25,2018-11-10 12:20:03
"Bogota Colombia, South America",10190km,10190,198.84ms,198.84,51.46%,51.46,198.19ms,198.19,207.18ms,207.18,1.81ms,1.81,2018-11-10 12:20:03
"Boston United States, North America",6654km,6654,108.12ms,108.12,61.61%,61.61,107.98ms,107.98,108.30ms,108.3,0.34ms,0.34,2018-11-10 12:20:03
"Brasilia Brazil, South America",10399km,10399,258.77ms,258.77,40.31%,40.31,256.01ms,256.01,264.85ms,264.85,3.05ms,3.05,2018-11-10 12:20:03
"Bratislava Slovakia, Eurasia",920km,920,27.59ms,27.59,34.07%,34.07,27.52ms,27.52,27.76ms,27.76,0.15ms,0.15,2018-11-10 12:20:03
"Brisbane Australia, Oceania",14866km,14866,347.98ms,347.98,42.84%,42.84,347.71ms,347.71,349.09ms,349.09,0.44ms,0.44,2018-11-10 12:20:03
"Bristol United Kingdom, Eurasia",1883km,1883,51.57ms,51.57,36.92%,36.92,51.40ms,51.4,51.83ms,51.83,0.29ms,0.29,2018-11-10 12:20:03
"Brno Czech Republic, Eurasia",850km,850,17.28ms,17.28,50.00%,50.0,17.21ms,17.21,17.42ms,17.42,0.14ms,0.14,2018-11-10 12:20:03
"Bruges Belgium, Eurasia",1520km,1520,37.55ms,37.55,41.08%,41.08,37.32ms,37.32,38.10ms,38.1,0.30ms,0.3,2018-11-10 12:20:03
