City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",8713km,8713,162.42ms,162.42,53.78%,53.78,161.78ms,161.78,165.55ms,165.55,0.96ms,0.96,2018-11-10 12:21:39
"Albany United States, North America",10124km,10124,282.74ms,282.74,35.90%,35.9,219.44ms,219.44,351.23ms,351.23,36.66ms,36.66,2018-11-10 12:21:39
"Alblasserdam Netherlands, Eurasia",8301km,8301,136.93ms,136.93,61.04%,61.04,136.65ms,136.65,138.16ms,138.16,0.49ms,0.49,2018-11-10 12:21:39
"Albuquerque United States, North America",9481km,9481,270.64ms,270.64,35.11%,35.11,269.08ms,269.08,287.92ms,287.92,3.66ms,3.66,2018-11-10 12:21:40
"Algiers Algeria, Africa",9741km,9741,204.89ms,204.89,47.75%,47.75,204.10ms,204.1,205.83ms,205.83,0.50ms,0.5,2018-11-10 12:21:40
"Amsterdam Netherlands, Eurasia",8261km,8261,154.39ms,154.39,53.64%,53.64,153.96ms,153.96,155.03ms,155.03,0.51ms,0.51,2018-11-10 12:21:40
"Anchorage United States, North America",5313km,5313,326.75ms,326.75,16.30%,16.3,326.43ms,326.43,328.33ms,328.33,0.52ms,0.52,2018-11-10 12:21:40
"Ankara Turkey, Eurasia",7729km,7729,179.94ms,179.94,43.18%,43.18,179.07ms,179.07,190.69ms,190.69,2.34ms,2.34,2018-11-10 12:21:40
"Antwerp Belgium, Eurasia",8369km,8369,157.02ms,157.02,53.31%,53.31,156.74ms,156.74,157.95ms,157.95,0.59ms,0.59,2018-11-10 12:21:40
"Arezzo Italy, Eurasia",8694km,8694,170.39ms,170.39,51.14%,51.14,170.03ms,170.03,172.43ms,172.43,0.58ms,0.58,2018-11-10 12:21:40
"Asheville United States, North America",10584km,10584,227.13ms,227.13,46.63%,46.63,226.99ms,226.99,227.43ms,227.43,0.56ms,0.56,2018-11-10 12:21:40
"Athens Greece, Eurasia",8462km,8462,170.40ms,170.4,49.78%,49.78,169.97ms,169.97,172.41ms,172.41,0.75ms,0.75,2018-11-10 12:21:40
"Atlanta United States, North America",10699km,10699,238.65ms,238.65,44.95%,44.95,238.31ms,238.31,239.39ms,239.39,0.59ms,0.59,2018-11-10 12:21:40
"Auckland New Zealand, Oceania",9892km,9892,444.25ms,444.25,22.28%,22.28,443.99ms,443.99,445.17ms,445.17,0.39ms,0.39,2018-11-10 12:21:40
"Austin United States, North America",10407km,10407,259.39ms,259.39,40.18%,40.18,249.09ms,249.09,296.26ms,296.26,12.07ms,12.07,2018-11-10 12:21:40
"Baltimore United States, North America",10407km,10407,222.79ms,222.79,46.88%,46.88,222.04ms,222.04,226.77ms,226.77,1.19ms,1.19,2018-11-10 12:21:40
"Bangalore India, Eurasia",6167km,6167,273.14ms,273.14,22.59%,22.59,272.82ms,272.82,273.98ms,273.98,0.51ms,0.51,2018-11-10 12:21:40
"Bangkok Thailand, Eurasia",4444km,4444,222.58ms,222.58,20.02%,20.02,217.49ms,217.49,265.09ms,265.09,8.89ms,8.89,2018-11-10 12:21:40
"Barcelona Spain, Eurasia",9360km,9360,161.69ms,161.69,58.14%,58.14,161.25ms,161.25,162.43ms,162.43,0.47ms,0.47,2018-11-10 12:21:40
"Basel Switzerland, Eurasia",8552km,8552,158.19ms,158.19,54.13%,54.13,157.75ms,157.75,158.70ms,158.7,0.65ms,0.65,2018-11-10 12:21:40
"Belfast United Kingdom, Eurasia",8439km,8439,158.00ms,158.0,53.41%,53.41,157.84ms,157.84,158.21ms,158.21,0.43ms,0.43,2018-11-10 12:21:40
"Bergen Norway, Eurasia",7529km,7529,147.67ms,147.67,51.22%,51.22,147.20ms,147.2,154.06ms,154.06,1.31ms,1.31,2018-11-10 12:21:40
"Berkeley Springs United States, North America",10322km,10322,235.65ms,235.65,43.92%,43.92,235.47ms,235.47,236.09ms,236.09,0.52ms,0.52,2018-11-10 12:21:40
"Bern Switzerland, Eurasia",8612km,8612,160.71ms,160.71,53.83%,53.83,160.36ms,160.36,161.68ms,161.68,0.38ms,0.38,2018-11-10 12:21:40
"Bogota Colombia, South America",14095km,14095,318.32ms,318.32,44.32%,44.32,317.84ms,317.84,324.31ms,324.31,1.16ms,1.16,2018-11-10 12:21:40
"Boston United States, North America",10232km,10232,239.30ms,239.3,42.81%,42.81,238.96ms,238.96,241.49ms,241.49,0.71ms,0.71,2018-11-10 12:21:40
"Brasilia Brazil, South America",16975km,16975,341.52ms,341.52,49.78%,49.78,341.26ms,341.26,342.58ms,342.58,0.81ms,0.81,2018-11-10 12:21:40
"Bratislava Slovakia, Eurasia",8036km,8036,149.13ms,149.13,53.93%,53.93,148.99ms,148.99,149.42ms,149.42,0.17ms,0.17,2018-11-10 12:21:40
"Brisbane Australia, Oceania",8145km,8145,159.52ms,159.52,51.23%,51.23,159.36ms,159.36,159.82ms,159.82,0.12ms,0.12,2018-11-10 12:21:40
"Bristol United Kingdom, Eurasia",8622km,8622,153.62ms,153.62,56.35%,56.35,153.08ms,153.08,155.41ms,155.41,0.66ms,0.66,2018-11-10 12:21:40
"Brno Czech Republic, Eurasia",7977km,7977,140.48ms,140.48,56.98%,56.98,140.30ms,140.3,141.43ms,141.43,0.29ms,0.29,2018-11-10 12:21:40
"Bruges Belgium, Eurasia",8417km,8417,159.11ms,159.11,52.94%,52.94,158.39ms,158.39,161.02ms,161.02,0.73ms,0.73,2018-11-10 12:21:40
"Brunswick United States, North America",10091km,10091,224.39ms,224.39,45.05%,45.05,224.21ms,224.21,225.13ms,225.13,0.67ms,0.67,2018-11-10 12:21:40
