City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16813km,16813,266.88ms,266.88,63.21%,63.21,264.43ms,264.43,270.42ms,270.42,1.82ms,1.82,2018-11-10 12:18:28
"Albany United States, North America",519km,519,68.02ms,68.02,7.63%,7.63,9.84ms,9.84,157.22ms,157.22,39.49ms,39.49,2018-11-10 12:18:28
"Alblasserdam Netherlands, Eurasia",6213km,6213,83.24ms,83.24,74.86%,74.86,82.73ms,82.73,83.49ms,83.49,0.41ms,0.41,2018-11-10 12:18:28
"Albuquerque United States, North America",2618km,2618,53.43ms,53.43,49.40%,49.4,48.19ms,48.19,94.17ms,94.17,12.62ms,12.62,2018-11-10 12:18:28
"Algiers Algeria, Africa",6821km,6821,125.37ms,125.37,54.57%,54.57,124.82ms,124.82,126.78ms,126.78,0.39ms,0.39,2018-11-10 12:18:28
"Amsterdam Netherlands, Eurasia",6198km,6198,83.42ms,83.42,74.67%,74.67,83.21ms,83.21,84.28ms,84.28,0.45ms,0.45,2018-11-10 12:18:28
"Anchorage United States, North America",5385km,5385,103.19ms,103.19,52.28%,52.28,102.25ms,102.25,127.27ms,127.27,4.48ms,4.48,2018-11-10 12:18:28
"Ankara Turkey, Eurasia",8744km,8744,139.28ms,139.28,62.91%,62.91,138.29ms,138.29,143.32ms,143.32,1.03ms,1.03,2018-11-10 12:18:28
"Antwerp Belgium, Eurasia",6223km,6223,95.84ms,95.84,65.51%,65.51,95.27ms,95.27,109.25ms,109.25,2.53ms,2.53,2018-11-10 12:18:28
"Arezzo Italy, Eurasia",7106km,7106,104.44ms,104.44,68.33%,68.33,104.27ms,104.27,105.28ms,105.28,0.39ms,0.39,2018-11-10 12:18:28
"Asheville United States, North America",591km,591,15.20ms,15.2,39.40%,39.4,14.77ms,14.77,15.58ms,15.58,0.12ms,0.12,2018-11-10 12:18:28
