City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",3220km,3220,48.12ms,48.12,67.08%,67.08,47.29ms,47.29,51.75ms,51.75,0.94ms,0.94,2018-11-10 12:23:40
"Albany United States, North America",14517km,14517,279.62ms,279.62,52.03%,52.03,217.09ms,217.09,355.67ms,355.67,38.96ms,38.96,2018-11-10 12:23:40
"Alblasserdam Netherlands, Eurasia",18625km,18625,291.11ms,291.11,64.00%,64.0,290.60ms,290.6,294.29ms,294.29,1.00ms,1.0,2018-11-10 12:23:40
"Albuquerque United States, North America",11674km,11674,190.56ms,190.56,61.44%,61.44,185.53ms,185.53,242.35ms,242.35,14.00ms,14.0,2018-11-10 12:23:40
"Algiers Algeria, Africa",19145km,19145,301.58ms,301.58,63.60%,63.6,300.88ms,300.88,302.78ms,302.78,0.69ms,0.69,2018-11-10 12:23:40
"Amsterdam Netherlands, Eurasia",18584km,18584,260.75ms,260.75,71.48%,71.48,260.23ms,260.23,262.85ms,262.85,0.81ms,0.81,2018-11-10 12:23:40
"Anchorage United States, North America",11839km,11839,218.72ms,218.72,54.31%,54.31,218.19ms,218.19,220.01ms,220.01,0.63ms,0.63,2018-11-10 12:23:40
"Ankara Turkey, Eurasia",16826km,16826,314.39ms,314.39,53.59%,53.59,313.58ms,313.58,322.48ms,322.48,1.82ms,1.82,2018-11-10 12:23:40
"Antwerp Belgium, Eurasia",18693km,18693,271.63ms,271.63,68.98%,68.98,271.38ms,271.38,272.55ms,272.55,0.74ms,0.74,2018-11-10 12:23:40
"Arezzo Italy, Eurasia",18598km,18598,289.55ms,289.55,64.35%,64.35,289.15ms,289.15,290.38ms,290.38,0.53ms,0.53,2018-11-10 12:23:40
"Asheville United States, North America",13481km,13481,184.68ms,184.68,73.27%,73.27,184.31ms,184.31,187.75ms,187.75,0.93ms,0.93,2018-11-10 12:23:40
"Athens Greece, Eurasia",17525km,17525,319.19ms,319.19,54.94%,54.94,318.84ms,318.84,320.60ms,320.6,0.45ms,0.45,2018-11-10 12:23:40
"Atlanta United States, North America",13230km,13230,177.56ms,177.56,74.75%,74.75,176.83ms,176.83,179.12ms,179.12,1.05ms,1.05,2018-11-10 12:23:40
"Auckland New Zealand, Oceania",494km,494,1.14ms,1.14,494.00%,494.0,0.80ms,0.8,2.37ms,2.37,0.44ms,0.44,2018-11-10 12:23:40
"Austin United States, North America",11977km,11977,180.16ms,180.16,66.54%,66.54,165.49ms,165.49,262.00ms,262.0,24.39ms,24.39,2018-11-10 12:23:40
