City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15276km,15276,220.45ms,220.45,69.44%,69.44,219.84ms,219.84,226.47ms,226.47,1.19ms,1.19,2018-11-10 12:20:12
"Albany United States, North America",1953km,1953,156.44ms,156.44,12.52%,12.52,90.16ms,90.16,221.75ms,221.75,37.15ms,37.15,2018-11-10 12:20:12
"Alblasserdam Netherlands, Eurasia",6522km,6522,160.05ms,160.05,40.76%,40.76,159.28ms,159.28,161.87ms,161.87,0.81ms,0.81,2018-11-10 12:20:12
"Albuquerque United States, North America",1815km,1815,74.97ms,74.97,24.53%,24.53,67.91ms,67.91,116.64ms,116.64,15.44ms,15.44,2018-11-10 12:20:12
"Algiers Algeria, Africa",7620km,7620,194.49ms,194.49,39.28%,39.28,193.41ms,193.41,201.78ms,201.78,1.97ms,1.97,2018-11-10 12:20:12
"Amsterdam Netherlands, Eurasia",6492km,6492,185.94ms,185.94,35.09%,35.09,185.41ms,185.41,187.24ms,187.24,0.74ms,0.74,2018-11-10 12:20:12
"Anchorage United States, North America",3436km,3436,63.38ms,63.38,54.54%,54.54,62.79ms,62.79,65.98ms,65.98,0.82ms,0.82,2018-11-10 12:20:12
"Ankara Turkey, Eurasia",8899km,8899,216.92ms,216.92,41.20%,41.2,215.77ms,215.77,223.30ms,223.3,1.87ms,1.87,2018-11-10 12:20:12
"Antwerp Belgium, Eurasia",6558km,6558,179.19ms,179.19,36.64%,36.64,178.68ms,178.68,181.44ms,181.44,0.64ms,0.64,2018-11-10 12:20:12
"Arezzo Italy, Eurasia",7567km,7567,183.71ms,183.71,41.35%,41.35,183.26ms,183.26,185.19ms,185.19,0.71ms,0.71,2018-11-10 12:20:12
"Asheville United States, North America",1979km,1979,104.80ms,104.8,19.03%,19.03,104.57ms,104.57,106.03ms,106.03,0.53ms,0.53,2018-11-10 12:20:12
"Athens Greece, Eurasia",8661km,8661,227.15ms,227.15,38.15%,38.15,226.72ms,226.72,228.56ms,228.56,0.64ms,0.64,2018-11-10 12:20:12
"Atlanta United States, North America",2077km,2077,105.58ms,105.58,19.78%,19.78,105.21ms,105.21,106.31ms,106.31,0.33ms,0.33,2018-11-10 12:20:12
"Auckland New Zealand, Oceania",12926km,12926,235.52ms,235.52,55.00%,55.0,235.01ms,235.01,236.85ms,236.85,0.63ms,0.63,2018-11-10 12:20:12
"Austin United States, North America",2186km,2186,110.81ms,110.81,19.87%,19.87,97.35ms,97.35,153.33ms,153.33,12.45ms,12.45,2018-11-10 12:20:12
"Baltimore United States, North America",1998km,1998,101.88ms,101.88,19.78%,19.78,101.20ms,101.2,105.86ms,105.86,1.11ms,1.11,2018-11-10 12:20:12
"Bangalore India, Eurasia",13008km,13008,244.88ms,244.88,53.31%,53.31,244.48ms,244.48,246.21ms,246.21,0.69ms,0.69,2018-11-10 12:20:12
"Bangkok Thailand, Eurasia",12734km,12734,326.71ms,326.71,39.06%,39.06,301.83ms,301.83,466.62ms,466.62,30.69ms,30.69,2018-11-10 12:20:12
"Barcelona Spain, Eurasia",7195km,7195,192.03ms,192.03,37.47%,37.47,191.33ms,191.33,198.60ms,198.6,1.32ms,1.32,2018-11-10 12:20:12
"Basel Switzerland, Eurasia",7007km,7007,178.97ms,178.97,39.37%,39.37,178.21ms,178.21,185.41ms,185.41,1.36ms,1.36,2018-11-10 12:20:12
"Belfast United Kingdom, Eurasia",5784km,5784,157.43ms,157.43,36.84%,36.84,157.06ms,157.06,158.89ms,158.89,0.47ms,0.47,2018-11-10 12:20:12
"Bergen Norway, Eurasia",5939km,5939,202.57ms,202.57,29.40%,29.4,202.06ms,202.06,203.77ms,203.77,0.74ms,0.74,2018-11-10 12:20:12
"Berkeley Springs United States, North America",1871km,1871,105.90ms,105.9,17.82%,17.82,105.51ms,105.51,106.79ms,106.79,0.34ms,0.34,2018-11-10 12:20:12
"Bern Switzerland, Eurasia",7048km,7048,201.34ms,201.34,35.06%,35.06,200.88ms,200.88,202.43ms,202.43,0.70ms,0.7,2018-11-10 12:20:12
"Bogota Colombia, South America",5483km,5483,174.51ms,174.51,31.51%,31.51,173.53ms,173.53,181.71ms,181.71,1.80ms,1.8,2018-11-10 12:20:12
"Boston United States, North America",2164km,2164,92.17ms,92.17,23.52%,23.52,91.86ms,91.86,93.11ms,93.11,0.48ms,0.48,2018-11-10 12:20:12
"Brasilia Brazil, South America",8750km,8750,220.63ms,220.63,39.77%,39.77,212.68ms,212.68,423.77ms,423.77,37.75ms,37.75,2018-11-10 12:20:12
"Bratislava Slovakia, Eurasia",7435km,7435,183.51ms,183.51,40.63%,40.63,183.04ms,183.04,187.31ms,187.31,0.93ms,0.93,2018-11-10 12:20:12
"Brisbane Australia, Oceania",13696km,13696,208.95ms,208.95,65.85%,65.85,208.51ms,208.51,209.55ms,209.55,0.53ms,0.53,2018-11-10 12:20:12
"Bristol United Kingdom, Eurasia",6173km,6173,155.50ms,155.5,39.83%,39.83,154.88ms,154.88,157.04ms,157.04,0.67ms,0.67,2018-11-10 12:20:12
"Brno Czech Republic, Eurasia",7321km,7321,177.18ms,177.18,41.36%,41.36,176.55ms,176.55,179.16ms,179.16,0.73ms,0.73,2018-11-10 12:20:12
"Bruges Belgium, Eurasia",6498km,6498,171.10ms,171.1,38.00%,38.0,170.33ms,170.33,172.45ms,172.45,0.78ms,0.78,2018-11-10 12:20:12
"Brunswick United States, North America",2156km,2156,95.58ms,95.58,22.69%,22.69,95.28ms,95.28,96.38ms,96.38,0.43ms,0.43,2018-11-10 12:20:12
"Brussels Belgium, Eurasia",6583km,6583,173.41ms,173.41,38.05%,38.05,172.98ms,172.98,174.92ms,174.92,0.73ms,0.73,2018-11-10 12:20:12
"Bucharest Romania, Eurasia",8180km,8180,207.13ms,207.13,39.52%,39.52,206.53ms,206.53,209.57ms,209.57,0.92ms,0.92,2018-11-10 12:20:12
"Budapest Hungary, Eurasia",7581km,7581,186.08ms,186.08,40.76%,40.76,185.12ms,185.12,193.55ms,193.55,1.51ms,1.51,2018-11-10 12:20:12
"Buenos Aires Argentina, South America",10143km,10143,233.42ms,233.42,43.53%,43.53,227.97ms,227.97,253.02ms,253.02,6.44ms,6.44,2018-11-10 12:20:12
