City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",8762km,8762,335.89ms,335.89,26.16%,26.16,335.35ms,335.35,338.93ms,338.93,0.93ms,0.93,2018-10-31 18:03:20
"Albuquerque United States, North America",10574km,10574,356.03ms,356.03,29.70%,29.7,321.36ms,321.36,386.46ms,386.46,17.00ms,17.0,2018-11-10 12:01:59
"Antwerp Belgium, Eurasia",7778km,7778,209.05ms,209.05,37.22%,37.22,208.81ms,208.81,209.75ms,209.75,0.32ms,0.32,2018-11-08 16:02:26
"Athens Greece, Eurasia",7460km,7460,366.79ms,366.79,20.38%,20.38,301.94ms,301.94,375.84ms,375.84,20.89ms,20.89,2018-11-02 10:03:16
"Auckland New Zealand, Oceania",10566km,10566,265.58ms,265.58,39.87%,39.87,265.41ms,265.41,266.45ms,266.45,0.30ms,0.3,2018-11-03 06:01:55
"Baltimore United States, North America",11040km,11040,286.68ms,286.68,38.60%,38.6,261.04ms,261.04,298.16ms,298.16,7.94ms,7.94,2018-11-07 11:02:40
"Bergen Norway, Eurasia",7089km,7089,293.44ms,293.44,24.19%,24.19,285.81ms,285.81,312.56ms,312.56,9.26ms,9.26,2018-10-27 18:03:34
"Berkeley Springs United States, North America",10980km,10980,246.81ms,246.81,44.63%,44.63,246.04ms,246.04,247.41ms,247.41,0.83ms,0.83,2018-11-04 09:02:00
"Bern Switzerland, Eurasia",7919km,7919,184.11ms,184.11,43.04%,43.04,182.69ms,182.69,192.71ms,192.71,2.22ms,2.22,2018-11-03 16:05:35
"Bogota Colombia, South America",14892km,14892,352.08ms,352.08,42.31%,42.31,330.94ms,330.94,356.59ms,356.59,5.94ms,5.94,2018-11-03 05:03:00
"Boston United States, North America",10755km,10755,343.69ms,343.69,31.36%,31.36,343.32ms,343.32,344.33ms,344.33,0.81ms,0.81,2018-11-03 18:02:19
"Brasilia Brazil, South America",16784km,16784,379.62ms,379.62,44.28%,44.28,374.59ms,374.59,385.37ms,385.37,2.86ms,2.86,2018-11-07 06:01:57
"Brunswick United States, North America",10589km,10589,355.53ms,355.53,29.83%,29.83,351.30ms,351.3,358.46ms,358.46,2.63ms,2.63,2018-10-27 10:03:19
"Buenos Aires Argentina, South America",19115km,19115,395.97ms,395.97,48.39%,48.39,394.97ms,394.97,401.23ms,401.23,1.20ms,1.2,2018-11-05 14:02:54
"Buffalo United States, North America",10614km,10614,346.34ms,346.34,30.68%,30.68,343.64ms,343.64,366.55ms,366.55,5.17ms,5.17,2018-10-30 07:04:09
"Cairo Egypt, Africa",7391km,7391,301.41ms,301.41,24.55%,24.55,299.85ms,299.85,305.83ms,305.83,1.64ms,1.64,2018-11-07 08:02:08
"Cape Town South Africa, Africa",12882km,12882,521.72ms,521.72,24.73%,24.73,486.05ms,486.05,542.76ms,542.76,17.20ms,17.2,2018-11-04 11:02:33
"Caracas Venezuela, South America",14317km,14317,436.21ms,436.21,32.84%,32.84,379.27ms,379.27,463.32ms,463.32,21.28ms,21.28,2018-10-29 19:03:18
"Carlow Ireland, Eurasia",8207km,8207,257.29ms,257.29,31.93%,31.93,254.14ms,254.14,260.52ms,260.52,2.70ms,2.7,2018-11-02 19:02:56
"Cheltenham United Kingdom, Eurasia",8055km,8055,194.04ms,194.04,41.52%,41.52,193.83ms,193.83,195.54ms,195.54,0.63ms,0.63,2018-10-31 12:02:44
"Chisinau Moldova, Eurasia",6571km,6571,293.64ms,293.64,22.43%,22.43,293.50ms,293.5,293.86ms,293.86,0.63ms,0.63,2018-11-03 08:02:06
"Coventry United Kingdom, Eurasia",7988km,7988,249.98ms,249.98,32.08%,32.08,226.23ms,226.23,273.71ms,273.71,12.16ms,12.16,2018-11-08 07:01:55
"Cromwell United States, North America",10828km,10828,256.61ms,256.61,42.30%,42.3,237.81ms,237.81,278.72ms,278.72,10.44ms,10.44,2018-11-04 07:02:56
"Dagupan Philippines, Eurasia",2800km,2800,198.35ms,198.35,14.14%,14.14,197.79ms,197.79,200.54ms,200.54,0.95ms,0.95,2018-11-03 18:02:19
"Dallas United States, North America",11217km,11217,279.05ms,279.05,40.20%,40.2,247.77ms,247.77,297.86ms,297.86,15.84ms,15.84,2018-10-31 17:03:10
"Detroit United States, North America",10603km,10603,463.85ms,463.85,22.90%,22.9,370.73ms,370.73,549.30ms,549.3,57.30ms,57.3,2018-11-10 06:01:58
"Dronten Netherlands, Eurasia",7616km,7616,175.69ms,175.69,43.52%,43.52,166.44ms,166.44,198.58ms,198.58,10.99ms,10.99,2018-10-27 08:07:16
"Falkenstein Germany, Eurasia",7393km,7393,188.90ms,188.9,39.32%,39.32,182.09ms,182.09,191.31ms,191.31,2.42ms,2.42,2018-10-27 18:03:34
"Fez Morocco, Africa",9673km,9673,466.82ms,466.82,20.76%,20.76,448.72ms,448.72,484.12ms,484.12,9.10ms,9.1,2018-10-28 16:06:17
"Geneva Switzerland, Eurasia",8051km,8051,187.22ms,187.22,43.05%,43.05,182.81ms,182.81,203.93ms,203.93,5.92ms,5.92,2018-10-28 03:02:25
"Gothenburg Sweden, Eurasia",6953km,6953,373.45ms,373.45,18.64%,18.64,372.94ms,372.94,375.98ms,375.98,0.99ms,0.99,2018-11-03 15:02:47
"Groningen Netherlands, Eurasia",7523km,7523,188.33ms,188.33,40.02%,40.02,177.56ms,177.56,232.21ms,232.21,13.30ms,13.3,2018-10-31 15:05:26
"Guadalajara Mexico, North America",12127km,12127,341.17ms,341.17,35.56%,35.56,267.06ms,267.06,362.81ms,362.81,20.25ms,20.25,2018-11-06 13:01:55
"Halifax Canada, North America",10518km,10518,361.14ms,361.14,29.14%,29.14,360.00ms,360.0,365.35ms,365.35,1.13ms,1.13,2018-11-02 16:03:24
"Hangzhou China, Eurasia",1263km,1263,41.65ms,41.65,30.80%,30.8,41.52ms,41.52,42.24ms,42.24,0.17ms,0.17,2018-10-30 07:04:09
"Hanoi Vietnam, Eurasia",2355km,2355,340.95ms,340.95,6.93%,6.93,340.78ms,340.78,341.24ms,341.24,0.80ms,0.8,2018-10-28 05:02:42
"Helsinki Finland, Eurasia",6182km,6182,377.22ms,377.22,16.40%,16.4,333.98ms,333.98,395.74ms,395.74,12.64ms,12.64,2018-11-08 18:01:50
"Istanbul Turkey, Eurasia",6897km,6897,342.10ms,342.1,20.17%,20.17,319.87ms,319.87,365.25ms,365.25,11.43ms,11.43,2018-11-03 04:01:47
"Joao Pessoa Brazil, South America",15221km,15221,420.31ms,420.31,36.24%,36.24,420.15ms,420.15,420.53ms,420.53,0.79ms,0.79,2018-11-08 11:01:45
"Johannesburg South Africa, Africa",11626km,11626,463.98ms,463.98,25.11%,25.11,462.65ms,462.65,465.82ms,465.82,0.69ms,0.69,2018-10-31 17:03:10
"Kampala Uganda, Africa",9340km,9340,372.88ms,372.88,25.11%,25.11,370.25ms,370.25,377.17ms,377.17,2.54ms,2.54,2018-11-04 12:03:07
"Kansas City United States, North America",10648km,10648,188.63ms,188.63,56.64%,56.64,187.77ms,187.77,190.94ms,190.94,1.11ms,1.11,2018-10-28 18:02:59
"Karaganda Kazakhstan, Eurasia",3367km,3367,249.39ms,249.39,13.52%,13.52,244.10ms,244.1,261.54ms,261.54,5.22ms,5.22,2018-10-27 18:03:34
"Koto Japan, Eurasia",2242km,2242,294.63ms,294.63,7.63%,7.63,294.44ms,294.44,294.87ms,294.87,0.31ms,0.31,2018-11-08 16:02:26
"La Ceiba Honduras, North America",13345km,13345,285.73ms,285.73,46.82%,46.82,268.19ms,268.19,315.14ms,315.14,10.31ms,10.31,2018-10-27 14:05:28
"Lausanne Switzerland, Eurasia",7997km,7997,1033.44ms,1033.44,7.74%,7.74,1010.60ms,1010.6,1118.85ms,1118.85,37.75ms,37.75,2018-10-28 03:02:25
"Liege Belgium, Eurasia",7758km,7758,338.35ms,338.35,22.95%,22.95,335.15ms,335.15,338.66ms,338.66,0.79ms,0.79,2018-11-01 16:04:03
"Lincoln United States, North America",10401km,10401,241.17ms,241.17,43.16%,43.16,240.95ms,240.95,241.29ms,241.29,0.35ms,0.35,2018-10-31 17:03:10
"Ljubljana Slovenia, Eurasia",7557km,7557,278.71ms,278.71,27.18%,27.18,277.10ms,277.1,287.71ms,287.71,2.43ms,2.43,2018-10-28 10:04:53
"Los Angeles United States, North America",10079km,10079,287.38ms,287.38,35.12%,35.12,260.31ms,260.31,301.73ms,301.73,9.64ms,9.64,2018-10-27 18:03:34
"Lugano Switzerland, Eurasia",7899km,7899,232.39ms,232.39,34.05%,34.05,231.07ms,231.07,233.98ms,233.98,1.26ms,1.26,2018-11-01 07:02:27
"Maidstone United Kingdom, Eurasia",7974km,7974,232.58ms,232.58,34.37%,34.37,230.22ms,230.22,236.09ms,236.09,2.41ms,2.41,2018-11-06 09:01:52
"Malaysia Malaysia, Eurasia",4390km,4390,337.22ms,337.22,13.03%,13.03,301.57ms,301.57,355.75ms,355.75,14.88ms,14.88,2018-11-06 13:01:55
"Medellin Colombia, South America",14683km,14683,351.06ms,351.06,41.83%,41.83,334.89ms,334.89,360.26ms,360.26,6.93ms,6.93,2018-11-10 12:01:59
"Memphis United States, North America",11200km,11200,331.71ms,331.71,33.84%,33.84,297.07ms,297.07,349.60ms,349.6,15.46ms,15.46,2018-11-06 15:03:03
"Mexico Mexico, North America",12458km,12458,237.99ms,237.99,52.57%,52.57,237.75ms,237.75,238.96ms,238.96,0.71ms,0.71,2018-11-03 18:02:19
"Milan Italy, Eurasia",7922km,7922,389.44ms,389.44,20.37%,20.37,353.12ms,353.12,418.32ms,418.32,20.75ms,20.75,2018-11-04 09:02:00
"Missoula United States, North America",9140km,9140,189.63ms,189.63,48.36%,48.36,188.61ms,188.61,194.31ms,194.31,1.22ms,1.22,2018-11-04 07:02:56
"Montevideo Uruguay, South America",18999km,18999,495.77ms,495.77,38.38%,38.38,456.38ms,456.38,520.68ms,520.68,21.22ms,21.22,2018-10-28 03:02:25
"Monticello United States, North America",10423km,10423,215.71ms,215.71,48.48%,48.48,215.19ms,215.19,216.88ms,216.88,0.72ms,0.72,2018-11-07 06:01:57
"Moscow Russia, Eurasia",5636km,5636,108.67ms,108.67,52.19%,52.19,108.14ms,108.14,109.78ms,109.78,0.38ms,0.38,2018-11-08 16:02:26
"New York United States, North America",10915km,10915,291.68ms,291.68,37.51%,37.51,284.98ms,284.98,302.08ms,302.08,5.00ms,5.0,2018-11-05 16:02:55
"Nuremberg Germany, Eurasia",7535km,7535,270.58ms,270.58,27.91%,27.91,239.25ms,239.25,327.36ms,327.36,21.98ms,21.98,2018-11-07 13:02:27
"Palermo Italy, Eurasia",8174km,8174,494.50ms,494.5,16.55%,16.55,415.99ms,415.99,532.46ms,532.46,39.35ms,39.35,2018-10-28 05:02:42
"Paris France, Eurasia",8062km,8062,426.50ms,426.5,18.92%,18.92,409.95ms,409.95,443.80ms,443.8,8.04ms,8.04,2018-11-07 17:02:38
"Perth Australia, Oceania",8088km,8088,276.23ms,276.23,29.30%,29.3,276.13ms,276.13,276.38ms,276.38,0.62ms,0.62,2018-10-29 06:02:42
