City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15937km,15937,302.22ms,302.22,52.77%,52.77,301.91ms,301.91,303.15ms,303.15,0.44ms,0.44,2018-11-10 12:19:14
"Albany United States, North America",5707km,5707,101.88ms,101.88,56.50%,56.5,73.20ms,73.2,175.08ms,175.08,38.63ms,38.63,2018-11-10 12:19:14
"Albuquerque United States, North America",8273km,8273,135.04ms,135.04,61.28%,61.28,131.17ms,131.17,176.14ms,176.14,11.47ms,11.47,2018-11-10 12:19:14
"Algiers Algeria, Africa",1685km,1685,41.88ms,41.88,41.10%,41.1,41.23ms,41.23,44.39ms,44.39,0.54ms,0.54,2018-11-10 12:19:14
"Amsterdam Netherlands, Eurasia",48km,48,4.19ms,4.19,12.00%,12.0,3.89ms,3.89,5.69ms,5.69,0.34ms,0.34,2018-11-10 12:19:14
"Anchorage United States, North America",7241km,7241,166.41ms,166.41,43.62%,43.62,166.09ms,166.09,167.49ms,167.49,0.57ms,0.57,2018-11-10 12:19:14
"Ankara Turkey, Eurasia",2531km,2531,50.10ms,50.1,50.62%,50.62,49.80ms,49.8,51.09ms,51.09,0.32ms,0.32,2018-11-10 12:19:14
"Antwerp Belgium, Eurasia",74km,74,49.42ms,49.42,1.51%,1.51,49.29ms,49.29,49.73ms,49.73,0.32ms,0.32,2018-11-10 12:19:14
"Arezzo Italy, Eurasia",1077km,1077,33.23ms,33.23,32.64%,32.64,33.06ms,33.06,35.02ms,35.02,0.40ms,0.4,2018-11-10 12:19:14
"Asheville United States, North America",6802km,6802,93.99ms,93.99,73.14%,73.14,93.77ms,93.77,94.27ms,94.27,0.32ms,0.32,2018-11-10 12:19:14
"Athens Greece, Eurasia",2142km,2142,51.59ms,51.59,42.00%,42.0,51.38ms,51.38,52.18ms,52.18,0.38ms,0.38,2018-11-10 12:19:14
"Atlanta United States, North America",7067km,7067,95.40ms,95.4,74.39%,74.39,95.18ms,95.18,96.16ms,96.16,0.42ms,0.42,2018-11-10 12:19:14
"Auckland New Zealand, Oceania",18176km,18176,321.44ms,321.44,56.62%,56.62,321.21ms,321.21,321.94ms,321.94,0.74ms,0.74,2018-11-10 12:19:14
