City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",12471km,12471,218.01ms,218.01,57.21%,57.21,217.71ms,217.71,218.72ms,218.72,0.49ms,0.49,2018-11-10 12:20:06
"Albany United States, North America",5248km,5248,122.55ms,122.55,43.02%,43.02,94.29ms,94.29,192.63ms,192.63,37.95ms,37.95,2018-11-10 12:20:06
"Alblasserdam Netherlands, Eurasia",7241km,7241,166.29ms,166.29,43.62%,43.62,166.03ms,166.03,166.54ms,166.54,0.49ms,0.49,2018-11-10 12:20:06
"Albuquerque United States, North America",4197km,4197,74.14ms,74.14,56.72%,56.72,69.81ms,69.81,116.00ms,116.0,11.64ms,11.64,2018-11-10 12:20:06
"Algiers Algeria, Africa",8851km,8851,222.89ms,222.89,39.87%,39.87,222.29ms,222.29,224.94ms,224.94,0.86ms,0.86,2018-11-10 12:20:06
"Amsterdam Netherlands, Eurasia",7195km,7195,168.10ms,168.1,42.83%,42.83,167.75ms,167.75,171.51ms,171.51,0.68ms,0.68,2018-11-10 12:20:06
"Ankara Turkey, Eurasia",8767km,8767,207.62ms,207.62,42.35%,42.35,207.33ms,207.33,208.56ms,208.56,0.49ms,0.49,2018-11-10 12:20:06
"Antwerp Belgium, Eurasia",7307km,7307,168.64ms,168.64,43.49%,43.49,168.35ms,168.35,168.89ms,168.89,0.53ms,0.53,2018-11-10 12:20:06
"Arezzo Italy, Eurasia",8260km,8260,207.03ms,207.03,39.90%,39.9,206.67ms,206.67,208.91ms,208.91,0.55ms,0.55,2018-11-10 12:20:06
"Asheville United States, North America",5408km,5408,107.03ms,107.03,50.54%,50.54,106.77ms,106.77,107.45ms,107.45,0.42ms,0.42,2018-11-10 12:20:06
"Athens Greece, Eurasia",8973km,8973,235.06ms,235.06,38.18%,38.18,234.62ms,234.62,238.82ms,238.82,0.78ms,0.78,2018-11-10 12:20:06
"Atlanta United States, North America",5477km,5477,98.59ms,98.59,55.89%,55.89,98.22ms,98.22,100.51ms,100.51,0.46ms,0.46,2018-11-10 12:20:06
"Auckland New Zealand, Oceania",11366km,11366,246.66ms,246.66,46.20%,46.2,246.44ms,246.44,248.00ms,248.0,0.75ms,0.75,2018-11-10 12:20:06
"Austin United States, North America",5097km,5097,106.36ms,106.36,48.08%,48.08,98.18ms,98.18,132.84ms,132.84,9.26ms,9.26,2018-11-10 12:20:06
"Baltimore United States, North America",5398km,5398,104.69ms,104.69,51.90%,51.9,104.34ms,104.34,106.00ms,106.0,0.52ms,0.52,2018-11-10 12:20:06
"Bangalore India, Eurasia",10778km,10778,247.08ms,247.08,43.64%,43.64,246.88ms,246.88,247.51ms,247.51,0.25ms,0.25,2018-11-10 12:20:06
"Bangkok Thailand, Eurasia",9683km,9683,275.46ms,275.46,35.21%,35.21,269.21ms,269.21,328.38ms,328.38,12.43ms,12.43,2018-11-10 12:20:06
"Barcelona Spain, Eurasia",8332km,8332,190.07ms,190.07,43.85%,43.85,189.78ms,189.78,190.39ms,190.39,0.61ms,0.61,2018-11-10 12:20:06
"Basel Switzerland, Eurasia",7754km,7754,175.73ms,175.73,44.31%,44.31,175.41ms,175.41,177.01ms,177.01,0.61ms,0.61,2018-11-10 12:20:06
"Belfast United Kingdom, Eurasia",6755km,6755,162.59ms,162.59,41.70%,41.7,162.37ms,162.37,162.86ms,162.86,0.40ms,0.4,2018-11-10 12:20:06
