City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13629km,13629,345.50ms,345.5,39.50%,39.5,345.22ms,345.22,347.10ms,347.1,0.84ms,0.84,2018-11-10 12:20:35
"Albany United States, North America",8237km,8237,156.90ms,156.9,52.80%,52.8,124.44ms,124.44,243.37ms,243.37,41.47ms,41.47,2018-11-10 12:20:35
"Alblasserdam Netherlands, Eurasia",2531km,2531,50.38ms,50.38,50.62%,50.62,49.77ms,49.77,59.46ms,59.46,1.73ms,1.73,2018-11-10 12:20:35
"Albuquerque United States, North America",10697km,10697,180.66ms,180.66,59.43%,59.43,176.46ms,176.46,221.78ms,221.78,11.56ms,11.56,2018-11-10 12:20:35
"Algiers Algeria, Africa",2611km,2611,89.91ms,89.91,29.34%,29.34,88.93ms,88.93,91.04ms,91.04,0.50ms,0.5,2018-11-10 12:20:35
"Amsterdam Netherlands, Eurasia",2545km,2545,56.45ms,56.45,45.45%,45.45,56.11ms,56.11,57.44ms,57.44,0.42ms,0.42,2018-11-10 12:20:35
"Anchorage United States, North America",8767km,8767,207.71ms,207.71,42.35%,42.35,207.51ms,207.51,208.42ms,208.42,0.55ms,0.55,2018-11-10 12:20:35
"Antwerp Belgium, Eurasia",2523km,2523,66.35ms,66.35,38.23%,38.23,66.05ms,66.05,72.10ms,72.1,1.11ms,1.11,2018-11-10 12:20:35
"Arezzo Italy, Eurasia",1782km,1782,63.62ms,63.62,28.29%,28.29,63.36ms,63.36,64.89ms,64.89,0.39ms,0.39,2018-11-10 12:20:35
"Asheville United States, North America",9333km,9333,145.25ms,145.25,64.37%,64.37,145.13ms,145.13,145.50ms,145.5,0.45ms,0.45,2018-11-10 12:20:35
"Athens Greece, Eurasia",820km,820,74.75ms,74.75,11.08%,11.08,74.28ms,74.28,77.31ms,77.31,0.87ms,0.87,2018-11-10 12:20:35
"Atlanta United States, North America",9598km,9598,146.58ms,146.58,65.74%,65.74,146.06ms,146.06,150.38ms,150.38,1.11ms,1.11,2018-11-10 12:20:35
"Auckland New Zealand, Oceania",16704km,16704,315.30ms,315.3,53.03%,53.03,315.11ms,315.11,315.88ms,315.88,0.70ms,0.7,2018-11-10 12:20:35
"Austin United States, North America",10698km,10698,165.07ms,165.07,64.84%,64.84,155.48ms,155.48,200.34ms,200.34,12.36ms,12.36,2018-11-10 12:20:35
"Baltimore United States, North America",8672km,8672,131.47ms,131.47,66.20%,66.2,130.83ms,130.83,135.28ms,135.28,1.12ms,1.12,2018-11-10 12:20:35
"Bangalore India, Eurasia",5288km,5288,331.17ms,331.17,15.98%,15.98,330.79ms,330.79,337.34ms,337.34,1.16ms,1.16,2018-11-10 12:20:35
"Bangkok Thailand, Eurasia",7133km,7133,263.14ms,263.14,27.12%,27.12,247.71ms,247.71,378.68ms,378.68,27.64ms,27.64,2018-11-10 12:20:35
"Barcelona Spain, Eurasia",2581km,2581,78.03ms,78.03,33.09%,33.09,77.74ms,77.74,78.99ms,78.99,0.45ms,0.45,2018-11-10 12:20:35
"Basel Switzerland, Eurasia",2188km,2188,53.74ms,53.74,41.28%,41.28,53.52ms,53.52,54.52ms,54.52,0.31ms,0.31,2018-11-10 12:20:35
