City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",3245km,3245,44.45ms,44.45,73.75%,73.75,44.17ms,44.17,45.38ms,45.38,0.40ms,0.4,2018-11-10 12:23:33
"Albany United States, North America",14291km,14291,279.94ms,279.94,51.22%,51.22,247.85ms,247.85,350.33ms,350.33,39.03ms,39.03,2018-11-10 12:23:33
"Alblasserdam Netherlands, Eurasia",18176km,18176,321.67ms,321.67,56.62%,56.62,321.35ms,321.35,322.80ms,322.8,0.81ms,0.81,2018-11-10 12:23:33
"Albuquerque United States, North America",11397km,11397,221.32ms,221.32,51.57%,51.57,216.66ms,216.66,260.92ms,260.92,10.20ms,10.2,2018-11-10 12:23:33
"Algiers Algeria, Africa",19279km,19279,335.12ms,335.12,57.55%,57.55,334.47ms,334.47,335.66ms,335.66,0.77ms,0.77,2018-11-10 12:23:33
"Amsterdam Netherlands, Eurasia",18132km,18132,303.60ms,303.6,59.84%,59.84,303.47ms,303.47,303.90ms,303.9,0.61ms,0.61,2018-11-10 12:23:33
"Anchorage United States, North America",11366km,11366,246.65ms,246.65,46.20%,46.2,246.33ms,246.33,247.99ms,247.99,0.66ms,0.66,2018-11-10 12:23:33
"Ankara Turkey, Eurasia",16704km,16704,315.67ms,315.67,53.03%,53.03,315.10ms,315.1,321.72ms,321.72,1.49ms,1.49,2018-11-10 12:23:33
"Antwerp Belgium, Eurasia",18248km,18248,279.09ms,279.09,65.41%,65.41,278.61ms,278.61,285.32ms,285.32,1.52ms,1.52,2018-11-10 12:23:33
"Arezzo Italy, Eurasia",18392km,18392,282.39ms,282.39,65.22%,65.22,282.32ms,282.32,282.47ms,282.47,0.60ms,0.6,2018-11-10 12:23:33
"Asheville United States, North America",13289km,13289,217.49ms,217.49,61.24%,61.24,217.37ms,217.37,218.07ms,218.07,0.46ms,0.46,2018-11-10 12:23:33
"Athens Greece, Eurasia",17467km,17467,350.59ms,350.59,49.91%,49.91,350.30ms,350.3,351.80ms,351.8,0.75ms,0.75,2018-11-10 12:23:33
"Atlanta United States, North America",13046km,13046,209.62ms,209.62,62.42%,62.42,209.42ms,209.42,209.83ms,209.83,0.48ms,0.48,2018-11-10 12:23:33
"Austin United States, North America",11766km,11766,208.81ms,208.81,56.57%,56.57,197.28ms,197.28,239.92ms,239.92,12.22ms,12.22,2018-11-10 12:23:33
"Baltimore United States, North America",13935km,13935,277.74ms,277.74,50.31%,50.31,277.32ms,277.32,279.53ms,279.53,0.86ms,0.86,2018-11-10 12:23:33
"Bangalore India, Eurasia",11499km,11499,271.44ms,271.44,42.43%,42.43,271.31ms,271.31,271.72ms,271.72,0.65ms,0.65,2018-11-10 12:23:33
"Bangkok Thailand, Eurasia",9574km,9574,162.10ms,162.1,59.10%,59.1,149.58ms,149.58,270.83ms,270.83,26.77ms,26.77,2018-11-10 12:23:33
"Barcelona Spain, Eurasia",19204km,19204,317.27ms,317.27,60.58%,60.58,316.95ms,316.95,320.05ms,320.05,0.69ms,0.69,2018-11-10 12:23:33
"Basel Switzerland, Eurasia",18430km,18430,320.23ms,320.23,57.59%,57.59,319.92ms,319.92,324.24ms,324.24,0.99ms,0.99,2018-11-10 12:23:33
"Belfast United Kingdom, Eurasia",18045km,18045,389.74ms,389.74,46.39%,46.39,389.33ms,389.33,391.86ms,391.86,0.78ms,0.78,2018-11-10 12:23:33
"Bergen Norway, Eurasia",17296km,17296,305.65ms,305.65,56.71%,56.71,305.15ms,305.15,308.14ms,308.14,0.84ms,0.84,2018-11-10 12:23:33
"Berkeley Springs United States, North America",13821km,13821,223.82ms,223.82,61.98%,61.98,223.45ms,223.45,228.65ms,228.65,1.04ms,1.04,2018-11-10 12:23:33
"Bern Switzerland, Eurasia",18484km,18484,321.63ms,321.63,57.58%,57.58,321.36ms,321.36,325.14ms,325.14,0.84ms,0.84,2018-11-10 12:23:33
"Bogota Colombia, South America",12196km,12196,283.81ms,283.81,43.10%,43.1,283.09ms,283.09,291.85ms,291.85,2.06ms,2.06,2018-11-10 12:23:33
"Boston United States, North America",14489km,14489,231.39ms,231.39,62.72%,62.72,230.94ms,230.94,234.83ms,234.83,0.94ms,0.94,2018-11-10 12:23:33
"Brasilia Brazil, South America",12656km,12656,340.09ms,340.09,37.22%,37.22,338.88ms,338.88,348.13ms,348.13,2.41ms,2.41,2018-11-10 12:23:33
"Bratislava Slovakia, Eurasia",17809km,17809,292.04ms,292.04,60.99%,60.99,291.92ms,291.92,292.32ms,292.32,0.21ms,0.21,2018-11-10 12:23:33
"Brisbane Australia, Oceania",2287km,2287,35.25ms,35.25,65.34%,65.34,35.13ms,35.13,35.50ms,35.5,0.26ms,0.26,2018-11-10 12:23:33
"Bristol United Kingdom, Eurasia",18381km,18381,299.27ms,299.27,61.47%,61.47,299.02ms,299.02,300.98ms,300.98,0.62ms,0.62,2018-11-10 12:23:33
"Brno Czech Republic, Eurasia",17786km,17786,283.91ms,283.91,62.85%,62.85,283.81ms,283.81,284.53ms,284.53,0.70ms,0.7,2018-11-10 12:23:33
"Bruges Belgium, Eurasia",18286km,18286,301.62ms,301.62,60.75%,60.75,301.30ms,301.3,303.38ms,303.38,0.62ms,0.62,2018-11-10 12:23:33
"Brunswick United States, North America",14622km,14622,251.83ms,251.83,58.25%,58.25,251.54ms,251.54,252.10ms,252.1,0.29ms,0.29,2018-11-10 12:23:33
"Brussels Belgium, Eurasia",18285km,18285,309.94ms,309.94,59.17%,59.17,309.82ms,309.82,310.35ms,310.35,0.23ms,0.23,2018-11-10 12:23:33
"Bucharest Romania, Eurasia",17262km,17262,386.38ms,386.38,44.72%,44.72,386.26ms,386.26,386.51ms,386.51,0.17ms,0.17,2018-11-10 12:23:33
"Budapest Hungary, Eurasia",17706km,17706,293.26ms,293.26,60.43%,60.43,292.66ms,292.66,294.04ms,294.04,0.80ms,0.8,2018-11-10 12:23:33
"Buenos Aires Argentina, South America",10359km,10359,435.29ms,435.29,23.81%,23.81,430.75ms,430.75,463.24ms,463.24,7.84ms,7.84,2018-11-10 12:23:33
"Buffalo United States, North America",13902km,13902,230.29ms,230.29,60.44%,60.44,228.57ms,228.57,235.11ms,235.11,2.14ms,2.14,2018-11-10 12:23:33
"Bursa Turkey, Eurasia",17030km,17030,314.85ms,314.85,54.24%,54.24,314.56ms,314.56,317.34ms,317.34,0.84ms,0.84,2018-11-10 12:23:33
"Cairo Egypt, Africa",16573km,16573,353.72ms,353.72,46.95%,46.95,346.49ms,346.49,376.88ms,376.88,7.76ms,7.76,2018-11-10 12:23:33
"Calgary Canada, North America",11979km,11979,201.31ms,201.31,59.60%,59.6,199.37ms,199.37,222.01ms,222.01,5.17ms,5.17,2018-11-10 12:23:33
"Canberra Australia, Oceania",2302km,2302,36.03ms,36.03,63.94%,63.94,35.78ms,35.78,37.50ms,37.5,0.39ms,0.39,2018-11-10 12:23:33
"Cape Town South Africa, Africa",11770km,11770,494.27ms,494.27,23.83%,23.83,494.05ms,494.05,496.18ms,496.18,0.95ms,0.95,2018-11-10 12:23:33
"Caracas Venezuela, South America",13221km,13221,264.44ms,264.44,50.08%,50.08,263.93ms,263.93,265.22ms,265.22,0.51ms,0.51,2018-11-10 12:23:33
"Cardiff United Kingdom, Eurasia",18383km,18383,300.75ms,300.75,61.28%,61.28,300.23ms,300.23,302.09ms,302.09,0.73ms,0.73,2018-11-10 12:23:33
"Carlow Ireland, Eurasia",18236km,18236,279.04ms,279.04,65.36%,65.36,278.87ms,278.87,279.79ms,279.79,0.65ms,0.65,2018-11-10 12:23:33
"Charlotte United States, North America",13410km,13410,210.07ms,210.07,63.86%,63.86,209.91ms,209.91,211.16ms,211.16,0.68ms,0.68,2018-11-10 12:23:33
"Cheltenham United Kingdom, Eurasia",18327km,18327,299.48ms,299.48,61.29%,61.29,299.41ms,299.41,299.77ms,299.77,0.35ms,0.35,2018-11-10 12:23:33
"Chennai India, Eurasia",11270km,11270,149.99ms,149.99,75.64%,75.64,149.88ms,149.88,150.40ms,150.4,0.44ms,0.44,2018-11-10 12:23:33
"Chicago United States, North America",13193km,13193,216.47ms,216.47,61.08%,61.08,216.33ms,216.33,217.35ms,217.35,0.49ms,0.49,2018-11-10 12:23:33
"Chisinau Moldova, Eurasia",17004km,17004,400.64ms,400.64,42.51%,42.51,400.21ms,400.21,404.41ms,404.41,1.15ms,1.15,2018-11-10 12:23:33
"Christchurch New Zealand, Oceania",762km,762,14.64ms,14.64,54.43%,54.43,14.33ms,14.33,18.94ms,18.94,0.83ms,0.83,2018-11-10 12:23:33
"Cincinnati United States, North America",13302km,13302,291.90ms,291.9,45.71%,45.71,291.82ms,291.82,292.14ms,292.14,0.74ms,0.74,2018-11-10 12:23:33
"Cleveland United States, North America",13664km,13664,239.46ms,239.46,57.17%,57.17,239.21ms,239.21,240.34ms,240.34,0.40ms,0.4,2018-11-10 12:23:33
"Colorado Springs United States, North America",11772km,11772,192.01ms,192.01,61.31%,61.31,191.53ms,191.53,198.68ms,198.68,1.37ms,1.37,2018-11-10 12:23:33
"Columbus United States, North America",13460km,13460,232.81ms,232.81,58.02%,58.02,232.16ms,232.16,236.82ms,236.82,1.15ms,1.15,2018-11-10 12:23:33
"Copenhagen Denmark, Eurasia",17533km,17533,285.42ms,285.42,61.52%,61.52,284.80ms,284.8,297.67ms,297.67,2.37ms,2.37,2018-11-10 12:23:33
