City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16744km,16744,249.94ms,249.94,67.24%,67.24,249.69ms,249.69,250.39ms,250.39,0.62ms,0.62,2018-11-10 12:18:53
"Albany United States, North America",510km,510,42.88ms,42.88,12.14%,12.14,15.78ms,15.78,113.02ms,113.02,36.44ms,36.44,2018-11-10 12:18:53
"Alblasserdam Netherlands, Eurasia",6217km,6217,86.77ms,86.77,72.29%,72.29,86.51ms,86.51,87.39ms,87.39,0.37ms,0.37,2018-11-10 12:18:53
"Albuquerque United States, North America",2547km,2547,65.11ms,65.11,39.18%,39.18,61.38ms,61.38,107.16ms,107.16,9.54ms,9.54,2018-11-10 12:18:53
"Algiers Algeria, Africa",6855km,6855,128.44ms,128.44,53.55%,53.55,126.52ms,126.52,147.13ms,147.13,3.67ms,3.67,2018-11-10 12:18:53
"Amsterdam Netherlands, Eurasia",6202km,6202,102.36ms,102.36,60.80%,60.8,102.12ms,102.12,102.93ms,102.93,0.29ms,0.29,2018-11-10 12:18:53
"Anchorage United States, North America",5283km,5283,104.38ms,104.38,50.80%,50.8,103.74ms,103.74,106.58ms,106.58,0.77ms,0.77,2018-11-10 12:18:53
"Ankara Turkey, Eurasia",8747km,8747,132.00ms,132.0,66.77%,66.77,131.80ms,131.8,132.47ms,132.47,0.48ms,0.48,2018-11-10 12:18:53
"Antwerp Belgium, Eurasia",6229km,6229,103.60ms,103.6,60.48%,60.48,103.48ms,103.48,103.79ms,103.79,0.16ms,0.16,2018-11-10 12:18:53
"Arezzo Italy, Eurasia",7122km,7122,127.83ms,127.83,56.08%,56.08,127.72ms,127.72,128.07ms,128.07,0.44ms,0.44,2018-11-10 12:18:53
"Asheville United States, North America",587km,587,27.18ms,27.18,21.74%,21.74,27.05ms,27.05,27.96ms,27.96,0.25ms,0.25,2018-11-10 12:18:53
