City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17332km,17332,273.11ms,273.11,63.49%,63.49,272.89ms,272.89,274.12ms,274.12,0.38ms,0.38,2018-11-10 12:18:18
"Albany United States, North America",225km,225,33.58ms,33.58,6.82%,6.82,4.58ms,4.58,105.97ms,105.97,38.85ms,38.85,2018-11-10 12:18:18
"Alblasserdam Netherlands, Eurasia",5562km,5562,69.86ms,69.86,80.61%,80.61,69.54ms,69.54,71.81ms,71.81,0.55ms,0.55,2018-11-10 12:18:18
"Albuquerque United States, North America",3162km,3162,59.00ms,59.0,53.59%,53.59,53.49ms,53.49,105.17ms,105.17,12.38ms,12.38,2018-11-10 12:18:18
"Algiers Algeria, Africa",6182km,6182,104.09ms,104.09,59.44%,59.44,102.53ms,102.53,127.13ms,127.13,4.37ms,4.37,2018-11-10 12:18:18
"Amsterdam Netherlands, Eurasia",5549km,5549,79.77ms,79.77,70.24%,70.24,78.94ms,78.94,87.17ms,87.17,1.54ms,1.54,2018-11-10 12:18:18
"Anchorage United States, North America",5421km,5421,94.48ms,94.48,57.67%,57.67,94.24ms,94.24,94.81ms,94.81,0.32ms,0.32,2018-11-10 12:18:18
"Ankara Turkey, Eurasia",8094km,8094,142.10ms,142.1,57.00%,57.0,141.53ms,141.53,145.98ms,145.98,0.95ms,0.95,2018-11-10 12:18:18
"Antwerp Belgium, Eurasia",5572km,5572,79.75ms,79.75,70.53%,70.53,77.81ms,77.81,128.62ms,128.62,9.08ms,9.08,2018-11-10 12:18:18
"Arezzo Italy, Eurasia",6453km,6453,99.59ms,99.59,65.18%,65.18,99.42ms,99.42,100.53ms,100.53,0.32ms,0.32,2018-11-10 12:18:18
"Asheville United States, North America",1244km,1244,24.78ms,24.78,51.83%,51.83,24.58ms,24.58,25.09ms,25.09,0.23ms,0.23,2018-11-10 12:18:18
"Athens Greece, Eurasia",7622km,7622,120.31ms,120.31,63.52%,63.52,119.88ms,119.88,122.52ms,122.52,0.72ms,0.72,2018-11-10 12:18:18
"Atlanta United States, North America",1506km,1506,24.00ms,24.0,62.75%,62.75,23.61ms,23.61,25.42ms,25.42,0.45ms,0.45,2018-11-10 12:18:18
