City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15060km,15060,335.04ms,335.04,44.96%,44.96,332.46ms,332.46,336.72ms,336.72,1.88ms,1.88,2018-11-10 12:20:00
"Albany United States, North America",6687km,6687,132.91ms,132.91,50.66%,50.66,97.02ms,97.02,228.98ms,228.98,43.11ms,43.11,2018-11-10 12:20:00
"Alblasserdam Netherlands, Eurasia",980km,980,20.66ms,20.66,49.00%,49.0,20.30ms,20.3,21.14ms,21.14,0.25ms,0.25,2018-11-10 12:20:00
"Albuquerque United States, North America",9209km,9209,163.94ms,163.94,56.50%,56.5,159.97ms,159.97,203.47ms,203.47,11.10ms,11.1,2018-11-10 12:20:00
"Algiers Algeria, Africa",1707km,1707,51.15ms,51.15,33.47%,33.47,50.56ms,50.56,51.79ms,51.79,0.36ms,0.36,2018-11-10 12:20:00
"Amsterdam Netherlands, Eurasia",994km,994,39.64ms,39.64,25.49%,25.49,39.41ms,39.41,40.99ms,40.99,0.36ms,0.36,2018-11-10 12:20:00
"Anchorage United States, North America",7801km,7801,190.06ms,190.06,41.06%,41.06,189.77ms,189.77,191.01ms,191.01,0.34ms,0.34,2018-11-10 12:20:00
"Ankara Turkey, Eurasia",1551km,1551,33.43ms,33.43,47.00%,47.0,33.12ms,33.12,35.90ms,35.9,0.55ms,0.55,2018-11-10 12:20:00
"Antwerp Belgium, Eurasia",974km,974,23.56ms,23.56,42.35%,42.35,23.46ms,23.46,23.82ms,23.82,0.19ms,0.19,2018-11-10 12:20:00
"Arezzo Italy, Eurasia",659km,659,27.29ms,27.29,24.41%,24.41,27.04ms,27.04,31.81ms,31.81,0.84ms,0.84,2018-11-10 12:20:00
"Asheville United States, North America",7782km,7782,126.37ms,126.37,61.76%,61.76,126.29ms,126.29,126.54ms,126.54,0.14ms,0.14,2018-11-10 12:20:00
"Athens Greece, Eurasia",1251km,1251,33.62ms,33.62,37.91%,37.91,33.46ms,33.46,34.69ms,34.69,0.30ms,0.3,2018-11-10 12:20:00
"Atlanta United States, North America",8047km,8047,125.70ms,125.7,64.38%,64.38,125.33ms,125.33,130.06ms,130.06,0.97ms,0.97,2018-11-10 12:20:00
"Auckland New Zealand, Oceania",17809km,17809,291.99ms,291.99,61.20%,61.2,291.86ms,291.86,292.20ms,292.2,0.54ms,0.54,2018-11-10 12:20:00
"Austin United States, North America",9160km,9160,151.69ms,151.69,60.66%,60.66,141.14ms,141.14,198.81ms,198.81,14.06ms,14.06,2018-11-10 12:20:00
"Baltimore United States, North America",7120km,7120,103.50ms,103.5,69.13%,69.13,103.18ms,103.18,105.46ms,105.46,0.58ms,0.58,2018-11-10 12:20:00
"Bangalore India, Eurasia",6764km,6764,138.12ms,138.12,49.01%,49.01,138.03ms,138.03,138.28ms,138.28,0.15ms,0.15,2018-11-10 12:20:00
