City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16434km,16434,314.69ms,314.69,52.34%,52.34,314.38ms,314.38,315.54ms,315.54,0.58ms,0.58,2018-11-10 12:19:36
"Albany United States, North America",5257km,5257,108.96ms,108.96,48.68%,48.68,71.53ms,71.53,187.94ms,187.94,41.75ms,41.75,2018-11-10 12:19:36
"Alblasserdam Netherlands, Eurasia",501km,501,11.69ms,11.69,45.55%,45.55,11.44ms,11.44,12.51ms,12.51,0.28ms,0.28,2018-11-10 12:19:36
"Albuquerque United States, North America",7891km,7891,131.60ms,131.6,60.24%,60.24,125.37ms,125.37,177.13ms,177.13,12.36ms,12.36,2018-11-10 12:19:36
"Algiers Algeria, Africa",1694km,1694,47.91ms,47.91,36.04%,36.04,46.63ms,46.63,68.40ms,68.4,3.82ms,3.82,2018-11-10 12:19:36
"Amsterdam Netherlands, Eurasia",508km,508,12.60ms,12.6,42.33%,42.33,12.38ms,12.38,13.19ms,13.19,0.23ms,0.23,2018-11-10 12:19:36
"Anchorage United States, North America",7156km,7156,161.66ms,161.66,44.45%,44.45,161.22ms,161.22,162.49ms,162.49,0.61ms,0.61,2018-11-10 12:19:36
"Ankara Turkey, Eurasia",2999km,2999,64.71ms,64.71,46.86%,46.86,64.42ms,64.42,65.56ms,65.56,0.34ms,0.34,2018-11-10 12:19:36
"Antwerp Belgium, Eurasia",486km,486,18.92ms,18.92,27.00%,27.0,18.72ms,18.72,19.52ms,19.52,0.18ms,0.18,2018-11-10 12:19:36
"Arezzo Italy, Eurasia",1399km,1399,32.91ms,32.91,43.72%,43.72,32.74ms,32.74,33.57ms,33.57,0.26ms,0.26,2018-11-10 12:19:36
"Asheville United States, North America",6348km,6348,91.63ms,91.63,69.76%,69.76,91.49ms,91.49,91.97ms,91.97,0.28ms,0.28,2018-11-10 12:19:36
"Athens Greece, Eurasia",2541km,2541,60.89ms,60.89,42.35%,42.35,60.69ms,60.69,61.77ms,61.77,0.37ms,0.37,2018-11-10 12:19:36
"Atlanta United States, North America",6611km,6611,91.77ms,91.77,72.65%,72.65,91.56ms,91.56,92.36ms,92.36,0.34ms,0.34,2018-11-10 12:19:36
"Auckland New Zealand, Oceania",18381km,18381,299.40ms,299.4,61.47%,61.47,299.01ms,299.01,302.90ms,302.9,0.81ms,0.81,2018-11-10 12:19:36
"Austin United States, North America",7761km,7761,118.09ms,118.09,65.77%,65.77,109.21ms,109.21,154.60ms,154.6,9.73ms,9.73,2018-11-10 12:19:36
"Baltimore United States, North America",5684km,5684,78.89ms,78.89,72.87%,72.87,78.32ms,78.32,86.69ms,86.69,1.51ms,1.51,2018-11-10 12:19:36
