City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16045km,16045,351.56ms,351.56,45.71%,45.71,349.71ms,349.71,355.80ms,355.8,2.18ms,2.18,2018-11-10 12:19:21
"Albany United States, North America",5645km,5645,109.01ms,109.01,51.79%,51.79,74.56ms,74.56,176.89ms,176.89,40.26ms,40.26,2018-11-10 12:19:21
"Alblasserdam Netherlands, Eurasia",121km,121,9.24ms,9.24,13.44%,13.44,8.88ms,8.88,12.32ms,12.32,0.64ms,0.64,2018-11-10 12:19:21
"Albuquerque United States, North America",8238km,8238,135.70ms,135.7,61.02%,61.02,131.15ms,131.15,174.15ms,174.15,10.39ms,10.39,2018-11-10 12:19:21
"Algiers Algeria, Africa",1608km,1608,42.99ms,42.99,38.29%,38.29,42.15ms,42.15,48.26ms,48.26,1.21ms,1.21,2018-11-10 12:19:21
"Amsterdam Netherlands, Eurasia",157km,157,16.57ms,16.57,9.81%,9.81,16.23ms,16.23,17.57ms,17.57,0.38ms,0.38,2018-11-10 12:19:21
"Anchorage United States, North America",7289km,7289,175.89ms,175.89,41.65%,41.65,175.57ms,175.57,177.21ms,177.21,0.65ms,0.65,2018-11-10 12:19:21
"Ankara Turkey, Eurasia",2601km,2601,61.17ms,61.17,42.64%,42.64,60.35ms,60.35,64.93ms,64.93,1.25ms,1.25,2018-11-10 12:19:21
"Antwerp Belgium, Eurasia",81km,81,14.02ms,14.02,5.79%,5.79,13.71ms,13.71,17.97ms,17.97,0.78ms,0.78,2018-11-10 12:19:21
"Arezzo Italy, Eurasia",1078km,1078,33.05ms,33.05,32.67%,32.67,32.80ms,32.8,34.02ms,34.02,0.33ms,0.33,2018-11-10 12:19:21
"Asheville United States, North America",6738km,6738,96.72ms,96.72,70.19%,70.19,96.52ms,96.52,98.48ms,98.48,0.36ms,0.36,2018-11-10 12:19:21
"Athens Greece, Eurasia",2178km,2178,58.53ms,58.53,37.55%,37.55,58.16ms,58.16,60.70ms,60.7,0.69ms,0.69,2018-11-10 12:19:21
"Atlanta United States, North America",7002km,7002,101.94ms,101.94,69.33%,69.33,101.56ms,101.56,103.27ms,103.27,0.55ms,0.55,2018-11-10 12:19:21
"Auckland New Zealand, Oceania",18286km,18286,301.94ms,301.94,60.75%,60.75,301.23ms,301.23,308.49ms,308.49,1.48ms,1.48,2018-11-10 12:19:21
