City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",10147km,10147,441.98ms,441.98,23.01%,23.01,441.80ms,441.8,442.64ms,442.64,0.75ms,0.75,2018-11-10 12:22:26
"Albany United States, North America",12650km,12650,278.34ms,278.34,45.50%,45.5,231.34ms,231.34,358.36ms,358.36,43.46ms,43.46,2018-11-10 12:22:26
"Alblasserdam Netherlands, Eurasia",9642km,9642,150.34ms,150.34,64.28%,64.28,149.80ms,149.8,154.24ms,154.24,0.96ms,0.96,2018-11-10 12:22:26
"Albuquerque United States, North America",15049km,15049,269.05ms,269.05,55.94%,55.94,264.65ms,264.65,308.87ms,308.87,10.11ms,10.11,2018-11-10 12:22:26
"Algiers Algeria, Africa",8026km,8026,198.34ms,198.34,40.54%,40.54,197.99ms,197.99,200.02ms,200.02,0.58ms,0.58,2018-11-10 12:22:26
"Amsterdam Netherlands, Eurasia",9688km,9688,151.71ms,151.71,64.16%,64.16,151.07ms,151.07,153.68ms,153.68,0.80ms,0.8,2018-11-10 12:22:26
"Anchorage United States, North America",16877km,16877,324.61ms,324.61,52.09%,52.09,324.41ms,324.41,325.42ms,325.42,0.21ms,0.21,2018-11-10 12:22:26
"Ankara Turkey, Eurasia",8353km,8353,199.57ms,199.57,41.97%,41.97,198.96ms,198.96,203.66ms,203.66,1.35ms,1.35,2018-11-10 12:22:26
"Antwerp Belgium, Eurasia",9574km,9574,153.32ms,153.32,62.58%,62.58,153.03ms,153.03,153.98ms,153.98,0.52ms,0.52,2018-11-10 12:22:26
"Arezzo Italy, Eurasia",8640km,8640,173.24ms,173.24,49.94%,49.94,172.81ms,172.81,180.07ms,180.07,1.35ms,1.35,2018-11-10 12:22:26
"Asheville United States, North America",13011km,13011,229.50ms,229.5,56.82%,56.82,229.25ms,229.25,232.32ms,232.32,0.83ms,0.83,2018-11-10 12:22:26
"Athens Greece, Eurasia",8020km,8020,201.02ms,201.02,39.90%,39.9,198.12ms,198.12,207.98ms,207.98,3.00ms,3.0,2018-11-10 12:22:26
"Atlanta United States, North America",13080km,13080,233.59ms,233.59,56.14%,56.14,230.96ms,230.96,238.99ms,238.99,2.44ms,2.44,2018-11-10 12:22:26
