City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16473km,16473,343.69ms,343.69,48.03%,48.03,342.79ms,342.79,347.93ms,347.93,1.27ms,1.27,2018-11-10 12:19:18
"Albany United States, North America",5217km,5217,113.18ms,113.18,46.17%,46.17,73.82ms,73.82,188.58ms,188.58,43.19ms,43.19,2018-11-10 12:19:18
"Alblasserdam Netherlands, Eurasia",541km,541,13.26ms,13.26,41.62%,41.62,12.45ms,12.45,16.39ms,16.39,0.83ms,0.83,2018-11-10 12:19:18
"Albuquerque United States, North America",7855km,7855,135.51ms,135.51,58.19%,58.19,132.14ms,132.14,171.69ms,171.69,7.67ms,7.67,2018-11-10 12:19:18
"Algiers Algeria, Africa",1710km,1710,50.14ms,50.14,34.20%,34.2,49.11ms,49.11,51.39ms,51.39,0.60ms,0.6,2018-11-10 12:19:18
"Amsterdam Netherlands, Eurasia",548km,548,13.74ms,13.74,42.15%,42.15,13.31ms,13.31,14.27ms,14.27,0.29ms,0.29,2018-11-10 12:19:19
"Anchorage United States, North America",7141km,7141,162.88ms,162.88,44.08%,44.08,162.09ms,162.09,164.38ms,164.38,0.61ms,0.61,2018-11-10 12:19:19
"Ankara Turkey, Eurasia",3040km,3040,63.25ms,63.25,48.25%,48.25,62.56ms,62.56,68.31ms,68.31,1.14ms,1.14,2018-11-10 12:19:19
"Antwerp Belgium, Eurasia",527km,527,20.38ms,20.38,26.35%,26.35,19.98ms,19.98,21.40ms,21.4,0.40ms,0.4,2018-11-10 12:19:19
"Arezzo Italy, Eurasia",1435km,1435,36.48ms,36.48,39.86%,39.86,36.03ms,36.03,39.40ms,39.4,0.61ms,0.61,2018-11-10 12:19:19
"Asheville United States, North America",6307km,6307,93.50ms,93.5,67.82%,67.82,93.07ms,93.07,94.05ms,94.05,0.50ms,0.5,2018-11-10 12:19:19
"Athens Greece, Eurasia",2579km,2579,62.46ms,62.46,41.60%,41.6,61.93ms,61.93,64.83ms,64.83,0.57ms,0.57,2018-11-10 12:19:19
"Atlanta United States, North America",6571km,6571,94.43ms,94.43,69.90%,69.9,93.97ms,93.97,96.28ms,96.28,0.49ms,0.49,2018-11-10 12:19:19
"Auckland New Zealand, Oceania",18383km,18383,300.83ms,300.83,61.28%,61.28,300.28ms,300.28,303.05ms,303.05,0.97ms,0.97,2018-11-10 12:19:19
"Austin United States, North America",7722km,7722,120.50ms,120.5,64.35%,64.35,111.68ms,111.68,171.03ms,171.03,12.42ms,12.42,2018-11-10 12:19:19
"Baltimore United States, North America",5643km,5643,84.13ms,84.13,67.18%,67.18,83.39ms,83.39,86.07ms,86.07,0.68ms,0.68,2018-11-10 12:19:19
"Bangalore India, Eurasia",8248km,8248,157.57ms,157.57,52.54%,52.54,157.04ms,157.04,160.00ms,160.0,0.84ms,0.84,2018-11-10 12:19:19
"Bangkok Thailand, Eurasia",9735km,9735,166.61ms,166.61,58.64%,58.64,159.26ms,159.26,305.97ms,305.97,26.06ms,26.06,2018-11-10 12:19:19
"Barcelona Spain, Eurasia",1194km,1194,31.95ms,31.95,38.52%,38.52,31.33ms,31.33,33.56ms,33.56,0.53ms,0.53,2018-11-10 12:19:19
"Basel Switzerland, Eurasia",890km,890,32.01ms,32.01,27.81%,27.81,31.41ms,31.41,33.45ms,33.45,0.60ms,0.6,2018-11-10 12:19:19
"Belfast United Kingdom, Eurasia",391km,391,26.97ms,26.97,15.04%,15.04,26.65ms,26.65,27.78ms,27.78,0.35ms,0.35,2018-11-10 12:19:19
"Bergen Norway, Eurasia",1120km,1120,49.70ms,49.7,22.86%,22.86,49.01ms,49.01,50.76ms,50.76,0.52ms,0.52,2018-11-10 12:19:19
"Berkeley Springs United States, North America",5725km,5725,89.16ms,89.16,64.33%,64.33,88.44ms,88.44,90.74ms,90.74,0.63ms,0.63,2018-11-10 12:19:19
"Bern Switzerland, Eurasia",921km,921,29.92ms,29.92,31.76%,31.76,28.94ms,28.94,44.69ms,44.69,2.78ms,2.78,2018-11-10 12:19:19
"Bogota Colombia, South America",8295km,8295,170.58ms,170.58,48.79%,48.79,169.74ms,169.74,177.51ms,177.51,1.54ms,1.54,2018-11-10 12:19:19
"Boston United States, North America",5064km,5064,68.21ms,68.21,74.47%,74.47,67.43ms,67.43,73.19ms,73.19,1.10ms,1.1,2018-11-10 12:19:19
"Brasilia Brazil, South America",8642km,8642,225.79ms,225.79,38.41%,38.41,224.30ms,224.3,234.90ms,234.9,2.35ms,2.35,2018-11-10 12:19:19
"Bratislava Slovakia, Eurasia",1497km,1497,31.16ms,31.16,48.29%,48.29,30.71ms,30.71,33.20ms,33.2,0.51ms,0.51,2018-11-10 12:19:19
"Brisbane Australia, Oceania",16690km,16690,295.84ms,295.84,56.58%,56.58,295.24ms,295.24,297.58ms,297.58,0.69ms,0.69,2018-11-10 12:19:19
"Bristol United Kingdom, Eurasia",41km,41,8.83ms,8.83,5.12%,5.12,8.35ms,8.35,9.73ms,9.73,0.42ms,0.42,2018-11-10 12:19:19
"Brno Czech Republic, Eurasia",1423km,1423,32.28ms,32.28,44.47%,44.47,31.88ms,31.88,33.72ms,33.72,0.41ms,0.41,2018-11-10 12:19:19
"Bruges Belgium, Eurasia",446km,446,13.93ms,13.93,34.31%,34.31,13.08ms,13.08,18.13ms,18.13,1.19ms,1.19,2018-11-10 12:19:19
"Brunswick United States, North America",4892km,4892,78.07ms,78.07,62.72%,62.72,77.53ms,77.53,79.63ms,79.63,0.64ms,0.64,2018-11-10 12:19:19
"Brussels Belgium, Eurasia",529km,529,16.21ms,16.21,33.06%,33.06,15.68ms,15.68,17.11ms,17.11,0.46ms,0.46,2018-11-10 12:19:19
"Bucharest Romania, Eurasia",2300km,2300,57.58ms,57.58,40.35%,40.35,54.39ms,54.39,60.05ms,60.05,1.32ms,1.32,2018-11-10 12:19:19
"Budapest Hungary, Eurasia",1659km,1659,36.28ms,36.28,46.08%,46.08,35.63ms,35.63,37.33ms,37.33,0.45ms,0.45,2018-11-10 12:19:19
"Buenos Aires Argentina, South America",10981km,10981,230.72ms,230.72,47.74%,47.74,226.68ms,226.68,247.00ms,247.0,4.98ms,4.98,2018-11-10 12:19:19
"Buffalo United States, North America",5541km,5541,86.16ms,86.16,64.43%,64.43,83.00ms,83.0,109.95ms,109.95,5.87ms,5.87,2018-11-10 12:19:19
"Bursa Turkey, Eurasia",2765km,2765,64.84ms,64.84,43.20%,43.2,63.34ms,63.34,91.49ms,91.49,4.98ms,4.98,2018-11-10 12:19:19
"Cairo Egypt, Africa",3694km,3694,71.05ms,71.05,52.03%,52.03,69.04ms,69.04,77.20ms,77.2,1.74ms,1.74,2018-11-10 12:19:19
"Calgary Canada, North America",6899km,6899,151.16ms,151.16,45.69%,45.69,149.45ms,149.45,157.36ms,157.36,2.09ms,2.09,2018-11-10 12:19:19
"Canberra Australia, Oceania",17178km,17178,289.00ms,289.0,59.65%,59.65,287.96ms,287.96,294.52ms,294.52,1.53ms,1.53,2018-11-10 12:19:19
"Cape Town South Africa, Africa",9737km,9737,147.87ms,147.87,66.24%,66.24,147.43ms,147.43,150.03ms,150.03,0.51ms,0.51,2018-11-10 12:19:19
"Caracas Venezuela, South America",7294km,7294,164.08ms,164.08,44.48%,44.48,163.02ms,163.02,167.71ms,167.71,0.98ms,0.98,2018-11-10 12:19:19
"Carlow Ireland, Eurasia",296km,296,18.73ms,18.73,16.44%,16.44,18.09ms,18.09,20.23ms,20.23,0.57ms,0.57,2018-11-10 12:19:19
"Charlotte United States, North America",6222km,6222,93.74ms,93.74,66.90%,66.9,93.44ms,93.44,94.35ms,94.35,0.39ms,0.39,2018-11-10 12:19:19
"Cheltenham United Kingdom, Eurasia",89km,89,8.82ms,8.82,11.12%,11.12,8.42ms,8.42,9.84ms,9.84,0.36ms,0.36,2018-11-10 12:19:19
"Chennai India, Eurasia",8425km,8425,157.02ms,157.02,53.66%,53.66,156.57ms,156.57,158.08ms,158.08,0.42ms,0.42,2018-11-10 12:19:19
"Chicago United States, North America",6170km,6170,90.56ms,90.56,68.56%,68.56,89.90ms,89.9,91.36ms,91.36,0.59ms,0.59,2018-11-10 12:19:19
"Chisinau Moldova, Eurasia",2363km,2363,67.45ms,67.45,35.27%,35.27,63.39ms,63.39,81.25ms,81.25,3.59ms,3.59,2018-11-10 12:19:19
"Christchurch New Zealand, Oceania",19078km,19078,323.89ms,323.89,59.07%,59.07,316.42ms,316.42,351.46ms,351.46,8.61ms,8.61,2018-11-10 12:19:19
"Cincinnati United States, North America",6174km,6174,97.06ms,97.06,63.65%,63.65,96.58ms,96.58,98.27ms,98.27,0.50ms,0.5,2018-11-10 12:19:19
"Cleveland United States, North America",5782km,5782,96.60ms,96.6,60.23%,60.23,95.89ms,95.89,104.44ms,104.44,1.52ms,1.52,2018-11-10 12:19:19
"Colorado Springs United States, North America",7433km,7433,121.84ms,121.84,61.43%,61.43,120.13ms,120.13,143.38ms,143.38,4.66ms,4.66,2018-11-10 12:19:19
"Columbus United States, North America",6012km,6012,92.53ms,92.53,65.35%,65.35,91.92ms,91.92,93.82ms,93.82,0.45ms,0.45,2018-11-10 12:19:19
"Copenhagen Denmark, Eurasia",1136km,1136,27.45ms,27.45,42.07%,42.07,26.95ms,26.95,29.17ms,29.17,0.60ms,0.6,2018-11-10 12:19:19
"Coventry United Kingdom, Eurasia",154km,154,10.97ms,10.97,15.40%,15.4,10.45ms,10.45,12.56ms,12.56,0.48ms,0.48,2018-11-10 12:19:19
"Cromwell United States, North America",5220km,5220,76.99ms,76.99,68.68%,68.68,76.31ms,76.31,78.63ms,78.63,0.62ms,0.62,2018-11-10 12:19:19
"Dagupan Philippines, Eurasia",10740km,10740,270.69ms,270.69,39.78%,39.78,269.06ms,269.06,278.06ms,278.06,1.91ms,1.91,2018-11-10 12:19:19
"Dallas United States, North America",7453km,7453,108.98ms,108.98,69.01%,69.01,108.66ms,108.66,110.15ms,110.15,0.34ms,0.34,2018-11-10 12:19:19
"Dar es Salaam Tanzania, Africa",7639km,7639,144.59ms,144.59,53.05%,53.05,142.81ms,142.81,181.30ms,181.3,6.84ms,6.84,2018-11-10 12:19:19
"Denver United States, North America",7372km,7372,114.33ms,114.33,64.67%,64.67,113.13ms,113.13,122.73ms,122.73,1.89ms,1.89,2018-11-10 12:19:19
"Des Moines United States, North America",6556km,6556,97.36ms,97.36,67.59%,67.59,96.78ms,96.78,102.78ms,102.78,1.16ms,1.16,2018-11-10 12:19:19
"Detroit United States, North America",5846km,5846,90.42ms,90.42,64.96%,64.96,89.97ms,89.97,91.84ms,91.84,0.59ms,0.59,2018-11-10 12:19:19
"Dhaka Bangladesh, Eurasia",8207km,8207,168.76ms,168.76,48.85%,48.85,167.84ms,167.84,170.71ms,170.71,0.75ms,0.75,2018-11-10 12:19:19
"Dronten Netherlands, Eurasia",619km,619,14.84ms,14.84,44.21%,44.21,14.07ms,14.07,17.10ms,17.1,0.70ms,0.7,2018-11-10 12:19:19
"Dubai United Arab Emirates, Eurasia",5708km,5708,125.53ms,125.53,45.66%,45.66,125.10ms,125.1,126.47ms,126.47,0.48ms,0.48,2018-11-10 12:19:19
"Dublin Ireland, Eurasia",294km,294,15.07ms,15.07,19.60%,19.6,13.95ms,13.95,36.62ms,36.62,4.03ms,4.03,2018-11-10 12:19:20
