City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16387km,16387,341.46ms,341.46,48.06%,48.06,341.32ms,341.32,342.06ms,342.06,0.80ms,0.8,2018-11-10 12:19:02
"Albany United States, North America",5274km,5274,110.50ms,110.5,47.95%,47.95,70.15ms,70.15,216.58ms,216.58,45.57ms,45.57,2018-11-10 12:19:02
"Alblasserdam Netherlands, Eurasia",461km,461,11.01ms,11.01,41.91%,41.91,10.90ms,10.9,11.68ms,11.68,0.21ms,0.21,2018-11-10 12:19:02
"Albuquerque United States, North America",7894km,7894,133.63ms,133.63,59.35%,59.35,130.07ms,130.07,178.32ms,178.32,10.30ms,10.3,2018-11-10 12:19:02
"Algiers Algeria, Africa",1732km,1732,44.03ms,44.03,39.36%,39.36,43.30ms,43.3,45.48ms,45.48,0.39ms,0.39,2018-11-10 12:19:02
"Amsterdam Netherlands, Eurasia",465km,465,12.43ms,12.43,38.75%,38.75,12.12ms,12.12,13.83ms,13.83,0.40ms,0.4,2018-11-10 12:19:02
"Anchorage United States, North America",7119km,7119,174.67ms,174.67,40.91%,40.91,174.38ms,174.38,176.78ms,176.78,0.49ms,0.49,2018-11-10 12:19:02
"Ankara Turkey, Eurasia",2975km,2975,62.20ms,62.2,47.98%,47.98,61.92ms,61.92,64.77ms,64.77,0.51ms,0.51,2018-11-10 12:19:02
"Antwerp Belgium, Eurasia",454km,454,19.00ms,19.0,25.22%,25.22,18.92ms,18.92,19.10ms,19.1,0.16ms,0.16,2018-11-10 12:19:02
"Arezzo Italy, Eurasia",1398km,1398,36.87ms,36.87,38.83%,38.83,36.55ms,36.55,42.67ms,42.67,1.10ms,1.1,2018-11-10 12:19:02
"Asheville United States, North America",6366km,6366,95.47ms,95.47,67.01%,67.01,95.43ms,95.43,95.53ms,95.53,0.35ms,0.35,2018-11-10 12:19:02
"Athens Greece, Eurasia",2531km,2531,61.34ms,61.34,41.49%,41.49,61.09ms,61.09,62.46ms,62.46,0.38ms,0.38,2018-11-10 12:19:02
"Atlanta United States, North America",6630km,6630,92.09ms,92.09,72.07%,72.07,91.97ms,91.97,92.27ms,92.27,0.22ms,0.22,2018-11-10 12:19:02
"Auckland New Zealand, Oceania",18327km,18327,299.53ms,299.53,61.29%,61.29,299.38ms,299.38,301.01ms,301.01,0.57ms,0.57,2018-11-10 12:19:02
"Austin United States, North America",7774km,7774,119.09ms,119.09,65.33%,65.33,110.84ms,110.84,145.72ms,145.72,9.66ms,9.66,2018-11-10 12:19:02
"Baltimore United States, North America",5703km,5703,80.55ms,80.55,71.29%,71.29,80.34ms,80.34,81.60ms,81.6,0.30ms,0.3,2018-11-10 12:19:02
"Bangalore India, Eurasia",8172km,8172,273.97ms,273.97,29.93%,29.93,273.88ms,273.88,274.13ms,274.13,0.36ms,0.36,2018-11-10 12:19:02
"Bangkok Thailand, Eurasia",9648km,9648,294.79ms,294.79,32.82%,32.82,291.37ms,291.37,330.76ms,330.76,7.47ms,7.47,2018-11-10 12:19:02
"Barcelona Spain, Eurasia",1213km,1213,36.85ms,36.85,33.69%,33.69,36.59ms,36.59,37.60ms,37.6,0.22ms,0.22,2018-11-10 12:19:02
"Basel Switzerland, Eurasia",845km,845,30.53ms,30.53,28.17%,28.17,30.47ms,30.47,30.69ms,30.69,0.18ms,0.18,2018-11-10 12:19:02
"Belfast United Kingdom, Eurasia",394km,394,18.76ms,18.76,21.89%,21.89,18.67ms,18.67,18.95ms,18.95,0.16ms,0.16,2018-11-10 12:19:02
"Bergen Norway, Eurasia",1047km,1047,48.38ms,48.38,21.81%,21.81,48.13ms,48.13,50.58ms,50.58,0.45ms,0.45,2018-11-10 12:19:02
"Berkeley Springs United States, North America",5783km,5783,94.51ms,94.51,61.52%,61.52,94.33ms,94.33,94.73ms,94.73,0.15ms,0.15,2018-11-10 12:19:02
"Bern Switzerland, Eurasia",880km,880,27.43ms,27.43,32.59%,32.59,27.29ms,27.29,27.54ms,27.54,0.20ms,0.2,2018-11-10 12:19:02
"Bogota Colombia, South America",8379km,8379,169.46ms,169.46,49.58%,49.58,169.08ms,169.08,174.71ms,174.71,1.08ms,1.08,2018-11-10 12:19:02
"Boston United States, North America",5124km,5124,66.83ms,66.83,77.64%,77.64,66.55ms,66.55,69.93ms,69.93,0.60ms,0.6,2018-11-10 12:19:02
"Brasilia Brazil, South America",8728km,8728,223.67ms,223.67,39.14%,39.14,218.99ms,218.99,322.35ms,322.35,19.06ms,19.06,2018-11-10 12:19:02
"Bratislava Slovakia, Eurasia",1428km,1428,25.42ms,25.42,57.12%,57.12,25.34ms,25.34,25.47ms,25.47,0.17ms,0.17,2018-11-10 12:19:02
"Brisbane Australia, Oceania",16602km,16602,291.40ms,291.4,57.05%,57.05,291.34ms,291.34,291.50ms,291.5,0.34ms,0.34,2018-11-10 12:19:02
"Bristol United Kingdom, Eurasia",60km,60,7.85ms,7.85,8.57%,8.57,7.41ms,7.41,15.03ms,15.03,1.36ms,1.36,2018-11-10 12:19:02
"Brno Czech Republic, Eurasia",1350km,1350,32.20ms,32.2,42.19%,42.19,32.16ms,32.16,32.24ms,32.24,0.14ms,0.14,2018-11-10 12:19:02
"Bruges Belgium, Eurasia",374km,374,12.50ms,12.5,31.17%,31.17,12.15ms,12.15,16.16ms,16.16,0.76ms,0.76,2018-11-10 12:19:02
"Brunswick United States, North America",4950km,4950,75.56ms,75.56,66.00%,66.0,75.49ms,75.49,75.73ms,75.73,0.13ms,0.13,2018-11-10 12:19:02
"Brussels Belgium, Eurasia",461km,461,14.80ms,14.8,32.93%,32.93,14.75ms,14.75,14.87ms,14.87,0.14ms,0.14,2018-11-10 12:19:02
"Bucharest Romania, Eurasia",2232km,2232,44.04ms,44.04,50.73%,50.73,43.95ms,43.95,44.17ms,44.17,0.25ms,0.25,2018-11-10 12:19:02
