City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",8135km,8135,317.86ms,317.86,25.66%,25.66,317.45ms,317.45,318.60ms,318.6,0.76ms,0.76,2018-11-10 12:21:59
"Albany United States, North America",13269km,13269,281.61ms,281.61,47.22%,47.22,239.48ms,239.48,340.75ms,340.75,40.79ms,40.79,2018-11-10 12:21:59
"Alblasserdam Netherlands, Eurasia",7884km,7884,136.24ms,136.24,57.97%,57.97,135.96ms,135.96,136.86ms,136.86,0.51ms,0.51,2018-11-10 12:21:59
"Albuquerque United States, North America",14611km,14611,261.37ms,261.37,55.98%,55.98,257.30ms,257.3,294.49ms,294.49,8.41ms,8.41,2018-11-10 12:21:59
"Algiers Algeria, Africa",8014km,8014,168.63ms,168.63,47.70%,47.7,168.24ms,168.24,169.37ms,169.37,0.34ms,0.34,2018-11-10 12:21:59
"Amsterdam Netherlands, Eurasia",7884km,7884,144.48ms,144.48,54.75%,54.75,144.19ms,144.19,144.72ms,144.72,0.51ms,0.51,2018-11-10 12:21:59
"Anchorage United States, North America",10661km,10661,290.49ms,290.49,36.76%,36.76,290.20ms,290.2,290.96ms,290.96,0.51ms,0.51,2018-11-10 12:21:59
"Ankara Turkey, Eurasia",5494km,5494,293.49ms,293.49,18.75%,18.75,292.78ms,292.78,309.10ms,309.1,2.97ms,2.97,2018-11-10 12:21:59
"Antwerp Belgium, Eurasia",7898km,7898,242.37ms,242.37,32.64%,32.64,242.10ms,242.1,242.64ms,242.64,0.36ms,0.36,2018-11-10 12:21:59
"Arezzo Italy, Eurasia",7276km,7276,164.58ms,164.58,44.37%,44.37,161.58ms,161.58,171.44ms,171.44,4.24ms,4.24,2018-11-10 12:21:59
"Asheville United States, North America",14312km,14312,218.59ms,218.59,65.65%,65.65,215.40ms,215.4,228.97ms,228.97,3.42ms,3.42,2018-11-10 12:21:59
"Athens Greece, Eurasia",6203km,6203,173.87ms,173.87,35.86%,35.86,173.44ms,173.44,175.43ms,175.43,0.64ms,0.64,2018-11-10 12:21:59
"Atlanta United States, North America",14564km,14564,247.19ms,247.19,58.96%,58.96,242.36ms,242.36,258.14ms,258.14,5.71ms,5.71,2018-11-10 12:21:59
"Auckland New Zealand, Oceania",11270km,11270,149.59ms,149.59,75.64%,75.64,149.27ms,149.27,150.35ms,150.35,0.40ms,0.4,2018-11-10 12:21:59
"Austin United States, North America",15196km,15196,254.66ms,254.66,59.83%,59.83,244.22ms,244.22,302.02ms,302.02,10.73ms,10.73,2018-11-10 12:21:59
"Baltimore United States, North America",13722km,13722,210.27ms,210.27,65.34%,65.34,209.28ms,209.28,213.39ms,213.39,1.12ms,1.12,2018-11-10 12:21:59
"Bangalore India, Eurasia",290km,290,9.11ms,9.11,32.22%,32.22,8.77ms,8.77,15.19ms,15.19,1.14ms,1.14,2018-11-10 12:21:59
"Bangkok Thailand, Eurasia",2187km,2187,166.92ms,166.92,13.17%,13.17,157.91ms,157.91,218.79ms,218.79,16.73ms,16.73,2018-11-10 12:21:59
"Barcelona Spain, Eurasia",8066km,8066,210.59ms,210.59,38.41%,38.41,209.80ms,209.8,215.71ms,215.71,1.18ms,1.18,2018-11-10 12:21:59
"Basel Switzerland, Eurasia",7645km,7645,150.47ms,150.47,50.97%,50.97,150.11ms,150.11,150.65ms,150.65,0.30ms,0.3,2018-11-10 12:21:59
"Belfast United Kingdom, Eurasia",8584km,8584,153.33ms,153.33,56.10%,56.1,152.69ms,152.69,154.96ms,154.96,0.68ms,0.68,2018-11-10 12:21:59
"Bergen Norway, Eurasia",7921km,7921,183.08ms,183.08,43.28%,43.28,176.25ms,176.25,191.21ms,191.21,4.93ms,4.93,2018-11-10 12:21:59
"Berkeley Springs United States, North America",13749km,13749,278.14ms,278.14,49.46%,49.46,277.67ms,277.67,281.26ms,281.26,0.64ms,0.64,2018-11-10 12:21:59
"Bern Switzerland, Eurasia",7651km,7651,138.13ms,138.13,55.44%,55.44,137.93ms,137.93,138.66ms,138.66,0.40ms,0.4,2018-11-10 12:21:59
"Bogota Colombia, South America",16571km,16571,343.24ms,343.24,48.31%,48.31,342.66ms,342.66,351.59ms,351.59,1.76ms,1.76,2018-11-10 12:21:59
"Boston United States, North America",13194km,13194,205.90ms,205.9,64.36%,64.36,205.45ms,205.45,206.18ms,206.18,0.49ms,0.49,2018-11-10 12:21:59
"Brasilia Brazil, South America",14441km,14441,340.11ms,340.11,42.47%,42.47,338.58ms,338.58,349.50ms,349.5,2.18ms,2.18,2018-11-10 12:21:59
"Bratislava Slovakia, Eurasia",6949km,6949,167.13ms,167.13,41.61%,41.61,166.86ms,166.86,167.26ms,167.26,0.47ms,0.47,2018-11-10 12:21:59
"Brisbane Australia, Oceania",9039km,9039,294.47ms,294.47,30.74%,30.74,294.33ms,294.33,294.70ms,294.7,0.68ms,0.68,2018-11-10 12:21:59
"Bristol United Kingdom, Eurasia",8384km,8384,141.05ms,141.05,59.46%,59.46,140.91ms,140.91,141.41ms,141.41,0.23ms,0.23,2018-11-10 12:21:59
"Brno Czech Republic, Eurasia",7008km,7008,147.45ms,147.45,47.67%,47.67,146.76ms,146.76,150.28ms,150.28,0.80ms,0.8,2018-11-10 12:21:59
"Bruges Belgium, Eurasia",7979km,7979,240.12ms,240.12,33.25%,33.25,239.76ms,239.76,240.88ms,240.88,0.28ms,0.28,2018-11-10 12:21:59
"Brunswick United States, North America",13000km,13000,291.04ms,291.04,44.67%,44.67,290.68ms,290.68,291.47ms,291.47,0.68ms,0.68,2018-11-10 12:21:59
"Brussels Belgium, Eurasia",7900km,7900,134.35ms,134.35,58.96%,58.96,133.94ms,133.94,134.74ms,134.74,0.31ms,0.31,2018-11-10 12:21:59
"Bucharest Romania, Eurasia",6179km,6179,174.01ms,174.01,35.51%,35.51,171.13ms,171.13,175.22ms,175.22,1.21ms,1.21,2018-11-10 12:21:59
"Budapest Hungary, Eurasia",6793km,6793,157.90ms,157.9,43.27%,43.27,157.28ms,157.28,158.60ms,158.6,0.58ms,0.58,2018-11-10 12:21:59
"Buenos Aires Argentina, South America",15229km,15229,383.21ms,383.21,39.76%,39.76,377.65ms,377.65,409.61ms,409.61,7.10ms,7.1,2018-11-10 12:21:59
"Buffalo United States, North America",13442km,13442,242.21ms,242.21,55.55%,55.55,240.48ms,240.48,251.96ms,251.96,2.33ms,2.33,2018-11-10 12:21:59
"Bursa Turkey, Eurasia",5812km,5812,324.97ms,324.97,17.94%,17.94,324.31ms,324.31,326.76ms,326.76,0.46ms,0.46,2018-11-10 12:21:59
"Cairo Egypt, Africa",5366km,5366,341.14ms,341.14,15.74%,15.74,329.33ms,329.33,356.59ms,356.59,7.80ms,7.8,2018-11-10 12:21:59
"Calgary Canada, North America",12753km,12753,256.46ms,256.46,49.82%,49.82,254.26ms,254.26,272.25ms,272.25,3.79ms,3.79,2018-11-10 12:21:59
"Canberra Australia, Oceania",9012km,9012,195.02ms,195.02,46.22%,46.22,194.28ms,194.28,197.57ms,197.57,0.82ms,0.82,2018-11-10 12:21:59
"Cape Town South Africa, Africa",8369km,8369,325.40ms,325.4,25.75%,25.75,325.04ms,325.04,328.61ms,328.61,0.92ms,0.92,2018-11-10 12:21:59
"Caracas Venezuela, South America",15548km,15548,277.75ms,277.75,56.13%,56.13,277.00ms,277.0,279.63ms,279.63,0.48ms,0.48,2018-11-10 12:21:59
"Cardiff United Kingdom, Eurasia",8425km,8425,156.13ms,156.13,54.01%,54.01,154.43ms,154.43,158.52ms,158.52,1.18ms,1.18,2018-11-10 12:21:59
"Carlow Ireland, Eurasia",8668km,8668,235.48ms,235.48,36.89%,36.89,234.84ms,234.84,236.29ms,236.29,0.74ms,0.74,2018-11-10 12:21:59
"Charlotte United States, North America",14290km,14290,235.29ms,235.29,60.81%,60.81,235.01ms,235.01,235.51ms,235.51,0.65ms,0.65,2018-11-10 12:21:59
"Cheltenham United Kingdom, Eurasia",8346km,8346,187.56ms,187.56,44.63%,44.63,187.29ms,187.29,188.25ms,188.25,0.62ms,0.62,2018-11-10 12:21:59
"Chicago United States, North America",13786km,13786,235.73ms,235.73,58.66%,58.66,235.39ms,235.39,235.98ms,235.98,0.18ms,0.18,2018-11-10 12:21:59
"Chisinau Moldova, Eurasia",6064km,6064,182.73ms,182.73,33.32%,33.32,179.89ms,179.89,188.12ms,188.12,1.64ms,1.64,2018-11-10 12:21:59
"Christchurch New Zealand, Oceania",11192km,11192,338.25ms,338.25,33.11%,33.11,337.73ms,337.73,338.96ms,338.96,0.34ms,0.34,2018-11-10 12:21:59
"Cincinnati United States, North America",14005km,14005,242.75ms,242.75,57.87%,57.87,241.98ms,241.98,243.31ms,243.31,0.50ms,0.5,2018-11-10 12:21:59
"Cleveland United States, North America",13643km,13643,235.14ms,235.14,58.06%,58.06,234.66ms,234.66,235.69ms,235.69,0.61ms,0.61,2018-11-10 12:21:59
"Colorado Springs United States, North America",14219km,14219,242.71ms,242.71,58.76%,58.76,242.14ms,242.14,249.99ms,249.99,1.58ms,1.58,2018-11-10 12:21:59
"Columbus United States, North America",13872km,13872,232.69ms,232.69,59.79%,59.79,231.70ms,231.7,239.36ms,239.36,1.32ms,1.32,2018-11-10 12:21:59
"Copenhagen Denmark, Eurasia",7420km,7420,144.92ms,144.92,51.53%,51.53,144.57ms,144.57,145.15ms,145.15,0.24ms,0.24,2018-11-10 12:21:59
"Coventry United Kingdom, Eurasia",8306km,8306,179.23ms,179.23,46.40%,46.4,179.06ms,179.06,179.46ms,179.46,0.45ms,0.45,2018-11-10 12:21:59
"Cromwell United States, North America",13334km,13334,217.97ms,217.97,61.45%,61.45,217.50ms,217.5,221.04ms,221.04,0.77ms,0.77,2018-11-10 12:21:59
"Dagupan Philippines, Eurasia",4318km,4318,83.44ms,83.44,52.02%,52.02,81.57ms,81.57,94.34ms,94.34,3.21ms,3.21,2018-11-10 12:21:59
"Dallas United States, North America",14910km,14910,238.59ms,238.59,62.65%,62.65,238.25ms,238.25,239.12ms,239.12,0.61ms,0.61,2018-11-10 12:21:59
"Dar es Salaam Tanzania, Africa",5039km,5039,282.38ms,282.38,17.87%,17.87,282.04ms,282.04,283.60ms,283.6,0.71ms,0.71,2018-11-10 12:21:59
"Denver United States, North America",14120km,14120,238.29ms,238.29,59.33%,59.33,235.00ms,235.0,247.21ms,247.21,5.16ms,5.16,2018-11-10 12:21:59
"Des Moines United States, North America",13907km,13907,243.07ms,243.07,57.23%,57.23,242.84ms,242.84,243.20ms,243.2,0.16ms,0.16,2018-11-10 12:21:59
"Detroit United States, North America",13625km,13625,234.37ms,234.37,58.23%,58.23,234.19ms,234.19,234.84ms,234.84,0.52ms,0.52,2018-11-10 12:21:59
"Dhaka Bangladesh, Eurasia",1589km,1589,66.98ms,66.98,24.08%,24.08,65.06ms,65.06,109.85ms,109.85,7.98ms,7.98,2018-11-10 12:21:59
"Dronten Netherlands, Eurasia",7816km,7816,152.01ms,152.01,51.42%,51.42,151.58ms,151.58,154.82ms,154.82,0.82ms,0.82,2018-11-10 12:21:59
"Dubai United Arab Emirates, Eurasia",2928km,2928,50.43ms,50.43,58.56%,58.56,50.30ms,50.3,50.84ms,50.84,0.21ms,0.21,2018-11-10 12:22:00
