City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15967km,15967,215.14ms,215.14,74.27%,74.27,214.98ms,214.98,215.47ms,215.47,0.62ms,0.62,2018-11-10 12:18:13
"Albany United States, North America",1145km,1145,56.02ms,56.02,20.45%,20.45,21.58ms,21.58,129.70ms,129.7,40.54ms,40.54,2018-11-10 12:18:13
"Alblasserdam Netherlands, Eurasia",6626km,6626,93.71ms,93.71,71.25%,71.25,93.57ms,93.57,93.98ms,93.98,0.32ms,0.32,2018-11-10 12:18:13
"Albuquerque United States, North America",1807km,1807,39.88ms,39.88,46.33%,46.33,35.60ms,35.6,82.62ms,82.62,12.21ms,12.21,2018-11-10 12:18:13
"Algiers Algeria, Africa",7444km,7444,125.09ms,125.09,59.55%,59.55,124.27ms,124.27,135.12ms,135.12,1.95ms,1.95,2018-11-10 12:18:13
"Amsterdam Netherlands, Eurasia",6605km,6605,110.57ms,110.57,60.05%,60.05,110.44ms,110.44,110.88ms,110.88,0.39ms,0.39,2018-11-10 12:18:13
"Anchorage United States, North America",4588km,4588,74.91ms,74.91,62.00%,62.0,74.54ms,74.54,75.75ms,75.75,0.38ms,0.38,2018-11-10 12:18:13
"Ankara Turkey, Eurasia",9126km,9126,134.83ms,134.83,68.10%,68.1,134.65ms,134.65,135.71ms,135.71,0.32ms,0.32,2018-11-10 12:18:13
"Antwerp Belgium, Eurasia",6648km,6648,102.05ms,102.05,65.18%,65.18,101.97ms,101.97,102.11ms,102.11,0.35ms,0.35,2018-11-10 12:18:13
"Arezzo Italy, Eurasia",7597km,7597,122.23ms,122.23,62.27%,62.27,122.16ms,122.16,122.35ms,122.35,0.32ms,0.32,2018-11-10 12:18:13
"Asheville United States, North America",823km,823,34.40ms,34.4,24.21%,24.21,34.30ms,34.3,34.61ms,34.61,0.19ms,0.19,2018-11-10 12:18:13
"Athens Greece, Eurasia",8749km,8749,160.64ms,160.64,54.68%,54.68,160.32ms,160.32,163.10ms,163.1,0.71ms,0.71,2018-11-10 12:18:13
"Atlanta United States, North America",945km,945,19.45ms,19.45,49.74%,49.74,19.28ms,19.28,20.77ms,20.77,0.34ms,0.34,2018-11-10 12:18:13
"Auckland New Zealand, Oceania",13193km,13193,215.42ms,215.42,61.36%,61.36,215.32ms,215.32,215.92ms,215.92,0.55ms,0.55,2018-11-10 12:18:14
"Austin United States, North America",1575km,1575,41.28ms,41.28,38.41%,38.41,33.10ms,33.1,88.32ms,88.32,11.25ms,11.25,2018-11-10 12:18:14
"Baltimore United States, North America",974km,974,21.25ms,21.25,46.38%,46.38,20.91ms,20.91,22.69ms,22.69,0.42ms,0.42,2018-11-10 12:18:14
"Bangalore India, Eurasia",13738km,13738,238.48ms,238.48,57.72%,57.72,233.25ms,233.25,248.02ms,248.02,5.90ms,5.9,2018-11-10 12:18:14
"Bangkok Thailand, Eurasia",13780km,13780,256.48ms,256.48,53.83%,53.83,255.89ms,255.89,260.23ms,260.23,0.98ms,0.98,2018-11-10 12:18:14
"Barcelona Spain, Eurasia",7086km,7086,112.09ms,112.09,63.27%,63.27,111.81ms,111.81,112.39ms,112.39,0.47ms,0.47,2018-11-10 12:18:14
"Basel Switzerland, Eurasia",7060km,7060,119.75ms,119.75,59.33%,59.33,119.65ms,119.65,120.85ms,120.85,0.41ms,0.41,2018-11-10 12:18:14
"Belfast United Kingdom, Eurasia",5861km,5861,109.41ms,109.41,53.77%,53.77,109.32ms,109.32,109.54ms,109.54,0.20ms,0.2,2018-11-10 12:18:14
"Bergen Norway, Eurasia",6216km,6216,139.25ms,139.25,44.72%,44.72,138.79ms,138.79,140.82ms,140.82,0.65ms,0.65,2018-11-10 12:18:14
"Berkeley Springs United States, North America",831km,831,37.65ms,37.65,22.46%,22.46,37.46ms,37.46,37.81ms,37.81,0.20ms,0.2,2018-11-10 12:18:14
"Bern Switzerland, Eurasia",7090km,7090,119.39ms,119.39,59.58%,59.58,119.25ms,119.25,119.52ms,119.52,0.38ms,0.38,2018-11-10 12:18:14
"Bogota Colombia, South America",4357km,4357,95.25ms,95.25,45.86%,45.86,95.10ms,95.1,95.55ms,95.55,0.30ms,0.3,2018-11-10 12:18:14
"Boston United States, North America",1368km,1368,23.60ms,23.6,59.48%,59.48,23.38ms,23.38,25.30ms,25.3,0.33ms,0.33,2018-11-10 12:18:14
"Brasilia Brazil, South America",7599km,7599,155.01ms,155.01,49.03%,49.03,153.49ms,153.49,161.35ms,161.35,2.35ms,2.35,2018-11-10 12:18:14
"Bratislava Slovakia, Eurasia",7592km,7592,119.40ms,119.4,63.80%,63.8,119.33ms,119.33,119.70ms,119.7,0.43ms,0.43,2018-11-10 12:18:14
"Brisbane Australia, Oceania",14364km,14364,206.68ms,206.68,69.73%,69.73,206.62ms,206.62,206.90ms,206.9,0.60ms,0.6,2018-11-10 12:18:14
"Bristol United Kingdom, Eurasia",6208km,6208,90.01ms,90.01,68.98%,68.98,89.88ms,89.88,90.38ms,90.38,0.18ms,0.18,2018-11-10 12:18:14
"Brno Czech Republic, Eurasia",7491km,7491,123.26ms,123.26,60.90%,60.9,123.21ms,123.21,123.31ms,123.31,0.45ms,0.45,2018-11-10 12:18:14
"Bruges Belgium, Eurasia",6578km,6578,98.91ms,98.91,67.12%,67.12,98.76ms,98.76,99.55ms,99.55,0.37ms,0.37,2018-11-10 12:18:14
"Brunswick United States, North America",1456km,1456,29.87ms,29.87,50.21%,50.21,29.76ms,29.76,30.03ms,30.03,0.17ms,0.17,2018-11-10 12:18:14
