City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16200km,16200,227.75ms,227.75,71.37%,71.37,227.59ms,227.59,228.65ms,228.65,0.57ms,0.57,2018-11-10 12:18:13
"Albany United States, North America",989km,989,65.00ms,65.0,15.45%,15.45,28.53ms,28.53,168.52ms,168.52,41.72ms,41.72,2018-11-10 12:18:13
"Alblasserdam Netherlands, Eurasia",6651km,6651,102.53ms,102.53,65.21%,65.21,102.43ms,102.43,102.74ms,102.74,0.43ms,0.43,2018-11-10 12:18:13
"Albuquerque United States, North America",2004km,2004,44.49ms,44.49,45.55%,45.55,41.50ms,41.5,79.98ms,79.98,7.39ms,7.39,2018-11-10 12:18:13
"Algiers Algeria, Africa",7362km,7362,136.36ms,136.36,54.13%,54.13,135.21ms,135.21,158.00ms,158.0,4.05ms,4.05,2018-11-10 12:18:13
"Amsterdam Netherlands, Eurasia",6633km,6633,98.68ms,98.68,67.68%,67.68,98.56ms,98.56,98.92ms,98.92,0.32ms,0.32,2018-11-10 12:18:13
"Anchorage United States, North America",4993km,4993,91.32ms,91.32,54.87%,54.87,91.13ms,91.13,91.62ms,91.62,0.30ms,0.3,2018-11-10 12:18:13
"Ankara Turkey, Eurasia",9172km,9172,155.73ms,155.73,59.17%,59.17,155.46ms,155.46,158.24ms,158.24,0.51ms,0.51,2018-11-10 12:18:13
"Antwerp Belgium, Eurasia",6667km,6667,106.09ms,106.09,62.90%,62.9,105.99ms,105.99,106.51ms,106.51,0.33ms,0.33,2018-11-10 12:18:13
"Arezzo Italy, Eurasia",7586km,7586,124.04ms,124.04,61.18%,61.18,123.94ms,123.94,124.25ms,124.25,0.21ms,0.21,2018-11-10 12:18:13
"Asheville United States, North America",426km,426,36.14ms,36.14,11.83%,11.83,36.10ms,36.1,36.21ms,36.21,0.26ms,0.26,2018-11-10 12:18:13
"Athens Greece, Eurasia",8749km,8749,152.50ms,152.5,57.56%,57.56,152.38ms,152.38,152.63ms,152.63,0.50ms,0.5,2018-11-10 12:18:13
"Atlanta United States, North America",595km,595,21.13ms,21.13,28.33%,28.33,20.90ms,20.9,22.26ms,22.26,0.32ms,0.32,2018-11-10 12:18:13
"Auckland New Zealand, Oceania",13302km,13302,291.96ms,291.96,45.71%,45.71,291.87ms,291.87,292.96ms,292.96,0.34ms,0.34,2018-11-10 12:18:13
"Austin United States, North America",1557km,1557,39.54ms,39.54,39.92%,39.92,30.61ms,30.61,86.32ms,86.32,12.88ms,12.88,2018-11-10 12:18:13
"Baltimore United States, North America",681km,681,23.16ms,23.16,29.61%,29.61,22.45ms,22.45,30.49ms,30.49,1.57ms,1.57,2018-11-10 12:18:13
