City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16340km,16340,235.64ms,235.64,69.53%,69.53,231.79ms,231.79,276.12ms,276.12,10.56ms,10.56,2018-11-10 12:18:49
"Albany United States, North America",830km,830,67.62ms,67.62,12.39%,12.39,21.55ms,21.55,151.00ms,151.0,47.64ms,47.64,2018-11-10 12:18:49
"Alblasserdam Netherlands, Eurasia",6490km,6490,89.56ms,89.56,72.92%,72.92,87.51ms,87.51,114.50ms,114.5,5.33ms,5.33,2018-11-10 12:18:49
"Albuquerque United States, North America",2144km,2144,48.78ms,48.78,44.67%,44.67,42.79ms,42.79,89.61ms,89.61,12.13ms,12.13,2018-11-10 12:18:49
"Algiers Algeria, Africa",7202km,7202,129.28ms,129.28,55.83%,55.83,125.79ms,125.79,161.42ms,161.42,7.68ms,7.68,2018-11-10 12:18:49
"Amsterdam Netherlands, Eurasia",6473km,6473,106.81ms,106.81,61.07%,61.07,105.51ms,105.51,120.71ms,120.71,3.24ms,3.24,2018-11-10 12:18:49
"Anchorage United States, North America",4999km,4999,92.47ms,92.47,54.34%,54.34,92.13ms,92.13,93.47ms,93.47,0.47ms,0.47,2018-11-10 12:18:49
"Ankara Turkey, Eurasia",9013km,9013,152.61ms,152.61,59.30%,59.3,151.35ms,151.35,168.61ms,168.61,3.34ms,3.34,2018-11-10 12:18:49
"Antwerp Belgium, Eurasia",6507km,6507,108.13ms,108.13,60.25%,60.25,104.09ms,104.09,132.09ms,132.09,8.64ms,8.64,2018-11-10 12:18:49
"Arezzo Italy, Eurasia",7424km,7424,125.16ms,125.16,59.39%,59.39,123.48ms,123.48,142.20ms,142.2,4.50ms,4.5,2018-11-10 12:18:49
"Asheville United States, North America",486km,486,28.90ms,28.9,17.36%,17.36,25.64ms,25.64,60.77ms,60.77,7.15ms,7.15,2018-11-10 12:18:49
