City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15364km,15364,333.83ms,333.83,46.14%,46.14,333.34ms,333.34,337.82ms,337.82,1.00ms,1.0,2018-11-10 12:19:35
"Albany United States, North America",6011km,6011,130.69ms,130.69,46.24%,46.24,88.55ms,88.55,209.13ms,209.13,41.39ms,41.39,2018-11-10 12:19:35
"Alblasserdam Netherlands, Eurasia",670km,670,13.84ms,13.84,51.54%,51.54,13.59ms,13.59,14.09ms,14.09,0.14ms,0.14,2018-11-10 12:19:35
"Albuquerque United States, North America",8399km,8399,142.06ms,142.06,59.15%,59.15,136.25ms,136.25,187.49ms,187.49,12.59ms,12.59,2018-11-10 12:19:35
"Algiers Algeria, Africa",2223km,2223,58.15ms,58.15,38.33%,38.33,57.06ms,57.06,78.17ms,78.17,3.73ms,3.73,2018-11-10 12:19:35
"Amsterdam Netherlands, Eurasia",636km,636,18.30ms,18.3,35.33%,35.33,18.12ms,18.12,19.02ms,19.02,0.24ms,0.24,2018-11-10 12:19:35
"Anchorage United States, North America",6928km,6928,177.25ms,177.25,39.14%,39.14,176.94ms,176.94,178.62ms,178.62,0.37ms,0.37,2018-11-10 12:19:35
"Ankara Turkey, Eurasia",2298km,2298,59.25ms,59.25,38.95%,38.95,58.83ms,58.83,60.23ms,60.23,0.30ms,0.3,2018-11-10 12:19:35
"Antwerp Belgium, Eurasia",732km,732,27.88ms,27.88,27.11%,27.11,27.51ms,27.51,28.11ms,28.11,0.26ms,0.26,2018-11-10 12:19:35
"Arezzo Italy, Eurasia",1358km,1358,34.05ms,34.05,39.94%,39.94,33.62ms,33.62,35.63ms,35.63,0.33ms,0.33,2018-11-10 12:19:35
"Asheville United States, North America",7108km,7108,114.26ms,114.26,62.35%,62.35,114.17ms,114.17,114.31ms,114.31,0.16ms,0.16,2018-11-10 12:19:35
"Athens Greece, Eurasia",2138km,2138,50.67ms,50.67,42.76%,42.76,50.53ms,50.53,51.14ms,51.14,0.33ms,0.33,2018-11-10 12:19:35
"Atlanta United States, North America",7373km,7373,110.20ms,110.2,67.03%,67.03,110.03ms,110.03,110.94ms,110.94,0.22ms,0.22,2018-11-10 12:19:35
"Auckland New Zealand, Oceania",17533km,17533,284.83ms,284.83,61.74%,61.74,284.73ms,284.73,285.02ms,285.02,0.25ms,0.25,2018-11-10 12:19:36
"Austin United States, North America",8420km,8420,141.84ms,141.84,59.72%,59.72,131.91ms,131.91,168.92ms,168.92,9.87ms,9.87,2018-11-10 12:19:36
"Baltimore United States, North America",6457km,6457,103.35ms,103.35,62.69%,62.69,103.11ms,103.11,104.22ms,104.22,0.35ms,0.35,2018-11-10 12:19:36
"Bangalore India, Eurasia",7266km,7266,156.65ms,156.65,46.58%,46.58,156.56ms,156.56,156.80ms,156.8,0.51ms,0.51,2018-11-10 12:19:36
"Bangkok Thailand, Eurasia",8621km,8621,203.07ms,203.07,42.47%,42.47,198.37ms,198.37,249.38ms,249.38,10.04ms,10.04,2018-11-10 12:19:36
"Barcelona Spain, Eurasia",1759km,1759,42.74ms,42.74,41.88%,41.88,42.38ms,42.38,45.61ms,45.61,0.59ms,0.59,2018-11-10 12:19:36
"Basel Switzerland, Eurasia",965km,965,27.00ms,27.0,35.74%,35.74,26.92ms,26.92,27.14ms,27.14,0.10ms,0.1,2018-11-10 12:19:36
"Belfast United Kingdom, Eurasia",1178km,1178,35.64ms,35.64,33.66%,33.66,35.41ms,35.41,35.82ms,35.82,0.25ms,0.25,2018-11-10 12:19:36
"Bergen Norway, Eurasia",673km,673,25.60ms,25.6,26.92%,26.92,25.28ms,25.28,27.23ms,27.23,0.54ms,0.54,2018-11-10 12:19:36
"Berkeley Springs United States, North America",6520km,6520,106.70ms,106.7,61.51%,61.51,106.58ms,106.58,106.98ms,106.98,0.32ms,0.32,2018-11-10 12:19:36
"Bern Switzerland, Eurasia",1033km,1033,46.40ms,46.4,22.46%,22.46,46.24ms,46.24,46.51ms,46.51,0.14ms,0.14,2018-11-10 12:19:36
"Bogota Colombia, South America",9377km,9377,188.62ms,188.62,49.88%,49.88,188.34ms,188.34,193.56ms,193.56,1.00ms,1.0,2018-11-10 12:19:36
"Boston United States, North America",5888km,5888,85.14ms,85.14,69.27%,69.27,84.68ms,84.68,88.97ms,88.97,0.85ms,0.85,2018-11-10 12:19:36
"Brasilia Brazil, South America",9737km,9737,240.33ms,240.33,40.57%,40.57,239.00ms,239.0,250.06ms,250.06,2.40ms,2.4,2018-11-10 12:19:36
"Bratislava Slovakia, Eurasia",893km,893,32.49ms,32.49,27.91%,27.91,32.41ms,32.41,32.61ms,32.61,0.21ms,0.21,2018-11-10 12:19:36
"Brisbane Australia, Oceania",15578km,15578,312.62ms,312.62,49.93%,49.93,312.39ms,312.39,312.86ms,312.86,0.67ms,0.67,2018-11-10 12:19:36
"Bristol United Kingdom, Eurasia",1102km,1102,25.62ms,25.62,44.08%,44.08,25.50ms,25.5,25.89ms,25.89,0.25ms,0.25,2018-11-10 12:19:36
"Brno Czech Republic, Eurasia",770km,770,23.68ms,23.68,33.48%,33.48,23.29ms,23.29,23.82ms,23.82,0.14ms,0.14,2018-11-10 12:19:36
"Bruges Belgium, Eurasia",791km,791,23.48ms,23.48,34.39%,34.39,23.05ms,23.05,28.52ms,28.52,0.98ms,0.98,2018-11-10 12:19:36
"Brunswick United States, North America",5703km,5703,100.28ms,100.28,57.03%,57.03,100.01ms,100.01,100.56ms,100.56,0.45ms,0.45,2018-11-10 12:19:36
"Brussels Belgium, Eurasia",765km,765,16.51ms,16.51,47.81%,47.81,16.32ms,16.32,16.68ms,16.68,0.11ms,0.11,2018-11-10 12:19:36
"Bucharest Romania, Eurasia",1575km,1575,46.57ms,46.57,34.24%,34.24,46.48ms,46.48,46.73ms,46.73,0.09ms,0.09,2018-11-10 12:19:36
"Budapest Hungary, Eurasia",1012km,1012,35.60ms,35.6,28.91%,28.91,35.05ms,35.05,36.23ms,36.23,0.39ms,0.39,2018-11-10 12:19:36
"Buenos Aires Argentina, South America",12069km,12069,249.08ms,249.08,48.47%,48.47,244.12ms,244.12,262.87ms,262.87,6.03ms,6.03,2018-11-10 12:19:36
"Buffalo United States, North America",6286km,6286,95.88ms,95.88,66.17%,66.17,93.56ms,93.56,111.50ms,111.5,4.28ms,4.28,2018-11-10 12:19:36
"Bursa Turkey, Eurasia",2104km,2104,69.04ms,69.04,30.49%,30.49,68.46ms,68.46,72.61ms,72.61,0.73ms,0.73,2018-11-10 12:19:36
"Cairo Egypt, Africa",3206km,3206,73.19ms,73.19,43.92%,43.92,70.59ms,70.59,78.07ms,78.07,1.99ms,1.99,2018-11-10 12:19:36
"Calgary Canada, North America",7172km,7172,175.78ms,175.78,40.98%,40.98,174.46ms,174.46,185.07ms,185.07,2.44ms,2.44,2018-11-10 12:19:36
"Canberra Australia, Oceania",16042km,16042,336.82ms,336.82,47.74%,47.74,335.93ms,335.93,341.66ms,341.66,1.68ms,1.68,2018-11-10 12:19:36
"Cape Town South Africa, Africa",9987km,9987,164.34ms,164.34,60.90%,60.9,164.18ms,164.18,165.29ms,165.29,0.23ms,0.23,2018-11-10 12:19:36
"Caracas Venezuela, South America",8389km,8389,171.64ms,171.64,49.06%,49.06,171.04ms,171.04,173.03ms,173.03,0.68ms,0.68,2018-11-10 12:19:36
"Cardiff United Kingdom, Eurasia",1136km,1136,27.46ms,27.46,42.07%,42.07,27.00ms,27.0,29.16ms,29.16,0.59ms,0.59,2018-11-10 12:19:36
"Carlow Ireland, Eurasia",1301km,1301,35.76ms,35.76,37.17%,37.17,35.70ms,35.7,35.94ms,35.94,0.26ms,0.26,2018-11-10 12:19:36
"Charlotte United States, North America",7043km,7043,104.16ms,104.16,67.72%,67.72,104.09ms,104.09,104.22ms,104.22,0.29ms,0.29,2018-11-10 12:19:36
"Cheltenham United Kingdom, Eurasia",1047km,1047,26.02ms,26.02,40.27%,40.27,25.97ms,25.97,26.05ms,26.05,0.14ms,0.14,2018-11-10 12:19:36
"Chennai India, Eurasia",7420km,7420,143.90ms,143.9,51.89%,51.89,143.76ms,143.76,144.00ms,144.0,0.26ms,0.26,2018-11-10 12:19:36
"Chicago United States, North America",6845km,6845,125.34ms,125.34,54.76%,54.76,125.26ms,125.26,125.75ms,125.75,0.26ms,0.26,2018-11-10 12:19:36
"Chisinau Moldova, Eurasia",1483km,1483,53.00ms,53.0,27.98%,27.98,52.80ms,52.8,54.98ms,54.98,0.47ms,0.47,2018-11-10 12:19:36
"Christchurch New Zealand, Oceania",18057km,18057,307.16ms,307.16,58.82%,58.82,306.92ms,306.92,307.36ms,307.36,0.57ms,0.57,2018-11-10 12:19:36
"Cincinnati United States, North America",6914km,6914,119.90ms,119.9,58.10%,58.1,119.76ms,119.76,121.63ms,121.63,0.57ms,0.57,2018-11-10 12:19:36
"Cleveland United States, North America",6521km,6521,121.05ms,121.05,53.89%,53.89,120.55ms,120.55,126.40ms,126.4,1.04ms,1.04,2018-11-10 12:19:36
"Colorado Springs United States, North America",7958km,7958,141.71ms,141.71,56.44%,56.44,139.97ms,139.97,165.53ms,165.53,6.17ms,6.17,2018-11-10 12:19:36
"Columbus United States, North America",6757km,6757,111.41ms,111.41,60.87%,60.87,111.21ms,111.21,111.75ms,111.75,0.27ms,0.27,2018-11-10 12:19:36
"Coventry United Kingdom, Eurasia",986km,986,26.17ms,26.17,37.92%,37.92,26.06ms,26.06,26.85ms,26.85,0.26ms,0.26,2018-11-10 12:19:36
"Cromwell United States, North America",6040km,6040,93.70ms,93.7,64.95%,64.95,93.47ms,93.47,94.04ms,94.04,0.41ms,0.41,2018-11-10 12:19:36
"Dagupan Philippines, Eurasia",9610km,9610,311.43ms,311.43,30.90%,30.9,310.53ms,310.53,315.63ms,315.63,1.40ms,1.4,2018-11-10 12:19:36
"Dallas United States, North America",8135km,8135,126.18ms,126.18,64.56%,64.56,126.10ms,126.1,126.34ms,126.34,0.49ms,0.49,2018-11-10 12:19:36
"Dar es Salaam Tanzania, Africa",7371km,7371,160.64ms,160.64,46.07%,46.07,160.44ms,160.44,161.23ms,161.23,0.49ms,0.49,2018-11-10 12:19:36
"Denver United States, North America",7884km,7884,132.24ms,132.24,59.73%,59.73,131.97ms,131.97,132.45ms,132.45,0.15ms,0.15,2018-11-10 12:19:36
"Des Moines United States, North America",7173km,7173,127.43ms,127.43,56.48%,56.48,127.39ms,127.39,127.54ms,127.54,0.47ms,0.47,2018-11-10 12:19:36
"Detroit United States, North America",6559km,6559,108.70ms,108.7,60.73%,60.73,108.41ms,108.41,109.03ms,109.03,0.37ms,0.37,2018-11-10 12:19:36
"Dhaka Bangladesh, Eurasia",7099km,7099,191.55ms,191.55,37.17%,37.17,190.95ms,190.95,193.92ms,193.92,0.79ms,0.79,2018-11-10 12:19:36
"Dronten Netherlands, Eurasia",568km,568,14.98ms,14.98,40.57%,40.57,14.41ms,14.41,21.51ms,21.51,1.28ms,1.28,2018-11-10 12:19:36
"Dubai United Arab Emirates, Eurasia",4853km,4853,144.29ms,144.29,33.70%,33.7,144.15ms,144.15,144.54ms,144.54,0.48ms,0.48,2018-11-10 12:19:36
"Dublin Ireland, Eurasia",1238km,1238,29.52ms,29.52,42.69%,42.69,29.13ms,29.13,36.94ms,36.94,1.39ms,1.39,2018-11-10 12:19:36
"Dusseldorf Germany, Eurasia",624km,624,15.59ms,15.59,41.60%,41.6,15.48ms,15.48,15.73ms,15.73,0.18ms,0.18,2018-11-10 12:19:36
"Edinburgh United Kingdom, Eurasia",983km,983,32.09ms,32.09,30.72%,30.72,32.00ms,32.0,32.20ms,32.2,0.23ms,0.23,2018-11-10 12:19:36
"Edmonton Canada, North America",6909km,6909,168.10ms,168.1,41.12%,41.12,167.98ms,167.98,168.31ms,168.31,0.46ms,0.46,2018-11-10 12:19:36
"Eindhoven Netherlands, Eurasia",663km,663,16.55ms,16.55,41.44%,41.44,16.16ms,16.16,16.71ms,16.71,0.22ms,0.22,2018-11-10 12:19:36
"Falkenstein Germany, Eurasia",578km,578,17.90ms,17.9,34.00%,34.0,17.79ms,17.79,18.14ms,18.14,0.20ms,0.2,2018-11-10 12:19:36
"Fez Morocco, Africa",2758km,2758,112.96ms,112.96,24.62%,24.62,85.33ms,85.33,157.38ms,157.38,25.90ms,25.9,2018-11-10 12:19:36
"Frankfurt Germany, Eurasia",670km,670,13.96ms,13.96,51.54%,51.54,13.59ms,13.59,14.11ms,14.11,0.14ms,0.14,2018-11-10 12:19:36
"Fremont United States, North America",8794km,8794,157.49ms,157.49,56.01%,56.01,157.12ms,157.12,157.83ms,157.83,0.31ms,0.31,2018-11-10 12:19:36
"Frosinone Italy, Eurasia",1561km,1561,37.19ms,37.19,42.19%,42.19,37.07ms,37.07,37.41ms,37.41,0.21ms,0.21,2018-11-10 12:19:36
"Gdansk Poland, Eurasia",413km,413,39.49ms,39.49,10.59%,10.59,38.94ms,38.94,43.46ms,43.46,0.78ms,0.78,2018-11-10 12:19:36
"Geneva Switzerland, Eurasia",1146km,1146,30.12ms,30.12,38.20%,38.2,29.34ms,29.34,35.69ms,35.69,1.62ms,1.62,2018-11-10 12:19:36
"Gothenburg Sweden, Eurasia",228km,228,17.28ms,17.28,13.41%,13.41,17.25ms,17.25,17.35ms,17.35,0.18ms,0.18,2018-11-10 12:19:36
"Green Bay United States, North America",6635km,6635,131.82ms,131.82,50.65%,50.65,130.50ms,130.5,169.04ms,169.04,6.92ms,6.92,2018-11-10 12:19:36
"Groningen Netherlands, Eurasia",474km,474,16.97ms,16.97,29.62%,29.62,16.53ms,16.53,19.38ms,19.38,0.51ms,0.51,2018-11-10 12:19:36
"Guadalajara Mexico, North America",9622km,9622,144.37ms,144.37,66.82%,66.82,144.28ms,144.28,144.54ms,144.54,0.42ms,0.42,2018-11-10 12:19:36
"Guatemala Guatemala, North America",9313km,9313,323.07ms,323.07,28.83%,28.83,274.18ms,274.18,370.71ms,370.71,27.46ms,27.46,2018-11-10 12:19:36
"Halifax Canada, North America",5277km,5277,110.70ms,110.7,47.97%,47.97,110.09ms,110.09,114.20ms,114.2,1.04ms,1.04,2018-11-10 12:19:36
"Hamburg Germany, Eurasia",287km,287,22.44ms,22.44,13.05%,13.05,22.26ms,22.26,22.70ms,22.7,0.19ms,0.19,2018-11-10 12:19:36
"Hangzhou China, Eurasia",8276km,8276,310.68ms,310.68,26.70%,26.7,310.29ms,310.29,311.07ms,311.07,0.72ms,0.72,2018-11-10 12:19:36
"Hanoi Vietnam, Eurasia",8288km,8288,294.11ms,294.11,28.19%,28.19,294.04ms,294.04,294.55ms,294.55,0.60ms,0.6,2018-11-10 12:19:36
"Helsinki Finland, Eurasia",871km,871,28.96ms,28.96,31.11%,31.11,28.34ms,28.34,33.82ms,33.82,1.01ms,1.01,2018-11-10 12:19:36
"Heredia Costa Rica, North America",9507km,9507,182.18ms,182.18,52.24%,52.24,181.66ms,181.66,189.52ms,189.52,1.44ms,1.44,2018-11-10 12:19:36
"Ho Chi Minh City Vietnam, Eurasia",9270km,9270,232.64ms,232.64,39.96%,39.96,226.20ms,226.2,384.01ms,384.01,29.15ms,29.15,2018-11-10 12:19:36
"Hong Kong Hong Kong, Eurasia",8671km,8671,247.52ms,247.52,35.11%,35.11,247.38ms,247.38,247.92ms,247.92,0.54ms,0.54,2018-11-10 12:19:36
"Honolulu United States, North America",11410km,11410,203.55ms,203.55,56.21%,56.21,203.32ms,203.32,203.79ms,203.79,0.28ms,0.28,2018-11-10 12:19:36
"Houston United States, North America",8339km,8339,127.04ms,127.04,65.66%,65.66,125.13ms,125.13,146.13ms,146.13,4.09ms,4.09,2018-11-10 12:19:36
"Hyderabad India, Eurasia",6919km,6919,152.16ms,152.16,45.52%,45.52,151.96ms,151.96,152.48ms,152.48,0.53ms,0.53,2018-11-10 12:19:36
"Indianapolis United States, North America",6946km,6946,117.15ms,117.15,59.37%,59.37,117.08ms,117.08,117.22ms,117.22,0.29ms,0.29,2018-11-10 12:19:36
"Indore India, Eurasia",6278km,6278,143.22ms,143.22,43.90%,43.9,143.05ms,143.05,143.74ms,143.74,0.35ms,0.35,2018-11-10 12:19:36
"Istanbul Turkey, Eurasia",2021km,2021,52.71ms,52.71,38.87%,38.87,49.97ms,49.97,89.03ms,89.03,7.17ms,7.17,2018-11-10 12:19:36
"Izmir Turkey, Eurasia",2203km,2203,62.24ms,62.24,35.53%,35.53,62.17ms,62.17,62.45ms,62.45,0.34ms,0.34,2018-11-10 12:19:36
"Jackson United States, North America",7826km,7826,139.49ms,139.49,56.30%,56.3,139.14ms,139.14,140.38ms,140.38,0.53ms,0.53,2018-11-10 12:19:36
"Jacksonville United States, North America",7517km,7517,115.82ms,115.82,65.37%,65.37,115.74ms,115.74,115.93ms,115.93,0.22ms,0.22,2018-11-10 12:19:37
"Jakarta Indonesia, Eurasia",10835km,10835,178.37ms,178.37,60.87%,60.87,177.99ms,177.99,178.92ms,178.92,0.23ms,0.23,2018-11-10 12:19:37
"Jerusalem Israel, Eurasia",3190km,3190,144.20ms,144.2,22.15%,22.15,144.11ms,144.11,144.65ms,144.65,0.20ms,0.2,2018-11-10 12:19:37
"Joao Pessoa Brazil, South America",8222km,8222,253.62ms,253.62,32.50%,32.5,253.53ms,253.53,254.37ms,254.37,0.63ms,0.63,2018-11-10 12:19:37
"Johannesburg South Africa, Africa",9225km,9225,198.34ms,198.34,46.59%,46.59,198.26ms,198.26,198.38ms,198.38,0.12ms,0.12,2018-11-10 12:19:37
"Kampala Uganda, Africa",6417km,6417,168.32ms,168.32,38.20%,38.2,167.94ms,167.94,170.43ms,170.43,0.60ms,0.6,2018-11-10 12:19:37
"Kansas City United States, North America",7444km,7444,121.60ms,121.6,61.52%,61.52,121.25ms,121.25,122.68ms,122.68,0.46ms,0.46,2018-11-10 12:19:37
"Karaganda Kazakhstan, Eurasia",3997km,3997,83.47ms,83.47,48.16%,48.16,83.25ms,83.25,86.72ms,86.72,0.68ms,0.68,2018-11-10 12:19:37
"Kiev Ukraine, Eurasia",1328km,1328,43.54ms,43.54,30.88%,30.88,43.42ms,43.42,44.46ms,44.46,0.30ms,0.3,2018-11-10 12:19:37
"Knoxville United States, North America",7153km,7153,113.51ms,113.51,63.30%,63.3,113.08ms,113.08,117.07ms,117.07,0.78ms,0.78,2018-11-10 12:19:37
"Koto Japan, Eurasia",8698km,8698,248.76ms,248.76,35.07%,35.07,248.65ms,248.65,248.83ms,248.83,0.67ms,0.67,2018-11-10 12:19:37
"Ktis Czech Republic, Eurasia",758km,758,17.61ms,17.61,44.59%,44.59,17.52ms,17.52,17.81ms,17.81,0.14ms,0.14,2018-11-10 12:19:37
"La Ceiba Honduras, North America",9139km,9139,100.93ms,100.93,91.39%,91.39,97.50ms,97.5,111.42ms,111.42,3.40ms,3.4,2018-11-10 12:19:37
"Lagos Nigeria, Africa",5527km,5527,124.08ms,124.08,44.57%,44.57,123.91ms,123.91,124.56ms,124.56,0.49ms,0.49,2018-11-10 12:19:37
"Lahore Pakistan, Eurasia",5421km,5421,217.94ms,217.94,24.98%,24.98,217.66ms,217.66,218.94ms,218.94,0.54ms,0.54,2018-11-10 12:19:37
"Las Vegas United States, North America",8678km,8678,158.00ms,158.0,55.27%,55.27,157.75ms,157.75,158.21ms,158.21,0.15ms,0.15,2018-11-10 12:19:37
"Lausanne Switzerland, Eurasia",1098km,1098,29.38ms,29.38,37.86%,37.86,29.20ms,29.2,29.62ms,29.62,0.24ms,0.24,2018-11-10 12:19:37
"Liege Belgium, Eurasia",728km,728,20.91ms,20.91,36.40%,36.4,20.86ms,20.86,21.00ms,21.0,0.13ms,0.13,2018-11-10 12:19:37
"Lima Peru, South America",11088km,11088,192.16ms,192.16,57.75%,57.75,192.00ms,192.0,192.57ms,192.57,0.59ms,0.59,2018-11-10 12:19:37
"Limassol Cyprus, Eurasia",2811km,2811,73.08ms,73.08,38.51%,38.51,72.81ms,72.81,75.31ms,75.31,0.51ms,0.51,2018-11-10 12:19:37
"Lincoln United States, North America",7393km,7393,130.85ms,130.85,56.87%,56.87,130.71ms,130.71,131.12ms,131.12,0.50ms,0.5,2018-11-10 12:19:37
"Lisbon Portugal, Eurasia",2482km,2482,74.03ms,74.03,33.54%,33.54,73.91ms,73.91,74.53ms,74.53,0.38ms,0.38,2018-11-10 12:19:37
"Ljubljana Slovenia, Eurasia",1078km,1078,39.98ms,39.98,27.64%,27.64,39.03ms,39.03,60.83ms,60.83,3.88ms,3.88,2018-11-10 12:19:37
"London United Kingdom, Eurasia",953km,953,20.48ms,20.48,47.65%,47.65,20.14ms,20.14,20.93ms,20.93,0.24ms,0.24,2018-11-10 12:19:37
"Los Angeles United States, North America",9005km,9005,154.48ms,154.48,58.47%,58.47,154.23ms,154.23,154.75ms,154.75,0.29ms,0.29,2018-11-10 12:19:37
"Louisville United States, North America",7056km,7056,117.54ms,117.54,60.31%,60.31,117.50ms,117.5,117.66ms,117.66,0.32ms,0.32,2018-11-10 12:19:37
"Lugano Switzerland, Eurasia",1105km,1105,32.14ms,32.14,34.53%,34.53,27.59ms,27.59,39.35ms,39.35,3.59ms,3.59,2018-11-10 12:19:37
"Luxembourg Luxembourg, Eurasia",795km,795,23.54ms,23.54,34.57%,34.57,23.44ms,23.44,23.73ms,23.73,0.19ms,0.19,2018-11-10 12:19:37
"Lyon France, Eurasia",1230km,1230,29.87ms,29.87,42.41%,42.41,29.75ms,29.75,30.19ms,30.19,0.24ms,0.24,2018-11-10 12:19:37
"Madrid Spain, Eurasia",2073km,2073,41.17ms,41.17,50.56%,50.56,41.12ms,41.12,41.23ms,41.23,0.19ms,0.19,2018-11-10 12:19:37
"Maidstone United Kingdom, Eurasia",933km,933,24.09ms,24.09,38.88%,38.88,23.99ms,23.99,24.90ms,24.9,0.24ms,0.24,2018-11-10 12:19:37
"Malaysia Malaysia, Eurasia",9667km,9667,174.19ms,174.19,55.56%,55.56,174.04ms,174.04,174.38ms,174.38,0.41ms,0.41,2018-11-10 12:19:37
"Manchester United Kingdom, Eurasia",983km,983,34.79ms,34.79,28.91%,28.91,28.71ms,28.71,159.29ms,159.29,24.61ms,24.61,2018-11-10 12:19:37
"Manhattan United States, North America",6181km,6181,106.94ms,106.94,58.31%,58.31,106.79ms,106.79,107.10ms,107.1,0.28ms,0.28,2018-11-10 12:19:37
"Manila Philippines, Eurasia",9782km,9782,273.94ms,273.94,35.83%,35.83,273.07ms,273.07,296.62ms,296.62,4.27ms,4.27,2018-11-10 12:19:37
"Marseille France, Eurasia",1469km,1469,35.91ms,35.91,41.97%,41.97,35.86ms,35.86,35.94ms,35.94,0.19ms,0.19,2018-11-10 12:19:37
"Medellin Colombia, South America",9321km,9321,174.41ms,174.41,53.57%,53.57,174.30ms,174.3,174.53ms,174.53,0.42ms,0.42,2018-11-10 12:19:37
"Melbourne Australia, Oceania",15989km,15989,276.84ms,276.84,57.93%,57.93,276.71ms,276.71,277.09ms,277.09,0.74ms,0.74,2018-11-10 12:19:37
"Memphis United States, North America",7562km,7562,141.14ms,141.14,53.63%,53.63,141.06ms,141.06,141.26ms,141.26,0.46ms,0.46,2018-11-10 12:19:37
"Mexico Mexico, North America",9511km,9511,148.40ms,148.4,64.26%,64.26,147.92ms,147.92,148.58ms,148.58,0.57ms,0.57,2018-11-10 12:19:37
"Miami United States, North America",7837km,7837,121.61ms,121.61,64.77%,64.77,121.52ms,121.52,121.72ms,121.72,0.43ms,0.43,2018-11-10 12:19:37
"Milan Italy, Eurasia",1160km,1160,30.29ms,30.29,38.67%,38.67,29.53ms,29.53,34.56ms,34.56,1.25ms,1.25,2018-11-10 12:19:37
"Milwaukee United States, North America",6756km,6756,116.37ms,116.37,58.24%,58.24,116.25ms,116.25,118.02ms,118.02,0.38ms,0.38,2018-11-10 12:19:37
"Minneapolis United States, North America",6849km,6849,122.48ms,122.48,56.14%,56.14,121.62ms,121.62,126.79ms,126.79,1.45ms,1.45,2018-11-10 12:19:37
"Missoula United States, North America",7575km,7575,154.18ms,154.18,49.19%,49.19,154.00ms,154.0,154.49ms,154.49,0.18ms,0.18,2018-11-10 12:19:37
"Montevideo Uruguay, South America",11983km,11983,257.72ms,257.72,46.63%,46.63,256.36ms,256.36,269.80ms,269.8,2.50ms,2.5,2018-11-10 12:19:37
