City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",5987km,5987,333.65ms,333.65,17.98%,17.98,332.95ms,332.95,337.92ms,337.92,1.18ms,1.18,2018-11-10 12:21:41
"Albany United States, North America",13325km,13325,280.09ms,280.09,47.59%,47.59,228.52ms,228.52,369.59ms,369.59,44.46ms,44.46,2018-11-10 12:21:41
"Alblasserdam Netherlands, Eurasia",10265km,10265,303.38ms,303.38,33.88%,33.88,303.07ms,303.07,305.76ms,305.76,0.65ms,0.65,2018-11-10 12:21:41
"Albuquerque United States, North America",12480km,12480,229.28ms,229.28,54.50%,54.5,223.32ms,223.32,270.74ms,270.74,12.73ms,12.73,2018-11-10 12:21:41
"Algiers Algeria, Africa",11213km,11213,262.46ms,262.46,42.80%,42.8,254.76ms,254.76,472.26ms,472.26,38.96ms,38.96,2018-11-10 12:21:41
"Amsterdam Netherlands, Eurasia",10238km,10238,215.64ms,215.64,47.62%,47.62,214.95ms,214.95,217.76ms,217.76,0.80ms,0.8,2018-11-10 12:21:41
"Anchorage United States, North America",8439km,8439,186.48ms,186.48,45.37%,45.37,185.08ms,185.08,203.21ms,203.21,3.34ms,3.34,2018-11-10 12:21:41
"Ankara Turkey, Eurasia",8662km,8662,374.30ms,374.3,23.16%,23.16,373.82ms,373.82,376.90ms,376.9,1.08ms,1.08,2018-11-10 12:21:41
"Antwerp Belgium, Eurasia",10315km,10315,305.71ms,305.71,33.82%,33.82,302.44ms,302.44,310.88ms,310.88,1.92ms,1.92,2018-11-10 12:21:41
"Arezzo Italy, Eurasia",10207km,10207,316.70ms,316.7,32.30%,32.3,316.33ms,316.33,318.12ms,318.12,0.91ms,0.91,2018-11-10 12:21:41
"Asheville United States, North America",13791km,13791,257.18ms,257.18,53.66%,53.66,256.43ms,256.43,264.13ms,264.13,1.67ms,1.67,2018-11-10 12:21:41
"Athens Greece, Eurasia",9483km,9483,345.44ms,345.44,27.49%,27.49,343.18ms,343.18,367.77ms,367.77,4.67ms,4.67,2018-11-10 12:21:41
"Atlanta United States, North America",13894km,13894,201.66ms,201.66,69.12%,69.12,200.77ms,200.77,209.69ms,209.69,1.90ms,1.9,2018-11-10 12:21:41
"Auckland New Zealand, Oceania",8187km,8187,160.62ms,160.62,51.17%,51.17,159.81ms,159.81,165.64ms,165.64,1.60ms,1.6,2018-11-10 12:21:41
"Austin United States, North America",13453km,13453,208.19ms,208.19,64.68%,64.68,196.05ms,196.05,249.01ms,249.01,12.66ms,12.66,2018-11-10 12:21:41
"Baltimore United States, North America",13620km,13620,248.20ms,248.2,54.92%,54.92,247.25ms,247.25,253.40ms,253.4,1.38ms,1.38,2018-11-10 12:21:41
"Bangalore India, Eurasia",4607km,4607,76.44ms,76.44,60.62%,60.62,75.36ms,75.36,93.89ms,93.89,3.36ms,3.36,2018-11-10 12:21:41
"Bangkok Thailand, Eurasia",2147km,2147,81.08ms,81.08,26.51%,26.51,71.21ms,71.21,119.45ms,119.45,11.93ms,11.93,2018-11-10 12:21:41
"Barcelona Spain, Eurasia",11019km,11019,365.59ms,365.59,30.19%,30.19,364.65ms,364.65,370.69ms,370.69,1.44ms,1.44,2018-11-10 12:21:41
"Basel Switzerland, Eurasia",10309km,10309,321.98ms,321.98,32.12%,32.12,321.30ms,321.3,327.80ms,327.8,1.38ms,1.38,2018-11-10 12:21:41
"Belfast United Kingdom, Eurasia",10675km,10675,282.53ms,282.53,37.85%,37.85,281.79ms,281.79,287.56ms,287.56,1.34ms,1.34,2018-11-10 12:21:41
"Bergen Norway, Eurasia",9759km,9759,261.45ms,261.45,37.39%,37.39,260.47ms,260.47,266.72ms,266.72,1.57ms,1.57,2018-11-10 12:21:41
"Berkeley Springs United States, North America",13537km,13537,228.40ms,228.4,59.37%,59.37,227.89ms,227.89,230.21ms,230.21,0.69ms,0.69,2018-11-10 12:21:41
"Bern Switzerland, Eurasia",10350km,10350,314.22ms,314.22,32.96%,32.96,313.43ms,313.43,319.68ms,319.68,1.34ms,1.34,2018-11-10 12:21:41
"Bogota Colombia, South America",17231km,17231,284.57ms,284.57,60.67%,60.67,283.31ms,283.31,299.91ms,299.91,3.67ms,3.67,2018-11-10 12:21:41
"Boston United States, North America",13421km,13421,226.85ms,226.85,59.38%,59.38,226.53ms,226.53,228.63ms,228.63,0.78ms,0.78,2018-11-10 12:21:41
"Brasilia Brazil, South America",18760km,18760,349.57ms,349.57,53.75%,53.75,348.27ms,348.27,357.61ms,357.61,2.34ms,2.34,2018-11-10 12:21:41
"Bratislava Slovakia, Eurasia",9634km,9634,240.73ms,240.73,40.14%,40.14,240.24ms,240.24,243.50ms,243.5,0.80ms,0.8,2018-11-10 12:21:41
"Brisbane Australia, Oceania",5987km,5987,173.14ms,173.14,34.61%,34.61,172.16ms,172.16,179.97ms,179.97,1.88ms,1.88,2018-11-10 12:21:41
"Bristol United Kingdom, Eurasia",10709km,10709,266.20ms,266.2,40.26%,40.26,265.02ms,265.02,270.27ms,270.27,1.52ms,1.52,2018-11-10 12:21:41
"Brno Czech Republic, Eurasia",9626km,9626,225.21ms,225.21,42.78%,42.78,218.19ms,218.19,420.52ms,420.52,36.27ms,36.27,2018-11-10 12:21:41
"Bruges Belgium, Eurasia",10386km,10386,307.35ms,307.35,33.83%,33.83,304.52ms,304.52,362.18ms,362.18,10.26ms,10.26,2018-11-10 12:21:41
"Brunswick United States, North America",13271km,13271,230.23ms,230.23,57.70%,57.7,229.16ms,229.16,233.15ms,233.15,1.27ms,1.27,2018-11-10 12:21:41
"Brussels Belgium, Eurasia",10339km,10339,302.71ms,302.71,34.24%,34.24,301.83ms,301.83,305.28ms,305.28,1.23ms,1.23,2018-11-10 12:21:41
"Bucharest Romania, Eurasia",9098km,9098,356.37ms,356.37,25.56%,25.56,355.75ms,355.75,364.98ms,364.98,1.80ms,1.8,2018-11-10 12:21:41
"Budapest Hungary, Eurasia",9521km,9521,373.76ms,373.76,25.53%,25.53,371.02ms,371.02,379.83ms,379.83,1.84ms,1.84,2018-11-10 12:21:41
"Buenos Aires Argentina, South America",17951km,17951,355.54ms,355.54,50.57%,50.57,350.27ms,350.27,379.53ms,379.53,6.44ms,6.44,2018-11-10 12:21:41
"Buffalo United States, North America",13179km,13179,239.91ms,239.91,55.14%,55.14,238.22ms,238.22,247.33ms,247.33,2.20ms,2.2,2018-11-10 12:21:41
