City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14492km,14492,188.72ms,188.72,77.09%,77.09,188.59ms,188.59,189.08ms,189.08,0.50ms,0.5,2018-11-10 12:18:58
"Albany United States, North America",2617km,2617,83.04ms,83.04,31.53%,31.53,42.41ms,42.41,155.20ms,155.2,42.29ms,42.29,2018-11-10 12:18:58
"Alblasserdam Netherlands, Eurasia",7777km,7777,115.12ms,115.12,67.63%,67.63,114.98ms,114.98,116.93ms,116.93,0.58ms,0.58,2018-11-10 12:18:58
"Albuquerque United States, North America",534km,534,15.63ms,15.63,35.60%,35.6,9.80ms,9.8,58.42ms,58.42,14.70ms,14.7,2018-11-10 12:18:58
"Algiers Algeria, Africa",8781km,8781,148.17ms,148.17,59.33%,59.33,147.33ms,147.33,149.64ms,149.64,0.44ms,0.44,2018-11-10 12:18:58
"Amsterdam Netherlands, Eurasia",7749km,7749,116.36ms,116.36,66.80%,66.8,115.99ms,115.99,117.54ms,117.54,0.55ms,0.55,2018-11-10 12:18:58
"Anchorage United States, North America",3855km,3855,69.17ms,69.17,55.87%,55.87,68.92ms,68.92,69.94ms,69.94,0.25ms,0.25,2018-11-10 12:18:58
"Ankara Turkey, Eurasia",10181km,10181,162.95ms,162.95,62.85%,62.85,162.56ms,162.56,169.02ms,169.02,1.16ms,1.16,2018-11-10 12:18:58
"Antwerp Belgium, Eurasia",7809km,7809,125.47ms,125.47,62.47%,62.47,125.21ms,125.21,127.99ms,127.99,0.61ms,0.61,2018-11-10 12:18:58
"Arezzo Italy, Eurasia",8806km,8806,144.85ms,144.85,61.15%,61.15,144.72ms,144.72,146.04ms,146.04,0.46ms,0.46,2018-11-10 12:18:58
"Asheville United States, North America",2021km,2021,53.81ms,53.81,38.13%,38.13,53.60ms,53.6,56.71ms,56.71,0.63ms,0.63,2018-11-10 12:18:58
"Athens Greece, Eurasia",9919km,9919,181.74ms,181.74,54.80%,54.8,181.59ms,181.59,182.54ms,182.54,0.17ms,0.17,2018-11-10 12:18:58
"Atlanta United States, North America",1947km,1947,41.51ms,41.51,47.49%,47.49,41.35ms,41.35,42.44ms,42.44,0.32ms,0.32,2018-11-10 12:18:58
"Auckland New Zealand, Oceania",11814km,11814,208.94ms,208.94,56.80%,56.8,208.85ms,208.85,209.08ms,209.08,0.29ms,0.29,2018-11-10 12:18:58
"Austin United States, North America",1243km,1243,39.64ms,39.64,31.87%,31.87,30.65ms,30.65,77.59ms,77.59,10.38ms,10.38,2018-11-10 12:18:58
"Baltimore United States, North America",2424km,2424,50.11ms,50.11,48.48%,48.48,49.53ms,49.53,55.99ms,55.99,1.50ms,1.5,2018-11-10 12:18:58
"Bangalore India, Eurasia",14151km,14151,240.94ms,240.94,58.96%,58.96,240.84ms,240.84,241.43ms,241.43,0.30ms,0.3,2018-11-10 12:18:58
"Bangkok Thailand, Eurasia",13513km,13513,228.76ms,228.76,59.27%,59.27,225.18ms,225.18,252.46ms,252.46,6.83ms,6.83,2018-11-10 12:18:58
"Barcelona Spain, Eurasia",8383km,8383,135.25ms,135.25,62.10%,62.1,134.95ms,134.95,135.75ms,135.75,0.30ms,0.3,2018-11-10 12:18:58
"Basel Switzerland, Eurasia",8250km,8250,140.09ms,140.09,58.93%,58.93,139.90ms,139.9,140.29ms,140.29,0.47ms,0.47,2018-11-10 12:18:58
"Belfast United Kingdom, Eurasia",7028km,7028,113.54ms,113.54,62.19%,62.19,113.40ms,113.4,113.72ms,113.72,0.29ms,0.29,2018-11-10 12:18:58
"Bergen Norway, Eurasia",7221km,7221,160.68ms,160.68,45.13%,45.13,159.53ms,159.53,167.45ms,167.45,2.15ms,2.15,2018-11-10 12:18:58
"Berkeley Springs United States, North America",2281km,2281,42.33ms,42.33,54.31%,54.31,42.08ms,42.08,42.72ms,42.72,0.27ms,0.27,2018-11-10 12:18:58
"Bern Switzerland, Eurasia",8288km,8288,137.72ms,137.72,60.50%,60.5,137.47ms,137.47,138.13ms,138.13,0.34ms,0.34,2018-11-10 12:18:58
"Bogota Colombia, South America",4989km,4989,115.67ms,115.67,43.38%,43.38,115.20ms,115.2,119.23ms,119.23,1.05ms,1.05,2018-11-10 12:18:58
"Boston United States, North America",2841km,2841,47.06ms,47.06,60.45%,60.45,46.83ms,46.83,48.26ms,48.26,0.30ms,0.3,2018-11-10 12:18:58
"Brasilia Brazil, South America",8545km,8545,178.28ms,178.28,48.01%,48.01,165.46ms,165.46,441.79ms,441.79,51.26ms,51.26,2018-11-10 12:18:58
"Bratislava Slovakia, Eurasia",8704km,8704,137.34ms,137.34,63.53%,63.53,137.25ms,137.25,137.53ms,137.53,0.40ms,0.4,2018-11-10 12:18:58
"Brisbane Australia, Oceania",12889km,12889,182.54ms,182.54,70.82%,70.82,182.34ms,182.34,185.04ms,185.04,0.62ms,0.62,2018-11-10 12:18:58
"Bristol United Kingdom, Eurasia",7407km,7407,110.46ms,110.46,67.34%,67.34,110.21ms,110.21,111.19ms,111.19,0.29ms,0.29,2018-11-10 12:18:58
"Brno Czech Republic, Eurasia",8592km,8592,139.89ms,139.89,61.81%,61.81,139.75ms,139.75,140.15ms,140.15,0.27ms,0.27,2018-11-10 12:18:58
"Bruges Belgium, Eurasia",7746km,7746,122.01ms,122.01,63.49%,63.49,121.63ms,121.63,125.60ms,125.6,0.83ms,0.83,2018-11-10 12:18:58
"Brunswick United States, North America",2917km,2917,51.40ms,51.4,57.20%,57.2,51.30ms,51.3,51.59ms,51.59,0.24ms,0.24,2018-11-10 12:18:58
"Brussels Belgium, Eurasia",7833km,7833,122.77ms,122.77,64.20%,64.2,122.67ms,122.67,122.91ms,122.91,0.05ms,0.05,2018-11-10 12:18:58
"Bucharest Romania, Eurasia",9458km,9458,152.53ms,152.53,62.22%,62.22,152.43ms,152.43,152.66ms,152.66,0.38ms,0.38,2018-11-10 12:18:58
"Budapest Hungary, Eurasia",8853km,8853,138.53ms,138.53,64.15%,64.15,137.94ms,137.94,138.97ms,138.97,0.39ms,0.39,2018-11-10 12:18:58
"Buenos Aires Argentina, South America",9552km,9552,182.15ms,182.15,52.48%,52.48,178.80ms,178.8,205.43ms,205.43,5.90ms,5.9,2018-11-10 12:18:58
