City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",8267km,8267,231.90ms,231.9,35.79%,35.79,229.84ms,229.84,257.49ms,257.49,5.02ms,5.02,2018-11-10 12:23:17
"Albany United States, North America",12453km,12453,309.73ms,309.73,40.30%,40.3,261.69ms,261.69,380.98ms,380.98,40.01ms,40.01,2018-11-10 12:23:17
"Alblasserdam Netherlands, Eurasia",7675km,7675,162.73ms,162.73,47.38%,47.38,162.36ms,162.36,163.54ms,163.54,0.36ms,0.36,2018-11-10 12:23:17
"Albuquerque United States, North America",13238km,13238,280.04ms,280.04,47.28%,47.28,271.39ms,271.39,324.23ms,324.23,15.12ms,15.12,2018-11-10 12:23:17
"Algiers Algeria, Africa",8235km,8235,180.66ms,180.66,45.75%,45.75,177.75ms,177.75,218.22ms,218.22,8.27ms,8.27,2018-11-10 12:23:17
"Amsterdam Netherlands, Eurasia",7661km,7661,185.98ms,185.98,41.41%,41.41,185.63ms,185.63,186.58ms,186.58,0.55ms,0.55,2018-11-10 12:23:17
"Anchorage United States, North America",9155km,9155,292.56ms,292.56,31.35%,31.35,292.17ms,292.17,293.57ms,293.57,0.29ms,0.29,2018-11-10 12:23:17
"Ankara Turkey, Eurasia",5624km,5624,345.70ms,345.7,16.30%,16.3,344.86ms,344.86,349.25ms,349.25,1.10ms,1.1,2018-11-10 12:23:17
"Antwerp Belgium, Eurasia",7707km,7707,164.78ms,164.78,46.99%,46.99,164.49ms,164.49,165.88ms,165.88,0.33ms,0.33,2018-11-10 12:23:17
"Arezzo Italy, Eurasia",7325km,7325,166.81ms,166.81,44.13%,44.13,166.27ms,166.27,171.53ms,171.53,1.17ms,1.17,2018-11-10 12:23:17
"Asheville United States, North America",13383km,13383,272.61ms,272.61,49.20%,49.2,266.74ms,266.74,281.64ms,281.64,5.93ms,5.93,2018-11-10 12:23:17
"Athens Greece, Eurasia",6425km,6425,209.32ms,209.32,30.74%,30.74,202.85ms,202.85,297.06ms,297.06,19.83ms,19.83,2018-11-10 12:23:17
"Atlanta United States, North America",13606km,13606,259.56ms,259.56,52.53%,52.53,257.56ms,257.56,298.85ms,298.85,7.35ms,7.35,2018-11-10 12:23:17
"Auckland New Zealand, Oceania",11092km,11092,180.07ms,180.07,61.62%,61.62,179.37ms,179.37,183.86ms,183.86,1.04ms,1.04,2018-11-10 12:23:17
"Austin United States, North America",13957km,13957,277.42ms,277.42,50.39%,50.39,267.70ms,267.7,307.18ms,307.18,10.21ms,10.21,2018-11-10 12:23:17
"Baltimore United States, North America",12885km,12885,232.92ms,232.92,55.54%,55.54,231.90ms,231.9,237.90ms,237.9,1.32ms,1.32,2018-11-10 12:23:17
"Bangalore India, Eurasia",1799km,1799,79.65ms,79.65,22.77%,22.77,78.31ms,78.31,105.90ms,105.9,4.94ms,4.94,2018-11-10 12:23:17
"Bangkok Thailand, Eurasia",1534km,1534,204.44ms,204.44,7.52%,7.52,194.75ms,194.75,282.78ms,282.78,19.82ms,19.82,2018-11-10 12:23:17
"Barcelona Spain, Eurasia",8153km,8153,234.20ms,234.2,34.84%,34.84,233.20ms,233.2,238.56ms,238.56,1.43ms,1.43,2018-11-10 12:23:17
"Basel Switzerland, Eurasia",7566km,7566,289.22ms,289.22,26.18%,26.18,288.61ms,288.61,290.99ms,290.99,0.82ms,0.82,2018-11-10 12:23:17
"Belfast United Kingdom, Eurasia",8272km,8272,249.21ms,249.21,33.22%,33.22,247.47ms,247.47,278.35ms,278.35,5.55ms,5.55,2018-11-10 12:23:17
"Bergen Norway, Eurasia",7466km,7466,209.35ms,209.35,35.72%,35.72,209.05ms,209.05,211.11ms,211.11,0.69ms,0.69,2018-11-10 12:23:17
"Berkeley Springs United States, North America",12878km,12878,272.58ms,272.58,47.35%,47.35,272.23ms,272.23,274.11ms,274.11,0.70ms,0.7,2018-11-10 12:23:17
"Bern Switzerland, Eurasia",7590km,7590,172.71ms,172.71,44.13%,44.13,170.45ms,170.45,192.73ms,192.73,3.86ms,3.86,2018-11-10 12:23:17
"Bogota Colombia, South America",16449km,16449,337.91ms,337.91,48.81%,48.81,336.48ms,336.48,358.33ms,358.33,4.01ms,4.01,2018-11-10 12:23:17
"Boston United States, North America",12429km,12429,239.32ms,239.32,52.00%,52.0,238.14ms,238.14,244.02ms,244.02,1.56ms,1.56,2018-11-10 12:23:17
"Brasilia Brazil, South America",15579km,15579,375.18ms,375.18,41.54%,41.54,373.56ms,373.56,385.08ms,385.08,3.02ms,3.02,2018-11-10 12:23:17
"Bratislava Slovakia, Eurasia",6853km,6853,194.52ms,194.52,35.32%,35.32,193.28ms,193.28,217.29ms,217.29,4.30ms,4.3,2018-11-10 12:23:17
"Brisbane Australia, Oceania",8806km,8806,196.05ms,196.05,44.93%,44.93,194.98ms,194.98,201.28ms,201.28,1.48ms,1.48,2018-11-10 12:23:17
"Bristol United Kingdom, Eurasia",8169km,8169,160.26ms,160.26,51.06%,51.06,159.38ms,159.38,165.12ms,165.12,1.23ms,1.23,2018-11-10 12:23:17
"Brno Czech Republic, Eurasia",6880km,6880,280.38ms,280.38,24.57%,24.57,279.79ms,279.79,285.65ms,285.65,1.24ms,1.24,2018-11-10 12:23:17
"Bruges Belgium, Eurasia",7786km,7786,165.39ms,165.39,47.19%,47.19,164.62ms,164.62,168.98ms,168.98,1.00ms,1.0,2018-11-10 12:23:17
"Brunswick United States, North America",12237km,12237,269.37ms,269.37,45.49%,45.49,268.76ms,268.76,273.23ms,273.23,1.19ms,1.19,2018-11-10 12:23:17
"Brussels Belgium, Eurasia",7719km,7719,274.10ms,274.1,28.17%,28.17,271.30ms,271.3,326.32ms,326.32,9.91ms,9.91,2018-11-10 12:23:17
"Bucharest Romania, Eurasia",6182km,6182,203.87ms,203.87,30.45%,30.45,203.36ms,203.36,205.28ms,205.28,0.57ms,0.57,2018-11-10 12:23:17
"Budapest Hungary, Eurasia",6714km,6714,170.51ms,170.51,39.49%,39.49,169.68ms,169.68,175.22ms,175.22,1.00ms,1.0,2018-11-10 12:23:17
"Buenos Aires Argentina, South America",16769km,16769,453.10ms,453.1,37.02%,37.02,448.43ms,448.43,482.51ms,482.51,6.85ms,6.85,2018-11-10 12:23:17
"Buffalo United States, North America",12533km,12533,274.94ms,274.94,45.74%,45.74,272.60ms,272.6,281.54ms,281.54,2.59ms,2.59,2018-11-10 12:23:17
