City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15800km,15800,321.20ms,321.2,49.22%,49.22,320.72ms,320.72,326.32ms,326.32,1.17ms,1.17,2018-11-10 12:19:24
"Albany United States, North America",5871km,5871,126.97ms,126.97,46.60%,46.6,86.58ms,86.58,186.85ms,186.85,40.17ms,40.17,2018-11-10 12:19:24
"Alblasserdam Netherlands, Eurasia",163km,163,8.51ms,8.51,20.38%,20.38,8.19ms,8.19,8.84ms,8.84,0.20ms,0.2,2018-11-10 12:19:24
"Albuquerque United States, North America",8432km,8432,134.67ms,134.67,62.93%,62.93,128.80ms,128.8,177.20ms,177.2,13.07ms,13.07,2018-11-10 12:19:24
"Algiers Algeria, Africa",1637km,1637,58.24ms,58.24,28.22%,28.22,57.68ms,57.68,60.45ms,60.45,0.59ms,0.59,2018-11-10 12:19:24
"Amsterdam Netherlands, Eurasia",186km,186,12.29ms,12.29,15.50%,15.5,12.04ms,12.04,12.81ms,12.81,0.20ms,0.2,2018-11-10 12:19:25
"Anchorage United States, North America",7342km,7342,174.30ms,174.3,42.20%,42.2,174.01ms,174.01,174.71ms,174.71,0.59ms,0.59,2018-11-10 12:19:25
"Ankara Turkey, Eurasia",2368km,2368,48.20ms,48.2,49.33%,49.33,47.92ms,47.92,49.12ms,49.12,0.35ms,0.35,2018-11-10 12:19:25
"Antwerp Belgium, Eurasia",165km,165,15.32ms,15.32,11.00%,11.0,15.15ms,15.15,15.65ms,15.65,0.17ms,0.17,2018-11-10 12:19:25
"Arezzo Italy, Eurasia",943km,943,22.66ms,22.66,42.86%,42.86,22.44ms,22.44,22.83ms,22.83,0.22ms,0.22,2018-11-10 12:19:25
"Asheville United States, North America",6965km,6965,103.55ms,103.55,67.62%,67.62,103.33ms,103.33,103.81ms,103.81,0.15ms,0.15,2018-11-10 12:19:25
"Athens Greece, Eurasia",1984km,1984,47.53ms,47.53,42.21%,42.21,47.20ms,47.2,48.53ms,48.53,0.25ms,0.25,2018-11-10 12:19:25
"Atlanta United States, North America",7230km,7230,104.67ms,104.67,69.52%,69.52,104.38ms,104.38,105.24ms,105.24,0.33ms,0.33,2018-11-10 12:19:25
"Auckland New Zealand, Oceania",18157km,18157,310.47ms,310.47,58.57%,58.57,310.16ms,310.16,312.82ms,312.82,0.78ms,0.78,2018-11-10 12:19:25
"Austin United States, North America",8353km,8353,135.03ms,135.03,61.87%,61.87,127.41ms,127.41,167.79ms,167.79,10.71ms,10.71,2018-11-10 12:19:25
"Baltimore United States, North America",6303km,6303,91.51ms,91.51,69.26%,69.26,91.17ms,91.17,92.75ms,92.75,0.55ms,0.55,2018-11-10 12:19:25
"Bangalore India, Eurasia",7556km,7556,204.54ms,204.54,37.04%,37.04,204.24ms,204.24,205.81ms,205.81,0.30ms,0.3,2018-11-10 12:19:25
