City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15888km,15888,310.52ms,310.52,51.25%,51.25,310.28ms,310.28,311.29ms,311.29,0.32ms,0.32,2018-11-10 12:19:17
"Albany United States, North America",5778km,5778,123.76ms,123.76,46.98%,46.98,79.40ms,79.4,179.18ms,179.18,40.08ms,40.08,2018-11-10 12:19:17
"Alblasserdam Netherlands, Eurasia",73km,73,4.78ms,4.78,18.25%,18.25,4.42ms,4.42,6.88ms,6.88,0.43ms,0.43,2018-11-10 12:19:17
"Albuquerque United States, North America",8346km,8346,132.90ms,132.9,63.23%,63.23,127.27ms,127.27,176.16ms,176.16,11.45ms,11.45,2018-11-10 12:19:17
"Algiers Algeria, Africa",1644km,1644,58.01ms,58.01,28.34%,28.34,57.24ms,57.24,59.85ms,59.85,0.55ms,0.55,2018-11-10 12:19:17
"Amsterdam Netherlands, Eurasia",109km,109,11.63ms,11.63,9.91%,9.91,11.48ms,11.48,12.03ms,12.03,0.19ms,0.19,2018-11-10 12:19:17
"Anchorage United States, North America",7300km,7300,173.24ms,173.24,42.20%,42.2,172.93ms,172.93,173.92ms,173.92,0.49ms,0.49,2018-11-10 12:19:17
"Ankara Turkey, Eurasia",2462km,2462,57.87ms,57.87,43.19%,43.19,57.63ms,57.63,58.05ms,58.05,0.26ms,0.26,2018-11-10 12:19:17
"Antwerp Belgium, Eurasia",78km,78,8.67ms,8.67,9.75%,9.75,8.53ms,8.53,8.88ms,8.88,0.15ms,0.15,2018-11-10 12:19:17
"Arezzo Italy, Eurasia",1007km,1007,25.82ms,25.82,40.28%,40.28,25.64ms,25.64,27.60ms,27.6,0.39ms,0.39,2018-11-10 12:19:17
"Asheville United States, North America",6872km,6872,95.81ms,95.81,72.34%,72.34,95.70ms,95.7,95.96ms,95.96,0.15ms,0.15,2018-11-10 12:19:17
"Athens Greece, Eurasia",2068km,2068,52.54ms,52.54,39.77%,39.77,52.30ms,52.3,53.62ms,53.62,0.40ms,0.4,2018-11-10 12:19:17
"Atlanta United States, North America",7137km,7137,100.40ms,100.4,71.37%,71.37,100.10ms,100.1,101.92ms,101.92,0.34ms,0.34,2018-11-10 12:19:17
"Auckland New Zealand, Oceania",18189km,18189,300.65ms,300.65,60.63%,60.63,300.56ms,300.56,300.80ms,300.8,0.74ms,0.74,2018-11-10 12:19:17
"Austin United States, North America",8262km,8262,127.43ms,127.43,65.06%,65.06,117.38ms,117.38,158.97ms,158.97,11.42ms,11.42,2018-11-10 12:19:17
"Baltimore United States, North America",6210km,6210,83.79ms,83.79,74.82%,74.82,83.55ms,83.55,85.72ms,85.72,0.52ms,0.52,2018-11-10 12:19:17
"Bangalore India, Eurasia",7650km,7650,148.12ms,148.12,51.69%,51.69,147.94ms,147.94,148.31ms,148.31,0.42ms,0.42,2018-11-10 12:19:17
"Bangkok Thailand, Eurasia",9160km,9160,170.17ms,170.17,53.88%,53.88,160.06ms,160.06,222.68ms,222.68,16.37ms,16.37,2018-11-10 12:19:17
"Barcelona Spain, Eurasia",1146km,1146,34.03ms,34.03,33.71%,33.71,33.78ms,33.78,34.78ms,34.78,0.20ms,0.2,2018-11-10 12:19:17
"Basel Switzerland, Eurasia",458km,458,25.35ms,25.35,18.32%,18.32,25.21ms,25.21,25.48ms,25.48,0.21ms,0.21,2018-11-10 12:19:17
"Belfast United Kingdom, Eurasia",838km,838,24.17ms,24.17,34.92%,34.92,24.04ms,24.04,24.35ms,24.35,0.15ms,0.15,2018-11-10 12:19:17
"Bergen Norway, Eurasia",994km,994,33.95ms,33.95,30.12%,30.12,33.77ms,33.77,34.38ms,34.38,0.16ms,0.16,2018-11-10 12:19:17
"Berkeley Springs United States, North America",6288km,6288,89.26ms,89.26,70.65%,70.65,89.03ms,89.03,89.57ms,89.57,0.28ms,0.28,2018-11-10 12:19:17
"Bern Switzerland, Eurasia",520km,520,31.41ms,31.41,16.77%,16.77,31.18ms,31.18,31.59ms,31.59,0.16ms,0.16,2018-11-10 12:19:18
"Bogota Colombia, South America",8886km,8886,170.01ms,170.01,52.27%,52.27,169.43ms,169.43,177.03ms,177.03,1.76ms,1.76,2018-11-10 12:19:18
"Boston United States, North America",5632km,5632,82.11ms,82.11,68.68%,68.68,81.52ms,81.52,84.52ms,84.52,0.81ms,0.81,2018-11-10 12:19:18
"Brasilia Brazil, South America",9081km,9081,216.27ms,216.27,42.04%,42.04,215.39ms,215.39,223.87ms,223.87,2.05ms,2.05,2018-11-10 12:19:18
"Bratislava Slovakia, Eurasia",911km,911,20.15ms,20.15,45.55%,45.55,20.03ms,20.03,20.54ms,20.54,0.11ms,0.11,2018-11-10 12:19:18
"Brisbane Australia, Oceania",16220km,16220,298.02ms,298.02,54.43%,54.43,297.91ms,297.91,298.25ms,298.25,0.53ms,0.53,2018-11-10 12:19:18
"Bristol United Kingdom, Eurasia",558km,558,12.84ms,12.84,46.50%,46.5,12.64ms,12.64,13.44ms,13.44,0.19ms,0.19,2018-11-10 12:19:18
"Brno Czech Republic, Eurasia",828km,828,25.07ms,25.07,33.12%,33.12,24.90ms,24.9,25.83ms,25.83,0.17ms,0.17,2018-11-10 12:19:18
"Bruges Belgium, Eurasia",157km,157,10.33ms,10.33,15.70%,15.7,9.95ms,9.95,11.29ms,11.29,0.35ms,0.35,2018-11-10 12:19:18
"Brunswick United States, North America",5456km,5456,86.10ms,86.1,63.44%,63.44,85.94ms,85.94,86.67ms,86.67,0.20ms,0.2,2018-11-10 12:19:18
"Brussels Belgium, Eurasia",102km,102,6.59ms,6.59,17.00%,17.0,6.44ms,6.44,6.83ms,6.83,0.11ms,0.11,2018-11-10 12:19:18
"Bucharest Romania, Eurasia",1716km,1716,42.55ms,42.55,40.86%,40.86,42.45ms,42.45,42.71ms,42.71,0.14ms,0.14,2018-11-10 12:19:18
"Budapest Hungary, Eurasia",1072km,1072,30.55ms,30.55,35.73%,35.73,30.01ms,30.01,30.98ms,30.98,0.37ms,0.37,2018-11-10 12:19:18
"Buenos Aires Argentina, South America",11410km,11410,232.34ms,232.34,49.18%,49.18,228.05ms,228.05,248.53ms,248.53,5.97ms,5.97,2018-11-10 12:19:18
"Buffalo United States, North America",6089km,6089,101.67ms,101.67,60.29%,60.29,98.89ms,98.89,131.47ms,131.47,6.27ms,6.27,2018-11-10 12:19:18
"Bursa Turkey, Eurasia",2200km,2200,67.04ms,67.04,32.84%,32.84,66.37ms,66.37,73.40ms,73.4,1.49ms,1.49,2018-11-10 12:19:18
"Cairo Egypt, Africa",3186km,3186,64.40ms,64.4,49.78%,49.78,60.38ms,60.38,97.08ms,97.08,7.43ms,7.43,2018-11-10 12:19:18
