City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15677km,15677,333.88ms,333.88,47.08%,47.08,333.34ms,333.34,334.75ms,334.75,0.79ms,0.79,2018-11-10 12:19:51
"Albany United States, North America",6045km,6045,132.72ms,132.72,45.80%,45.8,84.83ms,84.83,226.21ms,226.21,44.45ms,44.45,2018-11-10 12:19:51
"Alblasserdam Netherlands, Eurasia",342km,342,8.99ms,8.99,42.75%,42.75,8.73ms,8.73,9.55ms,9.55,0.19ms,0.19,2018-11-10 12:19:51
"Albuquerque United States, North America",8614km,8614,136.77ms,136.77,63.34%,63.34,133.13ms,133.13,170.37ms,170.37,8.77ms,8.77,2018-11-10 12:19:51
"Algiers Algeria, Africa",1553km,1553,46.62ms,46.62,33.76%,33.76,45.85ms,45.85,48.49ms,48.49,0.49ms,0.49,2018-11-10 12:19:51
"Amsterdam Netherlands, Eurasia",368km,368,11.72ms,11.72,33.45%,33.45,11.52ms,11.52,11.96ms,11.96,0.19ms,0.19,2018-11-10 12:19:51
"Anchorage United States, North America",7491km,7491,182.83ms,182.83,41.16%,41.16,182.55ms,182.55,183.31ms,183.31,0.56ms,0.56,2018-11-10 12:19:52
"Ankara Turkey, Eurasia",2198km,2198,45.45ms,45.45,48.84%,48.84,44.76ms,44.76,56.73ms,56.73,2.15ms,2.15,2018-11-10 12:19:52
"Antwerp Belgium, Eurasia",325km,325,13.37ms,13.37,25.00%,25.0,13.30ms,13.3,13.45ms,13.45,0.05ms,0.05,2018-11-10 12:19:52
"Arezzo Italy, Eurasia",777km,777,15.55ms,15.55,51.80%,51.8,15.44ms,15.44,15.68ms,15.68,0.18ms,0.18,2018-11-10 12:19:52
"Asheville United States, North America",7139km,7139,104.32ms,104.32,68.64%,68.64,104.27ms,104.27,104.41ms,104.41,0.42ms,0.42,2018-11-10 12:19:52
"Athens Greece, Eurasia",1801km,1801,44.47ms,44.47,40.93%,40.93,44.28ms,44.28,44.66ms,44.66,0.20ms,0.2,2018-11-10 12:19:52
"Atlanta United States, North America",7403km,7403,102.26ms,102.26,72.58%,72.58,102.02ms,102.02,103.72ms,103.72,0.51ms,0.51,2018-11-10 12:19:52
"Auckland New Zealand, Oceania",18170km,18170,326.52ms,326.52,55.74%,55.74,326.38ms,326.38,327.24ms,327.24,0.61ms,0.61,2018-11-10 12:19:52
"Austin United States, North America",8532km,8532,134.66ms,134.66,63.67%,63.67,122.16ms,122.16,194.24ms,194.24,17.60ms,17.6,2018-11-10 12:19:52
"Baltimore United States, North America",6476km,6476,89.10ms,89.1,72.76%,72.76,88.63ms,88.63,95.27ms,95.27,1.21ms,1.21,2018-11-10 12:19:52
"Bangalore India, Eurasia",7408km,7408,145.46ms,145.46,51.09%,51.09,145.35ms,145.35,146.06ms,146.06,0.42ms,0.42,2018-11-10 12:19:52
"Bangkok Thailand, Eurasia",8968km,8968,165.91ms,165.91,54.35%,54.35,152.54ms,152.54,216.17ms,216.17,16.04ms,16.04,2018-11-10 12:19:52
"Barcelona Spain, Eurasia",1093km,1093,34.77ms,34.77,32.15%,32.15,34.57ms,34.57,35.24ms,35.24,0.20ms,0.2,2018-11-10 12:19:52
"Basel Switzerland, Eurasia",295km,295,10.18ms,10.18,29.50%,29.5,10.07ms,10.07,10.36ms,10.36,0.09ms,0.09,2018-11-10 12:19:52
"Belfast United Kingdom, Eurasia",1107km,1107,30.09ms,30.09,36.90%,36.9,29.93ms,29.93,30.25ms,30.25,0.14ms,0.14,2018-11-10 12:19:52
