City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13023km,13023,170.10ms,170.1,76.61%,76.61,169.88ms,169.88,170.83ms,170.83,0.39ms,0.39,2018-11-10 12:19:48
"Albany United States, North America",4084km,4084,112.36ms,112.36,36.46%,36.46,65.93ms,65.93,198.06ms,198.06,42.83ms,42.83,2018-11-10 12:19:48
"Alblasserdam Netherlands, Eurasia",8810km,8810,136.96ms,136.96,64.78%,64.78,136.62ms,136.62,137.30ms,137.3,0.29ms,0.29,2018-11-10 12:19:48
"Albuquerque United States, North America",1402km,1402,52.53ms,52.53,26.96%,26.96,47.07ms,47.07,96.49ms,96.49,13.01ms,13.01,2018-11-10 12:19:48
"Algiers Algeria, Africa",10011km,10011,174.84ms,174.84,57.53%,57.53,174.31ms,174.31,176.76ms,176.76,0.47ms,0.47,2018-11-10 12:19:48
"Amsterdam Netherlands, Eurasia",8775km,8775,138.43ms,138.43,63.59%,63.59,138.16ms,138.16,138.67ms,138.67,0.33ms,0.33,2018-11-10 12:19:48
"Anchorage United States, North America",3266km,3266,50.16ms,50.16,65.32%,65.32,49.89ms,49.89,50.64ms,50.64,0.31ms,0.31,2018-11-10 12:19:48
"Ankara Turkey, Eurasia",11028km,11028,181.55ms,181.55,60.93%,60.93,181.07ms,181.07,189.70ms,189.7,1.62ms,1.62,2018-11-10 12:19:48
"Antwerp Belgium, Eurasia",8853km,8853,141.32ms,141.32,62.79%,62.79,141.04ms,141.04,141.78ms,141.78,0.51ms,0.51,2018-11-10 12:19:48
"Arezzo Italy, Eurasia",9878km,9878,165.99ms,165.99,59.87%,59.87,165.63ms,165.63,168.69ms,168.69,0.66ms,0.66,2018-11-10 12:19:48
"Asheville United States, North America",3503km,3503,72.17ms,72.17,48.65%,48.65,72.01ms,72.01,72.63ms,72.63,0.18ms,0.18,2018-11-10 12:19:48
"Athens Greece, Eurasia",10914km,10914,200.03ms,200.03,54.57%,54.57,199.69ms,199.69,201.58ms,201.58,0.64ms,0.64,2018-11-10 12:19:48
"Atlanta United States, North America",3401km,3401,60.09ms,60.09,56.68%,56.68,59.79ms,59.79,60.55ms,60.55,0.33ms,0.33,2018-11-10 12:19:48
"Auckland New Zealand, Oceania",10520km,10520,185.10ms,185.1,56.86%,56.86,184.91ms,184.91,186.53ms,186.53,0.44ms,0.44,2018-11-10 12:19:48
"Austin United States, North America",2372km,2372,54.82ms,54.82,43.93%,43.93,44.35ms,44.35,106.29ms,106.29,13.61ms,13.61,2018-11-10 12:19:48
"Baltimore United States, North America",3916km,3916,66.06ms,66.06,59.33%,59.33,65.56ms,65.56,69.96ms,69.96,1.07ms,1.07,2018-11-10 12:19:48
"Bangalore India, Eurasia",14040km,14040,206.22ms,206.22,68.16%,68.16,206.00ms,206.0,206.52ms,206.52,0.17ms,0.17,2018-11-10 12:19:48
"Bangkok Thailand, Eurasia",12795km,12795,213.17ms,213.17,60.07%,60.07,203.30ms,203.3,248.49ms,248.49,12.25ms,12.25,2018-11-10 12:19:48
"Barcelona Spain, Eurasia",9570km,9570,161.99ms,161.99,59.44%,59.44,161.53ms,161.53,162.81ms,162.81,0.56ms,0.56,2018-11-10 12:19:48
"Basel Switzerland, Eurasia",9315km,9315,147.67ms,147.67,63.37%,63.37,147.31ms,147.31,149.01ms,149.01,0.60ms,0.6,2018-11-10 12:19:48
"Belfast United Kingdom, Eurasia",8102km,8102,134.51ms,134.51,60.46%,60.46,134.31ms,134.31,134.99ms,134.99,0.33ms,0.33,2018-11-10 12:19:48
"Bergen Norway, Eurasia",8120km,8120,176.26ms,176.26,46.14%,46.14,175.64ms,175.64,178.43ms,178.43,0.80ms,0.8,2018-11-10 12:19:48
"Berkeley Springs United States, North America",3773km,3773,70.22ms,70.22,53.90%,53.9,69.85ms,69.85,72.44ms,72.44,0.56ms,0.56,2018-11-10 12:19:48
"Bern Switzerland, Eurasia",9362km,9362,149.89ms,149.89,62.83%,62.83,149.56ms,149.56,150.49ms,150.49,0.42ms,0.42,2018-11-10 12:19:48
"Bogota Colombia, South America",6078km,6078,139.44ms,139.44,43.73%,43.73,138.74ms,138.74,148.31ms,148.31,1.80ms,1.8,2018-11-10 12:19:48
"Boston United States, North America",4309km,4309,67.91ms,67.91,64.31%,64.31,67.66ms,67.66,68.62ms,68.62,0.34ms,0.34,2018-11-10 12:19:48
"Brasilia Brazil, South America",9735km,9735,196.10ms,196.1,49.67%,49.67,194.94ms,194.94,205.02ms,205.02,2.14ms,2.14,2018-11-10 12:19:48
"Bratislava Slovakia, Eurasia",9665km,9665,154.58ms,154.58,62.76%,62.76,154.28ms,154.28,157.28ms,157.28,0.67ms,0.67,2018-11-10 12:19:48
"Brisbane Australia, Oceania",11420km,11420,163.15ms,163.15,70.06%,70.06,162.94ms,162.94,163.69ms,163.69,0.30ms,0.3,2018-11-10 12:19:48
