City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15883km,15883,330.69ms,330.69,48.13%,48.13,329.62ms,329.62,340.18ms,340.18,2.23ms,2.23,2018-11-10 12:19:28
"Albany United States, North America",6072km,6072,133.23ms,133.23,45.65%,45.65,87.57ms,87.57,189.55ms,189.55,39.12ms,39.12,2018-11-10 12:19:28
"Alblasserdam Netherlands, Eurasia",639km,639,24.13ms,24.13,26.62%,26.62,22.80ms,22.8,46.27ms,46.27,4.17ms,4.17,2018-11-10 12:19:28
"Albuquerque United States, North America",8749km,8749,148.48ms,148.48,59.11%,59.11,142.43ms,142.43,202.95ms,202.95,14.02ms,14.02,2018-11-10 12:19:28
"Algiers Algeria, Africa",1080km,1080,46.88ms,46.88,23.48%,23.48,45.42ms,45.42,60.28ms,60.28,2.82ms,2.82,2018-11-10 12:19:28
"Amsterdam Netherlands, Eurasia",686km,686,21.86ms,21.86,32.67%,32.67,20.06ms,20.06,44.24ms,44.24,4.44ms,4.44,2018-11-10 12:19:28
"Anchorage United States, North America",7879km,7879,188.65ms,188.65,41.91%,41.91,187.89ms,187.89,193.18ms,193.18,1.11ms,1.11,2018-11-10 12:19:28
"Ankara Turkey, Eurasia",2271km,2271,59.09ms,59.09,38.49%,38.49,54.63ms,54.63,121.94ms,121.94,12.30ms,12.3,2018-11-10 12:19:28
"Antwerp Belgium, Eurasia",571km,571,22.00ms,22.0,27.19%,27.19,20.58ms,20.58,27.32ms,27.32,2.05ms,2.05,2018-11-10 12:19:28
"Arezzo Italy, Eurasia",546km,546,35.81ms,35.81,15.60%,15.6,35.39ms,35.39,37.24ms,37.24,0.43ms,0.43,2018-11-10 12:19:28
"Asheville United States, North America",7153km,7153,102.66ms,102.66,70.13%,70.13,101.96ms,101.96,106.41ms,106.41,1.02ms,1.02,2018-11-10 12:19:28
"Athens Greece, Eurasia",1712km,1712,50.00ms,50.0,34.94%,34.94,47.58ms,47.58,77.87ms,77.87,5.86ms,5.86,2018-11-10 12:19:28
"Atlanta United States, North America",7415km,7415,102.71ms,102.71,72.70%,72.7,101.20ms,101.2,109.53ms,109.53,2.31ms,2.31,2018-11-10 12:19:28
"Auckland New Zealand, Oceania",18616km,18616,312.39ms,312.39,59.67%,59.67,309.62ms,309.62,331.59ms,331.59,4.42ms,4.42,2018-11-10 12:19:28
"Austin United States, North America",8593km,8593,132.02ms,132.02,65.10%,65.1,120.14ms,120.14,160.26ms,160.26,9.95ms,9.95,2018-11-10 12:19:28
"Baltimore United States, North America",6488km,6488,89.11ms,89.11,72.90%,72.9,87.90ms,87.9,96.48ms,96.48,1.87ms,1.87,2018-11-10 12:19:28
"Bangalore India, Eurasia",7553km,7553,136.84ms,136.84,55.54%,55.54,136.03ms,136.03,143.57ms,143.57,1.84ms,1.84,2018-11-10 12:19:28
"Bangkok Thailand, Eurasia",9242km,9242,170.68ms,170.68,54.36%,54.36,162.32ms,162.32,214.43ms,214.43,13.00ms,13.0,2018-11-10 12:19:28
"Barcelona Spain, Eurasia",621km,621,18.14ms,18.14,34.50%,34.5,16.77ms,16.77,28.57ms,28.57,2.31ms,2.31,2018-11-10 12:19:28
"Basel Switzerland, Eurasia",188km,188,5.84ms,5.84,37.60%,37.6,4.75ms,4.75,16.60ms,16.6,2.73ms,2.73,2018-11-10 12:19:28
"Belfast United Kingdom, Eurasia",1261km,1261,34.80ms,34.8,37.09%,37.09,33.17ms,33.17,57.91ms,57.91,4.50ms,4.5,2018-11-10 12:19:28
"Bergen Norway, Eurasia",1577km,1577,52.40ms,52.4,30.33%,30.33,51.38ms,51.38,58.97ms,58.97,1.82ms,1.82,2018-11-10 12:19:28
"Berkeley Springs United States, North America",6577km,6577,100.35ms,100.35,65.77%,65.77,98.77ms,98.77,121.87ms,121.87,4.34ms,4.34,2018-11-10 12:19:28
"Bern Switzerland, Eurasia",132km,132,9.89ms,9.89,14.67%,14.67,8.98ms,8.98,18.80ms,18.8,2.05ms,2.05,2018-11-10 12:19:28
"Bogota Colombia, South America",8885km,8885,179.32ms,179.32,49.64%,49.64,175.23ms,175.23,203.55ms,203.55,6.82ms,6.82,2018-11-10 12:19:28
"Boston United States, North America",5909km,5909,82.08ms,82.08,72.06%,72.06,80.55ms,80.55,107.62ms,107.62,4.88ms,4.88,2018-11-10 12:19:28
"Brasilia Brazil, South America",8758km,8758,218.30ms,218.3,40.17%,40.17,214.88ms,214.88,255.35ms,255.35,8.13ms,8.13,2018-11-10 12:19:28
"Bratislava Slovakia, Eurasia",859km,859,20.47ms,20.47,42.95%,42.95,19.41ms,19.41,28.54ms,28.54,2.16ms,2.16,2018-11-10 12:19:28
"Brisbane Australia, Oceania",16455km,16455,311.64ms,311.64,52.91%,52.91,311.03ms,311.03,318.24ms,318.24,1.39ms,1.39,2018-11-10 12:19:28
"Bristol United Kingdom, Eurasia",862km,862,21.38ms,21.38,41.05%,41.05,20.83ms,20.83,24.08ms,24.08,0.63ms,0.63,2018-11-10 12:19:28
"Brno Czech Republic, Eurasia",854km,854,30.89ms,30.89,28.47%,28.47,28.00ms,28.0,60.46ms,60.46,6.92ms,6.92,2018-11-10 12:19:28
"Bruges Belgium, Eurasia",596km,596,27.76ms,27.76,22.07%,22.07,24.06ms,24.06,66.35ms,66.35,7.85ms,7.85,2018-11-10 12:19:28
"Brunswick United States, North America",5743km,5743,92.07ms,92.07,62.42%,62.42,91.29ms,91.29,94.34ms,94.34,0.96ms,0.96,2018-11-10 12:19:28
"Brussels Belgium, Eurasia",532km,532,17.03ms,17.03,31.29%,31.29,16.50ms,16.5,20.79ms,20.79,0.91ms,0.91,2018-11-10 12:19:28
"Bucharest Romania, Eurasia",1572km,1572,47.66ms,47.66,33.45%,33.45,46.50ms,46.5,55.18ms,55.18,2.39ms,2.39,2018-11-10 12:19:28
"Budapest Hungary, Eurasia",994km,994,26.50ms,26.5,38.23%,38.23,25.65ms,25.65,33.46ms,33.46,1.35ms,1.35,2018-11-10 12:19:28
"Buenos Aires Argentina, South America",11063km,11063,239.25ms,239.25,46.29%,46.29,230.84ms,230.84,267.47ms,267.47,9.12ms,9.12,2018-11-10 12:19:28
"Buffalo United States, North America",6408km,6408,98.99ms,98.99,65.39%,65.39,96.16ms,96.16,111.27ms,111.27,3.76ms,3.76,2018-11-10 12:19:28
"Bursa Turkey, Eurasia",1969km,1969,59.47ms,59.47,33.37%,33.37,54.94ms,54.94,97.21ms,97.21,9.69ms,9.69,2018-11-10 12:19:28
"Cairo Egypt, Africa",2817km,2817,67.38ms,67.38,42.04%,42.04,63.30ms,63.3,79.37ms,79.37,3.61ms,3.61,2018-11-10 12:19:28
"Calgary Canada, North America",7781km,7781,171.63ms,171.63,45.50%,45.5,169.35ms,169.35,178.32ms,178.32,2.59ms,2.59,2018-11-10 12:19:28
"Canberra Australia, Oceania",16714km,16714,299.97ms,299.97,55.90%,55.9,298.81ms,298.81,310.83ms,310.83,2.30ms,2.3,2018-11-10 12:19:28
"Cape Town South Africa, Africa",9003km,9003,162.56ms,162.56,55.57%,55.57,159.22ms,159.22,205.05ms,205.05,9.31ms,9.31,2018-11-10 12:19:28
"Caracas Venezuela, South America",7865km,7865,161.31ms,161.31,48.85%,48.85,160.14ms,160.14,165.18ms,165.18,1.21ms,1.21,2018-11-10 12:19:28
"Cardiff United Kingdom, Eurasia",897km,897,23.86ms,23.86,39.00%,39.0,22.90ms,22.9,29.70ms,29.7,1.30ms,1.3,2018-11-10 12:19:28
"Carlow Ireland, Eurasia",1193km,1193,31.35ms,31.35,38.48%,38.48,30.29ms,30.29,46.05ms,46.05,2.91ms,2.91,2018-11-10 12:19:28
"Charlotte United States, North America",7060km,7060,97.62ms,97.62,72.78%,72.78,96.04ms,96.04,115.29ms,115.29,3.90ms,3.9,2018-11-10 12:19:28
"Cheltenham United Kingdom, Eurasia",869km,869,23.29ms,23.29,37.78%,37.78,21.88ms,21.88,36.54ms,36.54,3.42ms,3.42,2018-11-10 12:19:28
"Chennai India, Eurasia",7750km,7750,134.93ms,134.93,57.84%,57.84,133.36ms,133.36,156.17ms,156.17,3.99ms,3.99,2018-11-10 12:19:28
"Chicago United States, North America",7051km,7051,106.18ms,106.18,66.52%,66.52,104.43ms,104.43,143.27ms,143.27,6.95ms,6.95,2018-11-10 12:19:28
"Chisinau Moldova, Eurasia",1739km,1739,56.50ms,56.5,31.05%,31.05,54.64ms,54.64,81.52ms,81.52,4.90ms,4.9,2018-11-10 12:19:28
"Christchurch New Zealand, Oceania",18916km,18916,335.50ms,335.5,56.47%,56.47,334.16ms,334.16,339.55ms,339.55,1.47ms,1.47,2018-11-10 12:19:28
"Cincinnati United States, North America",7039km,7039,108.50ms,108.5,65.18%,65.18,106.94ms,106.94,117.44ms,117.44,2.50ms,2.5,2018-11-10 12:19:28
"Cleveland United States, North America",6650km,6650,120.79ms,120.79,55.42%,55.42,120.29ms,120.29,122.87ms,122.87,0.59ms,0.59,2018-11-10 12:19:28
"Colorado Springs United States, North America",8329km,8329,134.70ms,134.7,62.16%,62.16,131.75ms,131.75,157.94ms,157.94,7.02ms,7.02,2018-11-10 12:19:28
