City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15369km,15369,333.03ms,333.03,46.15%,46.15,332.56ms,332.56,334.14ms,334.14,0.52ms,0.52,2018-11-10 12:19:28
"Albany United States, North America",5885km,5885,159.10ms,159.1,37.01%,37.01,109.34ms,109.34,220.57ms,220.57,40.09ms,40.09,2018-11-10 12:19:28
"Alblasserdam Netherlands, Eurasia",799km,799,30.08ms,30.08,26.63%,26.63,29.73ms,29.73,32.69ms,32.69,0.73ms,0.73,2018-11-10 12:19:28
"Albuquerque United States, North America",8221km,8221,165.10ms,165.1,49.82%,49.82,157.99ms,157.99,208.05ms,208.05,14.09ms,14.09,2018-11-10 12:19:28
"Algiers Algeria, Africa",2420km,2420,72.26ms,72.26,33.61%,33.61,71.79ms,71.79,74.19ms,74.19,0.41ms,0.41,2018-11-10 12:19:28
"Amsterdam Netherlands, Eurasia",757km,757,33.70ms,33.7,22.94%,22.94,33.52ms,33.52,34.40ms,34.4,0.29ms,0.29,2018-11-10 12:19:28
"Anchorage United States, North America",6700km,6700,191.41ms,191.41,35.08%,35.08,191.12ms,191.12,191.79ms,191.79,0.53ms,0.53,2018-11-10 12:19:28
"Ankara Turkey, Eurasia",2478km,2478,65.22ms,65.22,38.12%,38.12,65.03ms,65.03,65.77ms,65.77,0.38ms,0.38,2018-11-10 12:19:28
"Antwerp Belgium, Eurasia",869km,869,57.00ms,57.0,15.52%,15.52,56.94ms,56.94,57.14ms,57.14,0.28ms,0.28,2018-11-10 12:19:28
"Arezzo Italy, Eurasia",1582km,1582,81.29ms,81.29,19.53%,19.53,81.03ms,81.03,82.01ms,82.01,0.32ms,0.32,2018-11-10 12:19:28
"Asheville United States, North America",6979km,6979,133.92ms,133.92,52.47%,52.47,133.86ms,133.86,134.08ms,134.08,0.46ms,0.46,2018-11-10 12:19:28
"Athens Greece, Eurasia",2355km,2355,70.44ms,70.44,33.64%,33.64,70.29ms,70.29,70.88ms,70.88,0.28ms,0.28,2018-11-10 12:19:28
"Atlanta United States, North America",7245km,7245,125.00ms,125.0,58.43%,58.43,124.81ms,124.81,126.62ms,126.62,0.47ms,0.47,2018-11-10 12:19:28
"Auckland New Zealand, Oceania",17378km,17378,333.14ms,333.14,52.19%,52.19,332.96ms,332.96,334.75ms,334.75,0.41ms,0.41,2018-11-10 12:19:28
"Austin United States, North America",8267km,8267,153.04ms,153.04,54.03%,54.03,141.96ms,141.96,174.38ms,174.38,9.90ms,9.9,2018-11-10 12:19:28
"Baltimore United States, North America",6334km,6334,121.64ms,121.64,52.35%,52.35,121.23ms,121.23,125.71ms,125.71,0.91ms,0.91,2018-11-10 12:19:28
"Bangalore India, Eurasia",7355km,7355,193.36ms,193.36,38.11%,38.11,193.15ms,193.15,194.43ms,194.43,0.47ms,0.47,2018-11-10 12:19:28
"Bangkok Thailand, Eurasia",8633km,8633,206.77ms,206.77,41.91%,41.91,196.75ms,196.75,273.33ms,273.33,17.64ms,17.64,2018-11-10 12:19:28
"Barcelona Spain, Eurasia",1942km,1942,60.29ms,60.29,32.37%,32.37,60.11ms,60.11,60.49ms,60.49,0.11ms,0.11,2018-11-10 12:19:28
"Basel Switzerland, Eurasia",1165km,1165,36.65ms,36.65,32.36%,32.36,36.55ms,36.55,36.85ms,36.85,0.17ms,0.17,2018-11-10 12:19:28
"Belfast United Kingdom, Eurasia",1157km,1157,45.65ms,45.65,25.71%,25.71,45.49ms,45.49,45.86ms,45.86,0.30ms,0.3,2018-11-10 12:19:28
"Bergen Norway, Eurasia",481km,481,26.02ms,26.02,18.50%,18.5,25.76ms,25.76,27.18ms,27.18,0.39ms,0.39,2018-11-10 12:19:28
"Berkeley Springs United States, North America",6392km,6392,119.35ms,119.35,53.71%,53.71,119.20ms,119.2,119.61ms,119.61,0.09ms,0.09,2018-11-10 12:19:28
"Bern Switzerland, Eurasia",1234km,1234,55.80ms,55.8,22.44%,22.44,55.55ms,55.55,56.39ms,56.39,0.22ms,0.22,2018-11-10 12:19:28
"Bogota Colombia, South America",9343km,9343,212.03ms,212.03,44.07%,44.07,211.67ms,211.67,216.28ms,216.28,1.03ms,1.03,2018-11-10 12:19:28
"Boston United States, North America",5769km,5769,103.40ms,103.4,56.01%,56.01,103.22ms,103.22,103.63ms,103.63,0.39ms,0.39,2018-11-10 12:19:28
"Brasilia Brazil, South America",9830km,9830,244.04ms,244.04,40.29%,40.29,242.35ms,242.35,260.88ms,260.88,3.88ms,3.88,2018-11-10 12:19:28
"Bratislava Slovakia, Eurasia",1116km,1116,40.07ms,40.07,27.90%,27.9,39.96ms,39.96,40.39ms,40.39,0.16ms,0.16,2018-11-10 12:19:28
"Brisbane Australia, Oceania",15499km,15499,306.61ms,306.61,50.65%,50.65,306.50ms,306.5,306.73ms,306.73,0.21ms,0.21,2018-11-10 12:19:28
"Bristol United Kingdom, Eurasia",1163km,1163,38.37ms,38.37,30.61%,30.61,38.17ms,38.17,38.95ms,38.95,0.21ms,0.21,2018-11-10 12:19:28
"Brno Czech Republic, Eurasia",993km,993,44.23ms,44.23,22.57%,22.57,44.15ms,44.15,44.73ms,44.73,0.28ms,0.28,2018-11-10 12:19:28
"Bruges Belgium, Eurasia",914km,914,47.68ms,47.68,19.45%,19.45,47.49ms,47.49,48.49ms,48.49,0.24ms,0.24,2018-11-10 12:19:28
"Brunswick United States, North America",5582km,5582,112.72ms,112.72,49.84%,49.84,112.63ms,112.63,112.86ms,112.86,0.18ms,0.18,2018-11-10 12:19:28
"Brussels Belgium, Eurasia",907km,907,31.63ms,31.63,29.26%,29.26,31.54ms,31.54,31.72ms,31.72,0.19ms,0.19,2018-11-10 12:19:28
"Bucharest Romania, Eurasia",1769km,1769,50.73ms,50.73,35.38%,35.38,50.65ms,50.65,50.84ms,50.84,0.15ms,0.15,2018-11-10 12:19:28
"Budapest Hungary, Eurasia",1229km,1229,48.34ms,48.34,25.60%,25.6,47.67ms,47.67,48.80ms,48.8,0.41ms,0.41,2018-11-10 12:19:28
"Buenos Aires Argentina, South America",12167km,12167,260.64ms,260.64,46.80%,46.8,255.21ms,255.21,278.42ms,278.42,6.65ms,6.65,2018-11-10 12:19:28
"Buffalo United States, North America",6149km,6149,120.43ms,120.43,51.24%,51.24,119.20ms,119.2,130.14ms,130.14,2.31ms,2.31,2018-11-10 12:19:28
"Bursa Turkey, Eurasia",2299km,2299,73.65ms,73.65,31.49%,31.49,73.20ms,73.2,76.70ms,76.7,0.96ms,0.96,2018-11-10 12:19:28
"Cairo Egypt, Africa",3413km,3413,89.42ms,89.42,38.35%,38.35,87.39ms,87.39,96.86ms,96.86,1.99ms,1.99,2018-11-10 12:19:28
"Calgary Canada, North America",6965km,6965,176.47ms,176.47,39.57%,39.57,175.12ms,175.12,182.65ms,182.65,1.79ms,1.79,2018-11-10 12:19:28
"Canberra Australia, Oceania",16008km,16008,319.50ms,319.5,50.18%,50.18,318.95ms,318.95,322.61ms,322.61,0.99ms,0.99,2018-11-10 12:19:28
"Cape Town South Africa, Africa",10214km,10214,177.74ms,177.74,57.71%,57.71,177.59ms,177.59,179.29ms,179.29,0.52ms,0.52,2018-11-10 12:19:28
"Caracas Venezuela, South America",8365km,8365,186.86ms,186.86,44.97%,44.97,186.23ms,186.23,192.56ms,192.56,1.16ms,1.16,2018-11-10 12:19:28
"Cardiff United Kingdom, Eurasia",1192km,1192,39.47ms,39.47,30.56%,30.56,39.17ms,39.17,40.86ms,40.86,0.39ms,0.39,2018-11-10 12:19:28
"Carlow Ireland, Eurasia",1308km,1308,48.96ms,48.96,27.25%,27.25,48.78ms,48.78,50.89ms,50.89,0.41ms,0.41,2018-11-10 12:19:28
"Charlotte United States, North America",6919km,6919,126.37ms,126.37,54.91%,54.91,126.31ms,126.31,126.50ms,126.5,0.40ms,0.4,2018-11-10 12:19:28
"Cheltenham United Kingdom, Eurasia",1104km,1104,43.69ms,43.69,25.67%,25.67,43.61ms,43.61,44.06ms,44.06,0.25ms,0.25,2018-11-10 12:19:29
"Chennai India, Eurasia",7500km,7500,173.36ms,173.36,43.35%,43.35,173.23ms,173.23,173.47ms,173.47,0.12ms,0.12,2018-11-10 12:19:29
"Chicago United States, North America",6692km,6692,144.60ms,144.6,46.47%,46.47,144.51ms,144.51,144.73ms,144.73,0.10ms,0.1,2018-11-10 12:19:29
"Chisinau Moldova, Eurasia",1647km,1647,61.02ms,61.02,27.00%,27.0,59.99ms,59.99,64.74ms,64.74,1.51ms,1.51,2018-11-10 12:19:29
"Christchurch New Zealand, Oceania",17946km,17946,357.28ms,357.28,50.27%,50.27,355.75ms,355.75,362.14ms,362.14,1.75ms,1.75,2018-11-10 12:19:29
"Cincinnati United States, North America",6774km,6774,136.92ms,136.92,49.81%,49.81,136.88ms,136.88,136.97ms,136.97,0.10ms,0.1,2018-11-10 12:19:29
"Cleveland United States, North America",6381km,6381,127.77ms,127.77,50.24%,50.24,127.54ms,127.54,128.07ms,128.07,0.45ms,0.45,2018-11-10 12:19:29
"Colorado Springs United States, North America",7778km,7778,165.12ms,165.12,47.14%,47.14,163.36ms,163.36,199.96ms,199.96,7.00ms,7.0,2018-11-10 12:19:29
"Columbus United States, North America",6618km,6618,130.19ms,130.19,50.91%,50.91,129.93ms,129.93,131.56ms,131.56,0.40ms,0.4,2018-11-10 12:19:29
"Copenhagen Denmark, Eurasia",228km,228,17.30ms,17.3,13.41%,13.41,17.20ms,17.2,17.43ms,17.43,0.17ms,0.17,2018-11-10 12:19:29
"Coventry United Kingdom, Eurasia",1038km,1038,38.00ms,38.0,27.32%,27.32,37.93ms,37.93,38.68ms,38.68,0.13ms,0.13,2018-11-10 12:19:29
"Cromwell United States, North America",5920km,5920,114.01ms,114.01,51.93%,51.93,113.71ms,113.71,114.73ms,114.73,0.52ms,0.52,2018-11-10 12:19:29
"Dagupan Philippines, Eurasia",9553km,9553,298.72ms,298.72,32.06%,32.06,298.41ms,298.41,299.24ms,299.24,0.63ms,0.63,2018-11-10 12:19:29
"Dallas United States, North America",7980km,7980,152.56ms,152.56,52.50%,52.5,152.45ms,152.45,152.73ms,152.73,0.44ms,0.44,2018-11-10 12:19:29
"Dar es Salaam Tanzania, Africa",7585km,7585,173.03ms,173.03,43.84%,43.84,172.79ms,172.79,173.88ms,173.88,0.55ms,0.55,2018-11-10 12:19:29
"Denver United States, North America",7703km,7703,153.55ms,153.55,50.35%,50.35,153.45ms,153.45,153.71ms,153.71,0.42ms,0.42,2018-11-10 12:19:29
"Des Moines United States, North America",7009km,7009,143.77ms,143.77,49.01%,49.01,143.66ms,143.66,143.91ms,143.91,0.34ms,0.34,2018-11-10 12:19:29
