City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15952km,15952,233.18ms,233.18,68.46%,68.46,232.89ms,232.89,238.07ms,238.07,1.03ms,1.03,2018-11-10 12:19:09
"Albany United States, North America",1163km,1163,112.67ms,112.67,10.38%,10.38,33.38ms,33.38,311.43ms,311.43,79.58ms,79.58,2018-11-10 12:19:09
"Alblasserdam Netherlands, Eurasia",6443km,6443,114.67ms,114.67,56.52%,56.52,114.43ms,114.43,116.68ms,116.68,0.48ms,0.48,2018-11-10 12:19:09
"Albuquerque United States, North America",1895km,1895,63.31ms,63.31,30.08%,30.08,57.91ms,57.91,105.23ms,105.23,12.69ms,12.69,2018-11-10 12:19:09
"Algiers Algeria, Africa",7326km,7326,162.79ms,162.79,45.22%,45.22,160.98ms,160.98,196.17ms,196.17,6.30ms,6.3,2018-11-10 12:19:09
"Amsterdam Netherlands, Eurasia",6419km,6419,114.47ms,114.47,56.31%,56.31,114.35ms,114.35,114.78ms,114.78,0.18ms,0.18,2018-11-10 12:19:09
"Anchorage United States, North America",4346km,4346,91.62ms,91.62,47.76%,47.76,91.24ms,91.24,94.33ms,94.33,0.68ms,0.68,2018-11-10 12:19:09
"Ankara Turkey, Eurasia",8925km,8925,170.96ms,170.96,52.50%,52.5,170.16ms,170.16,188.49ms,188.49,3.28ms,3.28,2018-11-10 12:19:09
"Antwerp Belgium, Eurasia",6467km,6467,125.91ms,125.91,51.74%,51.74,115.79ms,115.79,220.38ms,220.38,27.05ms,27.05,2018-11-10 12:19:09
"Arezzo Italy, Eurasia",7432km,7432,129.46ms,129.46,57.61%,57.61,129.22ms,129.22,131.31ms,131.31,0.60ms,0.6,2018-11-10 12:19:09
"Asheville United States, North America",1095km,1095,43.23ms,43.23,25.47%,25.47,43.16ms,43.16,43.36ms,43.36,0.25ms,0.25,2018-11-10 12:19:09
"Athens Greece, Eurasia",8576km,8576,171.08ms,171.08,50.15%,50.15,159.99ms,159.99,277.06ms,277.06,29.72ms,29.72,2018-11-10 12:19:09
