City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17848km,17848,247.37ms,247.37,72.26%,72.26,244.65ms,244.65,252.56ms,252.56,2.25ms,2.25,2018-11-10 12:18:51
"Albany United States, North America",843km,843,73.77ms,73.77,11.55%,11.55,24.28ms,24.28,149.72ms,149.72,44.39ms,44.39,2018-11-10 12:18:51
"Alblasserdam Netherlands, Eurasia",4928km,4928,73.33ms,73.33,67.51%,67.51,72.08ms,72.08,88.07ms,88.07,3.05ms,3.05,2018-11-10 12:18:51
"Albuquerque United States, North America",3773km,3773,68.88ms,68.88,55.49%,55.49,64.40ms,64.4,106.32ms,106.32,9.86ms,9.86,2018-11-10 12:18:51
"Algiers Algeria, Africa",5531km,5531,111.17ms,111.17,49.83%,49.83,110.77ms,110.77,111.77ms,111.77,0.45ms,0.45,2018-11-10 12:18:51
"Amsterdam Netherlands, Eurasia",4916km,4916,96.99ms,96.99,51.21%,51.21,96.80ms,96.8,97.63ms,97.63,0.22ms,0.22,2018-11-10 12:18:51
"Anchorage United States, North America",5600km,5600,106.34ms,106.34,52.83%,52.83,106.03ms,106.03,106.86ms,106.86,0.39ms,0.39,2018-11-10 12:18:51
"Ankara Turkey, Eurasia",7459km,7459,143.28ms,143.28,52.16%,52.16,142.94ms,142.94,145.04ms,145.04,0.63ms,0.63,2018-11-10 12:18:51
"Antwerp Belgium, Eurasia",4935km,4935,102.22ms,102.22,48.38%,48.38,102.00ms,102.0,103.41ms,103.41,0.44ms,0.44,2018-11-10 12:18:51
"Arezzo Italy, Eurasia",5804km,5804,123.95ms,123.95,47.19%,47.19,123.71ms,123.71,124.37ms,124.37,0.46ms,0.46,2018-11-10 12:18:51
"Asheville United States, North America",1893km,1893,37.62ms,37.62,51.16%,51.16,37.38ms,37.38,40.08ms,40.08,0.49ms,0.49,2018-11-10 12:18:51
"Athens Greece, Eurasia",6974km,6974,135.26ms,135.26,51.66%,51.66,134.72ms,134.72,139.07ms,139.07,0.96ms,0.96,2018-11-10 12:18:51
"Atlanta United States, North America",2153km,2153,41.46ms,41.46,52.51%,52.51,41.03ms,41.03,44.54ms,44.54,0.67ms,0.67,2018-11-10 12:18:51
"Auckland New Zealand, Oceania",15134km,15134,263.80ms,263.8,57.54%,57.54,263.37ms,263.37,265.02ms,265.02,0.52ms,0.52,2018-11-10 12:18:51
"Austin United States, North America",3379km,3379,73.88ms,73.88,46.29%,46.29,59.32ms,59.32,116.47ms,116.47,14.48ms,14.48,2018-11-10 12:18:51
"Baltimore United States, North America",1228km,1228,26.04ms,26.04,47.23%,47.23,24.85ms,24.85,34.97ms,34.97,2.09ms,2.09,2018-11-10 12:18:51
"Bangalore India, Eurasia",12511km,12511,285.71ms,285.71,43.90%,43.9,285.32ms,285.32,289.15ms,289.15,0.97ms,0.97,2018-11-10 12:18:51
"Bangkok Thailand, Eurasia",13328km,13328,254.91ms,254.91,52.47%,52.47,252.02ms,252.02,278.56ms,278.56,6.39ms,6.39,2018-11-10 12:18:51
"Barcelona Spain, Eurasia",5213km,5213,116.82ms,116.82,44.94%,44.94,116.28ms,116.28,120.17ms,120.17,0.94ms,0.94,2018-11-10 12:18:51
"Basel Switzerland, Eurasia",5301km,5301,113.19ms,113.19,46.91%,46.91,112.95ms,112.95,113.69ms,113.69,0.41ms,0.41,2018-11-10 12:18:51
"Belfast United Kingdom, Eurasia",4172km,4172,98.02ms,98.02,42.57%,42.57,94.94ms,94.94,122.36ms,122.36,6.23ms,6.23,2018-11-10 12:18:51
"Bergen Norway, Eurasia",4727km,4727,138.43ms,138.43,34.25%,34.25,136.85ms,136.85,144.88ms,144.88,2.41ms,2.41,2018-11-10 12:18:51
"Berkeley Springs United States, North America",1326km,1326,40.47ms,40.47,33.15%,33.15,40.15ms,40.15,44.26ms,44.26,0.77ms,0.77,2018-11-10 12:18:51
"Bern Switzerland, Eurasia",5320km,5320,115.54ms,115.54,46.26%,46.26,115.17ms,115.17,115.83ms,115.83,0.37ms,0.37,2018-11-10 12:18:51
"Bogota Colombia, South America",4570km,4570,115.49ms,115.49,39.74%,39.74,110.42ms,110.42,171.13ms,171.13,13.52ms,13.52,2018-11-10 12:18:51
"Boston United States, North America",653km,653,27.14ms,27.14,24.19%,24.19,26.38ms,26.38,31.11ms,31.11,1.27ms,1.27,2018-11-10 12:18:51
"Brasilia Brazil, South America",6909km,6909,156.72ms,156.72,44.29%,44.29,152.31ms,152.31,204.46ms,204.46,9.97ms,9.97,2018-11-10 12:18:51
"Bratislava Slovakia, Eurasia",5908km,5908,109.14ms,109.14,54.20%,54.2,108.69ms,108.69,112.89ms,112.89,0.89ms,0.89,2018-11-10 12:18:51
"Brisbane Australia, Oceania",16257km,16257,232.17ms,232.17,70.07%,70.07,231.98ms,231.98,232.42ms,232.42,0.46ms,0.46,2018-11-10 12:18:51
"Bristol United Kingdom, Eurasia",4464km,4464,93.97ms,93.97,48.00%,48.0,93.68ms,93.68,94.66ms,94.66,0.34ms,0.34,2018-11-10 12:18:51
"Brno Czech Republic, Eurasia",5821km,5821,107.82ms,107.82,54.40%,54.4,106.89ms,106.89,117.69ms,117.69,2.50ms,2.5,2018-11-10 12:18:51
"Bruges Belgium, Eurasia",4859km,4859,69.62ms,69.62,70.42%,70.42,69.02ms,69.02,75.83ms,75.83,1.27ms,1.27,2018-11-10 12:18:51
"Brunswick United States, North America",513km,513,33.60ms,33.6,15.55%,15.55,33.18ms,33.18,36.57ms,36.57,0.60ms,0.6,2018-11-10 12:18:51
"Brussels Belgium, Eurasia",4946km,4946,91.06ms,91.06,54.35%,54.35,90.86ms,90.86,91.68ms,91.68,0.38ms,0.38,2018-11-10 12:18:51
"Bucharest Romania, Eurasia",6713km,6713,129.88ms,129.88,52.04%,52.04,128.61ms,128.61,149.40ms,149.4,3.75ms,3.75,2018-11-10 12:18:51
"Budapest Hungary, Eurasia",6070km,6070,114.92ms,114.92,53.25%,53.25,113.93ms,113.93,120.47ms,120.47,1.33ms,1.33,2018-11-10 12:18:51
"Buenos Aires Argentina, South America",8830km,8830,170.84ms,170.84,51.94%,51.94,166.05ms,166.05,190.28ms,190.28,6.50ms,6.5,2018-11-10 12:18:51
"Buffalo United States, North America",1240km,1240,27.46ms,27.46,45.93%,45.93,26.17ms,26.17,34.68ms,34.68,2.10ms,2.1,2018-11-10 12:18:51
"Bursa Turkey, Eurasia",7189km,7189,146.05ms,146.05,49.24%,49.24,145.41ms,145.41,152.23ms,152.23,1.43ms,1.43,2018-11-10 12:18:51
"Cairo Egypt, Africa",8067km,8067,123.69ms,123.69,65.59%,65.59,121.24ms,121.24,129.82ms,129.82,1.98ms,1.98,2018-11-10 12:18:51
"Calgary Canada, North America",3756km,3756,85.99ms,85.99,44.19%,44.19,84.71ms,84.71,96.03ms,96.03,2.25ms,2.25,2018-11-10 12:18:51
"Canberra Australia, Oceania",17068km,17068,237.90ms,237.9,72.02%,72.02,237.28ms,237.28,239.36ms,239.36,0.65ms,0.65,2018-11-10 12:18:51
"Cape Town South Africa, Africa",12025km,12025,249.34ms,249.34,48.29%,48.29,246.79ms,246.79,300.81ms,300.81,9.71ms,9.71,2018-11-10 12:18:51
"Caracas Venezuela, South America",3813km,3813,98.25ms,98.25,38.91%,38.91,96.12ms,96.12,127.59ms,127.59,5.68ms,5.68,2018-11-10 12:18:51
"Cardiff United Kingdom, Eurasia",4423km,4423,84.56ms,84.56,52.65%,52.65,84.09ms,84.09,87.25ms,87.25,0.68ms,0.68,2018-11-10 12:18:51
"Carlow Ireland, Eurasia",4140km,4140,94.40ms,94.4,44.04%,44.04,93.97ms,93.97,98.25ms,98.25,0.77ms,0.77,2018-11-10 12:18:51
"Charlotte United States, North America",1799km,1799,39.45ms,39.45,46.13%,46.13,39.00ms,39.0,44.94ms,44.94,1.21ms,1.21,2018-11-10 12:18:51
"Cheltenham United Kingdom, Eurasia",4485km,4485,80.20ms,80.2,56.06%,56.06,79.53ms,79.53,86.33ms,86.33,1.49ms,1.49,2018-11-10 12:18:51
"Chennai India, Eurasia",12637km,12637,241.15ms,241.15,52.44%,52.44,240.86ms,240.86,244.45ms,244.45,0.76ms,0.76,2018-11-10 12:18:51
"Chicago United States, North America",1965km,1965,34.41ms,34.41,57.79%,57.79,34.16ms,34.16,36.98ms,36.98,0.51ms,0.51,2018-11-10 12:18:51
"Chisinau Moldova, Eurasia",6727km,6727,131.21ms,131.21,51.35%,51.35,130.38ms,130.38,135.63ms,135.63,1.19ms,1.19,2018-11-10 12:18:51
"Christchurch New Zealand, Oceania",15619km,15619,310.50ms,310.5,50.38%,50.38,309.01ms,309.01,317.94ms,317.94,2.08ms,2.08,2018-11-10 12:18:51
"Cincinnati United States, North America",1832km,1832,49.51ms,49.51,37.39%,37.39,49.23ms,49.23,50.67ms,50.67,0.35ms,0.35,2018-11-10 12:18:51
"Cleveland United States, North America",1473km,1473,49.09ms,49.09,30.06%,30.06,48.52ms,48.52,52.34ms,52.34,0.90ms,0.9,2018-11-10 12:18:51
"Colorado Springs United States, North America",3440km,3440,58.64ms,58.64,59.31%,59.31,56.25ms,56.25,89.11ms,89.11,6.65ms,6.65,2018-11-10 12:18:51
"Columbus United States, North America",1674km,1674,30.74ms,30.74,55.80%,55.8,30.39ms,30.39,32.26ms,32.26,0.39ms,0.39,2018-11-10 12:18:51
