City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15554km,15554,325.16ms,325.16,47.86%,47.86,324.66ms,324.66,326.72ms,326.72,0.75ms,0.75,2018-11-10 12:19:27
"Albany United States, North America",5961km,5961,138.55ms,138.55,43.20%,43.2,88.48ms,88.48,220.56ms,220.56,43.38ms,43.38,2018-11-10 12:19:27
"Alblasserdam Netherlands, Eurasia",406km,406,14.30ms,14.3,29.00%,29.0,14.11ms,14.11,14.83ms,14.83,0.18ms,0.18,2018-11-10 12:19:27
"Albuquerque United States, North America",8432km,8432,143.01ms,143.01,58.97%,58.97,138.04ms,138.04,186.47ms,186.47,11.37ms,11.37,2018-11-10 12:19:27
"Algiers Algeria, Africa",1945km,1945,55.32ms,55.32,35.36%,35.36,54.85ms,54.85,55.80ms,55.8,0.29ms,0.29,2018-11-10 12:19:27
"Amsterdam Netherlands, Eurasia",382km,382,11.13ms,11.13,34.73%,34.73,10.96ms,10.96,11.72ms,11.72,0.20ms,0.2,2018-11-10 12:19:27
"Anchorage United States, North America",7131km,7131,173.77ms,173.77,41.22%,41.22,173.45ms,173.45,174.26ms,174.26,0.55ms,0.55,2018-11-10 12:19:27
"Ankara Turkey, Eurasia",2291km,2291,59.22ms,59.22,38.83%,38.83,58.52ms,58.52,71.82ms,71.82,2.37ms,2.37,2018-11-10 12:19:27
"Antwerp Belgium, Eurasia",460km,460,12.29ms,12.29,38.33%,38.33,12.15ms,12.15,13.18ms,13.18,0.20ms,0.2,2018-11-10 12:19:27
"Arezzo Italy, Eurasia",1130km,1130,24.04ms,24.04,47.08%,47.08,23.92ms,23.92,25.71ms,25.71,0.33ms,0.33,2018-11-10 12:19:27
"Asheville United States, North America",7058km,7058,109.95ms,109.95,64.75%,64.75,109.89ms,109.89,109.99ms,109.99,0.21ms,0.21,2018-11-10 12:19:27
"Athens Greece, Eurasia",2027km,2027,39.26ms,39.26,51.97%,51.97,38.95ms,38.95,41.45ms,41.45,0.47ms,0.47,2018-11-10 12:19:27
"Atlanta United States, North America",7323km,7323,105.13ms,105.13,69.74%,69.74,104.79ms,104.79,108.37ms,108.37,0.82ms,0.82,2018-11-10 12:19:27
"Auckland New Zealand, Oceania",17819km,17819,310.91ms,310.91,57.48%,57.48,310.69ms,310.69,315.73ms,315.73,0.92ms,0.92,2018-11-10 12:19:27
"Austin United States, North America",8407km,8407,133.78ms,133.78,63.21%,63.21,123.81ms,123.81,170.44ms,170.44,10.05ms,10.05,2018-11-10 12:19:27
"Baltimore United States, North America",6401km,6401,96.36ms,96.36,66.68%,66.68,95.79ms,95.79,104.35ms,104.35,1.57ms,1.57,2018-11-10 12:19:27
"Bangalore India, Eurasia",7379km,7379,164.89ms,164.89,44.99%,44.99,164.68ms,164.68,165.09ms,165.09,0.57ms,0.57,2018-11-10 12:19:27
"Bangkok Thailand, Eurasia",8815km,8815,184.82ms,184.82,47.91%,47.91,176.22ms,176.22,228.38ms,228.38,14.00ms,14.0,2018-11-10 12:19:27
"Barcelona Spain, Eurasia",1474km,1474,37.24ms,37.24,39.84%,39.84,37.04ms,37.04,37.43ms,37.43,0.28ms,0.28,2018-11-10 12:19:27
"Basel Switzerland, Eurasia",689km,689,21.42ms,21.42,32.81%,32.81,21.33ms,21.33,21.98ms,21.98,0.21ms,0.21,2018-11-10 12:19:27
"Belfast United Kingdom, Eurasia",1043km,1043,29.86ms,29.86,35.97%,35.97,29.75ms,29.75,30.01ms,30.01,0.22ms,0.22,2018-11-10 12:19:27
"Bergen Norway, Eurasia",808km,808,27.38ms,27.38,29.93%,29.93,27.04ms,27.04,30.02ms,30.02,0.61ms,0.61,2018-11-10 12:19:27
"Berkeley Springs United States, North America",6471km,6471,102.48ms,102.48,63.44%,63.44,102.31ms,102.31,102.93ms,102.93,0.46ms,0.46,2018-11-10 12:19:27
"Bern Switzerland, Eurasia",757km,757,38.41ms,38.41,19.92%,19.92,38.24ms,38.24,38.64ms,38.64,0.18ms,0.18,2018-11-10 12:19:27
"Bogota Colombia, South America",9207km,9207,181.09ms,181.09,50.87%,50.87,180.66ms,180.66,185.29ms,185.29,1.08ms,1.08,2018-11-10 12:19:27
"Boston United States, North America",5827km,5827,79.40ms,79.4,73.76%,73.76,79.16ms,79.16,80.05ms,80.05,0.37ms,0.37,2018-11-10 12:19:27
"Brasilia Brazil, South America",9469km,9469,238.17ms,238.17,39.79%,39.79,236.44ms,236.44,244.01ms,244.01,2.38ms,2.38,2018-11-10 12:19:27
"Bratislava Slovakia, Eurasia",781km,781,21.05ms,21.05,37.19%,37.19,20.94ms,20.94,22.50ms,22.5,0.33ms,0.33,2018-11-10 12:19:27
"Brisbane Australia, Oceania",15836km,15836,310.72ms,310.72,51.08%,51.08,310.52ms,310.52,311.12ms,311.12,0.45ms,0.45,2018-11-10 12:19:27
"Bristol United Kingdom, Eurasia",882km,882,23.79ms,23.79,38.35%,38.35,23.65ms,23.65,24.24ms,24.24,0.14ms,0.14,2018-11-10 12:19:27
"Brno Czech Republic, Eurasia",667km,667,22.80ms,22.8,30.32%,30.32,22.73ms,22.73,22.97ms,22.97,0.14ms,0.14,2018-11-10 12:19:27
"Bruges Belgium, Eurasia",528km,528,16.51ms,16.51,33.00%,33.0,16.08ms,16.08,23.14ms,23.14,1.24ms,1.24,2018-11-10 12:19:27
"Brunswick United States, North America",5646km,5646,92.44ms,92.44,61.37%,61.37,92.27ms,92.27,92.70ms,92.7,0.24ms,0.24,2018-11-10 12:19:27
"Brussels Belgium, Eurasia",489km,489,12.44ms,12.44,40.75%,40.75,12.34ms,12.34,12.71ms,12.71,0.08ms,0.08,2018-11-10 12:19:27
"Bucharest Romania, Eurasia",1547km,1547,41.92ms,41.92,37.73%,37.73,41.82ms,41.82,42.10ms,42.1,0.22ms,0.22,2018-11-10 12:19:27
"Budapest Hungary, Eurasia",928km,928,28.57ms,28.57,33.14%,33.14,27.84ms,27.84,30.71ms,30.71,0.71ms,0.71,2018-11-10 12:19:27
"Buenos Aires Argentina, South America",11797km,11797,241.09ms,241.09,48.95%,48.95,236.18ms,236.18,253.99ms,253.99,5.61ms,5.61,2018-11-10 12:19:27
"Buffalo United States, North America",6252km,6252,93.61ms,93.61,67.23%,67.23,91.58ms,91.58,104.52ms,104.52,3.03ms,3.03,2018-11-10 12:19:27
"Bursa Turkey, Eurasia",2064km,2064,60.06ms,60.06,34.40%,34.4,59.55ms,59.55,66.92ms,66.92,1.32ms,1.32,2018-11-10 12:19:27
"Cairo Egypt, Africa",3125km,3125,65.09ms,65.09,48.08%,48.08,62.34ms,62.34,72.34ms,72.34,2.47ms,2.47,2018-11-10 12:19:27
"Calgary Canada, North America",7272km,7272,170.95ms,170.95,42.78%,42.78,168.61ms,168.61,191.55ms,191.55,4.74ms,4.74,2018-11-10 12:19:27
"Canberra Australia, Oceania",16266km,16266,312.15ms,312.15,52.13%,52.13,311.76ms,311.76,314.65ms,314.65,0.87ms,0.87,2018-11-10 12:19:27
"Cape Town South Africa, Africa",9770km,9770,162.21ms,162.21,60.31%,60.31,161.96ms,161.96,164.39ms,164.39,0.64ms,0.64,2018-11-10 12:19:27
"Caracas Venezuela, South America",8210km,8210,167.98ms,167.98,49.16%,49.16,166.13ms,166.13,198.76ms,198.76,5.78ms,5.78,2018-11-10 12:19:27
