City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14622km,14622,326.12ms,326.12,44.85%,44.85,325.63ms,325.63,330.03ms,330.03,1.12ms,1.12,2018-11-10 12:20:11
"Albany United States, North America",6407km,6407,157.14ms,157.14,40.81%,40.81,105.10ms,105.1,223.95ms,223.95,40.78ms,40.78,2018-11-10 12:20:11
"Alblasserdam Netherlands, Eurasia",1541km,1541,30.96ms,30.96,51.37%,51.37,29.48ms,29.48,41.99ms,41.99,2.72ms,2.72,2018-11-10 12:20:11
"Albuquerque United States, North America",8524km,8524,162.08ms,162.08,52.62%,52.62,155.12ms,155.12,203.71ms,203.71,13.51ms,13.51,2018-11-10 12:20:11
"Algiers Algeria, Africa",3025km,3025,72.54ms,72.54,42.01%,42.01,70.73ms,70.73,89.65ms,89.65,4.25ms,4.25,2018-11-10 12:20:11
"Amsterdam Netherlands, Eurasia",1505km,1505,57.62ms,57.62,26.40%,26.4,57.15ms,57.15,58.42ms,58.42,0.41ms,0.41,2018-11-10 12:20:11
"Anchorage United States, North America",6506km,6506,194.64ms,194.64,33.54%,33.54,191.98ms,191.98,225.94ms,225.94,6.81ms,6.81,2018-11-10 12:20:11
"Ankara Turkey, Eurasia",2325km,2325,70.90ms,70.9,33.21%,33.21,69.32ms,69.32,82.38ms,82.38,2.57ms,2.57,2018-11-10 12:20:11
"Antwerp Belgium, Eurasia",1604km,1604,49.92ms,49.92,32.73%,32.73,49.49ms,49.49,51.33ms,51.33,0.48ms,0.48,2018-11-10 12:20:11
"Arezzo Italy, Eurasia",2050km,2050,44.05ms,44.05,46.59%,46.59,42.77ms,42.77,53.55ms,53.55,2.52ms,2.52,2018-11-10 12:20:11
"Asheville United States, North America",7487km,7487,122.16ms,122.16,61.37%,61.37,120.55ms,120.55,142.35ms,142.35,4.21ms,4.21,2018-11-10 12:20:11
"Athens Greece, Eurasia",2474km,2474,71.30ms,71.3,34.85%,34.85,70.70ms,70.7,77.39ms,77.39,1.24ms,1.24,2018-11-10 12:20:11
"Atlanta United States, North America",7749km,7749,129.98ms,129.98,60.07%,60.07,129.35ms,129.35,134.97ms,134.97,1.33ms,1.33,2018-11-10 12:20:11
"Auckland New Zealand, Oceania",16670km,16670,340.86ms,340.86,49.03%,49.03,340.13ms,340.13,346.79ms,346.79,1.60ms,1.6,2018-11-10 12:20:11
"Austin United States, North America",8680km,8680,153.94ms,153.94,56.73%,56.73,141.45ms,141.45,180.53ms,180.53,11.40ms,11.4,2018-11-10 12:20:11
"Baltimore United States, North America",6861km,6861,114.60ms,114.6,60.18%,60.18,108.75ms,108.75,149.74ms,149.74,10.22ms,10.22,2018-11-10 12:20:11
"Bangalore India, Eurasia",6771km,6771,202.12ms,202.12,33.52%,33.52,200.07ms,200.07,216.62ms,216.62,4.56ms,4.56,2018-11-10 12:20:11
"Bangkok Thailand, Eurasia",7904km,7904,201.17ms,201.17,39.32%,39.32,186.26ms,186.26,268.21ms,268.21,21.34ms,21.34,2018-11-10 12:20:11
"Barcelona Spain, Eurasia",2596km,2596,71.28ms,71.28,36.56%,36.56,69.51ms,69.51,94.91ms,94.91,4.97ms,4.97,2018-11-10 12:20:11
"Basel Switzerland, Eurasia",1786km,1786,36.31ms,36.31,49.61%,49.61,33.54ms,33.54,49.93ms,49.93,4.32ms,4.32,2018-11-10 12:20:11
"Belfast United Kingdom, Eurasia",1915km,1915,50.26ms,50.26,38.30%,38.3,45.39ms,45.39,80.89ms,80.89,8.87ms,8.87,2018-11-10 12:20:11
"Bergen Norway, Eurasia",1061km,1061,27.03ms,27.03,39.30%,39.3,26.21ms,26.21,36.57ms,36.57,2.08ms,2.08,2018-11-10 12:20:11
"Berkeley Springs United States, North America",6905km,6905,114.53ms,114.53,60.57%,60.57,113.63ms,113.63,125.15ms,125.15,2.03ms,2.03,2018-11-10 12:20:11
"Bern Switzerland, Eurasia",1850km,1850,34.25ms,34.25,54.41%,54.41,33.45ms,33.45,47.09ms,47.09,2.42ms,2.42,2018-11-10 12:20:11
"Bogota Colombia, South America",10046km,10046,200.85ms,200.85,50.23%,50.23,198.69ms,198.69,213.24ms,213.24,3.83ms,3.83,2018-11-10 12:20:11
"Boston United States, North America",6313km,6313,108.65ms,108.65,58.45%,58.45,106.92ms,106.92,143.42ms,143.42,6.48ms,6.48,2018-11-10 12:20:11
"Brasilia Brazil, South America",10602km,10602,229.36ms,229.36,46.30%,46.3,222.75ms,222.75,318.49ms,318.49,18.00ms,18.0,2018-11-10 12:20:11
"Bratislava Slovakia, Eurasia",1427km,1427,33.76ms,33.76,43.24%,43.24,32.78ms,32.78,51.26ms,51.26,3.28ms,3.28,2018-11-10 12:20:11
"Brisbane Australia, Oceania",14723km,14723,385.89ms,385.89,38.24%,38.24,385.18ms,385.18,398.14ms,398.14,2.38ms,2.38,2018-11-10 12:20:11
"Bristol United Kingdom, Eurasia",1940km,1940,37.64ms,37.64,52.43%,52.43,37.20ms,37.2,38.65ms,38.65,0.42ms,0.42,2018-11-10 12:20:11
"Brno Czech Republic, Eurasia",1326km,1326,30.84ms,30.84,44.20%,44.2,30.32ms,30.32,33.83ms,33.83,0.72ms,0.72,2018-11-10 12:20:11
"Bruges Belgium, Eurasia",1661km,1661,37.46ms,37.46,44.89%,44.89,36.41ms,36.41,53.07ms,53.07,2.94ms,2.94,2018-11-10 12:20:11
"Brunswick United States, North America",6121km,6121,120.50ms,120.5,51.01%,51.01,112.43ms,112.43,145.13ms,145.13,10.25ms,10.25,2018-11-10 12:20:11
"Brussels Belgium, Eurasia",1637km,1637,31.55ms,31.55,52.81%,52.81,30.74ms,30.74,40.31ms,40.31,1.82ms,1.82,2018-11-10 12:20:11
"Bucharest Romania, Eurasia",1759km,1759,50.60ms,50.6,35.18%,35.18,48.97ms,48.97,85.71ms,85.71,6.57ms,6.57,2018-11-10 12:20:11
"Budapest Hungary, Eurasia",1459km,1459,44.35ms,44.35,33.16%,33.16,43.33ms,43.33,48.79ms,48.79,1.18ms,1.18,2018-11-10 12:20:11
"Buenos Aires Argentina, South America",12937km,12937,259.91ms,259.91,49.95%,49.95,256.63ms,256.63,273.10ms,273.1,4.35ms,4.35,2018-11-10 12:20:11
"Buffalo United States, North America",6633km,6633,124.26ms,124.26,53.49%,53.49,121.39ms,121.39,146.81ms,146.81,4.96ms,4.96,2018-11-10 12:20:11
"Bursa Turkey, Eurasia",2248km,2248,70.53ms,70.53,32.11%,32.11,68.84ms,68.84,96.08ms,96.08,4.85ms,4.85,2018-11-10 12:20:11
"Cairo Egypt, Africa",3389km,3389,91.18ms,91.18,37.24%,37.24,81.44ms,81.44,112.89ms,112.89,8.79ms,8.79,2018-11-10 12:20:11
"Calgary Canada, North America",7105km,7105,171.35ms,171.35,41.55%,41.55,170.52ms,170.52,175.75ms,175.75,1.17ms,1.17,2018-11-10 12:20:11
"Canberra Australia, Oceania",15234km,15234,269.40ms,269.4,56.63%,56.63,267.11ms,267.11,284.17ms,284.17,4.23ms,4.23,2018-11-10 12:20:11
"Cape Town South Africa, Africa",10491km,10491,193.09ms,193.09,54.36%,54.36,192.52ms,192.52,196.09ms,196.09,0.81ms,0.81,2018-11-10 12:20:11
"Caracas Venezuela, South America",9086km,9086,180.28ms,180.28,50.48%,50.48,179.43ms,179.43,182.84ms,182.84,0.94ms,0.94,2018-11-10 12:20:11
"Cardiff United Kingdom, Eurasia",1969km,1969,39.13ms,39.13,50.49%,50.49,37.94ms,37.94,49.23ms,49.23,2.25ms,2.25,2018-11-10 12:20:11
"Carlow Ireland, Eurasia",2079km,2079,47.34ms,47.34,44.23%,44.23,47.04ms,47.04,49.71ms,49.71,0.48ms,0.48,2018-11-10 12:20:11
"Charlotte United States, North America",7442km,7442,129.90ms,129.9,57.69%,57.69,127.25ms,127.25,152.04ms,152.04,5.15ms,5.15,2018-11-10 12:20:11
"Cheltenham United Kingdom, Eurasia",1881km,1881,44.93ms,44.93,42.75%,42.75,43.72ms,43.72,56.39ms,56.39,2.39ms,2.39,2018-11-10 12:20:11
"Chennai India, Eurasia",6894km,6894,160.17ms,160.17,43.09%,43.09,159.59ms,159.59,165.14ms,165.14,1.23ms,1.23,2018-11-10 12:20:11
"Chicago United States, North America",7117km,7117,124.92ms,124.92,57.40%,57.4,123.55ms,123.55,145.76ms,145.76,4.03ms,4.03,2018-11-10 12:20:11
"Chisinau Moldova, Eurasia",1495km,1495,60.42ms,60.42,24.92%,24.92,58.61ms,58.61,70.23ms,70.23,2.39ms,2.39,2018-11-10 12:20:11
"Christchurch New Zealand, Oceania",17187km,17187,347.67ms,347.67,49.53%,49.53,345.56ms,345.56,369.56ms,369.56,4.55ms,4.55,2018-11-10 12:20:11
"Cincinnati United States, North America",7243km,7243,129.43ms,129.43,56.15%,56.15,129.12ms,129.12,131.27ms,131.27,0.52ms,0.52,2018-11-10 12:20:11
"Cleveland United States, North America",6856km,6856,128.00ms,128.0,53.56%,53.56,127.02ms,127.02,138.74ms,138.74,2.17ms,2.17,2018-11-10 12:20:11
"Colorado Springs United States, North America",8077km,8077,149.02ms,149.02,54.21%,54.21,148.14ms,148.14,161.79ms,161.79,2.63ms,2.63,2018-11-10 12:20:11
"Columbus United States, North America",7093km,7093,133.54ms,133.54,53.33%,53.33,132.93ms,132.93,136.83ms,136.83,0.94ms,0.94,2018-11-10 12:20:11
"Copenhagen Denmark, Eurasia",871km,871,28.70ms,28.7,31.11%,31.11,28.22ms,28.22,29.97ms,29.97,0.38ms,0.38,2018-11-10 12:20:11
"Coventry United Kingdom, Eurasia",1815km,1815,39.01ms,39.01,46.54%,46.54,37.94ms,37.94,51.73ms,51.73,2.52ms,2.52,2018-11-10 12:20:11
