City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",6867km,6867,138.65ms,138.65,49.76%,49.76,138.44ms,138.44,139.74ms,139.74,0.55ms,0.55,2018-11-10 12:26:43
"Albany United States, North America",12740km,12740,251.48ms,251.48,50.76%,50.76,200.14ms,200.14,318.41ms,318.41,40.88ms,40.88,2018-11-10 12:26:43
"Alblasserdam Netherlands, Eurasia",9323km,9323,250.93ms,250.93,37.29%,37.29,250.66ms,250.66,251.82ms,251.82,0.48ms,0.48,2018-11-10 12:26:43
"Albuquerque United States, North America",12322km,12322,209.41ms,209.41,58.96%,58.96,203.50ms,203.5,253.02ms,253.02,12.38ms,12.38,2018-11-10 12:26:43
"Algiers Algeria, Africa",10264km,10264,329.86ms,329.86,31.20%,31.2,329.36ms,329.36,330.68ms,330.68,0.77ms,0.77,2018-11-10 12:26:43
"Amsterdam Netherlands, Eurasia",9297km,9297,275.74ms,275.74,33.81%,33.81,275.19ms,275.19,278.49ms,278.49,1.10ms,1.1,2018-11-10 12:26:43
"Anchorage United States, North America",8158km,8158,189.99ms,189.99,43.16%,43.16,189.71ms,189.71,190.41ms,190.41,0.43ms,0.43,2018-11-10 12:26:43
"Ankara Turkey, Eurasia",7725km,7725,244.63ms,244.63,31.66%,31.66,244.21ms,244.21,247.60ms,247.6,0.73ms,0.73,2018-11-10 12:26:43
"Antwerp Belgium, Eurasia",9372km,9372,308.86ms,308.86,30.43%,30.43,308.75ms,308.75,309.00ms,309.0,0.56ms,0.56,2018-11-10 12:26:43
"Arezzo Italy, Eurasia",9256km,9256,212.07ms,212.07,43.66%,43.66,211.55ms,211.55,217.77ms,217.77,1.25ms,1.25,2018-11-10 12:26:43
"Asheville United States, North America",13344km,13344,216.88ms,216.88,61.78%,61.78,216.80ms,216.8,216.97ms,216.97,0.27ms,0.27,2018-11-10 12:26:43
"Athens Greece, Eurasia",8546km,8546,354.37ms,354.37,24.14%,24.14,354.06ms,354.06,355.40ms,355.4,0.71ms,0.71,2018-11-10 12:26:43
"Atlanta United States, North America",13484km,13484,209.11ms,209.11,64.52%,64.52,208.58ms,208.58,210.78ms,210.78,0.69ms,0.69,2018-11-10 12:26:43
"Auckland New Zealand, Oceania",9139km,9139,214.92ms,214.92,42.71%,42.71,214.79ms,214.79,215.03ms,215.03,0.44ms,0.44,2018-11-10 12:26:43
"Austin United States, North America",13253km,13253,205.29ms,205.29,64.65%,64.65,192.19ms,192.19,272.29ms,272.29,15.64ms,15.64,2018-11-10 12:26:43
"Baltimore United States, North America",13079km,13079,216.36ms,216.36,60.55%,60.55,215.59ms,215.59,220.30ms,220.3,1.21ms,1.21,2018-11-10 12:26:43
"Bangalore India, Eurasia",4001km,4001,74.52ms,74.52,54.07%,54.07,74.39ms,74.39,74.83ms,74.83,0.22ms,0.22,2018-11-10 12:26:43
"Bangkok Thailand, Eurasia",1729km,1729,74.00ms,74.0,23.68%,23.68,64.89ms,64.89,117.82ms,117.82,15.21ms,15.21,2018-11-10 12:26:43
"Barcelona Spain, Eurasia",10068km,10068,281.34ms,281.34,35.83%,35.83,280.97ms,280.97,285.60ms,285.6,0.81ms,0.81,2018-11-10 12:26:43
"Basel Switzerland, Eurasia",9359km,9359,275.15ms,275.15,34.03%,34.03,275.02ms,275.02,275.35ms,275.35,0.72ms,0.72,2018-11-10 12:26:43
"Belfast United Kingdom, Eurasia",9752km,9752,248.70ms,248.7,39.32%,39.32,248.56ms,248.56,248.88ms,248.88,0.57ms,0.57,2018-11-10 12:26:43
"Bergen Norway, Eurasia",8842km,8842,289.46ms,289.46,30.60%,30.6,288.94ms,288.94,294.74ms,294.74,1.27ms,1.27,2018-11-10 12:26:43
"Berkeley Springs United States, North America",13013km,13013,236.97ms,236.97,55.14%,55.14,236.73ms,236.73,238.62ms,238.62,0.48ms,0.48,2018-11-10 12:26:43
"Bern Switzerland, Eurasia",9400km,9400,273.14ms,273.14,34.43%,34.43,272.94ms,272.94,274.30ms,274.3,0.74ms,0.74,2018-11-10 12:26:43
"Bogota Colombia, South America",16897km,16897,296.15ms,296.15,57.08%,57.08,295.87ms,295.87,298.52ms,298.52,0.88ms,0.88,2018-11-10 12:26:43
"Boston United States, North America",12809km,12809,217.72ms,217.72,59.03%,59.03,217.46ms,217.46,219.42ms,219.42,0.38ms,0.38,2018-11-10 12:26:43
"Brasilia Brazil, South America",18001km,18001,373.40ms,373.4,48.26%,48.26,370.56ms,370.56,385.15ms,385.15,3.75ms,3.75,2018-11-10 12:26:43
"Bratislava Slovakia, Eurasia",8683km,8683,208.93ms,208.93,41.75%,41.75,208.80ms,208.8,209.36ms,209.36,0.59ms,0.59,2018-11-10 12:26:43
"Brisbane Australia, Oceania",6934km,6934,173.79ms,173.79,40.08%,40.08,173.19ms,173.19,188.09ms,188.09,2.67ms,2.67,2018-11-10 12:26:43
"Bristol United Kingdom, Eurasia",9772km,9772,255.45ms,255.45,38.32%,38.32,255.18ms,255.18,255.98ms,255.98,0.58ms,0.58,2018-11-10 12:26:43
"Brno Czech Republic, Eurasia",8676km,8676,217.76ms,217.76,39.98%,39.98,217.63ms,217.63,218.01ms,218.01,0.58ms,0.58,2018-11-10 12:26:43
"Bruges Belgium, Eurasia",9444km,9444,252.28ms,252.28,37.48%,37.48,251.85ms,251.85,254.92ms,254.92,0.94ms,0.94,2018-11-10 12:26:43
"Brunswick United States, North America",12644km,12644,204.58ms,204.58,61.98%,61.98,204.47ms,204.47,204.74ms,204.74,0.41ms,0.41,2018-11-10 12:26:44
"Brussels Belgium, Eurasia",9396km,9396,256.96ms,256.96,36.70%,36.7,256.81ms,256.81,257.74ms,257.74,0.31ms,0.31,2018-11-10 12:26:44
"Bucharest Romania, Eurasia",8149km,8149,226.48ms,226.48,36.06%,36.06,226.36ms,226.36,226.70ms,226.7,0.34ms,0.34,2018-11-10 12:26:44
"Budapest Hungary, Eurasia",8570km,8570,214.42ms,214.42,40.05%,40.05,213.74ms,213.74,218.96ms,218.96,1.04ms,1.04,2018-11-10 12:26:44
"Buenos Aires Argentina, South America",18471km,18471,378.72ms,378.72,48.87%,48.87,373.06ms,373.06,399.45ms,399.45,8.20ms,8.2,2018-11-10 12:26:44
"Buffalo United States, North America",12647km,12647,213.24ms,213.24,59.38%,59.38,211.73ms,211.73,222.82ms,222.82,2.55ms,2.55,2018-11-10 12:26:44
"Bursa Turkey, Eurasia",8035km,8035,241.61ms,241.61,33.34%,33.34,241.14ms,241.14,247.39ms,247.39,1.20ms,1.2,2018-11-10 12:26:44
"Cairo Egypt, Africa",8145km,8145,234.08ms,234.08,34.81%,34.81,232.62ms,232.62,237.66ms,237.66,1.34ms,1.34,2018-11-10 12:26:44
"Calgary Canada, North America",10599km,10599,172.92ms,172.92,61.62%,61.62,171.85ms,171.85,181.43ms,181.43,1.85ms,1.85,2018-11-10 12:26:44
"Canberra Australia, Oceania",7391km,7391,170.07ms,170.07,43.48%,43.48,169.76ms,169.76,172.13ms,172.13,0.68ms,0.68,2018-11-10 12:26:44
"Cape Town South Africa, Africa",11877km,11877,386.25ms,386.25,30.77%,30.77,385.96ms,385.96,388.65ms,388.65,0.63ms,0.63,2018-11-10 12:26:44
"Caracas Venezuela, South America",16372km,16372,251.86ms,251.86,65.23%,65.23,249.94ms,249.94,287.76ms,287.76,6.71ms,6.71,2018-11-10 12:26:44
"Cardiff United Kingdom, Eurasia",9805km,9805,294.60ms,294.6,33.35%,33.35,293.95ms,293.95,295.88ms,295.88,0.61ms,0.61,2018-11-10 12:26:44
"Carlow Ireland, Eurasia",9923km,9923,239.00ms,239.0,41.52%,41.52,237.54ms,237.54,247.01ms,247.01,2.26ms,2.26,2018-11-10 12:26:44
"Charlotte United States, North America",13429km,13429,198.37ms,198.37,67.82%,67.82,198.26ms,198.26,198.54ms,198.54,0.14ms,0.14,2018-11-10 12:26:44
"Cheltenham United Kingdom, Eurasia",9716km,9716,252.11ms,252.11,38.56%,38.56,251.97ms,251.97,253.40ms,253.4,0.44ms,0.44,2018-11-10 12:26:44
"Chennai India, Eurasia",3725km,3725,68.50ms,68.5,54.78%,54.78,68.30ms,68.3,68.97ms,68.97,0.33ms,0.33,2018-11-10 12:26:44
"Chicago United States, North America",12540km,12540,208.46ms,208.46,60.29%,60.29,208.34ms,208.34,208.87ms,208.87,0.48ms,0.48,2018-11-10 12:26:44
"Chisinau Moldova, Eurasia",7868km,7868,291.38ms,291.38,27.04%,27.04,291.21ms,291.21,292.33ms,292.33,0.71ms,0.71,2018-11-10 12:26:44
"Christchurch New Zealand, Oceania",9435km,9435,252.23ms,252.23,37.44%,37.44,251.91ms,251.91,253.20ms,253.2,0.73ms,0.73,2018-11-10 12:26:44
"Cincinnati United States, North America",12919km,12919,191.79ms,191.79,67.64%,67.64,191.63ms,191.63,192.00ms,192.0,0.48ms,0.48,2018-11-10 12:26:44
"Cleveland United States, North America",12726km,12726,215.49ms,215.49,59.19%,59.19,215.27ms,215.27,215.79ms,215.79,0.54ms,0.54,2018-11-10 12:26:44
"Colorado Springs United States, North America",12100km,12100,186.60ms,186.6,65.05%,65.05,185.89ms,185.89,196.11ms,196.11,2.05ms,2.05,2018-11-10 12:26:44
"Columbus United States, North America",12870km,12870,208.46ms,208.46,61.88%,61.88,208.12ms,208.12,209.02ms,209.02,0.54ms,0.54,2018-11-10 12:26:44
"Copenhagen Denmark, Eurasia",8671km,8671,247.66ms,247.66,35.11%,35.11,247.42ms,247.42,250.46ms,250.46,0.70ms,0.7,2018-11-10 12:26:44
"Coventry United Kingdom, Eurasia",9652km,9652,230.36ms,230.36,41.97%,41.97,230.26ms,230.26,230.77ms,230.77,0.65ms,0.65,2018-11-10 12:26:44
"Cromwell United States, North America",12879km,12879,212.70ms,212.7,60.75%,60.75,212.28ms,212.28,218.86ms,218.86,1.19ms,1.19,2018-11-10 12:26:44
"Dagupan Philippines, Eurasia",951km,951,36.39ms,36.39,26.42%,26.42,34.66ms,34.66,52.83ms,52.83,4.63ms,4.63,2018-11-10 12:26:44
"Dallas United States, North America",13067km,13067,185.70ms,185.7,70.63%,70.63,183.64ms,183.64,240.22ms,240.22,10.13ms,10.13,2018-11-10 12:26:44
"Dar es Salaam Tanzania, Africa",8761km,8761,440.00ms,440.0,19.96%,19.96,437.76ms,437.76,479.17ms,479.17,7.46ms,7.46,2018-11-10 12:26:44
"Denver United States, North America",12013km,12013,175.41ms,175.41,68.65%,68.65,175.15ms,175.15,175.74ms,175.74,0.46ms,0.46,2018-11-10 12:26:44
"Des Moines United States, North America",12359km,12359,201.15ms,201.15,61.49%,61.49,201.04ms,201.04,201.64ms,201.64,0.42ms,0.42,2018-11-10 12:26:44
"Detroit United States, North America",12617km,12617,192.58ms,192.58,65.71%,65.71,192.42ms,192.42,192.84ms,192.84,0.56ms,0.56,2018-11-10 12:26:44
"Dhaka Bangladesh, Eurasia",2438km,2438,101.75ms,101.75,24.14%,24.14,101.19ms,101.19,102.63ms,102.63,0.52ms,0.52,2018-11-10 12:26:44
"Dronten Netherlands, Eurasia",9224km,9224,251.40ms,251.4,36.75%,36.75,251.03ms,251.03,252.37ms,252.37,0.63ms,0.63,2018-11-10 12:26:44
"Dubai United Arab Emirates, Eurasia",5955km,5955,116.50ms,116.5,51.34%,51.34,116.30ms,116.3,117.04ms,117.04,0.41ms,0.41,2018-11-10 12:26:44
"Dublin Ireland, Eurasia",9852km,9852,294.50ms,294.5,33.51%,33.51,291.89ms,291.89,319.59ms,319.59,6.94ms,6.94,2018-11-10 12:26:44
"Dusseldorf Germany, Eurasia",9225km,9225,204.63ms,204.63,45.22%,45.22,204.45ms,204.45,205.00ms,205.0,0.39ms,0.39,2018-11-10 12:26:44
"Edinburgh United Kingdom, Eurasia",9523km,9523,249.19ms,249.19,38.24%,38.24,249.04ms,249.04,249.60ms,249.6,0.13ms,0.13,2018-11-10 12:26:44
"Edmonton Canada, North America",10412km,10412,247.13ms,247.13,42.15%,42.15,246.88ms,246.88,247.49ms,247.49,0.41ms,0.41,2018-11-10 12:26:44
"Eindhoven Netherlands, Eurasia",9296km,9296,248.76ms,248.76,37.48%,37.48,248.57ms,248.57,249.07ms,249.07,0.63ms,0.63,2018-11-10 12:26:44
"Falkenstein Germany, Eurasia",8907km,8907,202.35ms,202.35,44.09%,44.09,202.19ms,202.19,202.61ms,202.61,0.19ms,0.19,2018-11-10 12:26:44
