City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13979km,13979,355.45ms,355.45,39.38%,39.38,354.12ms,354.12,373.07ms,373.07,3.43ms,3.43,2018-11-10 12:20:30
"Albany United States, North America",7912km,7912,184.85ms,184.85,43.00%,43.0,125.84ms,125.84,264.42ms,264.42,42.05ms,42.05,2018-11-10 12:20:30
"Alblasserdam Netherlands, Eurasia",2204km,2204,48.11ms,48.11,45.92%,45.92,47.55ms,47.55,51.25ms,51.25,0.78ms,0.78,2018-11-10 12:20:30
"Albuquerque United States, North America",10415km,10415,176.84ms,176.84,59.18%,59.18,170.34ms,170.34,207.20ms,207.2,9.16ms,9.16,2018-11-10 12:20:30
"Algiers Algeria, Africa",2284km,2284,47.33ms,47.33,48.60%,48.6,42.27ms,42.27,78.08ms,78.08,8.91ms,8.91,2018-11-10 12:20:30
"Amsterdam Netherlands, Eurasia",2221km,2221,56.19ms,56.19,39.66%,39.66,55.31ms,55.31,60.95ms,60.95,1.59ms,1.59,2018-11-10 12:20:30
"Anchorage United States, North America",8649km,8649,222.99ms,222.99,38.96%,38.96,221.85ms,221.85,234.92ms,234.92,2.60ms,2.6,2018-11-10 12:20:30
"Ankara Turkey, Eurasia",350km,350,11.88ms,11.88,31.82%,31.82,10.65ms,10.65,23.82ms,23.82,3.11ms,3.11,2018-11-10 12:20:30
"Antwerp Belgium, Eurasia",2192km,2192,60.55ms,60.55,36.53%,36.53,57.44ms,57.44,112.04ms,112.04,9.87ms,9.87,2018-11-10 12:20:30
"Arezzo Italy, Eurasia",1432km,1432,61.60ms,61.6,23.48%,23.48,60.02ms,60.02,81.49ms,81.49,4.15ms,4.15,2018-11-10 12:20:30
"Asheville United States, North America",9006km,9006,157.05ms,157.05,57.36%,57.36,143.03ms,143.03,224.22ms,224.22,24.84ms,24.84,2018-11-10 12:20:30
"Athens Greece, Eurasia",564km,564,81.34ms,81.34,6.96%,6.96,78.93ms,78.93,121.61ms,121.61,7.59ms,7.59,2018-11-10 12:20:30
"Atlanta United States, North America",9270km,9270,163.75ms,163.75,56.87%,56.87,159.94ms,159.94,244.92ms,244.92,15.22ms,15.22,2018-11-10 12:20:30
"Auckland New Zealand, Oceania",17041km,17041,331.33ms,331.33,51.48%,51.48,329.41ms,329.41,353.24ms,353.24,5.19ms,5.19,2018-11-10 12:20:30
"Austin United States, North America",10387km,10387,186.36ms,186.36,55.84%,55.84,171.67ms,171.67,222.84ms,222.84,14.11ms,14.11,2018-11-10 12:20:30
"Baltimore United States, North America",8343km,8343,124.26ms,124.26,67.28%,67.28,123.30ms,123.3,132.17ms,132.17,1.85ms,1.85,2018-11-10 12:20:30
"Bangalore India, Eurasia",5639km,5639,195.40ms,195.4,28.92%,28.92,192.35ms,192.35,228.37ms,228.37,7.58ms,7.58,2018-11-10 12:20:30
"Bangkok Thailand, Eurasia",7468km,7468,204.25ms,204.25,36.61%,36.61,199.96ms,199.96,233.63ms,233.63,7.63ms,7.63,2018-11-10 12:20:30
"Barcelona Spain, Eurasia",2234km,2234,80.47ms,80.47,27.93%,27.93,69.40ms,69.4,196.56ms,196.56,24.25ms,24.25,2018-11-10 12:20:30
"Basel Switzerland, Eurasia",1844km,1844,61.63ms,61.63,30.23%,30.23,58.80ms,58.8,84.32ms,84.32,5.53ms,5.53,2018-11-10 12:20:30
"Belfast United Kingdom, Eurasia",2969km,2969,68.17ms,68.17,43.66%,43.66,66.06ms,66.06,82.51ms,82.51,4.09ms,4.09,2018-11-10 12:20:30
"Bergen Norway, Eurasia",2691km,2691,75.17ms,75.17,35.88%,35.88,73.29ms,73.29,92.67ms,92.67,4.13ms,4.13,2018-11-10 12:20:30
