City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14037km,14037,411.01ms,411.01,34.15%,34.15,410.81ms,410.81,411.69ms,411.69,0.91ms,0.91,2018-11-10 12:20:48
"Albany United States, North America",7981km,7981,192.88ms,192.88,41.57%,41.57,138.79ms,138.79,261.73ms,261.73,40.99ms,40.99,2018-11-10 12:20:48
"Alblasserdam Netherlands, Eurasia",2295km,2295,67.03ms,67.03,34.25%,34.25,66.79ms,66.79,69.03ms,69.03,0.53ms,0.53,2018-11-10 12:20:48
"Albuquerque United States, North America",10557km,10557,203.13ms,203.13,52.00%,52.0,199.63ms,199.63,244.10ms,244.1,9.52ms,9.52,2018-11-10 12:20:48
"Algiers Algeria, Africa",2124km,2124,89.69ms,89.69,23.87%,23.87,89.02ms,89.02,90.29ms,90.29,0.31ms,0.31,2018-11-10 12:20:48
"Amsterdam Netherlands, Eurasia",2318km,2318,68.67ms,68.67,34.09%,34.09,68.57ms,68.57,68.91ms,68.91,0.11ms,0.11,2018-11-10 12:20:48
"Anchorage United States, North America",8934km,8934,249.54ms,249.54,35.88%,35.88,249.28ms,249.28,250.38ms,250.38,0.65ms,0.65,2018-11-10 12:20:48
"Ankara Turkey, Eurasia",521km,521,13.40ms,13.4,40.08%,40.08,12.32ms,12.32,16.70ms,16.7,0.86ms,0.86,2018-11-10 12:20:48
"Antwerp Belgium, Eurasia",2273km,2273,73.23ms,73.23,31.14%,31.14,73.14ms,73.14,73.32ms,73.32,0.30ms,0.3,2018-11-10 12:20:48
"Arezzo Italy, Eurasia",1397km,1397,72.13ms,72.13,19.40%,19.4,71.81ms,71.81,78.10ms,78.1,1.12ms,1.12,2018-11-10 12:20:48
"Asheville United States, North America",9069km,9069,162.22ms,162.22,55.98%,55.98,162.16ms,162.16,162.31ms,162.31,0.39ms,0.39,2018-11-10 12:20:48
"Athens Greece, Eurasia",303km,303,68.61ms,68.61,4.46%,4.46,68.48ms,68.48,69.43ms,69.43,0.37ms,0.37,2018-11-10 12:20:48
"Atlanta United States, North America",9332km,9332,158.26ms,158.26,59.06%,59.06,158.17ms,158.17,158.46ms,158.46,0.26ms,0.26,2018-11-10 12:20:48
"Auckland New Zealand, Oceania",17175km,17175,367.81ms,367.81,46.80%,46.8,367.69ms,367.69,369.18ms,369.18,0.70ms,0.7,2018-11-10 12:20:48
"Austin United States, North America",10482km,10482,187.40ms,187.4,56.05%,56.05,175.78ms,175.78,222.91ms,222.91,11.60ms,11.6,2018-11-10 12:20:48
"Baltimore United States, North America",8404km,8404,147.78ms,147.78,57.17%,57.17,147.42ms,147.42,148.98ms,148.98,0.63ms,0.63,2018-11-10 12:20:48
"Bangalore India, Eurasia",5702km,5702,193.33ms,193.33,29.54%,29.54,193.20ms,193.2,194.22ms,194.22,0.62ms,0.62,2018-11-10 12:20:48
"Bangkok Thailand, Eurasia",7623km,7623,314.79ms,314.79,24.28%,24.28,299.25ms,299.25,363.62ms,363.62,18.00ms,18.0,2018-11-10 12:20:48
"Barcelona Spain, Eurasia",2148km,2148,76.20ms,76.2,28.26%,28.26,75.95ms,75.95,77.29ms,77.29,0.33ms,0.33,2018-11-10 12:20:48
"Basel Switzerland, Eurasia",1879km,1879,57.50ms,57.5,32.96%,32.96,57.40ms,57.4,58.02ms,58.02,0.35ms,0.35,2018-11-10 12:20:48
"Belfast United Kingdom, Eurasia",3060km,3060,87.21ms,87.21,35.17%,35.17,87.06ms,87.06,87.40ms,87.4,0.38ms,0.38,2018-11-10 12:20:48
"Bergen Norway, Eurasia",2877km,2877,84.04ms,84.04,34.25%,34.25,83.80ms,83.8,85.46ms,85.46,0.46ms,0.46,2018-11-10 12:20:48
"Berkeley Springs United States, North America",8489km,8489,156.66ms,156.66,54.42%,54.42,156.45ms,156.45,156.79ms,156.79,0.22ms,0.22,2018-11-10 12:20:48
"Bern Switzerland, Eurasia",1860km,1860,61.62ms,61.62,30.49%,30.49,61.50ms,61.5,61.74ms,61.74,0.18ms,0.18,2018-11-10 12:20:48
"Bogota Colombia, South America",10662km,10662,237.50ms,237.5,44.99%,44.99,236.53ms,236.53,246.81ms,246.81,2.43ms,2.43,2018-11-10 12:20:48
"Boston United States, North America",7825km,7825,135.36ms,135.36,57.96%,57.96,135.15ms,135.15,135.72ms,135.72,0.37ms,0.37,2018-11-10 12:20:48
"Brasilia Brazil, South America",9846km,9846,289.31ms,289.31,34.07%,34.07,288.36ms,288.36,298.72ms,298.72,2.02ms,2.02,2018-11-10 12:20:48
"Bratislava Slovakia, Eurasia",1349km,1349,39.47ms,39.47,34.59%,34.59,37.86ms,37.86,40.96ms,40.96,1.41ms,1.41,2018-11-10 12:20:48
"Brisbane Australia, Oceania",14899km,14899,358.76ms,358.76,41.62%,41.62,358.63ms,358.63,359.02ms,359.02,0.79ms,0.79,2018-11-10 12:20:48
"Bristol United Kingdom, Eurasia",2724km,2724,76.39ms,76.39,35.84%,35.84,76.22ms,76.22,76.89ms,76.89,0.38ms,0.38,2018-11-10 12:20:48
"Brno Czech Republic, Eurasia",1463km,1463,52.63ms,52.63,28.13%,28.13,52.53ms,52.53,52.88ms,52.88,0.06ms,0.06,2018-11-10 12:20:48
"Bruges Belgium, Eurasia",2344km,2344,73.86ms,73.86,32.11%,32.11,73.64ms,73.64,75.54ms,75.54,0.42ms,0.42,2018-11-10 12:20:48
"Brunswick United States, North America",7655km,7655,139.93ms,139.93,55.07%,55.07,139.82ms,139.82,140.05ms,140.05,0.51ms,0.51,2018-11-10 12:20:48
"Brussels Belgium, Eurasia",2256km,2256,68.92ms,68.92,33.18%,33.18,68.83ms,68.83,69.85ms,69.85,0.19ms,0.19,2018-11-10 12:20:48
"Bucharest Romania, Eurasia",672km,672,28.95ms,28.95,24.00%,24.0,28.83ms,28.83,29.54ms,29.54,0.20ms,0.2,2018-11-10 12:20:48
"Budapest Hungary, Eurasia",1203km,1203,69.42ms,69.42,17.43%,17.43,68.92ms,68.92,69.96ms,69.96,0.45ms,0.45,2018-11-10 12:20:48
"Buenos Aires Argentina, South America",11969km,11969,294.01ms,294.01,40.71%,40.71,291.03ms,291.03,304.38ms,304.38,3.94ms,3.94,2018-11-10 12:20:48
"Buffalo United States, North America",8304km,8304,163.84ms,163.84,50.94%,50.94,161.83ms,161.83,175.32ms,175.32,3.08ms,3.08,2018-11-10 12:20:48
"Bursa Turkey, Eurasia",255km,255,6.11ms,6.11,42.50%,42.5,5.61ms,5.61,12.76ms,12.76,1.26ms,1.26,2018-11-10 12:20:48
"Cairo Egypt, Africa",1003km,1003,116.10ms,116.1,8.65%,8.65,107.85ms,107.85,146.33ms,146.33,8.68ms,8.68,2018-11-10 12:20:48
"Calgary Canada, North America",9375km,9375,227.84ms,227.84,41.30%,41.3,225.39ms,225.39,245.67ms,245.67,4.49ms,4.49,2018-11-10 12:20:48
"Canberra Australia, Oceania",14932km,14932,387.71ms,387.71,38.58%,38.58,387.53ms,387.53,389.40ms,389.4,0.74ms,0.74,2018-11-10 12:20:48
"Cape Town South Africa, Africa",8102km,8102,211.51ms,211.51,38.40%,38.4,211.29ms,211.29,213.28ms,213.28,0.73ms,0.73,2018-11-10 12:20:48
"Caracas Venezuela, South America",9636km,9636,218.59ms,218.59,44.20%,44.2,217.57ms,217.57,225.83ms,225.83,1.59ms,1.59,2018-11-10 12:20:48
"Cardiff United Kingdom, Eurasia",2764km,2764,77.66ms,77.66,35.90%,35.9,77.34ms,77.34,79.19ms,79.19,0.51ms,0.51,2018-11-10 12:20:48
"Carlow Ireland, Eurasia",3055km,3055,85.99ms,85.99,35.94%,35.94,85.87ms,85.87,86.17ms,86.17,0.20ms,0.2,2018-11-10 12:20:48
"Charlotte United States, North America",8980km,8980,161.77ms,161.77,55.78%,55.78,161.63ms,161.63,161.88ms,161.88,0.42ms,0.42,2018-11-10 12:20:48
"Cheltenham United Kingdom, Eurasia",2709km,2709,76.52ms,76.52,35.64%,35.64,76.44ms,76.44,76.57ms,76.57,0.31ms,0.31,2018-11-10 12:20:48
"Chennai India, Eurasia",5921km,5921,193.39ms,193.39,30.68%,30.68,193.23ms,193.23,193.93ms,193.93,0.51ms,0.51,2018-11-10 12:20:48
"Chicago United States, North America",8922km,8922,167.75ms,167.75,53.43%,53.43,167.63ms,167.63,168.85ms,168.85,0.55ms,0.55,2018-11-10 12:20:48
"Chisinau Moldova, Eurasia",964km,964,37.20ms,37.2,26.05%,26.05,36.76ms,36.76,39.61ms,39.61,0.76ms,0.76,2018-11-10 12:20:48
"Christchurch New Zealand, Oceania",17086km,17086,402.31ms,402.31,42.50%,42.5,402.22ms,402.22,402.54ms,402.54,0.59ms,0.59,2018-11-10 12:20:48
"Cincinnati United States, North America",8937km,8937,158.81ms,158.81,56.56%,56.56,158.71ms,158.71,159.29ms,159.29,0.50ms,0.5,2018-11-10 12:20:48
"Cleveland United States, North America",8545km,8545,183.67ms,183.67,46.69%,46.69,183.24ms,183.24,190.32ms,190.32,1.35ms,1.35,2018-11-10 12:20:48
"Colorado Springs United States, North America",10123km,10123,196.74ms,196.74,51.65%,51.65,196.65ms,196.65,197.21ms,197.21,0.46ms,0.46,2018-11-10 12:20:48
"Columbus United States, North America",8776km,8776,162.39ms,162.39,54.17%,54.17,161.48ms,161.48,174.10ms,174.1,2.50ms,2.5,2018-11-10 12:20:48
