City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15538km,15538,237.66ms,237.66,65.56%,65.56,237.25ms,237.25,241.61ms,241.61,0.99ms,0.99,2018-11-10 12:19:15
"Albany United States, North America",1851km,1851,96.53ms,96.53,19.28%,19.28,45.09ms,45.09,163.92ms,163.92,39.35ms,39.35,2018-11-10 12:19:15
"Alblasserdam Netherlands, Eurasia",7551km,7551,116.53ms,116.53,65.09%,65.09,116.24ms,116.24,117.31ms,117.31,0.37ms,0.37,2018-11-10 12:19:15
"Albuquerque United States, North America",1549km,1549,62.33ms,62.33,24.98%,24.98,56.32ms,56.32,103.76ms,103.76,14.02ms,14.02,2018-11-10 12:19:15
"Algiers Algeria, Africa",8192km,8192,145.26ms,145.26,56.50%,56.5,144.71ms,144.71,146.47ms,146.47,0.40ms,0.4,2018-11-10 12:19:15
"Amsterdam Netherlands, Eurasia",7534km,7534,112.12ms,112.12,67.27%,67.27,111.70ms,111.7,113.49ms,113.49,0.53ms,0.53,2018-11-10 12:19:15
"Anchorage United States, North America",5300km,5300,106.21ms,106.21,50.00%,50.0,105.82ms,105.82,108.65ms,108.65,0.60ms,0.6,2018-11-10 12:19:15
"Ankara Turkey, Eurasia",10077km,10077,164.07ms,164.07,61.45%,61.45,162.88ms,162.88,180.57ms,180.57,3.21ms,3.21,2018-11-10 12:19:15
"Antwerp Belgium, Eurasia",7566km,7566,118.98ms,118.98,64.12%,64.12,118.76ms,118.76,119.60ms,119.6,0.37ms,0.37,2018-11-10 12:19:15
"Arezzo Italy, Eurasia",8468km,8468,131.10ms,131.1,64.64%,64.64,130.66ms,130.66,134.92ms,134.92,0.82ms,0.82,2018-11-10 12:19:15
"Asheville United States, North America",793km,793,35.85ms,35.85,22.66%,22.66,35.61ms,35.61,36.32ms,36.32,0.28ms,0.28,2018-11-10 12:19:15
"Athens Greece, Eurasia",9635km,9635,171.36ms,171.36,56.35%,56.35,170.80ms,170.8,174.61ms,174.61,0.95ms,0.95,2018-11-10 12:19:15
"Atlanta United States, North America",564km,564,33.94ms,33.94,17.09%,17.09,33.52ms,33.52,35.90ms,35.9,0.55ms,0.55,2018-11-10 12:19:15
"Auckland New Zealand, Oceania",12496km,12496,283.37ms,283.37,44.16%,44.16,282.97ms,282.97,285.35ms,285.35,0.74ms,0.74,2018-11-10 12:19:15
"Austin United States, North America",754km,754,37.93ms,37.93,20.38%,20.38,27.91ms,27.91,69.39ms,69.39,11.33ms,11.33,2018-11-10 12:19:15
"Baltimore United States, North America",1447km,1447,32.23ms,32.23,45.22%,45.22,31.27ms,31.27,36.43ms,36.43,1.35ms,1.35,2018-11-10 12:19:15
"Bangalore India, Eurasia",14820km,14820,233.30ms,233.3,63.61%,63.61,233.08ms,233.08,233.82ms,233.82,0.24ms,0.24,2018-11-10 12:19:15
"Bangkok Thailand, Eurasia",14774km,14774,266.23ms,266.23,55.54%,55.54,254.44ms,254.44,349.47ms,349.47,20.56ms,20.56,2018-11-10 12:19:15
"Barcelona Spain, Eurasia",7886km,7886,149.17ms,149.17,52.93%,52.93,148.74ms,148.74,151.35ms,151.35,0.67ms,0.67,2018-11-10 12:19:15
"Basel Switzerland, Eurasia",7953km,7953,140.28ms,140.28,56.81%,56.81,140.03ms,140.03,140.74ms,140.74,0.41ms,0.41,2018-11-10 12:19:15
"Belfast United Kingdom, Eurasia",6786km,6786,124.49ms,124.49,54.73%,54.73,124.34ms,124.34,124.94ms,124.94,0.36ms,0.36,2018-11-10 12:19:16
"Bergen Norway, Eurasia",7217km,7217,155.08ms,155.08,46.56%,46.56,154.41ms,154.41,157.69ms,157.69,0.82ms,0.82,2018-11-10 12:19:16
"Berkeley Springs United States, North America",1348km,1348,35.72ms,35.72,38.51%,38.51,35.35ms,35.35,36.76ms,36.76,0.36ms,0.36,2018-11-10 12:19:16
"Bern Switzerland, Eurasia",7976km,7976,124.80ms,124.8,64.32%,64.32,124.51ms,124.51,125.28ms,125.28,0.26ms,0.26,2018-11-10 12:19:16
"Bogota Colombia, South America",3507km,3507,91.51ms,91.51,38.54%,38.54,90.71ms,90.71,96.91ms,96.91,1.52ms,1.52,2018-11-10 12:19:16
"Boston United States, North America",2020km,2020,40.44ms,40.44,50.50%,50.5,40.00ms,40.0,42.75ms,42.75,0.53ms,0.53,2018-11-10 12:19:16
"Brasilia Brazil, South America",6991km,6991,146.83ms,146.83,47.88%,47.88,145.79ms,145.79,155.09ms,155.09,2.10ms,2.1,2018-11-10 12:19:16
"Bratislava Slovakia, Eurasia",8529km,8529,136.79ms,136.79,62.71%,62.71,136.54ms,136.54,137.49ms,137.49,0.55ms,0.55,2018-11-10 12:19:16
"Brisbane Australia, Oceania",13987km,13987,308.79ms,308.79,45.41%,45.41,308.53ms,308.53,309.26ms,309.26,0.48ms,0.48,2018-11-10 12:19:16
"Bristol United Kingdom, Eurasia",7106km,7106,104.48ms,104.48,68.33%,68.33,104.21ms,104.21,104.90ms,104.9,0.46ms,0.46,2018-11-10 12:19:16
"Brno Czech Republic, Eurasia",8434km,8434,135.43ms,135.43,62.47%,62.47,135.09ms,135.09,137.58ms,137.58,0.59ms,0.59,2018-11-10 12:19:16
"Bruges Belgium, Eurasia",7492km,7492,110.51ms,110.51,68.11%,68.11,110.21ms,110.21,111.58ms,111.58,0.47ms,0.47,2018-11-10 12:19:16
"Brunswick United States, North America",2181km,2181,53.38ms,53.38,41.15%,41.15,53.07ms,53.07,53.67ms,53.67,0.25ms,0.25,2018-11-10 12:19:16
"Brussels Belgium, Eurasia",7580km,7580,130.30ms,130.3,58.31%,58.31,130.04ms,130.04,130.63ms,130.63,0.22ms,0.22,2018-11-10 12:19:16
"Bucharest Romania, Eurasia",9329km,9329,164.38ms,164.38,56.88%,56.88,155.33ms,155.33,168.74ms,168.74,3.89ms,3.89,2018-11-02 04:18:38
"Budapest Hungary, Eurasia",8689km,8689,135.97ms,135.97,64.36%,64.36,135.34ms,135.34,136.73ms,136.73,0.59ms,0.59,2018-11-10 12:19:16
"Buenos Aires Argentina, South America",8149km,8149,169.52ms,169.52,48.22%,48.22,165.47ms,165.47,184.14ms,184.14,4.69ms,4.69,2018-11-10 12:19:16
"Buffalo United States, North America",1539km,1539,51.62ms,51.62,30.18%,30.18,46.67ms,46.67,78.09ms,78.09,8.54ms,8.54,2018-11-10 12:19:16
"Bursa Turkey, Eurasia",9823km,9823,172.58ms,172.58,57.11%,57.11,171.65ms,171.65,177.87ms,177.87,1.54ms,1.54,2018-11-10 12:19:16
"Cairo Egypt, Africa",10736km,10736,176.71ms,176.71,61.00%,61.0,168.39ms,168.39,199.72ms,199.72,8.97ms,8.97,2018-11-10 12:19:16
"Calgary Canada, North America",2853km,2853,89.66ms,89.66,32.06%,32.06,88.60ms,88.6,97.68ms,97.68,1.76ms,1.76,2018-11-10 12:19:16
"Canberra Australia, Oceania",14611km,14611,256.53ms,256.53,57.07%,57.07,255.94ms,255.94,258.27ms,258.27,0.65ms,0.65,2018-11-10 12:19:16
"Cape Town South Africa, Africa",13512km,13512,243.63ms,243.63,55.60%,55.6,243.08ms,243.08,247.19ms,247.19,1.10ms,1.1,2018-11-10 12:19:16
"Caracas Venezuela, South America",3404km,3404,70.42ms,70.42,48.63%,48.63,69.26ms,69.26,77.36ms,77.36,1.53ms,1.53,2018-11-10 12:19:16
"Cardiff United Kingdom, Eurasia",7067km,7067,116.06ms,116.06,60.92%,60.92,115.49ms,115.49,117.16ms,117.16,0.63ms,0.63,2018-11-10 12:19:16
"Carlow Ireland, Eurasia",6777km,6777,128.05ms,128.05,52.95%,52.95,127.81ms,127.81,128.54ms,128.54,0.24ms,0.24,2018-11-10 12:19:16
"Charlotte United States, North America",922km,922,38.87ms,38.87,24.26%,24.26,38.52ms,38.52,39.22ms,39.22,0.20ms,0.2,2018-11-10 12:19:16
"Cheltenham United Kingdom, Eurasia",7123km,7123,115.51ms,115.51,61.94%,61.94,115.31ms,115.31,115.67ms,115.67,0.38ms,0.38,2018-11-10 12:19:16
"Chennai India, Eurasia",14872km,14872,238.84ms,238.84,62.49%,62.49,238.53ms,238.53,239.63ms,239.63,0.56ms,0.56,2018-11-10 12:19:16
"Chicago United States, North America",1085km,1085,31.70ms,31.7,35.00%,35.0,31.30ms,31.3,32.38ms,32.38,0.35ms,0.35,2018-11-10 12:19:16
"Chisinau Moldova, Eurasia",9305km,9305,154.22ms,154.22,60.42%,60.42,153.72ms,153.72,155.64ms,155.64,0.75ms,0.75,2018-11-10 12:19:16
"Christchurch New Zealand, Oceania",12948km,12948,208.10ms,208.1,62.25%,62.25,207.82ms,207.82,208.59ms,208.59,0.59ms,0.59,2018-11-10 12:19:16
"Cincinnati United States, North America",912km,912,33.89ms,33.89,27.64%,27.64,33.66ms,33.66,34.61ms,34.61,0.27ms,0.27,2018-11-10 12:19:16
"Cleveland United States, North America",1305km,1305,38.35ms,38.35,34.34%,34.34,38.09ms,38.09,39.32ms,39.32,0.31ms,0.31,2018-11-10 12:19:16
"Colorado Springs United States, North America",1506km,1506,49.49ms,49.49,30.73%,30.73,48.81ms,48.81,64.34ms,64.34,2.77ms,2.77,2018-11-10 12:19:16
"Columbus United States, North America",1068km,1068,32.80ms,32.8,33.38%,33.38,32.43ms,32.43,33.45ms,33.45,0.29ms,0.29,2018-11-10 12:19:16
"Copenhagen Denmark, Eurasia",7826km,7826,139.37ms,139.37,56.30%,56.3,139.17ms,139.17,139.98ms,139.98,0.40ms,0.4,2018-11-10 12:19:16
"Coventry United Kingdom, Eurasia",7140km,7140,106.64ms,106.64,67.36%,67.36,106.39ms,106.39,107.04ms,107.04,0.40ms,0.4,2018-11-10 12:19:16
"Cromwell United States, North America",1865km,1865,45.32ms,45.32,41.44%,41.44,44.85ms,44.85,46.66ms,46.66,0.50ms,0.5,2018-11-10 12:19:16
"Dagupan Philippines, Eurasia",13738km,13738,252.07ms,252.07,54.52%,54.52,250.71ms,250.71,261.36ms,261.36,2.17ms,2.17,2018-11-10 12:19:16
"Dallas United States, North America",622km,622,37.41ms,37.41,16.81%,16.81,37.14ms,37.14,38.83ms,38.83,0.39ms,0.39,2018-11-10 12:19:16
"Dar es Salaam Tanzania, Africa",14085km,14085,249.54ms,249.54,56.57%,56.57,248.90ms,248.9,252.83ms,252.83,0.74ms,0.74,2018-11-10 12:19:16
"Denver United States, North America",1564km,1564,47.09ms,47.09,33.28%,33.28,46.74ms,46.74,50.81ms,50.81,0.77ms,0.77,2018-11-10 12:19:16
