City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16242km,16242,262.83ms,262.83,61.99%,61.99,262.67ms,262.67,263.76ms,263.76,0.53ms,0.53,2018-11-10 12:18:51
"Albany United States, North America",1548km,1548,78.78ms,78.78,19.85%,19.85,28.18ms,28.18,138.52ms,138.52,40.41ms,40.41,2018-11-10 12:18:51
"Alblasserdam Netherlands, Eurasia",7166km,7166,104.34ms,104.34,68.90%,68.9,104.24ms,104.24,104.86ms,104.86,0.20ms,0.2,2018-11-10 12:18:51
"Albuquerque United States, North America",2388km,2388,51.94ms,51.94,46.82%,46.82,46.64ms,46.64,93.64ms,93.64,13.36ms,13.36,2018-11-10 12:18:51
"Algiers Algeria, Africa",7623km,7623,128.37ms,128.37,59.55%,59.55,127.77ms,127.77,130.83ms,130.83,0.65ms,0.65,2018-11-10 12:18:51
"Amsterdam Netherlands, Eurasia",7155km,7155,109.58ms,109.58,65.64%,65.64,109.43ms,109.43,109.80ms,109.8,0.30ms,0.3,2018-11-10 12:18:51
"Anchorage United States, North America",5936km,5936,113.09ms,113.09,52.53%,52.53,112.79ms,112.79,113.84ms,113.84,0.45ms,0.45,2018-11-10 12:18:51
"Ankara Turkey, Eurasia",9694km,9694,155.53ms,155.53,62.54%,62.54,155.18ms,155.18,161.22ms,161.22,1.06ms,1.06,2018-11-10 12:18:51
"Antwerp Belgium, Eurasia",7171km,7171,113.86ms,113.86,63.46%,63.46,113.81ms,113.81,113.96ms,113.96,0.45ms,0.45,2018-11-10 12:18:51
"Arezzo Italy, Eurasia",8008km,8008,126.96ms,126.96,63.56%,63.56,126.84ms,126.84,127.15ms,127.15,0.47ms,0.47,2018-11-10 12:18:51
"Asheville United States, North America",591km,591,15.89ms,15.89,39.40%,39.4,15.84ms,15.84,15.96ms,15.96,0.11ms,0.11,2018-11-10 12:18:51
"Athens Greece, Eurasia",9177km,9177,152.54ms,152.54,60.38%,60.38,152.22ms,152.22,154.98ms,154.98,0.76ms,0.76,2018-11-10 12:18:51
"Atlanta United States, North America",459km,459,8.05ms,8.05,57.38%,57.38,7.94ms,7.94,8.27ms,8.27,0.11ms,0.11,2018-11-10 12:18:51
"Auckland New Zealand, Oceania",13094km,13094,215.31ms,215.31,60.90%,60.9,215.19ms,215.19,216.41ms,216.41,0.56ms,0.56,2018-11-10 12:18:51
"Austin United States, North America",1544km,1544,39.05ms,39.05,39.59%,39.59,25.69ms,25.69,106.78ms,106.78,16.41ms,16.41,2018-11-10 12:18:51
"Baltimore United States, North America",1096km,1096,22.53ms,22.53,49.82%,49.82,22.02ms,22.02,29.83ms,29.83,1.41ms,1.41,2018-11-10 12:18:51
"Bangalore India, Eurasia",14716km,14716,241.71ms,241.71,61.06%,61.06,241.56ms,241.56,242.69ms,242.69,0.44ms,0.44,2018-11-10 12:18:51
"Bangkok Thailand, Eurasia",15112km,15112,256.36ms,256.36,59.03%,59.03,250.29ms,250.29,360.91ms,360.91,20.48ms,20.48,2018-11-10 12:18:51
"Barcelona Spain, Eurasia",7363km,7363,116.70ms,116.7,63.47%,63.47,116.50ms,116.5,117.20ms,117.2,0.40ms,0.4,2018-11-10 12:18:51
"Basel Switzerland, Eurasia",7523km,7523,120.56ms,120.56,62.69%,62.69,120.42ms,120.42,120.67ms,120.67,0.47ms,0.47,2018-11-10 12:18:51
"Belfast United Kingdom, Eurasia",6413km,6413,114.66ms,114.66,56.25%,56.25,114.52ms,114.52,114.83ms,114.83,0.30ms,0.3,2018-11-10 12:18:51
"Bergen Norway, Eurasia",6954km,6954,139.34ms,139.34,50.03%,50.03,139.01ms,139.01,140.66ms,140.66,0.45ms,0.45,2018-11-10 12:18:51
"Berkeley Springs United States, North America",1079km,1079,33.22ms,33.22,32.70%,32.7,33.05ms,33.05,33.41ms,33.41,0.27ms,0.27,2018-11-10 12:18:51
