City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",10043km,10043,484.92ms,484.92,20.75%,20.75,484.70ms,484.7,485.51ms,485.51,0.54ms,0.54,2018-11-10 12:22:43
"Albany United States, North America",12874km,12874,296.31ms,296.31,43.49%,43.49,239.60ms,239.6,359.76ms,359.76,37.13ms,37.13,2018-11-10 12:22:43
"Alblasserdam Netherlands, Eurasia",8978km,8978,178.65ms,178.65,50.44%,50.44,178.40ms,178.4,179.29ms,179.29,0.39ms,0.39,2018-11-10 12:22:43
"Albuquerque United States, North America",15609km,15609,312.97ms,312.97,50.03%,50.03,309.10ms,309.1,352.59ms,352.59,8.87ms,8.87,2018-11-10 12:22:43
"Algiers Algeria, Africa",7475km,7475,213.91ms,213.91,35.09%,35.09,213.12ms,213.12,215.32ms,215.32,0.54ms,0.54,2018-11-10 12:22:43
"Amsterdam Netherlands, Eurasia",9022km,9022,194.26ms,194.26,46.51%,46.51,194.14ms,194.14,194.46ms,194.46,0.52ms,0.52,2018-11-10 12:22:43
"Anchorage United States, North America",16123km,16123,358.77ms,358.77,45.04%,45.04,358.61ms,358.61,359.29ms,359.29,0.74ms,0.74,2018-11-10 12:22:43
"Ankara Turkey, Eurasia",7373km,7373,251.34ms,251.34,29.37%,29.37,250.82ms,250.82,260.99ms,260.99,1.91ms,1.91,2018-11-10 12:22:43
"Antwerp Belgium, Eurasia",8918km,8918,195.01ms,195.01,45.73%,45.73,194.88ms,194.88,195.44ms,195.44,0.46ms,0.46,2018-11-10 12:22:43
"Arezzo Italy, Eurasia",7924km,7924,184.83ms,184.83,43.07%,43.07,184.55ms,184.55,188.88ms,188.88,0.91ms,0.91,2018-11-10 12:22:43
"Asheville United States, North America",13448km,13448,270.31ms,270.31,49.81%,49.81,270.21ms,270.21,271.33ms,271.33,0.51ms,0.51,2018-11-10 12:22:43
"Athens Greece, Eurasia",7151km,7151,229.73ms,229.73,31.23%,31.23,229.57ms,229.57,230.44ms,230.44,0.24ms,0.24,2018-11-10 12:22:43
"Atlanta United States, North America",13570km,13570,269.64ms,269.64,50.45%,50.45,269.49ms,269.49,270.35ms,270.35,0.36ms,0.36,2018-11-10 12:22:43
"Auckland New Zealand, Oceania",12189km,12189,433.30ms,433.3,28.15%,28.15,433.20ms,433.2,433.91ms,433.91,0.13ms,0.13,2018-11-10 12:22:43
"Austin United States, North America",14739km,14739,303.29ms,303.29,48.64%,48.64,293.73ms,293.73,336.96ms,336.96,9.29ms,9.29,2018-11-10 12:22:43
"Baltimore United States, North America",13023km,13023,258.07ms,258.07,50.48%,50.48,257.75ms,257.75,258.83ms,258.83,0.49ms,0.49,2018-11-10 12:22:43
"Bangalore India, Eurasia",6905km,6905,310.21ms,310.21,22.27%,22.27,310.13ms,310.13,310.46ms,310.46,0.21ms,0.21,2018-11-10 12:22:43
"Bangkok Thailand, Eurasia",8999km,8999,320.10ms,320.1,28.12%,28.12,305.71ms,305.71,402.31ms,402.31,22.75ms,22.75,2018-11-10 12:22:43
"Barcelona Spain, Eurasia",7976km,7976,195.86ms,195.86,40.90%,40.9,195.64ms,195.64,196.13ms,196.13,0.47ms,0.47,2018-11-10 12:22:43
"Basel Switzerland, Eurasia",8456km,8456,199.40ms,199.4,42.49%,42.49,199.29ms,199.29,199.51ms,199.51,0.53ms,0.53,2018-11-10 12:22:43
"Belfast United Kingdom, Eurasia",9556km,9556,185.70ms,185.7,51.65%,51.65,185.57ms,185.57,186.35ms,186.35,0.23ms,0.23,2018-11-10 12:22:43
"Bergen Norway, Eurasia",9849km,9849,215.78ms,215.78,45.81%,45.81,215.45ms,215.45,216.71ms,216.71,0.57ms,0.57,2018-11-10 12:22:43
"Berkeley Springs United States, North America",13166km,13166,273.74ms,273.74,48.23%,48.23,273.62ms,273.62,274.20ms,274.2,0.54ms,0.54,2018-11-10 12:22:43
"Bern Switzerland, Eurasia",8395km,8395,194.91ms,194.91,43.27%,43.27,194.76ms,194.76,195.10ms,195.1,0.43ms,0.43,2018-11-10 12:22:43
"Bogota Colombia, South America",11444km,11444,338.85ms,338.85,33.86%,33.86,338.65ms,338.65,339.06ms,339.06,0.46ms,0.46,2018-11-10 12:22:43
"Boston United States, North America",12649km,12649,234.52ms,234.52,54.06%,54.06,234.22ms,234.22,235.41ms,235.41,0.60ms,0.6,2018-11-10 12:22:43
"Brasilia Brazil, South America",7866km,7866,386.12ms,386.12,20.38%,20.38,384.25ms,384.25,394.39ms,394.39,3.47ms,3.47,2018-11-10 12:22:43
"Bratislava Slovakia, Eurasia",8341km,8341,203.09ms,203.09,41.09%,41.09,202.91ms,202.91,203.76ms,203.76,0.31ms,0.31,2018-11-10 12:22:43
"Brisbane Australia, Oceania",11639km,11639,439.08ms,439.08,26.51%,26.51,439.04ms,439.04,439.31ms,439.31,0.18ms,0.18,2018-11-10 12:22:43
"Bristol United Kingdom, Eurasia",9142km,9142,165.71ms,165.71,55.41%,55.41,165.54ms,165.54,166.12ms,166.12,0.52ms,0.52,2018-11-10 12:22:43
"Brno Czech Republic, Eurasia",8463km,8463,209.34ms,209.34,40.49%,40.49,209.28ms,209.28,209.43ms,209.43,0.60ms,0.6,2018-11-10 12:22:43
"Bruges Belgium, Eurasia",8948km,8948,177.07ms,177.07,50.55%,50.55,176.89ms,176.89,178.16ms,178.16,0.23ms,0.23,2018-11-10 12:22:43
"Brunswick United States, North America",12607km,12607,233.85ms,233.85,54.11%,54.11,233.70ms,233.7,234.82ms,234.82,0.27ms,0.27,2018-11-10 12:22:43
"Brussels Belgium, Eurasia",8881km,8881,160.77ms,160.77,55.51%,55.51,160.47ms,160.47,167.20ms,167.2,1.26ms,1.26,2018-11-10 12:22:43
"Bucharest Romania, Eurasia",7857km,7857,217.29ms,217.29,36.21%,36.21,217.22ms,217.22,217.38ms,217.38,0.58ms,0.58,2018-11-10 12:22:43
"Budapest Hungary, Eurasia",8247km,8247,207.76ms,207.76,39.84%,39.84,207.24ms,207.24,208.28ms,208.28,0.71ms,0.71,2018-11-10 12:22:43
"Buenos Aires Argentina, South America",8090km,8090,404.06ms,404.06,20.02%,20.02,400.29ms,400.29,435.65ms,435.65,6.88ms,6.88,2018-11-10 12:22:43
"Buffalo United States, North America",13287km,13287,264.11ms,264.11,50.33%,50.33,262.37ms,262.37,277.09ms,277.09,3.23ms,3.23,2018-11-10 12:22:43
"Bursa Turkey, Eurasia",7384km,7384,242.17ms,242.17,30.51%,30.51,241.92ms,241.92,243.67ms,243.67,0.64ms,0.64,2018-11-10 12:22:43
"Cairo Egypt, Africa",6266km,6266,214.49ms,214.49,29.28%,29.28,208.76ms,208.76,241.26ms,241.26,7.47ms,7.47,2018-11-10 12:22:43
"Calgary Canada, North America",15799km,15799,334.23ms,334.23,47.30%,47.3,332.99ms,332.99,349.69ms,349.69,3.04ms,3.04,2018-11-10 12:22:43
"Canberra Australia, Oceania",10794km,10794,444.50ms,444.5,24.31%,24.31,444.15ms,444.15,447.39ms,447.39,0.90ms,0.9,2018-11-10 12:22:43
"Cape Town South Africa, Africa",1265km,1265,20.45ms,20.45,63.25%,63.25,20.32ms,20.32,20.86ms,20.86,0.20ms,0.2,2018-11-10 12:22:43
"Caracas Venezuela, South America",11011km,11011,327.48ms,327.48,33.67%,33.67,326.92ms,326.92,328.53ms,328.53,0.74ms,0.74,2018-11-10 12:22:43
"Cardiff United Kingdom, Eurasia",9164km,9164,179.65ms,179.65,51.20%,51.2,179.28ms,179.28,180.58ms,180.58,0.37ms,0.37,2018-11-10 12:22:43
