City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14138km,14138,345.30ms,345.3,40.98%,40.98,345.09ms,345.09,345.72ms,345.72,0.74ms,0.74,2018-11-10 12:20:20
"Albany United States, North America",7332km,7332,174.25ms,174.25,42.14%,42.14,117.85ms,117.85,233.47ms,233.47,38.77ms,38.77,2018-11-10 12:20:20
"Alblasserdam Netherlands, Eurasia",1802km,1802,47.83ms,47.83,38.34%,38.34,47.59ms,47.59,49.22ms,49.22,0.40ms,0.4,2018-11-10 12:20:20
"Albuquerque United States, North America",9616km,9616,176.34ms,176.34,54.64%,54.64,171.09ms,171.09,218.79ms,218.79,13.30ms,13.3,2018-11-10 12:20:20
"Algiers Algeria, Africa",2661km,2661,72.53ms,72.53,36.96%,36.96,71.94ms,71.94,73.25ms,73.25,0.35ms,0.35,2018-11-10 12:20:20
"Amsterdam Netherlands, Eurasia",1794km,1794,53.46ms,53.46,33.85%,33.85,53.23ms,53.23,53.79ms,53.79,0.31ms,0.31,2018-11-10 12:20:20
"Anchorage United States, North America",7600km,7600,206.37ms,206.37,36.89%,36.89,206.09ms,206.09,206.59ms,206.59,0.51ms,0.51,2018-11-10 12:20:20
"Ankara Turkey, Eurasia",1183km,1183,92.09ms,92.09,12.86%,12.86,91.42ms,91.42,104.42ms,104.42,2.31ms,2.31,2018-11-10 12:20:20
"Antwerp Belgium, Eurasia",1827km,1827,63.03ms,63.03,29.00%,29.0,62.95ms,62.95,63.16ms,63.16,0.32ms,0.32,2018-11-10 12:20:20
"Arezzo Italy, Eurasia",1608km,1608,54.45ms,54.45,29.78%,29.78,54.34ms,54.34,54.93ms,54.93,0.19ms,0.19,2018-11-10 12:20:20
"Asheville United States, North America",8426km,8426,141.13ms,141.13,59.76%,59.76,141.00ms,141.0,141.57ms,141.57,0.34ms,0.34,2018-11-10 12:20:20
"Athens Greece, Eurasia",1489km,1489,51.64ms,51.64,29.20%,29.2,51.49ms,51.49,52.64ms,52.64,0.24ms,0.24,2018-11-10 12:20:20
"Atlanta United States, North America",8692km,8692,137.96ms,137.96,63.45%,63.45,137.37ms,137.37,142.55ms,142.55,1.20ms,1.2,2018-11-10 12:20:20
"Auckland New Zealand, Oceania",16809km,16809,347.99ms,347.99,48.44%,48.44,347.90ms,347.9,348.15ms,348.15,0.75ms,0.75,2018-11-10 12:20:20
"Austin United States, North America",9706km,9706,167.53ms,167.53,58.12%,58.12,154.92ms,154.92,203.04ms,203.04,11.98ms,11.98,2018-11-10 12:20:20
"Baltimore United States, North America",7779km,7779,129.75ms,129.75,60.30%,60.3,129.26ms,129.26,132.76ms,132.76,0.80ms,0.8,2018-11-10 12:20:20
"Bangalore India, Eurasia",5943km,5943,161.44ms,161.44,36.91%,36.91,161.32ms,161.32,161.86ms,161.86,0.40ms,0.4,2018-11-10 12:20:20
"Bangkok Thailand, Eurasia",7421km,7421,203.01ms,203.01,36.56%,36.56,198.55ms,198.55,242.40ms,242.4,9.90ms,9.9,2018-11-10 12:20:20
"Barcelona Spain, Eurasia",2395km,2395,65.37ms,65.37,36.85%,36.85,65.15ms,65.15,65.66ms,65.66,0.27ms,0.27,2018-11-10 12:20:20
"Basel Switzerland, Eurasia",1696km,1696,42.13ms,42.13,40.38%,40.38,42.04ms,42.04,42.34ms,42.34,0.08ms,0.08,2018-11-10 12:20:20
"Belfast United Kingdom, Eurasia",2480km,2480,65.74ms,65.74,38.15%,38.15,65.56ms,65.56,66.00ms,66.0,0.32ms,0.32,2018-11-10 12:20:20
"Bergen Norway, Eurasia",1916km,1916,64.06ms,64.06,29.94%,29.94,63.49ms,63.49,66.21ms,66.21,0.62ms,0.62,2018-11-10 12:20:20
"Berkeley Springs United States, North America",7839km,7839,132.67ms,132.67,59.39%,59.39,132.50ms,132.5,132.98ms,132.98,0.33ms,0.33,2018-11-10 12:20:20
"Bern Switzerland, Eurasia",1730km,1730,66.33ms,66.33,26.21%,26.21,65.99ms,65.99,66.88ms,66.88,0.21ms,0.21,2018-11-10 12:20:21
"Bogota Colombia, South America",10636km,10636,216.50ms,216.5,49.24%,49.24,215.45ms,215.45,225.63ms,225.63,2.66ms,2.66,2018-11-10 12:20:21
"Boston United States, North America",7212km,7212,116.85ms,116.85,62.17%,62.17,116.51ms,116.51,118.28ms,118.28,0.60ms,0.6,2018-11-10 12:20:21
