City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15040km,15040,236.24ms,236.24,63.73%,63.73,233.99ms,233.99,241.89ms,241.89,2.85ms,2.85,2018-11-10 12:19:00
"Albany United States, North America",3246km,3246,60.11ms,60.11,54.10%,54.1,10.34ms,10.34,113.31ms,113.31,40.41ms,40.41,2018-11-10 12:19:00
"Alblasserdam Netherlands, Eurasia",8734km,8734,76.81ms,76.81,114.92%,114.92,76.43ms,76.43,77.80ms,77.8,0.38ms,0.38,2018-11-10 12:19:00
"Albuquerque United States, North America",2918km,2918,54.89ms,54.89,54.04%,54.04,50.12ms,50.12,87.85ms,87.85,8.33ms,8.33,2018-11-10 12:19:00
"Algiers Algeria, Africa",8956km,8956,127.29ms,127.29,70.52%,70.52,126.42ms,126.42,129.24ms,129.24,0.60ms,0.6,2018-11-10 12:19:00
"Amsterdam Netherlands, Eurasia",8728km,8728,80.26ms,80.26,109.10%,109.1,79.17ms,79.17,87.09ms,87.09,1.95ms,1.95,2018-11-10 12:19:00
"Anchorage United States, North America",7051km,7051,93.45ms,93.45,75.82%,75.82,93.00ms,93.0,94.16ms,94.16,0.41ms,0.41,2018-11-10 12:19:00
"Ankara Turkey, Eurasia",11233km,11233,128.12ms,128.12,87.76%,87.76,125.36ms,125.36,140.67ms,140.67,3.45ms,3.45,2018-11-10 12:19:00
"Antwerp Belgium, Eurasia",8731km,8731,94.52ms,94.52,92.88%,92.88,93.79ms,93.79,98.99ms,98.99,1.03ms,1.03,2018-11-10 12:19:00
"Arezzo Italy, Eurasia",9488km,9488,101.70ms,101.7,93.94%,93.94,101.31ms,101.31,102.57ms,102.57,0.41ms,0.41,2018-11-10 12:19:00
"Asheville United States, North America",2245km,2245,23.17ms,23.17,97.61%,97.61,21.07ms,21.07,28.80ms,28.8,2.39ms,2.39,2018-11-10 12:19:00
"Athens Greece, Eurasia",10639km,10639,151.42ms,151.42,70.46%,70.46,150.38ms,150.38,155.73ms,155.73,1.56ms,1.56,2018-11-10 12:19:00
"Atlanta United States, North America",2014km,2014,21.59ms,21.59,95.90%,95.9,21.16ms,21.16,23.05ms,23.05,0.43ms,0.43,2018-11-10 12:19:00
