City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14461km,14461,480.53ms,480.53,30.13%,30.13,480.33ms,480.33,480.84ms,480.84,0.90ms,0.9,2018-11-10 12:21:46
"Albany United States, North America",8468km,8468,300.30ms,300.3,28.23%,28.23,243.93ms,243.93,350.50ms,350.5,36.55ms,36.55,2018-11-10 12:21:46
"Alblasserdam Netherlands, Eurasia",5044km,5044,138.20ms,138.2,36.55%,36.55,137.97ms,137.97,138.79ms,138.79,0.36ms,0.36,2018-11-10 12:21:46
"Albuquerque United States, North America",11374km,11374,299.43ms,299.43,38.04%,38.04,297.33ms,297.33,344.99ms,344.99,8.55ms,8.55,2018-11-10 12:21:46
"Algiers Algeria, Africa",3362km,3362,150.42ms,150.42,22.41%,22.41,149.85ms,149.85,151.25ms,151.25,0.51ms,0.51,2018-11-10 12:21:46
"Amsterdam Netherlands, Eurasia",5092km,5092,111.30ms,111.3,45.87%,45.87,111.03ms,111.03,112.11ms,112.11,0.48ms,0.48,2018-11-10 12:21:46
"Anchorage United States, North America",12138km,12138,343.25ms,343.25,35.39%,35.39,342.83ms,342.83,343.58ms,343.58,0.50ms,0.5,2018-11-10 12:21:46
"Ankara Turkey, Eurasia",4738km,4738,154.91ms,154.91,30.77%,30.77,154.21ms,154.21,165.74ms,165.74,2.04ms,2.04,2018-11-10 12:21:46
"Antwerp Belgium, Eurasia",4972km,4972,144.26ms,144.26,34.53%,34.53,143.98ms,143.98,147.25ms,147.25,0.58ms,0.58,2018-11-10 12:21:46
"Arezzo Italy, Eurasia",4192km,4192,134.70ms,134.7,31.28%,31.28,134.53ms,134.53,135.66ms,135.66,0.56ms,0.56,2018-11-10 12:21:46
"Asheville United States, North America",9221km,9221,196.08ms,196.08,47.05%,47.05,195.90ms,195.9,196.34ms,196.34,0.61ms,0.61,2018-11-10 12:21:46
"Athens Greece, Eurasia",4054km,4054,159.92ms,159.92,25.50%,25.5,159.46ms,159.46,163.99ms,163.99,0.99ms,0.99,2018-11-10 12:21:46
"Atlanta United States, North America",9402km,9402,229.14ms,229.14,41.06%,41.06,228.98ms,228.98,229.77ms,229.77,0.49ms,0.49,2018-11-10 12:21:46
"Auckland New Zealand, Oceania",16536km,16536,476.70ms,476.7,34.74%,34.74,474.12ms,474.12,483.46ms,483.46,3.21ms,3.21,2018-11-10 12:21:46
"Austin United States, North America",10702km,10702,229.12ms,229.12,46.73%,46.73,218.46ms,218.46,258.76ms,258.76,9.49ms,9.49,2018-11-10 12:21:46
