City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16266km,16266,294.12ms,294.12,55.33%,55.33,293.94ms,293.94,294.64ms,294.64,0.25ms,0.25,2018-11-10 12:19:15
"Albany United States, North America",5417km,5417,126.19ms,126.19,42.99%,42.99,72.02ms,72.02,177.32ms,177.32,37.58ms,37.58,2018-11-10 12:19:15
"Alblasserdam Netherlands, Eurasia",330km,330,8.55ms,8.55,41.25%,41.25,8.27ms,8.27,9.50ms,9.5,0.24ms,0.24,2018-11-10 12:19:15
"Albuquerque United States, North America",8031km,8031,134.34ms,134.34,59.93%,59.93,128.48ms,128.48,184.94ms,184.94,14.85ms,14.85,2018-11-10 12:19:15
"Algiers Algeria, Africa",1660km,1660,64.01ms,64.01,25.94%,25.94,63.26ms,63.26,64.83ms,64.83,0.42ms,0.42,2018-11-10 12:19:15
"Amsterdam Netherlands, Eurasia",341km,341,8.35ms,8.35,42.62%,42.62,8.13ms,8.13,8.67ms,8.67,0.17ms,0.17,2018-11-10 12:19:16
"Anchorage United States, North America",7197km,7197,161.39ms,161.39,44.70%,44.7,161.15ms,161.15,162.03ms,162.03,0.59ms,0.59,2018-11-10 12:19:16
"Ankara Turkey, Eurasia",2833km,2833,58.63ms,58.63,48.84%,48.84,57.82ms,57.82,66.37ms,66.37,1.83ms,1.83,2018-11-10 12:19:16
"Antwerp Belgium, Eurasia",314km,314,14.91ms,14.91,22.43%,22.43,14.59ms,14.59,18.85ms,18.85,0.76ms,0.76,2018-11-10 12:19:16
"Arezzo Italy, Eurasia",1266km,1266,33.21ms,33.21,38.36%,38.36,32.98ms,32.98,34.78ms,34.78,0.46ms,0.46,2018-11-10 12:19:16
"Asheville United States, North America",6509km,6509,89.72ms,89.72,73.13%,73.13,89.62ms,89.62,90.38ms,90.38,0.39ms,0.39,2018-11-10 12:19:16
"Athens Greece, Eurasia",2392km,2392,62.27ms,62.27,38.58%,38.58,61.87ms,61.87,63.77ms,63.77,0.38ms,0.38,2018-11-10 12:19:16
"Atlanta United States, North America",6772km,6772,90.51ms,90.51,75.24%,75.24,90.32ms,90.32,91.08ms,91.08,0.28ms,0.28,2018-11-10 12:19:16
"Auckland New Zealand, Oceania",18338km,18338,265.31ms,265.31,69.20%,69.2,264.95ms,264.95,270.59ms,270.59,1.12ms,1.12,2018-11-10 12:19:16
"Austin United States, North America",7915km,7915,116.11ms,116.11,68.23%,68.23,104.81ms,104.81,165.11ms,165.11,14.68ms,14.68,2018-11-10 12:19:16
