City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13167km,13167,171.42ms,171.42,77.00%,77.0,171.32ms,171.32,171.59ms,171.59,0.16ms,0.16,2018-11-10 12:19:22
"Albany United States, North America",3948km,3948,129.61ms,129.61,30.60%,30.6,70.74ms,70.74,225.29ms,225.29,42.33ms,42.33,2018-11-10 12:19:22
"Alblasserdam Netherlands, Eurasia",8969km,8969,147.19ms,147.19,61.01%,61.01,147.06ms,147.06,149.03ms,149.03,0.51ms,0.51,2018-11-10 12:19:22
"Albuquerque United States, North America",1071km,1071,38.82ms,38.82,28.18%,28.18,32.91ms,32.91,81.45ms,81.45,13.39ms,13.39,2018-11-10 12:19:22
"Algiers Algeria, Africa",10072km,10072,172.27ms,172.27,58.56%,58.56,171.76ms,171.76,172.91ms,172.91,0.39ms,0.39,2018-11-10 12:19:22
"Amsterdam Netherlands, Eurasia",8937km,8937,135.72ms,135.72,66.20%,66.2,135.54ms,135.54,135.90ms,135.9,0.21ms,0.21,2018-11-10 12:19:22
"Anchorage United States, North America",3766km,3766,72.54ms,72.54,52.31%,52.31,72.38ms,72.38,72.94ms,72.94,0.21ms,0.21,2018-11-10 12:19:22
"Ankara Turkey, Eurasia",11272km,11272,179.90ms,179.9,62.97%,62.97,179.68ms,179.68,180.39ms,180.39,0.16ms,0.16,2018-11-10 12:19:22
"Antwerp Belgium, Eurasia",9008km,9008,145.38ms,145.38,62.12%,62.12,145.22ms,145.22,145.56ms,145.56,0.44ms,0.44,2018-11-10 12:19:22
"Arezzo Italy, Eurasia",10023km,10023,163.16ms,163.16,61.49%,61.49,163.11ms,163.11,163.32ms,163.32,0.53ms,0.53,2018-11-10 12:19:22
"Asheville United States, North America",3245km,3245,67.18ms,67.18,48.43%,48.43,67.13ms,67.13,67.36ms,67.36,0.34ms,0.34,2018-11-10 12:19:22
"Athens Greece, Eurasia",11098km,11098,193.86ms,193.86,57.50%,57.5,193.66ms,193.66,194.62ms,194.62,0.64ms,0.64,2018-11-10 12:19:22
"Atlanta United States, North America",3111km,3111,50.82ms,50.82,62.22%,62.22,50.60ms,50.6,52.01ms,52.01,0.43ms,0.43,2018-11-10 12:19:22
"Auckland New Zealand, Oceania",10500km,10500,184.46ms,184.46,57.07%,57.07,184.34ms,184.34,185.00ms,185.0,0.48ms,0.48,2018-11-10 12:19:22
"Austin United States, North America",1971km,1971,49.06ms,49.06,40.22%,40.22,39.66ms,39.66,78.70ms,78.7,11.33ms,11.33,2018-11-10 12:19:22
"Baltimore United States, North America",3725km,3725,65.78ms,65.78,57.31%,57.31,65.56ms,65.56,67.44ms,67.44,0.48ms,0.48,2018-11-10 12:19:22
"Bangalore India, Eurasia",14528km,14528,204.85ms,204.85,71.22%,71.22,204.72ms,204.72,204.97ms,204.97,0.41ms,0.41,2018-11-10 12:19:22
"Bangkok Thailand, Eurasia",13308km,13308,242.54ms,242.54,54.99%,54.99,237.12ms,237.12,282.72ms,282.72,11.36ms,11.36,2018-11-10 12:19:22
"Barcelona Spain, Eurasia",9656km,9656,159.34ms,159.34,60.73%,60.73,159.14ms,159.14,159.52ms,159.52,0.57ms,0.57,2018-11-10 12:19:22
"Basel Switzerland, Eurasia",9462km,9462,159.51ms,159.51,59.51%,59.51,159.35ms,159.35,159.81ms,159.81,0.43ms,0.43,2018-11-10 12:19:22
"Belfast United Kingdom, Eurasia",8240km,8240,139.86ms,139.86,59.28%,59.28,139.72ms,139.72,140.16ms,140.16,0.41ms,0.41,2018-11-10 12:19:22
"Bergen Norway, Eurasia",8332km,8332,179.09ms,179.09,46.55%,46.55,178.85ms,178.85,180.02ms,180.02,0.57ms,0.57,2018-11-10 12:19:22
"Berkeley Springs United States, North America",3585km,3585,65.93ms,65.93,55.15%,55.15,65.75ms,65.75,66.19ms,66.19,0.19ms,0.19,2018-11-10 12:19:22
"Bern Switzerland, Eurasia",9505km,9505,158.49ms,158.49,60.16%,60.16,158.33ms,158.33,158.79ms,158.79,0.41ms,0.41,2018-11-10 12:19:22
"Bogota Colombia, South America",5606km,5606,127.48ms,127.48,44.14%,44.14,126.81ms,126.81,135.55ms,135.55,1.86ms,1.86,2018-11-10 12:19:22
"Boston United States, North America",4170km,4170,70.08ms,70.08,59.57%,59.57,69.85ms,69.85,70.50ms,70.5,0.30ms,0.3,2018-11-10 12:19:22
"Brasilia Brazil, South America",9272km,9272,195.27ms,195.27,47.55%,47.55,193.17ms,193.17,222.35ms,222.35,5.35ms,5.35,2018-11-10 12:19:22
"Bratislava Slovakia, Eurasia",9859km,9859,158.71ms,158.71,62.40%,62.4,158.60ms,158.6,158.84ms,158.84,0.42ms,0.42,2018-11-10 12:19:22
"Brisbane Australia, Oceania",11567km,11567,157.80ms,157.8,73.68%,73.68,157.65ms,157.65,158.10ms,158.1,0.37ms,0.37,2018-11-10 12:19:22
"Bristol United Kingdom, Eurasia",8633km,8633,136.17ms,136.17,63.48%,63.48,135.99ms,135.99,136.68ms,136.68,0.30ms,0.3,2018-11-10 12:19:22
"Brno Czech Republic, Eurasia",9742km,9742,152.30ms,152.3,64.09%,64.09,152.15ms,152.15,152.49ms,152.49,0.40ms,0.4,2018-11-10 12:19:22
"Bruges Belgium, Eurasia",8950km,8950,143.78ms,143.78,62.59%,62.59,143.55ms,143.55,145.18ms,145.18,0.34ms,0.34,2018-11-10 12:19:22
"Brunswick United States, North America",4251km,4251,75.63ms,75.63,56.68%,56.68,75.58ms,75.58,75.79ms,75.79,0.25ms,0.25,2018-11-10 12:19:22
"Brussels Belgium, Eurasia",9034km,9034,144.50ms,144.5,62.74%,62.74,144.40ms,144.4,144.64ms,144.64,0.20ms,0.2,2018-11-10 12:19:22
"Bucharest Romania, Eurasia",10577km,10577,173.05ms,173.05,61.14%,61.14,172.96ms,172.96,173.18ms,173.18,0.16ms,0.16,2018-11-10 12:19:22
"Budapest Hungary, Eurasia",10000km,10000,159.64ms,159.64,62.89%,62.89,159.02ms,159.02,160.19ms,160.19,0.52ms,0.52,2018-11-10 12:19:22
"Buenos Aires Argentina, South America",9854km,9854,199.95ms,199.95,49.52%,49.52,194.91ms,194.91,213.03ms,213.03,5.72ms,5.72,2018-11-10 12:19:22
"Buffalo United States, North America",3530km,3530,72.30ms,72.3,49.03%,49.03,70.22ms,70.22,82.56ms,82.56,3.11ms,3.11,2018-11-10 12:19:22
"Bursa Turkey, Eurasia",11107km,11107,181.82ms,181.82,61.36%,61.36,181.42ms,181.42,188.24ms,188.24,1.27ms,1.27,2018-11-10 12:19:22
"Cairo Egypt, Africa",12202km,12202,191.68ms,191.68,63.88%,63.88,188.84ms,188.84,201.52ms,201.52,3.13ms,3.13,2018-11-10 12:19:22
"Calgary Canada, North America",1920km,1920,83.34ms,83.34,23.13%,23.13,82.02ms,82.02,90.79ms,90.79,2.26ms,2.26,2018-11-10 12:19:22
"Canberra Australia, Oceania",12321km,12321,163.62ms,163.62,75.59%,75.59,163.00ms,163.0,167.44ms,167.44,1.07ms,1.07,2018-11-10 12:19:22
