City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16080km,16080,234.72ms,234.72,68.72%,68.72,234.50ms,234.5,235.80ms,235.8,0.33ms,0.33,2018-11-10 12:19:59
"Albany United States, North America",1130km,1130,69.29ms,69.29,16.38%,16.38,21.06ms,21.06,118.34ms,118.34,36.79ms,36.79,2018-11-10 12:19:59
"Alblasserdam Netherlands, Eurasia",6794km,6794,93.19ms,93.19,73.05%,73.05,93.10ms,93.1,93.28ms,93.28,0.21ms,0.21,2018-11-10 12:19:59
"Albuquerque United States, North America",1887km,1887,53.05ms,53.05,35.60%,35.6,47.05ms,47.05,90.73ms,90.73,11.97ms,11.97,2018-11-10 12:19:59
"Algiers Algeria, Africa",7503km,7503,125.92ms,125.92,60.02%,60.02,125.36ms,125.36,126.55ms,126.55,0.50ms,0.5,2018-11-10 12:19:59
"Amsterdam Netherlands, Eurasia",6776km,6776,105.98ms,105.98,64.53%,64.53,105.84ms,105.84,106.18ms,106.18,0.22ms,0.22,2018-11-10 12:19:59
"Anchorage United States, North America",5000km,5000,93.30ms,93.3,53.76%,53.76,92.61ms,92.61,98.63ms,98.63,1.41ms,1.41,2018-11-10 12:19:59
"Ankara Turkey, Eurasia",9315km,9315,160.10ms,160.1,58.22%,58.22,159.93ms,159.93,160.35ms,160.35,0.32ms,0.32,2018-11-10 12:19:59
"Antwerp Belgium, Eurasia",6811km,6811,110.71ms,110.71,61.92%,61.92,110.62ms,110.62,110.90ms,110.9,0.36ms,0.36,2018-11-10 12:19:59
"Arezzo Italy, Eurasia",7730km,7730,131.08ms,131.08,59.01%,59.01,129.74ms,129.74,143.87ms,143.87,3.32ms,3.32,2018-11-10 12:19:59
"Asheville United States, North America",410km,410,44.90ms,44.9,9.32%,9.32,44.56ms,44.56,51.36ms,51.36,1.24ms,1.24,2018-11-10 12:19:59
"Athens Greece, Eurasia",8893km,8893,152.93ms,152.93,58.51%,58.51,152.66ms,152.66,154.57ms,154.57,0.62ms,0.62,2018-11-10 12:19:59
"Atlanta United States, North America",515km,515,10.65ms,10.65,51.50%,51.5,10.45ms,10.45,12.11ms,12.11,0.32ms,0.32,2018-11-10 12:19:59
"Auckland New Zealand, Oceania",13163km,13163,222.89ms,222.89,59.29%,59.29,222.80ms,222.8,223.30ms,223.3,0.49ms,0.49,2018-11-10 12:19:59
"Austin United States, North America",1414km,1414,37.65ms,37.65,38.22%,38.22,28.43ms,28.43,74.62ms,74.62,10.00ms,10.0,2018-11-10 12:19:59
"Baltimore United States, North America",801km,801,33.34ms,33.34,24.27%,24.27,32.18ms,32.18,43.02ms,43.02,2.81ms,2.81,2018-11-10 12:19:59
"Bangalore India, Eurasia",14065km,14065,250.12ms,250.12,56.26%,56.26,249.74ms,249.74,254.92ms,254.92,1.08ms,1.08,2018-11-10 12:19:59
"Bangkok Thailand, Eurasia",14200km,14200,264.78ms,264.78,53.79%,53.79,262.00ms,262.0,288.07ms,288.07,5.07ms,5.07,2018-11-10 12:19:59
"Barcelona Spain, Eurasia",7174km,7174,112.99ms,112.99,64.05%,64.05,112.70ms,112.7,115.81ms,115.81,0.57ms,0.57,2018-11-10 12:19:59
"Basel Switzerland, Eurasia",7206km,7206,122.18ms,122.18,59.07%,59.07,122.04ms,122.04,122.44ms,122.44,0.38ms,0.38,2018-11-10 12:19:59
"Belfast United Kingdom, Eurasia",6028km,6028,117.99ms,117.99,51.52%,51.52,117.75ms,117.75,121.38ms,121.38,0.77ms,0.77,2018-11-10 12:19:59
"Bergen Norway, Eurasia",6445km,6445,139.78ms,139.78,46.37%,46.37,139.44ms,139.44,144.96ms,144.96,1.10ms,1.1,2018-11-10 12:19:59
"Berkeley Springs United States, North America",669km,669,33.12ms,33.12,20.27%,20.27,32.91ms,32.91,33.52ms,33.52,0.20ms,0.2,2018-11-10 12:19:59
"Bern Switzerland, Eurasia",7231km,7231,132.18ms,132.18,54.78%,54.78,131.69ms,131.69,137.43ms,137.43,1.22ms,1.22,2018-11-10 12:19:59
"Bogota Colombia, South America",3925km,3925,86.88ms,86.88,45.64%,45.64,86.19ms,86.19,95.86ms,95.86,1.75ms,1.75,2018-11-10 12:19:59
"Boston United States, North America",1326km,1326,24.85ms,24.85,55.25%,55.25,24.48ms,24.48,27.64ms,27.64,0.57ms,0.57,2018-11-10 12:19:59
"Brasilia Brazil, South America",7192km,7192,160.37ms,160.37,44.95%,44.95,157.05ms,157.05,201.35ms,201.35,8.27ms,8.27,2018-11-10 12:19:59
"Bratislava Slovakia, Eurasia",7770km,7770,134.71ms,134.71,57.99%,57.99,134.60ms,134.6,134.91ms,134.91,0.35ms,0.35,2018-11-10 12:19:59
"Brisbane Australia, Oceania",14490km,14490,213.92ms,213.92,68.03%,68.03,213.84ms,213.84,214.02ms,214.02,0.30ms,0.3,2018-11-10 12:19:59
"Bristol United Kingdom, Eurasia",6357km,6357,90.06ms,90.06,70.63%,70.63,89.91ms,89.91,90.73ms,90.73,0.22ms,0.22,2018-11-10 12:19:59
"Brno Czech Republic, Eurasia",7672km,7672,137.84ms,137.84,56.00%,56.0,136.90ms,136.9,145.96ms,145.96,2.16ms,2.16,2018-11-10 12:19:59
