City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15864km,15864,315.44ms,315.44,50.36%,50.36,315.23ms,315.23,315.99ms,315.99,0.61ms,0.61,2018-11-10 12:19:23
"Albany United States, North America",5900km,5900,140.81ms,140.81,42.14%,42.14,86.27ms,86.27,195.80ms,195.8,38.11ms,38.11,2018-11-10 12:19:23
"Alblasserdam Netherlands, Eurasia",263km,263,9.25ms,9.25,29.22%,29.22,8.79ms,8.79,15.99ms,15.99,1.28ms,1.28,2018-11-10 12:19:23
"Albuquerque United States, North America",8504km,8504,136.20ms,136.2,62.53%,62.53,130.27ms,130.27,181.01ms,181.01,12.73ms,12.73,2018-11-10 12:19:23
"Algiers Algeria, Africa",1458km,1458,59.87ms,59.87,24.71%,24.71,59.20ms,59.2,60.88ms,60.88,0.48ms,0.48,2018-11-10 12:19:23
"Amsterdam Netherlands, Eurasia",307km,307,8.95ms,8.95,38.38%,38.38,8.79ms,8.79,9.44ms,9.44,0.18ms,0.18,2018-11-10 12:19:23
"Anchorage United States, North America",7501km,7501,179.81ms,179.81,41.91%,41.91,179.57ms,179.57,180.26ms,180.26,0.43ms,0.43,2018-11-10 12:19:23
"Ankara Turkey, Eurasia",2355km,2355,57.10ms,57.1,41.32%,41.32,56.31ms,56.31,63.90ms,63.9,1.82ms,1.82,2018-11-10 12:19:23
"Antwerp Belgium, Eurasia",209km,209,14.83ms,14.83,14.93%,14.93,14.74ms,14.74,14.93ms,14.93,0.17ms,0.17,2018-11-10 12:19:23
"Arezzo Italy, Eurasia",818km,818,28.00ms,28.0,29.21%,29.21,27.73ms,27.73,32.84ms,32.84,0.91ms,0.91,2018-11-10 12:19:23
"Asheville United States, North America",6992km,6992,95.49ms,95.49,73.60%,73.6,95.43ms,95.43,95.57ms,95.57,0.23ms,0.23,2018-11-10 12:19:23
"Athens Greece, Eurasia",1912km,1912,53.49ms,53.49,36.08%,36.08,53.35ms,53.35,53.67ms,53.67,0.31ms,0.31,2018-11-10 12:19:23
"Atlanta United States, North America",7256km,7256,96.71ms,96.71,75.58%,75.58,96.32ms,96.32,98.40ms,98.4,0.66ms,0.66,2018-11-10 12:19:23
"Auckland New Zealand, Oceania",18325km,18325,316.35ms,316.35,57.99%,57.99,316.23ms,316.23,316.49ms,316.49,0.55ms,0.55,2018-11-10 12:19:23
"Austin United States, North America",8398km,8398,145.19ms,145.19,57.92%,57.92,133.18ms,133.18,205.19ms,205.19,14.38ms,14.38,2018-11-10 12:19:23
"Baltimore United States, North America",6328km,6328,83.86ms,83.86,76.24%,76.24,83.15ms,83.15,91.43ms,91.43,1.66ms,1.66,2018-11-10 12:19:23
"Bangalore India, Eurasia",7585km,7585,140.34ms,140.34,54.18%,54.18,140.26ms,140.26,140.45ms,140.45,0.49ms,0.49,2018-11-10 12:19:23
"Bangkok Thailand, Eurasia",9157km,9157,171.81ms,171.81,53.55%,53.55,164.94ms,164.94,214.32ms,214.32,9.53ms,9.53,2018-11-10 12:19:23
"Barcelona Spain, Eurasia",972km,972,30.11ms,30.11,32.40%,32.4,29.88ms,29.88,30.27ms,30.27,0.25ms,0.25,2018-11-10 12:19:23
"Basel Switzerland, Eurasia",259km,259,15.02ms,15.02,17.27%,17.27,14.94ms,14.94,15.15ms,15.15,0.12ms,0.12,2018-11-10 12:19:23
"Belfast United Kingdom, Eurasia",985km,985,24.16ms,24.16,41.04%,41.04,24.01ms,24.01,24.27ms,24.27,0.16ms,0.16,2018-11-10 12:19:23
"Bergen Norway, Eurasia",1190km,1190,40.91ms,40.91,29.75%,29.75,40.48ms,40.48,45.80ms,45.8,1.03ms,1.03,2018-11-10 12:19:23
