City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16229km,16229,311.25ms,311.25,52.18%,52.18,310.90ms,310.9,312.34ms,312.34,0.73ms,0.73,2018-11-10 12:19:15
"Albany United States, North America",5468km,5468,129.11ms,129.11,42.39%,42.39,70.58ms,70.58,206.38ms,206.38,38.64ms,38.64,2018-11-10 12:19:15
"Alblasserdam Netherlands, Eurasia",292km,292,8.90ms,8.9,36.50%,36.5,8.47ms,8.47,11.86ms,11.86,0.77ms,0.77,2018-11-10 12:19:15
"Albuquerque United States, North America",8082km,8082,126.03ms,126.03,64.14%,64.14,119.86ms,119.86,178.97ms,178.97,15.24ms,15.24,2018-11-10 12:19:15
"Algiers Algeria, Africa",1627km,1627,46.88ms,46.88,35.37%,35.37,46.26ms,46.26,48.62ms,48.62,0.45ms,0.45,2018-11-10 12:19:15
"Amsterdam Netherlands, Eurasia",308km,308,10.76ms,10.76,30.80%,30.8,10.15ms,10.15,12.80ms,12.8,0.65ms,0.65,2018-11-10 12:19:15
"Anchorage United States, North America",7235km,7235,159.21ms,159.21,45.50%,45.5,158.50ms,158.5,161.81ms,161.81,0.93ms,0.93,2018-11-10 12:19:15
"Ankara Turkey, Eurasia",2784km,2784,65.73ms,65.73,42.83%,42.83,65.40ms,65.4,68.50ms,68.5,0.59ms,0.59,2018-11-10 12:19:16
"Antwerp Belgium, Eurasia",269km,269,16.88ms,16.88,16.81%,16.81,16.81ms,16.81,16.97ms,16.97,0.14ms,0.14,2018-11-10 12:19:16
"Arezzo Italy, Eurasia",1214km,1214,31.38ms,31.38,39.16%,39.16,31.15ms,31.15,33.48ms,33.48,0.45ms,0.45,2018-11-10 12:19:16
"Asheville United States, North America",6559km,6559,90.18ms,90.18,72.88%,72.88,90.13ms,90.13,90.33ms,90.33,0.26ms,0.26,2018-11-10 12:19:16
"Athens Greece, Eurasia",2340km,2340,59.08ms,59.08,39.66%,39.66,58.86ms,58.86,59.83ms,59.83,0.37ms,0.37,2018-11-10 12:19:16
"Atlanta United States, North America",6823km,6823,90.14ms,90.14,75.81%,75.81,89.92ms,89.92,91.30ms,91.3,0.30ms,0.3,2018-11-10 12:19:16
"Auckland New Zealand, Oceania",18351km,18351,299.64ms,299.64,61.37%,61.37,299.51ms,299.51,300.10ms,300.1,0.56ms,0.56,2018-11-10 12:19:16
"Austin United States, North America",7966km,7966,121.14ms,121.14,65.83%,65.83,108.26ms,108.26,190.84ms,190.84,18.95ms,18.95,2018-11-10 12:19:16
