City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16346km,16346,335.88ms,335.88,48.79%,48.79,335.43ms,335.43,340.41ms,340.41,1.01ms,1.01,2018-11-10 12:20:10
"Albany United States, North America",5210km,5210,134.81ms,134.81,38.88%,38.88,75.64ms,75.64,207.47ms,207.47,37.98ms,37.98,2018-11-10 12:20:10
"Alblasserdam Netherlands, Eurasia",497km,497,14.74ms,14.74,35.50%,35.5,14.26ms,14.26,18.62ms,18.62,0.80ms,0.8,2018-11-10 12:20:10
"Albuquerque United States, North America",7790km,7790,132.95ms,132.95,59.02%,59.02,128.39ms,128.39,174.00ms,174.0,11.68ms,11.68,2018-11-10 12:20:10
"Algiers Algeria, Africa",1904km,1904,50.21ms,50.21,38.08%,38.08,46.40ms,46.4,129.96ms,129.96,15.96ms,15.96,2018-11-10 12:20:10
"Amsterdam Netherlands, Eurasia",483km,483,16.03ms,16.03,30.19%,30.19,14.63ms,14.63,45.32ms,45.32,5.46ms,5.46,2018-11-10 12:20:10
"Anchorage United States, North America",6947km,6947,163.36ms,163.36,42.62%,42.62,162.81ms,162.81,164.86ms,164.86,0.62ms,0.62,2018-11-10 12:20:10
"Ankara Turkey, Eurasia",3028km,3028,58.28ms,58.28,52.21%,52.21,58.09ms,58.09,58.80ms,58.8,0.35ms,0.35,2018-11-10 12:20:10
"Antwerp Belgium, Eurasia",516km,516,32.65ms,32.65,16.12%,16.12,17.55ms,17.55,113.98ms,113.98,24.81ms,24.81,2018-11-10 12:20:10
"Arezzo Italy, Eurasia",1518km,1518,57.39ms,57.39,26.63%,26.63,35.22ms,35.22,136.50ms,136.5,26.91ms,26.91,2018-11-10 12:20:10
"Asheville United States, North America",6304km,6304,99.49ms,99.49,63.68%,63.68,97.22ms,97.22,119.91ms,119.91,5.96ms,5.96,2018-11-10 12:20:10
"Athens Greece, Eurasia",2626km,2626,63.99ms,63.99,41.68%,41.68,63.72ms,63.72,65.19ms,65.19,0.33ms,0.33,2018-11-10 12:20:10
"Atlanta United States, North America",6569km,6569,96.36ms,96.36,68.43%,68.43,94.75ms,94.75,124.84ms,124.84,5.45ms,5.45,2018-11-10 12:20:10
"Auckland New Zealand, Oceania",18155km,18155,301.42ms,301.42,60.32%,60.32,300.93ms,300.93,304.75ms,304.75,0.85ms,0.85,2018-11-10 12:20:10
"Austin United States, North America",7694km,7694,123.55ms,123.55,62.55%,62.55,112.36ms,112.36,157.32ms,157.32,12.12ms,12.12,2018-11-10 12:20:10
"Baltimore United States, North America",5643km,5643,84.28ms,84.28,67.18%,67.18,83.84ms,83.84,85.74ms,85.74,0.52ms,0.52,2018-11-10 12:20:10
"Bangalore India, Eurasia",8183km,8183,266.57ms,266.57,30.76%,30.76,260.89ms,260.89,419.81ms,419.81,28.47ms,28.47,2018-11-10 12:20:10
"Bangkok Thailand, Eurasia",9604km,9604,187.25ms,187.25,51.36%,51.36,175.77ms,175.77,226.62ms,226.62,12.34ms,12.34,2018-11-10 12:20:10
"Barcelona Spain, Eurasia",1384km,1384,33.38ms,33.38,41.94%,41.94,33.16ms,33.16,34.00ms,34.0,0.19ms,0.19,2018-11-10 12:20:10
"Basel Switzerland, Eurasia",955km,955,30.88ms,30.88,31.83%,31.83,30.47ms,30.47,32.49ms,32.49,0.56ms,0.56,2018-11-10 12:20:10
"Belfast United Kingdom, Eurasia",271km,271,29.75ms,29.75,9.34%,9.34,27.51ms,27.51,91.10ms,91.1,11.39ms,11.39,2018-11-10 12:20:11
"Bergen Norway, Eurasia",893km,893,61.29ms,61.29,14.64%,14.64,50.64ms,50.64,233.76ms,233.76,35.05ms,35.05,2018-11-10 12:20:11
"Berkeley Springs United States, North America",5719km,5719,100.47ms,100.47,57.19%,57.19,89.28ms,89.28,260.83ms,260.83,35.64ms,35.64,2018-11-10 12:20:11
"Bern Switzerland, Eurasia",999km,999,32.85ms,32.85,31.22%,31.22,30.46ms,30.46,72.59ms,72.59,8.31ms,8.31,2018-11-10 12:20:11
"Bogota Colombia, South America",8404km,8404,184.59ms,184.59,45.67%,45.67,170.49ms,170.49,303.15ms,303.15,33.00ms,33.0,2018-11-10 12:20:11
"Boston United States, North America",5065km,5065,74.02ms,74.02,68.45%,68.45,69.28ms,69.28,205.00ms,205.0,24.32ms,24.32,2018-11-10 12:20:11
"Brasilia Brazil, South America",8846km,8846,224.97ms,224.97,39.49%,39.49,221.58ms,221.58,265.20ms,265.2,8.89ms,8.89,2018-11-10 12:20:11
