City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17107km,17107,249.26ms,249.26,68.70%,68.7,248.33ms,248.33,257.61ms,257.61,1.68ms,1.68,2018-11-10 12:18:25
"Albany United States, North America",218km,218,58.55ms,58.55,3.76%,3.76,4.45ms,4.45,105.39ms,105.39,37.38ms,37.38,2018-11-10 12:18:25
"Alblasserdam Netherlands, Eurasia",5859km,5859,82.53ms,82.53,71.45%,71.45,82.30ms,82.3,83.30ms,83.3,0.29ms,0.29,2018-11-10 12:18:25
"Albuquerque United States, North America",2914km,2914,66.60ms,66.6,44.15%,44.15,59.06ms,59.06,107.83ms,107.83,15.55ms,15.55,2018-11-10 12:18:25
"Algiers Algeria, Africa",6471km,6471,138.60ms,138.6,46.89%,46.89,138.06ms,138.06,139.47ms,139.47,0.52ms,0.52,2018-11-10 12:18:25
"Amsterdam Netherlands, Eurasia",5845km,5845,90.73ms,90.73,64.94%,64.94,90.34ms,90.34,92.30ms,92.3,0.45ms,0.45,2018-11-10 12:18:25
"Anchorage United States, North America",5407km,5407,91.92ms,91.92,59.42%,59.42,91.65ms,91.65,92.47ms,92.47,0.34ms,0.34,2018-11-10 12:18:25
"Ankara Turkey, Eurasia",8391km,8391,127.47ms,127.47,66.07%,66.07,126.71ms,126.71,135.72ms,135.72,1.90ms,1.9,2018-11-10 12:18:25
"Antwerp Belgium, Eurasia",5870km,5870,107.58ms,107.58,54.86%,54.86,107.41ms,107.41,107.73ms,107.73,0.22ms,0.22,2018-11-10 12:18:25
"Arezzo Italy, Eurasia",6751km,6751,122.61ms,122.61,55.34%,55.34,122.08ms,122.08,128.59ms,128.59,1.42ms,1.42,2018-11-10 12:18:25
"Asheville United States, North America",946km,946,21.19ms,21.19,45.05%,45.05,21.04ms,21.04,21.35ms,21.35,0.17ms,0.17,2018-11-10 12:18:25
"Athens Greece, Eurasia",7919km,7919,138.04ms,138.04,57.38%,57.38,137.90ms,137.9,138.24ms,138.24,0.49ms,0.49,2018-11-10 12:18:25
"Atlanta United States, North America",1208km,1208,21.76ms,21.76,57.52%,57.52,21.46ms,21.46,23.60ms,23.6,0.45ms,0.45,2018-11-10 12:18:25
"Auckland New Zealand, Oceania",14205km,14205,220.73ms,220.73,64.57%,64.57,220.59ms,220.59,221.04ms,221.04,0.58ms,0.58,2018-11-10 12:18:25
"Austin United States, North America",2440km,2440,55.32ms,55.32,44.36%,44.36,45.08ms,45.08,101.50ms,101.5,11.39ms,11.39,2018-11-10 12:18:25
"Baltimore United States, North America",281km,281,5.29ms,5.29,56.20%,56.2,4.89ms,4.89,7.00ms,7.0,0.44ms,0.44,2018-11-10 12:18:25
"Bangalore India, Eurasia",13362km,13362,214.94ms,214.94,62.44%,62.44,214.74ms,214.74,215.29ms,215.29,0.62ms,0.62,2018-11-10 12:18:25
"Bangkok Thailand, Eurasia",13927km,13927,313.16ms,313.16,44.50%,44.5,308.77ms,308.77,381.61ms,381.61,13.44ms,13.44,2018-11-10 12:18:25
"Barcelona Spain, Eurasia",6160km,6160,127.97ms,127.97,48.50%,48.5,127.36ms,127.36,134.38ms,134.38,1.30ms,1.3,2018-11-10 12:18:25
"Basel Switzerland, Eurasia",6243km,6243,92.71ms,92.71,67.86%,67.86,92.54ms,92.54,92.95ms,92.95,0.20ms,0.2,2018-11-10 12:18:25
"Belfast United Kingdom, Eurasia",5099km,5099,93.80ms,93.8,54.83%,54.83,93.58ms,93.58,94.12ms,94.12,0.32ms,0.32,2018-11-10 12:18:25
"Bergen Norway, Eurasia",5606km,5606,111.20ms,111.2,50.50%,50.5,110.82ms,110.82,113.08ms,113.08,0.61ms,0.61,2018-11-10 12:18:25
"Berkeley Springs United States, North America",384km,384,16.28ms,16.28,24.00%,24.0,16.10ms,16.1,16.60ms,16.6,0.15ms,0.15,2018-11-10 12:18:26
"Bern Switzerland, Eurasia",6263km,6263,95.87ms,95.87,65.93%,65.93,95.77ms,95.77,96.05ms,96.05,0.37ms,0.37,2018-11-10 12:18:26
"Bogota Colombia, South America",4025km,4025,92.90ms,92.9,43.75%,43.75,92.31ms,92.31,104.16ms,104.16,2.11ms,2.11,2018-11-10 12:18:26
"Boston United States, North America",297km,297,5.53ms,5.53,59.40%,59.4,5.22ms,5.22,5.95ms,5.95,0.20ms,0.2,2018-11-10 12:18:26
"Brasilia Brazil, South America",6844km,6844,140.97ms,140.97,48.89%,48.89,139.72ms,139.72,147.05ms,147.05,2.30ms,2.3,2018-11-10 12:18:26
"Bratislava Slovakia, Eurasia",6840km,6840,108.38ms,108.38,63.33%,63.33,108.26ms,108.26,108.56ms,108.56,0.31ms,0.31,2018-11-10 12:18:26
"Brisbane Australia, Oceania",15507km,15507,211.29ms,211.29,73.49%,73.49,211.15ms,211.15,211.78ms,211.78,0.47ms,0.47,2018-11-10 12:18:26
"Bristol United Kingdom, Eurasia",5402km,5402,71.33ms,71.33,76.08%,76.08,71.05ms,71.05,71.83ms,71.83,0.32ms,0.32,2018-11-10 12:18:26
"Brno Czech Republic, Eurasia",6750km,6750,100.58ms,100.58,67.50%,67.5,100.45ms,100.45,100.73ms,100.73,0.36ms,0.36,2018-11-10 12:18:26
"Bruges Belgium, Eurasia",5794km,5794,84.90ms,84.9,68.98%,68.98,84.56ms,84.56,86.08ms,86.08,0.46ms,0.46,2018-11-10 12:18:26
"Brunswick United States, North America",477km,477,13.59ms,13.59,36.69%,36.69,13.44ms,13.44,13.85ms,13.85,0.12ms,0.12,2018-11-10 12:18:26
"Brussels Belgium, Eurasia",5881km,5881,74.71ms,74.71,79.47%,79.47,74.62ms,74.62,74.88ms,74.88,0.22ms,0.22,2018-11-10 12:18:26
"Bucharest Romania, Eurasia",7644km,7644,109.91ms,109.91,70.13%,70.13,109.77ms,109.77,110.13ms,110.13,0.40ms,0.4,2018-11-10 12:18:26
"Budapest Hungary, Eurasia",7001km,7001,103.02ms,103.02,67.97%,67.97,102.31ms,102.31,105.98ms,105.98,0.77ms,0.77,2018-11-10 12:18:26
"Buenos Aires Argentina, South America",8536km,8536,153.03ms,153.03,55.79%,55.79,148.07ms,148.07,172.15ms,172.15,6.26ms,6.26,2018-11-10 12:18:26
"Buffalo United States, North America",469km,469,14.50ms,14.5,33.50%,33.5,12.14ms,12.14,28.46ms,28.46,3.84ms,3.84,2018-11-10 12:18:26
"Bursa Turkey, Eurasia",8126km,8126,126.16ms,126.16,64.49%,64.49,125.97ms,125.97,126.47ms,126.47,0.21ms,0.21,2018-11-10 12:18:26
"Cairo Egypt, Africa",9015km,9015,138.78ms,138.78,65.33%,65.33,134.88ms,134.88,163.15ms,163.15,5.51ms,5.51,2018-11-10 12:18:26
"Calgary Canada, North America",3258km,3258,74.38ms,74.38,44.03%,44.03,72.48ms,72.48,91.60ms,91.6,3.70ms,3.7,2018-11-10 12:18:26
"Canberra Australia, Oceania",16236km,16236,221.40ms,221.4,73.47%,73.47,220.94ms,220.94,224.53ms,224.53,0.84ms,0.84,2018-11-10 12:18:26
"Cape Town South Africa, Africa",12571km,12571,211.69ms,211.69,59.58%,59.58,211.46ms,211.46,212.68ms,212.68,0.64ms,0.64,2018-11-10 12:18:26
"Caracas Venezuela, South America",3441km,3441,72.52ms,72.52,47.79%,47.79,71.76ms,71.76,73.79ms,73.79,0.60ms,0.6,2018-11-10 12:18:26
"Cardiff United Kingdom, Eurasia",5362km,5362,72.61ms,72.61,74.47%,74.47,72.15ms,72.15,74.49ms,74.49,0.72ms,0.72,2018-11-10 12:18:26
"Carlow Ireland, Eurasia",5076km,5076,79.48ms,79.48,64.25%,64.25,79.33ms,79.33,79.69ms,79.69,0.39ms,0.39,2018-11-10 12:18:26
"Charlotte United States, North America",863km,863,20.56ms,20.56,43.15%,43.15,20.42ms,20.42,20.71ms,20.71,0.16ms,0.16,2018-11-10 12:18:26
"Cheltenham United Kingdom, Eurasia",5422km,5422,71.11ms,71.11,76.37%,76.37,71.00ms,71.0,71.28ms,71.28,0.30ms,0.3,2018-11-10 12:18:26
"Chennai India, Eurasia",13467km,13467,211.41ms,211.41,63.82%,63.82,211.15ms,211.15,211.82ms,211.82,0.21ms,0.21,2018-11-10 12:18:26
"Chicago United States, North America",1148km,1148,23.05ms,23.05,49.91%,49.91,22.89ms,22.89,23.19ms,23.19,0.15ms,0.15,2018-11-10 12:18:26
"Chisinau Moldova, Eurasia",7644km,7644,127.09ms,127.09,60.19%,60.19,126.71ms,126.71,131.22ms,131.22,0.89ms,0.89,2018-11-10 12:18:26
"Christchurch New Zealand, Oceania",14673km,14673,212.20ms,212.2,69.21%,69.21,212.00ms,212.0,212.54ms,212.54,0.37ms,0.37,2018-11-10 12:18:26
"Cincinnati United States, North America",919km,919,26.27ms,26.27,35.35%,35.35,26.16ms,26.16,26.42ms,26.42,0.23ms,0.23,2018-11-10 12:18:26
"Cleveland United States, North America",625km,625,28.04ms,28.04,22.32%,22.32,27.70ms,27.7,29.60ms,29.6,0.43ms,0.43,2018-11-10 12:18:26
"Colorado Springs United States, North America",2628km,2628,52.36ms,52.36,50.54%,50.54,51.31ms,51.31,73.73ms,73.73,4.06ms,4.06,2018-11-10 12:18:26
"Columbus United States, North America",771km,771,17.98ms,17.98,45.35%,45.35,17.44ms,17.44,22.04ms,22.04,0.94ms,0.94,2018-11-10 12:18:26
"Copenhagen Denmark, Eurasia",6181km,6181,106.94ms,106.94,58.31%,58.31,106.79ms,106.79,107.09ms,107.09,0.39ms,0.39,2018-11-10 12:18:26
"Coventry United Kingdom, Eurasia",5442km,5442,70.61ms,70.61,77.74%,77.74,70.48ms,70.48,70.73ms,70.73,0.31ms,0.31,2018-11-10 12:18:26
"Cromwell United States, North America",141km,141,12.06ms,12.06,11.75%,11.75,11.87ms,11.87,12.39ms,12.39,0.20ms,0.2,2018-11-10 12:18:26
"Dagupan Philippines, Eurasia",13530km,13530,221.51ms,221.51,61.22%,61.22,220.15ms,220.15,228.26ms,228.26,2.07ms,2.07,2018-11-10 12:18:26
"Dallas United States, North America",2212km,2212,41.26ms,41.26,53.95%,53.95,41.12ms,41.12,41.44ms,41.44,0.23ms,0.23,2018-11-10 12:18:26
"Dar es Salaam Tanzania, Africa",12453km,12453,216.18ms,216.18,57.65%,57.65,213.69ms,213.69,260.41ms,260.41,8.80ms,8.8,2018-11-10 12:18:26
"Denver United States, North America",2621km,2621,43.87ms,43.87,60.95%,60.95,43.60ms,43.6,44.09ms,44.09,0.18ms,0.18,2018-11-10 12:18:26
"Des Moines United States, North America",1644km,1644,31.17ms,31.17,53.03%,53.03,31.04ms,31.04,31.33ms,31.33,0.17ms,0.17,2018-11-10 12:18:26
"Detroit United States, North America",774km,774,22.29ms,22.29,35.18%,35.18,22.05ms,22.05,22.74ms,22.74,0.16ms,0.16,2018-11-10 12:18:26
"Dhaka Bangladesh, Eurasia",12667km,12667,273.01ms,273.01,46.40%,46.4,272.50ms,272.5,275.16ms,275.16,0.79ms,0.79,2018-11-10 12:18:26
"Dronten Netherlands, Eurasia",5901km,5901,77.00ms,77.0,77.64%,77.64,76.56ms,76.56,79.43ms,79.43,0.72ms,0.72,2018-11-10 12:18:26
"Dubai United Arab Emirates, Eurasia",11028km,11028,185.92ms,185.92,59.61%,59.61,185.61ms,185.61,187.79ms,187.79,0.60ms,0.6,2018-11-10 12:18:26
"Dublin Ireland, Eurasia",5107km,5107,90.93ms,90.93,56.74%,56.74,81.45ms,81.45,182.45ms,182.45,23.05ms,23.05,2018-11-10 12:18:26
"Dusseldorf Germany, Eurasia",6023km,6023,86.48ms,86.48,70.03%,70.03,86.32ms,86.32,86.65ms,86.65,0.29ms,0.29,2018-11-10 12:18:26
"Edinburgh United Kingdom, Eurasia",5237km,5237,78.17ms,78.17,67.14%,67.14,78.00ms,78.0,78.58ms,78.58,0.17ms,0.17,2018-11-10 12:18:26
"Edmonton Canada, North America",3264km,3264,58.96ms,58.96,56.28%,56.28,58.76ms,58.76,59.23ms,59.23,0.28ms,0.28,2018-11-10 12:18:26
"Eindhoven Netherlands, Eurasia",5929km,5929,78.09ms,78.09,76.01%,76.01,77.95ms,77.95,78.28ms,78.28,0.37ms,0.37,2018-11-10 12:18:26
"Falkenstein Germany, Eurasia",6414km,6414,85.25ms,85.25,75.46%,75.46,85.07ms,85.07,85.58ms,85.58,0.29ms,0.29,2018-11-10 12:18:26
"Fez Morocco, Africa",5980km,5980,152.62ms,152.62,39.34%,39.34,132.85ms,132.85,219.83ms,219.83,27.10ms,27.1,2018-11-10 12:18:26
"Frankfurt Germany, Eurasia",6195km,6195,83.93ms,83.93,74.64%,74.64,83.81ms,83.81,84.38ms,84.38,0.28ms,0.28,2018-11-10 12:18:26
"Fremont United States, North America",4105km,4105,66.45ms,66.45,62.20%,62.2,66.22ms,66.22,66.93ms,66.93,0.31ms,0.31,2018-11-10 12:18:26
"Frosinone Italy, Eurasia",6978km,6978,109.05ms,109.05,64.02%,64.02,108.85ms,108.85,109.20ms,109.2,0.19ms,0.19,2018-11-10 12:18:26
"Gdansk Poland, Eurasia",6593km,6593,102.13ms,102.13,64.64%,64.64,101.87ms,101.87,104.05ms,104.05,0.53ms,0.53,2018-11-10 12:18:26
"Geneva Switzerland, Eurasia",6207km,6207,87.83ms,87.83,71.34%,71.34,86.68ms,86.68,97.94ms,97.94,2.66ms,2.66,2018-11-10 12:18:26
"Gothenburg Sweden, Eurasia",6059km,6059,104.82ms,104.82,58.26%,58.26,104.67ms,104.67,104.99ms,104.99,0.36ms,0.36,2018-11-10 12:18:26
"Green Bay United States, North America",1220km,1220,29.98ms,29.98,42.07%,42.07,29.84ms,29.84,30.15ms,30.15,0.11ms,0.11,2018-11-10 12:18:26
"Groningen Netherlands, Eurasia",5926km,5926,93.40ms,93.4,63.72%,63.72,93.21ms,93.21,93.58ms,93.58,0.20ms,0.2,2018-11-10 12:18:26
"Guadalajara Mexico, North America",3562km,3562,80.19ms,80.19,44.52%,44.52,80.00ms,80.0,80.45ms,80.45,0.16ms,0.16,2018-11-10 12:18:26
"Guatemala Guatemala, North America",3577km,3577,270.86ms,270.86,13.25%,13.25,204.37ms,204.37,359.76ms,359.76,40.38ms,40.38,2018-11-10 12:18:26
"Halifax Canada, North America",948km,948,35.07ms,35.07,27.09%,27.09,34.24ms,34.24,40.23ms,40.23,1.37ms,1.37,2018-11-10 12:18:26
"Hamburg Germany, Eurasia",6122km,6122,83.32ms,83.32,73.76%,73.76,83.17ms,83.17,84.04ms,84.04,0.22ms,0.22,2018-11-10 12:18:26
"Hangzhou China, Eurasia",11986km,11986,252.39ms,252.39,47.56%,47.56,251.76ms,251.76,255.59ms,255.59,1.24ms,1.24,2018-11-10 12:18:26
"Hanoi Vietnam, Eurasia",13143km,13143,218.71ms,218.71,60.29%,60.29,218.50ms,218.5,218.89ms,218.89,0.39ms,0.39,2018-11-10 12:18:26
"Helsinki Finland, Eurasia",6595km,6595,101.38ms,101.38,65.30%,65.3,100.33ms,100.33,111.65ms,111.65,2.32ms,2.32,2018-11-10 12:18:26
"Heredia Costa Rica, North America",3567km,3567,93.64ms,93.64,38.35%,38.35,93.36ms,93.36,94.19ms,94.19,0.22ms,0.22,2018-11-10 12:18:26
"Ho Chi Minh City Vietnam, Eurasia",14279km,14279,253.66ms,253.66,56.44%,56.44,253.30ms,253.3,256.56ms,256.56,0.76ms,0.76,2018-11-10 12:18:26
"Hong Kong Hong Kong, Eurasia",12953km,12953,199.26ms,199.26,65.09%,65.09,198.83ms,198.83,205.22ms,205.22,1.20ms,1.2,2018-11-10 12:18:26
"Honolulu United States, North America",7982km,7982,116.06ms,116.06,68.81%,68.81,115.66ms,115.66,116.40ms,116.4,0.44ms,0.44,2018-11-10 12:18:26
